symbol,datetime,open,high,low,close,volume
AAPL,2026-06-22 17:00:00,296.35,297.6,295.7755,296.5027,34027.0
AAPL,2026-06-22 17:30:00,296.6072,297.5,296.5027,296.78,1392.0
AAPL,2026-06-22 18:00:00,297.0,297.0,296.7,296.9684,1968.0
AAPL,2026-06-22 18:30:00,296.8863,297.0,296.68,296.8,1475.0
AAPL,2026-06-22 19:00:00,296.6812,297.49,296.6812,296.9192,6601.0
AAPL,2026-06-22 19:30:00,296.93,297.2707,294.04,295.0,12036.0
AAPL,2026-06-22 20:00:00,294.94,296.4,294.63,295.445,24044.0
AAPL,2026-06-22 20:30:00,295.2911,295.98,295.2512,295.9163,11970.0
AAPL,2026-06-22 21:00:00,295.95,296.44,295.86,296.38,25055.0
AAPL,2026-06-22 21:30:00,296.18,296.7,296.0577,296.3,16652.0
AAPL,2026-06-22 22:00:00,296.4,297.91,296.0,297.66,35798.0
AAPL,2026-06-22 22:30:00,297.46,302.06,297.46,301.74,3537154.0
AAPL,2026-06-22 23:00:00,301.74,302.42,300.88,301.2,1761895.0
AAPL,2026-06-22 23:30:00,301.2,301.23,299.37,299.8,1554809.0
AAPL,2026-06-23 00:00:00,299.8,300.3899,299.035,299.94,1347838.0
AAPL,2026-06-23 00:30:00,299.94,301.4299,299.75,300.89,1052264.0
AAPL,2026-06-23 01:00:00,300.885,300.959,300.15,300.5399,899759.0
AAPL,2026-06-23 01:30:00,300.52,300.68,299.91,299.92,1037863.0
AAPL,2026-06-23 02:00:00,299.92,300.13,299.45,299.81,780770.0
AAPL,2026-06-23 02:30:00,299.81,299.86,299.25,299.31,854149.0
AAPL,2026-06-23 03:00:00,299.31,299.3265,298.583,298.92,812291.0
AAPL,2026-06-23 03:30:00,298.92,299.24,298.5901,299.07,720040.0
AAPL,2026-06-23 04:00:00,299.07,299.34,298.885,299.06,1130969.0
AAPL,2026-06-23 04:30:00,299.06,299.09,296.76,296.82,3765036.0
AAPL,2026-06-23 05:00:00,297.01,297.35,296.5,296.8,14352237.0
AAPL,2026-06-23 05:30:00,296.74,297.01,296.55,296.7437,271399.0
AAPL,2026-06-23 06:00:00,296.51,296.7485,296.5,296.51,11074.0
AAPL,2026-06-23 06:30:00,296.5,297.01,296.25,296.3102,33837.0
AAPL,2026-06-23 07:00:00,296.25,297.01,296.05,296.5,19019.0
AAPL,2026-06-23 07:30:00,296.25,296.8,295.59,295.7685,9264.0
AAPL,2026-06-23 08:00:00,296.0,296.2,295.2,295.7,20504.0
AAPL,2026-06-23 08:30:00,295.7,295.83,295.25,295.65,10040.0
AAPL,2026-06-23 17:00:00,295.39,298.5737,294.09,295.03,90738.0
AAPL,2026-06-23 17:30:00,295.03,296.0,294.86,295.5402,18218.0
AAPL,2026-06-23 18:00:00,295.505,295.73,295.4,295.6,4229.0
AAPL,2026-06-23 18:30:00,295.5797,296.3705,295.5,296.1,3212.0
AAPL,2026-06-23 19:00:00,296.0,296.3,295.6742,296.0207,5113.0
AAPL,2026-06-23 19:30:00,296.13,296.2915,295.6303,295.79,4762.0
AAPL,2026-06-23 20:00:00,295.83,296.0,294.5,295.24,29562.0
AAPL,2026-06-23 20:30:00,295.442,295.45,294.58,294.7,19812.0
AAPL,2026-06-23 21:00:00,294.7,294.94,294.1,294.694,20014.0
AAPL,2026-06-23 21:30:00,294.6983,295.37,294.06,295.0115,27851.0
AAPL,2026-06-23 22:00:00,295.12,297.8,294.9555,297.6,63141.0
AAPL,2026-06-23 22:30:00,297.538,301.64,295.18,299.11,3843329.0
AAPL,2026-06-23 23:00:00,299.085,300.56,298.795,300.5066,1853438.0
AAPL,2026-06-23 23:30:00,300.5066,300.88,299.54,300.09,1531561.0
AAPL,2026-06-24 00:00:00,300.09,300.32,298.4,298.55,1476395.0
AAPL,2026-06-24 00:30:00,298.545,298.59,297.35,298.065,1289245.0
AAPL,2026-06-24 01:00:00,298.07,298.885,297.95,298.6199,1170362.0
AAPL,2026-06-24 01:30:00,298.585,299.28,298.195,298.99,1107670.0
