symbol,datetime,open,high,low,close,volume
ABNB,2026-06-22 17:00:00,141.59,141.9,141.0,141.87,234.0
ABNB,2026-06-22 17:30:00,141.52,141.52,141.52,141.52,1.0
ABNB,2026-06-22 18:00:00,141.52,141.52,140.538,140.538,10.0
ABNB,2026-06-22 18:30:00,140.538,141.58,140.538,141.52,150.0
ABNB,2026-06-22 19:00:00,141.52,141.53,141.52,141.52,33.0
ABNB,2026-06-22 19:30:00,141.52,141.52,141.01,141.01,107.0
ABNB,2026-06-22 20:00:00,141.47,141.87,141.07,141.44,328.0
ABNB,2026-06-22 20:30:00,141.44,142.41,141.1,141.36,32.0
ABNB,2026-06-22 21:00:00,141.36,141.7,141.36,141.7,5.0
ABNB,2026-06-22 21:30:00,141.7,141.7,141.68,141.68,1.0
ABNB,2026-06-22 22:00:00,141.68,141.68,140.87,140.91,471.0
ABNB,2026-06-22 22:30:00,141.1,141.735,138.65,141.67,153063.0
ABNB,2026-06-22 23:00:00,141.67,142.57,140.87,141.04,155256.0
ABNB,2026-06-22 23:30:00,141.04,141.04,139.18,139.79,112175.0
ABNB,2026-06-23 00:00:00,139.79,140.0,138.85,139.21,96955.0
ABNB,2026-06-23 00:30:00,139.21,139.46,138.8,139.12,142537.0
ABNB,2026-06-23 01:00:00,139.12,139.12,138.67,138.741,55080.0
ABNB,2026-06-23 01:30:00,138.741,139.01,138.65,138.665,47715.0
ABNB,2026-06-23 02:00:00,138.665,138.8917,138.465,138.8,54572.0
ABNB,2026-06-23 02:30:00,138.8,139.31,138.66,139.13,47470.0
ABNB,2026-06-23 03:00:00,139.13,139.28,138.92,138.925,49684.0
ABNB,2026-06-23 03:30:00,138.925,138.925,138.03,138.315,75833.0
ABNB,2026-06-23 04:00:00,138.315,138.84,137.9228,138.03,222120.0
ABNB,2026-06-23 04:30:00,138.03,139.38,137.94,139.26,453410.0
ABNB,2026-06-23 05:00:00,139.19,140.0,138.0,140.0,1184562.0
ABNB,2026-06-23 05:30:00,140.0,140.0,137.15,137.31,10285.0
ABNB,2026-06-23 06:00:00,137.31,139.19,137.31,139.19,686011.0
ABNB,2026-06-23 06:30:00,139.19,139.29,138.435,139.29,1440.0
ABNB,2026-06-23 07:00:00,139.29,139.29,138.6867,139.2899,771.0
ABNB,2026-06-23 07:30:00,139.2899,139.2899,139.19,139.19,10.0
ABNB,2026-06-23 08:00:00,139.19,139.19,138.3,138.54,4.0
ABNB,2026-06-23 08:30:00,138.54,139.19,138.54,138.54,52.0
ABNB,2026-06-23 17:00:00,138.01,139.99,138.01,138.85,1750.0
ABNB,2026-06-23 17:30:00,138.85,139.0,138.025,138.72,43.0
ABNB,2026-06-23 18:00:00,138.72,139.15,138.72,139.15,10.0
ABNB,2026-06-23 18:30:00,139.15,139.2555,138.5827,138.5827,287.0
ABNB,2026-06-23 19:00:00,139.13,139.13,137.9445,137.9445,2.0
ABNB,2026-06-23 19:30:00,137.9445,139.2555,137.9445,138.03,113.0
ABNB,2026-06-23 20:00:00,138.03,138.3,138.03,138.3,12.0
ABNB,2026-06-23 20:30:00,138.3,139.36,138.3,138.6,15.0
ABNB,2026-06-23 21:00:00,138.6,139.19,138.37,139.19,26.0
ABNB,2026-06-23 21:30:00,139.19,139.19,138.3976,138.5,65.0
ABNB,2026-06-23 22:00:00,138.5,139.49,130.32,139.49,1287.0
