symbol,datetime,open,high,low,close,volume
ADI,2026-06-22 17:00:00,428.0,436.5,424.68,432.9,2098.0
ADI,2026-06-22 17:30:00,439.8,439.8,431.92,432.1,180.0
ADI,2026-06-22 18:00:00,431.92,435.51,431.44,431.94,229.0
ADI,2026-06-22 18:30:00,431.94,432.01,431.18,431.4625,310.0
ADI,2026-06-22 19:00:00,431.4625,433.6,431.4625,433.6,21.0
ADI,2026-06-22 19:30:00,433.6,435.0,433.5,434.85,205.0
ADI,2026-06-22 20:00:00,435.8,440.0,433.61,436.09,330.0
ADI,2026-06-22 20:30:00,436.91,437.95,434.46,437.8,354.0
ADI,2026-06-22 21:00:00,437.25,440.0,436.5,440.0,193.0
ADI,2026-06-22 21:30:00,440.7,441.95,440.0,440.37,1983.0
ADI,2026-06-22 22:00:00,440.37,442.0,437.0,438.54,10608.0
ADI,2026-06-22 22:30:00,440.0,442.0,436.48,438.81,258745.0
ADI,2026-06-22 23:00:00,438.64,444.31,437.37,440.715,184168.0
ADI,2026-06-22 23:30:00,440.715,441.5,437.0,439.45,124226.0
ADI,2026-06-23 00:00:00,439.45,441.089,438.69,439.36,163510.0
ADI,2026-06-23 00:30:00,439.36,444.03,439.06,440.275,148177.0
ADI,2026-06-23 01:00:00,440.275,442.17,438.22,441.9,161368.0
ADI,2026-06-23 01:30:00,441.89,442.31,440.3,441.5524,82136.0
ADI,2026-06-23 02:00:00,441.5524,442.75,440.9,442.61,62809.0
ADI,2026-06-23 02:30:00,442.61,443.35,442.04,442.13,57142.0
ADI,2026-06-23 03:00:00,442.08,443.22,441.74,442.61,99460.0
ADI,2026-06-23 03:30:00,442.61,443.17,441.9801,441.99,115791.0
ADI,2026-06-23 04:00:00,441.99,443.04,441.99,442.29,89120.0
ADI,2026-06-23 04:30:00,442.29,445.69,442.29,445.45,406443.0
ADI,2026-06-23 05:00:00,445.48,450.0,443.67,445.7991,1432509.0
ADI,2026-06-23 05:30:00,445.7991,448.8373,445.48,446.94,924.0
ADI,2026-06-23 06:00:00,446.11,447.0,445.64,445.65,405.0
ADI,2026-06-23 06:30:00,445.64,450.0,445.64,446.0,683.0
ADI,2026-06-23 07:00:00,445.66,447.48,445.48,445.67,573.0
ADI,2026-06-23 07:30:00,445.67,450.0,445.5,445.6,4223.0
ADI,2026-06-23 08:00:00,445.6,445.94,444.51,445.3579,1740.0
ADI,2026-06-23 08:30:00,445.3579,445.46,444.6,445.46,92.0
ADI,2026-06-23 17:00:00,441.1,443.8,430.0,431.04,2637.0
ADI,2026-06-23 17:30:00,431.98,433.3,429.3649,431.47,469.0
ADI,2026-06-23 18:00:00,431.71,434.18,431.71,433.88,118.0
ADI,2026-06-23 18:30:00,433.88,433.9,428.0,432.11,387.0
ADI,2026-06-23 19:00:00,432.11,432.11,431.05,431.05,21.0
ADI,2026-06-23 19:30:00,430.21,437.7402,428.0,437.7402,168.0
ADI,2026-06-23 20:00:00,429.97,436.265,425.656,428.9,609.0
ADI,2026-06-23 20:30:00,426.25,445.48,426.25,429.02,468.0
ADI,2026-06-23 21:00:00,429.0,445.48,425.0003,425.8,4534.0
ADI,2026-06-23 21:30:00,426.15,426.15,422.36,424.0,2051.0
ADI,2026-06-23 22:00:00,423.32,429.29,421.47,425.17,5267.0
ADI,2026-06-23 22:30:00,424.75,425.83,414.0,417.19,391832.0
ADI,2026-06-23 23:00:00,417.19,421.74,416.495,417.1,214997.0
ADI,2026-06-23 23:30:00,417.1,417.32,412.05,414.99,169445.0
ADI,2026-06-24 00:00:00,414.99,415.83,410.14,410.14,161102.0
ADI,2026-06-24 00:30:00,410.14,411.35,408.6,409.675,246876.0
ADI,2026-06-24 01:00:00,409.675,413.305,408.42,410.0,193463.0
ADI,2026-06-24 01:30:00,410.0,410.82,408.01,408.4242,142332.0
ADI,2026-06-24 02:00:00,408.4242,409.625,407.27,408.56,115877.0
ADI,2026-06-24 02:30:00,408.56,408.8,405.79,406.06,137636.0
