symbol,datetime,open,high,low,close,volume
ADSK,2026-06-22 17:00:00,193.95,194.68,193.1,194.65,439.0
ADSK,2026-06-22 17:30:00,194.89,194.89,194.89,194.89,10.0
ADSK,2026-06-22 18:00:00,194.89,195.0,194.89,195.0,1.0
ADSK,2026-06-22 18:30:00,195.0,195.0,193.5,193.5,12.0
ADSK,2026-06-22 19:00:00,193.5,194.0,193.43,193.5,48.0
ADSK,2026-06-22 19:30:00,193.5,193.5,193.37,193.37,1.0
ADSK,2026-06-22 20:00:00,193.49,194.78,191.3301,193.82,931.0
ADSK,2026-06-22 20:30:00,193.82,194.5,193.0,193.03,73.0
ADSK,2026-06-22 21:00:00,193.03,193.3,193.0,193.01,106.0
ADSK,2026-06-22 21:30:00,193.01,194.78,192.94,194.78,154.0
ADSK,2026-06-22 22:00:00,194.78,194.78,190.0,191.05,1312.0
ADSK,2026-06-22 22:30:00,190.0,194.935,189.49,194.85,233163.0
ADSK,2026-06-22 23:00:00,194.85,195.83,191.91,192.135,113558.0
ADSK,2026-06-22 23:30:00,192.135,192.57,191.61,191.84,98321.0
ADSK,2026-06-23 00:00:00,191.84,191.84,189.01,189.71,163163.0
ADSK,2026-06-23 00:30:00,189.71,189.965,188.35,188.515,115475.0
ADSK,2026-06-23 01:00:00,188.515,188.53,185.51,185.72,144569.0
ADSK,2026-06-23 01:30:00,185.72,186.725,185.68,186.205,139998.0
ADSK,2026-06-23 02:00:00,186.205,187.27,186.205,186.475,191551.0
ADSK,2026-06-23 02:30:00,186.475,187.075,186.01,186.99,161691.0
ADSK,2026-06-23 03:00:00,186.99,187.505,186.665,187.154,92611.0
ADSK,2026-06-23 03:30:00,187.154,187.6,186.55,186.62,122464.0
ADSK,2026-06-23 04:00:00,186.62,187.155,186.47,186.76,152676.0
ADSK,2026-06-23 04:30:00,186.76,188.15,186.7,187.72,383131.0
ADSK,2026-06-23 05:00:00,187.72,189.2599,187.7,187.75,1360040.0
ADSK,2026-06-23 05:30:00,187.75,188.5,187.72,187.76,918.0
ADSK,2026-06-23 06:00:00,187.76,188.28,187.7,187.72,50906.0
ADSK,2026-06-23 06:30:00,187.72,188.28,186.99,188.28,444.0
ADSK,2026-06-23 07:00:00,188.28,188.28,187.31,187.31,297.0
ADSK,2026-06-23 07:30:00,187.31,187.8,187.3,187.79,32.0
ADSK,2026-06-23 08:00:00,187.79,187.8908,187.31,187.31,43.0
ADSK,2026-06-23 08:30:00,187.31,187.79,187.31,187.71,138.0
ADSK,2026-06-23 17:00:00,188.4875,189.3,187.52,189.06,884.0
ADSK,2026-06-23 17:30:00,189.05,190.05,189.05,189.55,52.0
ADSK,2026-06-23 18:00:00,189.55,192.45,189.55,189.57,63.0
ADSK,2026-06-23 18:30:00,189.57,189.57,189.57,189.57,1.0
ADSK,2026-06-23 19:00:00,189.62,189.62,189.55,189.55,137.0
ADSK,2026-06-23 19:30:00,189.55,189.55,189.55,189.55,101.0
ADSK,2026-06-23 20:00:00,189.31,190.61,188.99,190.61,60.0
ADSK,2026-06-23 20:30:00,190.61,190.61,189.16,189.21,420.0
ADSK,2026-06-23 21:00:00,189.21,190.3065,189.0,189.9863,164.0
ADSK,2026-06-23 21:30:00,189.9863,190.34,189.0,189.93,407.0
ADSK,2026-06-23 22:00:00,189.93,227.14,189.3,193.41,1384.0
ADSK,2026-06-23 22:30:00,193.27,193.765,189.32,190.57,191287.0
ADSK,2026-06-23 23:00:00,190.57,190.57,188.495,189.28,139886.0
ADSK,2026-06-23 23:30:00,189.28,189.98,188.58,188.775,87522.0
ADSK,2026-06-24 00:00:00,188.775,189.12,188.375,188.58,79392.0
ADSK,2026-06-24 00:30:00,188.58,189.37,188.32,188.82,71186.0
ADSK,2026-06-24 01:00:00,188.82,188.9,188.0,188.72,84506.0
ADSK,2026-06-24 01:30:00,188.72,189.56,188.48,189.205,81440.0
ADSK,2026-06-24 02:00:00,189.205,189.359,188.63,188.92,76279.0
ADSK,2026-06-24 02:30:00,188.92,189.05,187.97,188.19,94434.0
ADSK,2026-06-24 03:00:00,188.19,188.46,187.4,187.57,89378.0
ADSK,2026-06-24 03:30:00,187.57,188.09,187.235,188.0,100166.0
ADSK,2026-06-24 04:00:00,188.0,188.555,187.97,188.405,115732.0
ADSK,2026-06-24 04:30:00,188.405,189.42,187.98,188.82,380656.0
ADSK,2026-06-24 05:00:00,188.78,189.9,188.0,189.0,1053447.0
ADSK,2026-06-24 05:30:00,189.0,190.0,188.78,190.0,497.0
ADSK,2026-06-24 06:00:00,188.78,190.0,188.78,188.78,7723.0
ADSK,2026-06-24 06:30:00,188.78,190.0,188.78,188.78,7215.0
ADSK,2026-06-24 07:00:00,188.78,189.8767,188.78,189.4,174.0
ADSK,2026-06-24 07:30:00,189.4,190.0,189.15,190.0,8.0
ADSK,2026-06-24 08:00:00,190.0,190.0,189.74,190.0,51.0
ADSK,2026-06-24 08:30:00,190.0,190.0,188.3673,188.3673,16.0
ADSK,2026-06-24 17:00:00,188.78,189.17,187.95,187.95,173.0
ADSK,2026-06-24 17:30:00,186.0,186.0,186.0,186.0,26.0
ADSK,2026-06-24 18:30:00,186.0,188.4,186.0,187.5,2.0
ADSK,2026-06-24 19:00:00,187.5,190.17,187.5,190.0455,122.0
ADSK,2026-06-24 20:00:00,190.0455,190.0455,188.05,189.8845,331.0
ADSK,2026-06-24 20:30:00,189.8845,190.0,188.01,189.99,195.0
ADSK,2026-06-24 21:00:00,189.99,189.99,187.5,188.0,246.0
ADSK,2026-06-24 21:30:00,187.39,234.48,187.39,188.4627,192.0
ADSK,2026-06-24 22:00:00,188.4627,188.93,187.0,188.78,4231.0
ADSK,2026-06-24 22:30:00,189.065,194.075,188.0,193.085,181764.0
ADSK,2026-06-24 23:00:00,193.085,193.36,191.47,193.16,118607.0
ADSK,2026-06-24 23:30:00,193.16,193.74,191.98,193.73,110320.0
ADSK,2026-06-25 00:00:00,193.73,195.76,193.59,194.88,118274.0
ADSK,2026-06-25 00:30:00,194.88,194.94,193.6201,193.66,87209.0
ADSK,2026-06-25 01:00:00,193.625,194.29,193.29,193.97,53643.0
ADSK,2026-06-25 01:30:00,193.97,194.38,193.53,194.06,49288.0
ADSK,2026-06-25 02:00:00,194.06,194.4,193.27,193.32,81072.0
ADSK,2026-06-25 02:30:00,193.34,193.76,193.075,193.43,85295.0
ADSK,2026-06-25 03:00:00,193.43,194.32,193.32,194.2,93530.0
ADSK,2026-06-25 03:30:00,194.2,194.76,193.9083,194.46,136449.0
ADSK,2026-06-25 04:00:00,194.46,194.46,193.035,193.035,111508.0
ADSK,2026-06-25 04:30:00,193.035,193.615,192.4201,192.55,302412.0
ADSK,2026-06-25 05:00:00,192.61,192.7395,190.75,190.8,433265.0
ADSK,2026-06-25 05:30:00,190.8,192.61,190.0,191.5,443.0
ADSK,2026-06-25 06:00:00,191.5,192.61,190.4506,191.46,28667.0
ADSK,2026-06-25 06:30:00,191.46,191.5,190.31,191.5,90.0
ADSK,2026-06-25 07:00:00,191.5,192.61,191.5,192.61,9365.0
ADSK,2026-06-25 07:30:00,192.61,192.61,190.5452,192.33,335.0
ADSK,2026-06-25 08:00:00,192.33,192.33,190.5,191.64,67.0
ADSK,2026-06-25 08:30:00,191.64,191.64,190.37,190.37,25.0
ADSK,2026-06-25 17:00:00,191.467,192.69,191.4,191.4,247.0
ADSK,2026-06-25 17:30:00,191.4,192.0219,191.22,191.22,195.0
ADSK,2026-06-25 18:00:00,191.22,191.3,191.21,191.3,74.0
ADSK,2026-06-25 19:00:00,191.3,191.6,191.22,191.6,27.0
ADSK,2026-06-25 19:30:00,191.6,192.05,191.24,192.05,145.0
ADSK,2026-06-25 20:00:00,192.05,192.05,191.56,192.0,60.0
ADSK,2026-06-25 20:30:00,192.0,192.61,190.0,191.0,781.0
ADSK,2026-06-25 21:00:00,190.51,190.8,190.51,190.8,3072.0
ADSK,2026-06-25 21:30:00,190.8,192.0,188.9752,190.0,2049.0
ADSK,2026-06-25 22:00:00,190.0,190.59,189.0,189.99,358.0
ADSK,2026-06-25 22:30:00,190.5,194.105,188.99,192.2,192462.0
ADSK,2026-06-25 23:00:00,192.2,194.2,191.81,193.5501,185366.0
ADSK,2026-06-25 23:30:00,193.5501,193.62,190.73,190.84,142079.0
ADSK,2026-06-26 00:00:00,190.84,190.95,189.33,190.42,165687.0
ADSK,2026-06-26 00:30:00,190.42,191.54,190.33,190.855,102044.0
ADSK,2026-06-26 01:00:00,190.855,190.95,189.635,189.81,67751.0
ADSK,2026-06-26 01:30:00,189.81,190.4,189.5,190.325,94031.0
ADSK,2026-06-26 02:00:00,190.325,190.66,189.83,189.94,46096.0
ADSK,2026-06-26 02:30:00,189.86,190.29,189.57,190.29,52552.0
ADSK,2026-06-26 03:00:00,190.29,192.46,189.94,192.38,90466.0
ADSK,2026-06-26 03:30:00,192.38,192.4,190.8,191.02,74152.0
ADSK,2026-06-26 04:00:00,191.02,191.02,190.205,190.205,77729.0
ADSK,2026-06-26 04:30:00,190.205,190.61,189.51,189.73,237638.0
ADSK,2026-06-26 05:00:00,189.73,193.0,189.73,190.0,387579.0
ADSK,2026-06-26 05:30:00,190.0,192.79,189.73,189.73,737.0
ADSK,2026-06-26 06:00:00,189.73,194.43,189.73,194.43,1.0
ADSK,2026-06-26 06:30:00,194.43,194.43,189.73,192.4,490.0
ADSK,2026-06-26 07:00:00,192.4,192.4,190.0,190.1,10.0
ADSK,2026-06-26 07:30:00,190.1,193.8628,190.1,191.0,24.0
ADSK,2026-06-26 08:00:00,191.0,191.44,191.0,191.44,1.0
ADSK,2026-06-26 08:30:00,191.44,191.44,190.0,190.0,500.0
ADSK,2026-06-26 17:00:00,189.5,190.95,189.14,190.95,67.0
ADSK,2026-06-26 17:30:00,191.98,191.98,190.93,190.93,6.0
ADSK,2026-06-26 18:00:00,190.93,191.4,190.93,191.2,7.0
