symbol,datetime,open,high,low,close,volume
AEP,2026-06-22 17:00:00,127.69,127.8,127.36,127.56,13.0
AEP,2026-06-22 18:00:00,127.56,127.56,125.25,125.25,300.0
AEP,2026-06-22 18:30:00,125.25,127.6,125.25,127.6,7.0
AEP,2026-06-22 19:00:00,128.0,128.0,128.0,128.0,24.0
AEP,2026-06-22 19:30:00,128.0,128.0,127.06,127.06,17.0
AEP,2026-06-22 20:00:00,127.68,127.9317,127.13,127.39,91.0
AEP,2026-06-22 20:30:00,127.62,127.69,127.0,127.61,123.0
AEP,2026-06-22 21:00:00,127.61,127.61,127.08,127.55,74.0
AEP,2026-06-22 21:30:00,127.55,127.55,127.19,127.19,13.0
AEP,2026-06-22 22:00:00,127.19,128.54,127.19,128.18,296.0
AEP,2026-06-22 22:30:00,128.59,129.365,127.945,128.84,144231.0
AEP,2026-06-22 23:00:00,128.84,129.52,128.54,129.52,134101.0
AEP,2026-06-22 23:30:00,129.52,129.775,129.125,129.61,104122.0
AEP,2026-06-23 00:00:00,129.61,129.7299,129.45,129.51,94327.0
AEP,2026-06-23 00:30:00,129.51,129.51,129.15,129.36,55534.0
AEP,2026-06-23 01:00:00,129.36,129.62,129.26,129.54,63927.0
AEP,2026-06-23 01:30:00,129.54,129.7095,129.54,129.6,38535.0
AEP,2026-06-23 02:00:00,129.6,129.81,129.57,129.61,51667.0
AEP,2026-06-23 02:30:00,129.61,130.1278,129.61,129.91,106981.0
AEP,2026-06-23 03:00:00,129.915,130.1,129.76,130.09,77035.0
AEP,2026-06-23 03:30:00,130.09,130.42,130.03,130.37,89291.0
AEP,2026-06-23 04:00:00,130.37,130.39,129.765,129.83,104292.0
AEP,2026-06-23 04:30:00,129.83,130.88,129.83,130.285,785620.0
AEP,2026-06-23 05:00:00,130.3,131.0,130.3,130.3,4095191.0
AEP,2026-06-23 05:30:00,130.3,130.99,129.6132,130.3,6759.0
AEP,2026-06-23 06:00:00,130.3,130.5767,128.933,128.933,8272.0
AEP,2026-06-23 06:30:00,128.933,130.3,128.88,130.3,509.0
AEP,2026-06-23 07:00:00,130.3,131.0,130.3,131.0,64882.0
AEP,2026-06-23 07:30:00,131.0,131.0,130.3,130.4,53.0
AEP,2026-06-23 08:00:00,130.4,131.0,130.4,130.4,210.0
AEP,2026-06-23 08:30:00,130.4,130.4,130.0,130.0,3.0
AEP,2026-06-23 17:00:00,130.94,131.49,130.47,130.94,265.0
AEP,2026-06-23 18:30:00,130.94,130.94,130.45,130.45,9.0
AEP,2026-06-23 19:30:00,130.45,130.45,128.5787,128.5787,3.0
