symbol,datetime,open,high,low,close,volume
ALNY,2026-06-22 17:00:00,278.09,278.09,278.09,278.09,50.0
ALNY,2026-06-22 20:30:00,278.09,278.09,278.0,278.0,103.0
ALNY,2026-06-22 22:00:00,278.0,279.98,273.69,279.98,14.0
ALNY,2026-06-22 22:30:00,278.09,283.97,278.09,281.6,90106.0
ALNY,2026-06-22 23:00:00,281.6,281.605,278.17,279.6799,35492.0
ALNY,2026-06-22 23:30:00,279.6799,281.7,278.6701,280.735,28552.0
ALNY,2026-06-23 00:00:00,280.735,281.57,280.29,281.255,24891.0
ALNY,2026-06-23 00:30:00,281.255,285.19,280.82,284.57,80990.0
ALNY,2026-06-23 01:00:00,284.57,284.57,282.5325,282.6,31515.0
ALNY,2026-06-23 01:30:00,282.6,282.945,282.135,282.475,25058.0
ALNY,2026-06-23 02:00:00,282.475,284.53,282.475,283.57,59427.0
ALNY,2026-06-23 02:30:00,283.57,284.72,283.19,283.745,36843.0
ALNY,2026-06-23 03:00:00,283.94,284.6317,283.77,284.2401,25143.0
ALNY,2026-06-23 03:30:00,284.2401,284.4799,282.67,282.8,26839.0
ALNY,2026-06-23 04:00:00,282.8,283.72,282.66,283.31,33905.0
ALNY,2026-06-23 04:30:00,283.31,286.57,283.31,286.54,182176.0
ALNY,2026-06-23 05:00:00,286.41,286.41,282.26,286.41,312303.0
ALNY,2026-06-23 06:00:00,286.41,288.5,286.41,288.5,1.0
ALNY,2026-06-23 06:30:00,288.5,288.5,279.775,283.0,68.0
ALNY,2026-06-23 07:00:00,283.0,286.41,283.0,286.41,143.0
ALNY,2026-06-23 08:30:00,286.41,286.41,280.88,280.88,1.0
ALNY,2026-06-23 17:00:00,286.41,289.81,281.11,281.11,6.0
ALNY,2026-06-23 17:30:00,281.11,282.05,281.11,282.01,30.0
ALNY,2026-06-23 20:00:00,282.01,287.0,282.01,285.0,36.0
ALNY,2026-06-23 20:30:00,285.0,286.41,285.0,286.41,13.0
ALNY,2026-06-23 21:00:00,285.11,285.11,285.11,285.11,5.0
ALNY,2026-06-23 21:30:00,285.11,285.11,285.11,285.11,1.0
ALNY,2026-06-23 22:00:00,285.11,333.0,285.0,290.88,228.0
ALNY,2026-06-23 22:30:00,290.89,291.95,288.19,288.81,73728.0
ALNY,2026-06-23 23:00:00,288.78,288.78,285.26,286.76,41261.0
ALNY,2026-06-23 23:30:00,286.76,287.85,286.27,287.5926,20815.0
ALNY,2026-06-24 00:00:00,287.5926,287.89,286.74,286.9444,28169.0
ALNY,2026-06-24 00:30:00,286.9444,288.985,286.8,288.805,137983.0
ALNY,2026-06-24 01:00:00,288.805,291.14,288.7101,290.1,22100.0
ALNY,2026-06-24 01:30:00,290.1,290.93,289.96,290.57,19738.0
ALNY,2026-06-24 02:00:00,290.38,290.59,289.18,289.71,17251.0
ALNY,2026-06-24 02:30:00,289.71,290.21,289.35,289.585,16327.0
ALNY,2026-06-24 03:00:00,289.585,289.9025,289.04,289.9025,15897.0
ALNY,2026-06-24 03:30:00,289.9025,290.05,288.96,289.14,28733.0
ALNY,2026-06-24 04:00:00,289.14,289.37,287.62,288.405,39976.0
ALNY,2026-06-24 04:30:00,288.405,289.56,287.81,288.24,144965.0
ALNY,2026-06-24 05:00:00,288.18,290.0,288.18,290.0,184016.0
ALNY,2026-06-24 06:00:00,290.0,290.0,288.18,288.18,49292.0
ALNY,2026-06-24 07:30:00,288.18,288.18,288.0,288.0,101.0
ALNY,2026-06-24 17:30:00,288.18,324.85,288.18,294.95,32.0
ALNY,2026-06-24 20:30:00,294.95,294.95,288.18,290.0,3.0
ALNY,2026-06-24 21:00:00,290.0,290.0,288.18,288.18,79.0
ALNY,2026-06-24 21:30:00,288.18,288.18,280.05,280.05,1.0
ALNY,2026-06-24 22:00:00,280.05,292.0,280.05,289.72,11.0
ALNY,2026-06-24 22:30:00,289.72,295.49,289.56,294.535,24266.0
ALNY,2026-06-24 23:00:00,294.535,300.4899,294.535,296.125,46608.0
