symbol,datetime,open,high,low,close,volume
AMAT,2026-06-22 17:00:00,626.0,627.48,610.15,620.4986,6979.0
AMAT,2026-06-22 17:30:00,620.7,623.93,620.0,620.57,910.0
AMAT,2026-06-22 18:00:00,620.98,623.9988,619.7106,622.29,2215.0
AMAT,2026-06-22 18:30:00,622.21,623.0,620.0,622.0,1103.0
AMAT,2026-06-22 19:00:00,620.06,630.0,620.0,627.0,2019.0
AMAT,2026-06-22 19:30:00,627.0,629.8,625.5,626.51,904.0
AMAT,2026-06-22 20:00:00,627.25,631.5,625.69,628.49,3893.0
AMAT,2026-06-22 20:30:00,629.2,630.8388,627.0,628.2,7002.0
AMAT,2026-06-22 21:00:00,628.49,633.99,628.0509,632.7997,18511.0
AMAT,2026-06-22 21:30:00,633.59,635.0,631.999,633.0,16795.0
AMAT,2026-06-22 22:00:00,634.0,636.51,625.0,627.13,14895.0
AMAT,2026-06-22 22:30:00,626.07,639.18,624.75,630.59,782512.0
AMAT,2026-06-22 23:00:00,630.59,636.75,626.9,630.44,345258.0
AMAT,2026-06-22 23:30:00,630.44,631.89,622.1004,627.37,331260.0
AMAT,2026-06-23 00:00:00,627.37,630.0,626.0,627.18,172142.0
AMAT,2026-06-23 00:30:00,627.18,629.085,623.04,624.995,236024.0
AMAT,2026-06-23 01:00:00,624.995,627.56,621.36,626.225,256588.0
AMAT,2026-06-23 01:30:00,626.225,627.73,621.81,625.88,424922.0
AMAT,2026-06-23 02:00:00,625.88,626.8125,622.05,624.64,196171.0
AMAT,2026-06-23 02:30:00,624.64,626.91,623.425,624.57,139824.0
AMAT,2026-06-23 03:00:00,624.57,626.87,624.0,625.045,177859.0
AMAT,2026-06-23 03:30:00,625.045,625.47,622.42,623.855,315374.0
AMAT,2026-06-23 04:00:00,623.855,626.93,620.685,625.515,284560.0
AMAT,2026-06-23 04:30:00,625.515,641.18,625.435,640.28,1204169.0
AMAT,2026-06-23 05:00:00,640.18,641.0,628.994,638.82,3109958.0
AMAT,2026-06-23 05:30:00,638.7678,640.99,638.1,640.2,1739.0
AMAT,2026-06-23 06:00:00,639.14,640.99,639.0,640.1287,174789.0
AMAT,2026-06-23 06:30:00,640.68,640.98,639.0,639.1,2322.0
AMAT,2026-06-23 07:00:00,639.11,640.18,638.956,639.2,102779.0
AMAT,2026-06-23 07:30:00,639.2,640.0,632.0,638.3,3058.0
AMAT,2026-06-23 08:00:00,637.0,637.0,631.6,635.6776,465.0
AMAT,2026-06-23 08:30:00,636.44,636.78,633.52,636.78,768.0
AMAT,2026-06-23 17:00:00,605.84,626.607,595.0,597.21,20280.0
AMAT,2026-06-23 17:30:00,597.24,601.1711,585.47,590.74,27909.0
AMAT,2026-06-23 18:00:00,601.0,605.0,588.01,597.71,2302.0
AMAT,2026-06-23 18:30:00,598.5,599.844,594.0,595.44,952.0
AMAT,2026-06-23 19:00:00,597.0,598.0,593.05,593.05,1798.0
AMAT,2026-06-23 19:30:00,593.05,596.0,591.0103,595.5191,1478.0
AMAT,2026-06-23 20:00:00,596.0,600.0,592.73,592.98,8334.0
AMAT,2026-06-23 20:30:00,592.55,600.0,592.12,593.7,6136.0
AMAT,2026-06-23 21:00:00,594.71,599.9,589.5,591.8026,11403.0
AMAT,2026-06-23 21:30:00,592.0,593.0,587.87,591.6975,8375.0
AMAT,2026-06-23 22:00:00,590.8931,592.0,575.0,580.27,23092.0
AMAT,2026-06-23 22:30:00,583.95,591.94,573.84,584.41,1283448.0
AMAT,2026-06-23 23:00:00,584.41,592.5,584.33,589.77,523762.0
AMAT,2026-06-23 23:30:00,589.77,589.87,580.01,583.155,324769.0
AMAT,2026-06-24 00:00:00,583.3,585.26,579.56,579.63,420545.0
AMAT,2026-06-24 00:30:00,579.63,584.64,578.7101,582.9199,291230.0
AMAT,2026-06-24 01:00:00,582.9199,590.4,582.2,586.32,364280.0
AMAT,2026-06-24 01:30:00,586.32,590.0,584.01,589.1727,315728.0
AMAT,2026-06-24 02:00:00,588.995,590.98,585.9501,589.81,261230.0
AMAT,2026-06-24 02:30:00,589.81,590.88,585.215,585.215,287453.0
AMAT,2026-06-24 03:00:00,585.215,587.685,584.1292,585.22,228366.0
AMAT,2026-06-24 03:30:00,585.22,585.22,576.49,580.615,477123.0
AMAT,2026-06-24 04:00:00,580.615,586.79,579.42,585.96,315896.0
AMAT,2026-06-24 04:30:00,585.96,588.53,580.83,585.79,1037840.0
AMAT,2026-06-24 05:00:00,585.79,590.99,583.5,589.99,3051009.0
AMAT,2026-06-24 05:30:00,589.3801,590.99,588.0,588.48,11468.0
AMAT,2026-06-24 06:00:00,588.0,590.9,585.88,589.8871,1696.0
AMAT,2026-06-24 06:30:00,589.1144,590.9,589.0,590.6,1028.0
AMAT,2026-06-24 07:00:00,590.86,590.9,588.01,588.01,2713.0
AMAT,2026-06-24 07:30:00,589.04,590.5,583.38,586.3557,3812.0
AMAT,2026-06-24 08:00:00,586.1101,590.18,584.0,587.0,3983.0
AMAT,2026-06-24 08:30:00,585.5,590.18,584.0,590.0,2647.0
AMAT,2026-06-24 17:00:00,589.26,599.48,583.57,594.78,7906.0
AMAT,2026-06-24 17:30:00,594.81,596.33,593.0,593.466,1574.0
AMAT,2026-06-24 18:00:00,593.466,596.9052,593.21,594.2,337.0
AMAT,2026-06-24 18:30:00,594.2,595.238,589.856,594.37,653.0
AMAT,2026-06-24 19:00:00,597.0,597.0,591.98,593.0521,840.0
AMAT,2026-06-24 19:30:00,593.98,595.99,593.0,593.0,1193.0
AMAT,2026-06-24 20:00:00,592.0,594.0,589.0,589.5,2850.0
AMAT,2026-06-24 20:30:00,588.07,595.49,585.88,593.65,3706.0
AMAT,2026-06-24 21:00:00,593.65,595.49,592.06,594.9,4281.0
AMAT,2026-06-24 21:30:00,594.9211,595.0,590.0,590.04,3678.0
AMAT,2026-06-24 22:00:00,590.54,592.9,582.0,584.41,8891.0
AMAT,2026-06-24 22:30:00,584.595,592.19,580.02,585.5,707629.0
AMAT,2026-06-24 23:00:00,585.5,591.98,580.04,585.29,523545.0
AMAT,2026-06-24 23:30:00,585.29,594.265,585.23,593.41,255423.0
AMAT,2026-06-25 00:00:00,593.41,593.54,583.1,586.72,251041.0
AMAT,2026-06-25 00:30:00,586.72,591.19,584.96,590.18,158247.0
AMAT,2026-06-25 01:00:00,590.18,593.85,589.355,591.55,189162.0
AMAT,2026-06-25 01:30:00,591.55,591.55,585.62,585.755,290292.0
AMAT,2026-06-25 02:00:00,585.755,587.29,575.25,575.325,392363.0
AMAT,2026-06-25 02:30:00,575.325,579.6,574.28,574.95,380073.0
AMAT,2026-06-25 03:00:00,574.95,579.57,573.36,578.65,338302.0
AMAT,2026-06-25 03:30:00,578.65,579.36,569.6901,572.06,352534.0
AMAT,2026-06-25 04:00:00,572.06,575.24,569.5,574.055,369442.0
AMAT,2026-06-25 04:30:00,574.15,589.46,573.75,588.94,1135502.0
AMAT,2026-06-25 05:00:00,588.97,620.0,575.8,616.26,2238801.0
AMAT,2026-06-25 05:30:00,615.99,635.0,611.06,629.0,21785.0
AMAT,2026-06-25 06:00:00,629.0,629.99,616.0403,627.0001,9192.0
AMAT,2026-06-25 06:30:00,626.4474,628.0,621.05,625.0,110739.0
AMAT,2026-06-25 07:00:00,626.13,628.45,624.06,626.09,6538.0
AMAT,2026-06-25 07:30:00,626.4,628.5,626.01,627.69,7648.0
AMAT,2026-06-25 08:00:00,627.11,628.5,626.5,628.5,2021.0
AMAT,2026-06-25 08:30:00,628.5,633.0,628.0,632.0,3849.0
AMAT,2026-06-25 17:00:00,625.56,630.76,621.5,628.5,5750.0
AMAT,2026-06-25 17:30:00,628.5,629.99,626.29,627.9855,1289.0
AMAT,2026-06-25 18:00:00,626.86,628.7488,625.111,625.78,1149.0
AMAT,2026-06-25 18:30:00,625.76,626.5,624.2,624.2,742.0
AMAT,2026-06-25 19:00:00,624.04,630.6272,624.0,629.77,4213.0
AMAT,2026-06-25 19:30:00,629.78,630.99,627.64,629.74,4137.0
AMAT,2026-06-25 20:00:00,630.0,631.99,627.28,628.87,7876.0
AMAT,2026-06-25 20:30:00,629.8267,631.88,627.87,631.0,11402.0
AMAT,2026-06-25 21:00:00,631.0105,633.0,627.01,627.47,38776.0
AMAT,2026-06-25 21:30:00,627.99,635.0,627.87,634.8613,10620.0
AMAT,2026-06-25 22:00:00,634.98,639.51,630.01,639.0,11181.0
AMAT,2026-06-25 22:30:00,637.735,638.31,609.7001,610.99,1813759.0
AMAT,2026-06-25 23:00:00,610.815,628.7099,610.64,623.48,807962.0
AMAT,2026-06-25 23:30:00,623.74,634.9363,623.291,629.46,425486.0
AMAT,2026-06-26 00:00:00,629.92,631.98,626.99,629.81,340078.0
AMAT,2026-06-26 00:30:00,629.81,635.2499,629.58,632.84,325043.0
AMAT,2026-06-26 01:00:00,633.07,651.3899,632.27,649.91,722327.0
