symbol,datetime,open,high,low,close,volume
AMGN,2026-06-22 17:00:00,337.03,337.87,336.1,336.65,67.0
AMGN,2026-06-22 17:30:00,336.64,338.05,336.64,338.05,40.0
AMGN,2026-06-22 18:00:00,338.05,338.05,331.0033,331.0033,4.0
AMGN,2026-06-22 18:30:00,331.0033,338.02,331.0033,335.75,21.0
AMGN,2026-06-22 19:00:00,336.58,336.58,336.58,336.58,102.0
AMGN,2026-06-22 19:30:00,337.0,337.0,337.0,337.0,35.0
AMGN,2026-06-22 20:00:00,338.35,338.99,338.02,338.73,273.0
AMGN,2026-06-22 20:30:00,338.73,338.9704,337.6,338.94,29.0
AMGN,2026-06-22 21:00:00,338.94,338.94,338.75,338.75,21.0
AMGN,2026-06-22 21:30:00,338.75,338.75,338.0001,338.54,54.0
AMGN,2026-06-22 22:00:00,338.55,338.84,335.16,338.84,329.0
AMGN,2026-06-22 22:30:00,337.0,343.61,337.0,342.695,129636.0
AMGN,2026-06-22 23:00:00,342.695,343.09,341.215,341.98,59659.0
AMGN,2026-06-22 23:30:00,341.98,342.82,341.27,342.36,72214.0
AMGN,2026-06-23 00:00:00,342.36,342.75,341.0,341.87,55136.0
AMGN,2026-06-23 00:30:00,341.87,344.375,341.41,344.06,51524.0
AMGN,2026-06-23 01:00:00,344.06,344.98,343.65,344.43,62955.0
AMGN,2026-06-23 01:30:00,344.43,344.87,343.86,344.85,37827.0
AMGN,2026-06-23 02:00:00,344.85,345.11,344.22,344.325,56912.0
AMGN,2026-06-23 02:30:00,344.325,344.42,343.83,344.15,49173.0
AMGN,2026-06-23 03:00:00,344.15,344.57,343.5301,344.2001,64168.0
AMGN,2026-06-23 03:30:00,344.2001,344.46,343.445,343.61,65228.0
AMGN,2026-06-23 04:00:00,343.61,343.8396,342.32,342.73,171270.0
AMGN,2026-06-23 04:30:00,342.73,345.06,342.72,344.65,243988.0
AMGN,2026-06-23 05:00:00,344.72,345.0,342.55,345.0,919779.0
AMGN,2026-06-23 05:30:00,345.0,346.98,344.4,344.4,4.0
AMGN,2026-06-23 06:00:00,344.4,344.72,342.5,343.9,107.0
AMGN,2026-06-23 06:30:00,343.9,348.41,343.9,348.41,5104.0
AMGN,2026-06-23 07:00:00,348.41,349.025,342.5,342.76,19557.0
AMGN,2026-06-23 07:30:00,342.76,342.76,342.5485,342.5485,14.0
AMGN,2026-06-23 08:00:00,343.6999,343.6999,342.5477,342.55,26.0
AMGN,2026-06-23 08:30:00,342.55,343.5,342.5457,343.5,234.0
AMGN,2026-06-23 17:00:00,344.72,351.52,344.72,347.56,689.0
AMGN,2026-06-23 17:30:00,348.1,349.0,348.0,349.0,173.0
AMGN,2026-06-23 18:00:00,348.9,349.05,348.0,348.0,155.0
AMGN,2026-06-23 18:30:00,348.0,348.0,347.0,347.52,77.0
AMGN,2026-06-23 19:00:00,347.52,348.34,347.52,348.34,163.0
AMGN,2026-06-23 20:00:00,347.98,347.98,345.05,345.05,40.0
AMGN,2026-06-23 20:30:00,345.05,347.85,344.72,344.72,31.0
AMGN,2026-06-23 21:00:00,344.72,347.0,343.9851,344.72,393.0
AMGN,2026-06-23 21:30:00,344.72,345.45,344.72,345.45,71.0
AMGN,2026-06-23 22:00:00,345.52,349.82,345.29,348.94,955.0
AMGN,2026-06-23 22:30:00,348.4,349.35,345.585,347.34,135022.0
AMGN,2026-06-23 23:00:00,347.34,349.209,346.93,349.01,70616.0
AMGN,2026-06-23 23:30:00,349.01,349.4,346.9901,347.34,82652.0
AMGN,2026-06-24 00:00:00,347.34,347.455,346.21,347.07,80240.0
AMGN,2026-06-24 00:30:00,347.07,347.83,346.64,347.255,38804.0
AMGN,2026-06-24 01:00:00,347.255,347.8999,347.045,347.43,44467.0
AMGN,2026-06-24 01:30:00,347.43,348.0984,347.27,347.99,41938.0
AMGN,2026-06-24 02:00:00,347.99,348.03,347.335,347.42,44461.0
AMGN,2026-06-24 02:30:00,347.42,347.82,347.31,347.785,40566.0
AMGN,2026-06-24 03:00:00,347.785,347.9099,347.31,347.36,39854.0
AMGN,2026-06-24 03:30:00,347.36,347.68,347.0642,347.455,46976.0
AMGN,2026-06-24 04:00:00,347.455,347.61,346.37,347.04,90793.0
AMGN,2026-06-24 04:30:00,347.04,347.54,346.45,346.81,195219.0
AMGN,2026-06-24 05:00:00,347.01,347.01,345.0,345.0,860976.0
AMGN,2026-06-24 05:30:00,345.0,346.22,345.0,346.22,5073.0
AMGN,2026-06-24 06:00:00,347.01,347.01,346.01,346.01,10459.0
AMGN,2026-06-24 06:30:00,346.01,346.89,346.01,346.89,101455.0
AMGN,2026-06-24 07:00:00,346.89,346.89,346.02,346.02,17.0
AMGN,2026-06-24 07:30:00,346.02,346.64,346.02,346.64,29.0
AMGN,2026-06-24 08:00:00,346.64,346.7,345.0679,345.0679,9.0
AMGN,2026-06-24 08:30:00,345.0679,345.0679,345.0592,345.0592,3.0
AMGN,2026-06-24 17:00:00,345.65,346.0,344.59,344.78,443.0
AMGN,2026-06-24 18:00:00,344.78,345.95,344.78,345.7,44.0
AMGN,2026-06-24 18:30:00,345.7,345.91,345.01,345.67,91.0
AMGN,2026-06-24 19:30:00,345.67,345.67,345.63,345.63,12.0
AMGN,2026-06-24 20:00:00,345.63,346.59,345.51,345.51,9.0
AMGN,2026-06-24 20:30:00,345.51,347.01,345.51,347.01,106.0
AMGN,2026-06-24 21:00:00,347.01,347.01,345.57,346.0,33.0
AMGN,2026-06-24 21:30:00,346.0,346.0,343.98,343.98,206.0
AMGN,2026-06-24 22:00:00,343.98,348.15,343.98,348.15,320.0
AMGN,2026-06-24 22:30:00,346.16,353.1399,346.0,352.745,119651.0
AMGN,2026-06-24 23:00:00,352.745,353.19,351.5,352.09,69481.0
AMGN,2026-06-24 23:30:00,352.09,352.39,351.0,351.79,58649.0
AMGN,2026-06-25 00:00:00,351.79,352.8,350.74,352.21,61353.0
AMGN,2026-06-25 00:30:00,352.21,352.61,351.28,351.46,53169.0
AMGN,2026-06-25 01:00:00,351.46,352.31,351.055,351.86,40867.0
AMGN,2026-06-25 01:30:00,351.86,351.99,350.86,351.34,56398.0
AMGN,2026-06-25 02:00:00,351.34,352.15,351.05,351.07,47396.0
AMGN,2026-06-25 02:30:00,351.07,351.13,350.1207,350.515,60505.0
AMGN,2026-06-25 03:00:00,350.515,351.98,350.505,351.9,57423.0
AMGN,2026-06-25 03:30:00,351.9,353.61,351.895,353.37,54242.0
AMGN,2026-06-25 04:00:00,353.37,354.415,353.345,353.565,74908.0
AMGN,2026-06-25 04:30:00,353.565,353.75,351.33,351.42,236151.0
AMGN,2026-06-25 05:00:00,351.43,354.42,346.31,347.44,901035.0
AMGN,2026-06-25 05:30:00,347.44,350.8202,342.5,345.0,2730.0
AMGN,2026-06-25 06:00:00,345.0,351.43,344.7804,351.43,15712.0
AMGN,2026-06-25 06:30:00,351.43,351.43,345.28,345.94,6852.0
AMGN,2026-06-25 07:00:00,345.94,351.43,344.76,346.75,2261.0
AMGN,2026-06-25 07:30:00,346.75,348.75,346.75,348.75,86.0
AMGN,2026-06-25 08:00:00,346.08,346.47,346.08,346.47,164.0
AMGN,2026-06-25 08:30:00,346.47,349.7044,345.4352,349.7044,7.0
AMGN,2026-06-25 17:00:00,351.43,351.43,348.05,348.06,128.0
AMGN,2026-06-25 17:30:00,349.43,349.43,349.2,349.39,149.0
AMGN,2026-06-25 19:30:00,349.39,349.39,348.59,348.59,50.0
AMGN,2026-06-25 20:00:00,350.37,350.37,345.0,345.0,186.0
AMGN,2026-06-25 20:30:00,345.0,351.43,345.0,348.0,164.0
AMGN,2026-06-25 21:00:00,348.0,349.05,347.2,347.2,101.0
AMGN,2026-06-25 21:30:00,347.2,351.43,347.2,348.0,225.0
AMGN,2026-06-25 22:00:00,348.0,350.82,348.0,350.67,600.0
AMGN,2026-06-25 22:30:00,350.06,357.75,350.06,356.2601,127978.0
AMGN,2026-06-25 23:00:00,356.2601,358.765,355.91,357.93,84705.0
AMGN,2026-06-25 23:30:00,357.93,359.1,356.85,357.425,67163.0
AMGN,2026-06-26 00:00:00,357.425,357.62,356.46,356.54,58608.0
AMGN,2026-06-26 00:30:00,356.555,356.57,355.215,355.86,37156.0
AMGN,2026-06-26 01:00:00,355.94,356.69,355.19,355.19,40385.0
AMGN,2026-06-26 01:30:00,355.19,355.54,354.85,355.36,42456.0
AMGN,2026-06-26 02:00:00,355.36,356.12,355.055,355.86,46365.0
AMGN,2026-06-26 02:30:00,355.86,356.08,355.28,355.825,38836.0
AMGN,2026-06-26 03:00:00,355.825,356.43,354.9701,356.15,46039.0
AMGN,2026-06-26 03:30:00,356.15,356.545,355.14,355.38,46190.0
AMGN,2026-06-26 04:00:00,355.38,355.75,354.39,354.43,59743.0
AMGN,2026-06-26 04:30:00,354.43,354.83,352.3,352.82,351718.0
AMGN,2026-06-26 05:00:00,352.82,355.13,352.82,354.64,805865.0
AMGN,2026-06-26 05:30:00,354.64,354.98,352.82,352.82,219.0
AMGN,2026-06-26 06:00:00,352.82,354.64,352.5287,352.5287,1191.0
AMGN,2026-06-26 06:30:00,352.5287,353.86,348.218,348.218,14143.0
AMGN,2026-06-26 07:00:00,354.57,354.62,352.82,354.54,423.0
AMGN,2026-06-26 07:30:00,354.54,354.54,354.46,354.54,60.0
AMGN,2026-06-26 08:00:00,354.54,354.98,354.5,354.5,29.0
AMGN,2026-06-26 08:30:00,354.5,354.5,353.24,353.24,84.0
AMGN,2026-06-26 17:00:00,356.1495,359.0,356.1495,358.5,76.0
AMGN,2026-06-26 17:30:00,358.5,358.5,355.44,356.81,147.0
AMGN,2026-06-26 18:00:00,356.81,362.58,355.44,355.44,341.0
AMGN,2026-06-26 18:30:00,355.44,357.45,355.44,357.29,77.0
AMGN,2026-06-26 19:00:00,357.29,358.41,357.18,357.3,102.0
AMGN,2026-06-26 19:30:00,357.3,362.18,357.28,359.3767,24.0
AMGN,2026-06-26 20:00:00,356.74,359.43,356.0,357.17,149.0
