symbol,datetime,open,high,low,close,volume
ARM,2026-06-22 17:00:00,435.02,437.4588,427.39,430.5,20639.0
ARM,2026-06-22 17:30:00,430.0,432.6,430.0,430.49,5327.0
ARM,2026-06-22 18:00:00,431.18,432.0,429.58,429.58,3402.0
ARM,2026-06-22 18:30:00,429.44,430.55,428.1,429.8,2959.0
ARM,2026-06-22 19:00:00,430.02,433.3842,429.6,432.53,5578.0
ARM,2026-06-22 19:30:00,430.8858,433.47,430.8858,431.0859,905.0
ARM,2026-06-22 20:00:00,431.01,437.48,431.01,433.76,15027.0
ARM,2026-06-22 20:30:00,433.76,437.0,432.94,434.62,8855.0
ARM,2026-06-22 21:00:00,435.0,437.1,433.78,437.0,12203.0
ARM,2026-06-22 21:30:00,437.1,438.39,433.78,436.37,11515.0
ARM,2026-06-22 22:00:00,436.29,442.0,435.0,441.05,12409.0
ARM,2026-06-22 22:30:00,439.46,444.95,414.6,421.445,1391470.0
ARM,2026-06-22 23:00:00,421.445,422.9999,417.5,419.785,500569.0
ARM,2026-06-22 23:30:00,419.785,421.9214,412.9,413.9,458760.0
ARM,2026-06-23 00:00:00,413.9,414.9999,409.4001,410.5302,522163.0
ARM,2026-06-23 00:30:00,410.5302,411.945,406.0483,407.03,601644.0
ARM,2026-06-23 01:00:00,407.03,409.27,405.1001,407.535,290696.0
ARM,2026-06-23 01:30:00,407.535,409.01,406.0,407.38,239479.0
ARM,2026-06-23 02:00:00,407.38,408.1899,405.29,407.67,169516.0
ARM,2026-06-23 02:30:00,407.67,411.0,407.27,408.4175,185213.0
ARM,2026-06-23 03:00:00,408.4175,409.93,408.2101,408.9895,146630.0
ARM,2026-06-23 03:30:00,408.9895,409.66,402.0,404.58,446889.0
ARM,2026-06-23 04:00:00,404.58,408.88,404.58,407.72,254902.0
ARM,2026-06-23 04:30:00,407.72,408.43,405.47,407.69,565539.0
ARM,2026-06-23 05:00:00,407.69,413.86,406.0,407.89,601772.0
ARM,2026-06-23 05:30:00,408.0333,408.55,407.26,408.5446,6171.0
ARM,2026-06-23 06:00:00,408.55,408.55,407.0,407.52,3571.0
ARM,2026-06-23 06:30:00,407.52,407.79,406.0001,406.8925,13753.0
ARM,2026-06-23 07:00:00,407.0,407.72,405.0,405.0,6998.0
ARM,2026-06-23 07:30:00,405.5,405.972,403.0,404.04,5486.0
ARM,2026-06-23 08:00:00,404.0,405.0,403.5,404.25,4969.0
ARM,2026-06-23 08:30:00,403.617,404.4,403.0,403.9526,8662.0
ARM,2026-06-23 17:00:00,387.0,394.9,375.01,377.05,27690.0
ARM,2026-06-23 17:30:00,375.1548,380.0,375.01,378.5,10522.0
ARM,2026-06-23 18:00:00,378.27,385.0,376.0,383.4,8478.0
ARM,2026-06-23 18:30:00,383.93,385.0,381.0,384.0,4231.0
ARM,2026-06-23 19:00:00,381.88,385.0,379.0,380.68,2657.0
ARM,2026-06-23 19:30:00,379.4,383.0,376.69,380.2,3286.0
ARM,2026-06-23 20:00:00,380.2,384.0,378.2,380.52,18931.0
ARM,2026-06-23 20:30:00,381.85,383.26,379.0,382.53,25596.0
ARM,2026-06-23 21:00:00,382.5,384.0,376.45,379.5,25315.0
ARM,2026-06-23 21:30:00,379.5,380.0,374.0,374.25,31493.0
ARM,2026-06-23 22:00:00,374.25,375.0,365.34,370.0,59659.0
ARM,2026-06-23 22:30:00,368.93,384.71,366.0101,383.6,1614954.0
ARM,2026-06-23 23:00:00,383.6,389.8,376.94,377.745,706379.0
ARM,2026-06-23 23:30:00,377.49,377.63,371.35,372.9359,495629.0
ARM,2026-06-24 00:00:00,373.04,375.38,370.58,371.081,340910.0
ARM,2026-06-24 00:30:00,371.081,373.11,368.08,369.56,312227.0
ARM,2026-06-24 01:00:00,369.56,372.78,368.62,371.5014,323823.0
ARM,2026-06-24 01:30:00,371.5014,372.32,369.075,370.34,215131.0
ARM,2026-06-24 02:00:00,370.34,372.9818,368.3601,372.335,191181.0
ARM,2026-06-24 02:30:00,372.335,372.35,368.54,368.64,195167.0
ARM,2026-06-24 03:00:00,368.64,371.59,367.051,370.77,250088.0
ARM,2026-06-24 03:30:00,370.77,370.77,362.9001,364.42,525463.0
ARM,2026-06-24 04:00:00,364.425,368.93,363.945,368.8269,366681.0
ARM,2026-06-24 04:30:00,368.8269,369.25,364.121,366.39,715376.0
ARM,2026-06-24 05:00:00,366.39,368.4419,364.56,368.1327,876941.0
ARM,2026-06-24 05:30:00,368.1327,368.5,364.56,366.5,16710.0
ARM,2026-06-24 06:00:00,366.02,367.0,365.0,366.8,119873.0
ARM,2026-06-24 06:30:00,366.97,368.0,366.02,367.7,6151.0
ARM,2026-06-24 07:00:00,367.61,370.0,367.16,369.0,3955.0
ARM,2026-06-24 07:30:00,369.0,369.0,366.39,367.41,5442.0
ARM,2026-06-24 08:00:00,367.0,367.5,366.37,367.46,8741.0
ARM,2026-06-24 08:30:00,367.2,367.6,365.1,366.84,7440.0
ARM,2026-06-24 17:00:00,379.06,384.5,367.11,380.14,19403.0
ARM,2026-06-24 17:30:00,380.14,381.17,378.12,378.3,3973.0
ARM,2026-06-24 18:00:00,378.8,379.96,377.19,379.27,4017.0
ARM,2026-06-24 18:30:00,379.27,379.96,377.49,378.0,3046.0
ARM,2026-06-24 19:00:00,378.6,382.8,378.0,381.65,2940.0
ARM,2026-06-24 19:30:00,381.65,382.8,380.02,380.12,3113.0
ARM,2026-06-24 20:00:00,380.75,381.5,375.5,377.0,13298.0
ARM,2026-06-24 20:30:00,377.0,381.63,377.0,381.38,8170.0
ARM,2026-06-24 21:00:00,381.0,382.8,380.21,381.97,13811.0
ARM,2026-06-24 21:30:00,381.5,382.19,377.0,377.9,12229.0
ARM,2026-06-24 22:00:00,377.9,379.0,372.31,372.84,114080.0
ARM,2026-06-24 22:30:00,372.57,374.1,352.23,354.175,886449.0
ARM,2026-06-24 23:00:00,354.175,355.82,346.3,354.875,704542.0
ARM,2026-06-24 23:30:00,354.875,363.15,354.875,360.21,520161.0
ARM,2026-06-25 00:00:00,360.21,361.3799,353.08,355.295,257348.0
ARM,2026-06-25 00:30:00,355.295,357.54,354.0,356.0,179724.0
ARM,2026-06-25 01:00:00,356.0,357.31,353.5017,355.31,198577.0
ARM,2026-06-25 01:30:00,355.31,356.2,351.6701,352.0701,165481.0
ARM,2026-06-25 02:00:00,352.0701,354.0,348.3,349.125,291957.0
ARM,2026-06-25 02:30:00,349.125,350.83,346.9021,348.705,237974.0
ARM,2026-06-25 03:00:00,348.705,353.98,348.2821,353.4,167282.0
ARM,2026-06-25 03:30:00,353.4,353.89,345.33,346.36,342298.0
ARM,2026-06-25 04:00:00,346.36,352.28,344.21,351.87,373034.0
ARM,2026-06-25 04:30:00,351.87,359.29,351.27,359.06,645696.0
ARM,2026-06-25 05:00:00,359.08,377.4,357.0,377.3612,557534.0
ARM,2026-06-25 05:30:00,377.3415,388.47,377.0,383.09,95092.0
ARM,2026-06-25 06:00:00,382.8293,384.0,377.0,383.0,26464.0
ARM,2026-06-25 06:30:00,383.0,384.0,380.0,383.0,25638.0
ARM,2026-06-25 07:00:00,382.38,385.0,380.9724,383.65,12351.0
ARM,2026-06-25 07:30:00,382.2,384.9999,382.2,383.84,8111.0
ARM,2026-06-25 08:00:00,383.8,384.6,381.22,382.464,9785.0
ARM,2026-06-25 08:30:00,382.98,385.0,382.55,384.88,8818.0
ARM,2026-06-25 17:00:00,378.46,384.22,376.3,382.41,25109.0
ARM,2026-06-25 17:30:00,382.03,383.0,379.0,379.35,7856.0
ARM,2026-06-25 18:00:00,379.81,381.0,378.0,379.45,2384.0
ARM,2026-06-25 18:30:00,379.45,380.88,378.1,380.0,1854.0
ARM,2026-06-25 19:00:00,379.86,379.9,377.86,378.81,2384.0
ARM,2026-06-25 19:30:00,378.81,379.9,377.17,378.38,4549.0
