symbol,datetime,open,high,low,close,volume
AXON,2026-06-22 17:00:00,415.0,422.19,415.0,421.4,118.0
AXON,2026-06-22 18:00:00,421.4,421.95,421.4,421.95,14.0
AXON,2026-06-22 18:30:00,421.95,421.95,421.46,421.46,2.0
AXON,2026-06-22 19:00:00,421.46,421.69,421.46,421.69,41.0
AXON,2026-06-22 19:30:00,421.69,421.69,419.3,419.3,224.0
AXON,2026-06-22 20:00:00,421.0,423.4,416.092,420.2,391.0
AXON,2026-06-22 20:30:00,420.2,423.4,417.0,422.23,63.0
AXON,2026-06-22 21:00:00,422.23,422.23,417.0,421.59,27.0
AXON,2026-06-22 21:30:00,421.59,421.59,417.883,420.97,186.0
AXON,2026-06-22 22:00:00,420.97,424.0,417.5,417.55,314.0
AXON,2026-06-22 22:30:00,417.05,418.685,407.39,416.935,46248.0
AXON,2026-06-22 23:00:00,416.935,419.025,405.2,406.125,39800.0
AXON,2026-06-22 23:30:00,406.125,412.41,404.64,410.67,57943.0
AXON,2026-06-23 00:00:00,410.67,413.21,408.68,413.07,26182.0
AXON,2026-06-23 00:30:00,413.07,413.54,410.38,411.0,21078.0
AXON,2026-06-23 01:00:00,411.0,411.14,403.79,404.64,37436.0
AXON,2026-06-23 01:30:00,404.64,408.01,404.64,408.01,27575.0
AXON,2026-06-23 02:00:00,408.01,408.08,404.74,406.5,42979.0
AXON,2026-06-23 02:30:00,406.97,410.01,406.3375,409.87,21628.0
AXON,2026-06-23 03:00:00,410.11,413.94,409.805,412.795,18688.0
AXON,2026-06-23 03:30:00,412.795,413.49,408.64,408.64,29368.0
AXON,2026-06-23 04:00:00,408.64,409.9825,407.55,409.775,26337.0
AXON,2026-06-23 04:30:00,409.75,413.39,409.12,409.86,85820.0
AXON,2026-06-23 05:00:00,410.03,413.0,410.03,410.6,168584.0
AXON,2026-06-23 05:30:00,411.0,414.08,410.03,410.09,122.0
AXON,2026-06-23 06:00:00,410.09,414.08,410.03,410.03,3513.0
AXON,2026-06-23 06:30:00,410.03,413.9999,410.0,411.1,340.0
AXON,2026-06-23 07:00:00,411.1,412.9,409.1,412.9,6717.0
AXON,2026-06-23 07:30:00,410.21,412.9,409.3,412.9,107.0
AXON,2026-06-23 08:00:00,412.9,412.9,408.2639,408.2639,76.0
AXON,2026-06-23 08:30:00,408.2639,410.03,408.0,410.03,13.0
AXON,2026-06-23 17:00:00,410.278,410.62,405.02,406.81,492.0
AXON,2026-06-23 17:30:00,408.02,408.02,406.78,407.77,51.0
AXON,2026-06-23 18:00:00,407.77,408.03,407.77,408.03,1.0
AXON,2026-06-23 18:30:00,408.03,408.03,406.5,406.5,126.0
AXON,2026-06-23 19:00:00,406.6,407.5,406.5,407.18,36.0
AXON,2026-06-23 20:00:00,408.55,410.03,403.0,407.0,278.0
AXON,2026-06-23 20:30:00,407.99,410.0,404.19,407.5,300.0
AXON,2026-06-23 21:00:00,407.5,410.0,405.51,408.74,162.0
AXON,2026-06-23 21:30:00,408.74,409.99,405.25,407.0,207.0
AXON,2026-06-23 22:00:00,407.0,414.0,405.0,414.0,787.0
AXON,2026-06-23 22:30:00,415.0,434.89,414.44,433.98,85179.0
AXON,2026-06-23 23:00:00,433.98,437.0,429.619,435.925,61772.0
AXON,2026-06-23 23:30:00,435.925,437.14,434.27,436.54,42467.0
AXON,2026-06-24 00:00:00,436.54,437.67,431.0,431.88,37452.0
AXON,2026-06-24 00:30:00,431.88,434.42,430.41,434.12,28877.0
