symbol,datetime,open,high,low,close,volume
BKR,2026-06-22 17:00:00,58.01,58.49,57.99,58.44,76.0
BKR,2026-06-22 17:30:00,58.44,58.44,58.18,58.18,6.0
BKR,2026-06-22 18:00:00,58.18,59.0475,58.18,59.0475,17.0
BKR,2026-06-22 18:30:00,59.0475,59.0475,58.48,58.48,300.0
BKR,2026-06-22 19:00:00,58.48,58.48,58.48,58.48,3.0
BKR,2026-06-22 19:30:00,58.48,58.97,58.48,58.48,2.0
BKR,2026-06-22 20:00:00,58.18,58.905,58.18,58.4,33.0
BKR,2026-06-22 20:30:00,58.4,58.41,58.39,58.39,25.0
BKR,2026-06-22 21:00:00,58.39,58.41,57.85,58.4,86.0
BKR,2026-06-22 21:30:00,58.4,58.41,58.0,58.41,473.0
BKR,2026-06-22 22:00:00,58.41,58.48,57.93,58.48,1216.0
BKR,2026-06-22 22:30:00,58.9599,59.005,57.58,57.765,552565.0
BKR,2026-06-22 23:00:00,57.765,58.12,57.62,58.04,251271.0
BKR,2026-06-22 23:30:00,58.04,58.36,58.03,58.22,298040.0
BKR,2026-06-23 00:00:00,58.22,58.26,58.02,58.255,193564.0
BKR,2026-06-23 00:30:00,58.255,58.33,57.59,57.6,323825.0
BKR,2026-06-23 01:00:00,57.62,58.44,57.495,58.405,533564.0
BKR,2026-06-23 01:30:00,58.405,58.65,58.405,58.52,152213.0
BKR,2026-06-23 02:00:00,58.52,58.59,58.35,58.39,112352.0
BKR,2026-06-23 02:30:00,58.39,58.44,58.3,58.3,117742.0
BKR,2026-06-23 03:00:00,58.3,58.49,58.28,58.49,124459.0
BKR,2026-06-23 03:30:00,58.49,58.605,58.49,58.56,146471.0
BKR,2026-06-23 04:00:00,58.56,58.845,58.525,58.775,307929.0
BKR,2026-06-23 04:30:00,58.775,59.42,58.775,59.12,881565.0
BKR,2026-06-23 05:00:00,59.15,59.68,59.15,59.15,2490662.0
BKR,2026-06-23 05:30:00,59.15,59.16,59.15,59.16,15.0
BKR,2026-06-23 06:00:00,59.16,59.16,59.16,59.16,4.0
BKR,2026-06-23 06:30:00,59.16,59.68,59.15,59.16,1762.0
BKR,2026-06-23 07:00:00,59.16,59.68,59.15,59.68,76569.0
BKR,2026-06-23 07:30:00,59.68,59.68,59.15,59.2189,21.0
BKR,2026-06-23 08:00:00,59.2189,59.59,59.2189,59.59,1.0
BKR,2026-06-23 08:30:00,59.59,59.59,59.15,59.15,10.0
BKR,2026-06-23 17:00:00,59.1,59.49,59.1,59.46,146.0
BKR,2026-06-23 17:30:00,59.46,59.46,59.09,59.1,1188.0
BKR,2026-06-23 18:00:00,59.1,59.18,59.1,59.18,210.0
BKR,2026-06-23 19:30:00,59.18,59.18,59.12,59.15,234.0
BKR,2026-06-23 20:00:00,58.95,59.15,57.8548,57.8548,1936.0
BKR,2026-06-23 20:30:00,57.8548,59.15,57.8548,59.15,19.0
BKR,2026-06-23 21:00:00,59.15,59.15,58.0,58.97,6.0
BKR,2026-06-23 21:30:00,58.97,58.97,58.9,58.9,1.0
BKR,2026-06-23 22:00:00,58.9,62.56,58.1,58.86,1587.0
BKR,2026-06-23 22:30:00,58.55,58.91,58.23,58.775,327564.0
BKR,2026-06-23 23:00:00,58.775,58.88,58.48,58.72,282391.0
BKR,2026-06-23 23:30:00,58.72,58.83,58.55,58.8,149587.0
BKR,2026-06-24 00:00:00,58.8,59.09,58.8,58.85,245383.0
BKR,2026-06-24 00:30:00,58.85,59.0,58.695,58.94,230221.0
BKR,2026-06-24 01:00:00,58.94,59.225,58.93,59.14,165177.0
BKR,2026-06-24 01:30:00,59.14,59.21,59.09,59.14,110296.0
BKR,2026-06-24 02:00:00,59.14,59.33,59.1399,59.25,161348.0
BKR,2026-06-24 02:30:00,59.25,59.27,59.02,59.085,139123.0
BKR,2026-06-24 03:00:00,59.085,59.11,58.89,58.92,155720.0
BKR,2026-06-24 03:30:00,58.92,58.98,58.82,58.835,133872.0
BKR,2026-06-24 04:00:00,58.835,58.92,58.76,58.86,174276.0
BKR,2026-06-24 04:30:00,58.86,58.915,58.625,58.675,807064.0
BKR,2026-06-24 05:00:00,58.68,58.81,58.68,58.77,1704584.0
BKR,2026-06-24 05:30:00,58.77,59.35,56.64,56.64,56.0
BKR,2026-06-24 06:00:00,58.68,58.68,58.68,58.68,196.0
BKR,2026-06-24 06:30:00,58.68,58.78,58.68,58.78,72110.0
BKR,2026-06-24 07:30:00,58.78,58.78,58.75,58.76,90.0
BKR,2026-06-24 08:00:00,58.76,59.33,58.76,59.32,85.0
BKR,2026-06-24 08:30:00,58.78,58.78,58.76,58.76,150.0
BKR,2026-06-24 17:00:00,59.5488,59.5488,58.38,58.83,481.0
BKR,2026-06-24 17:30:00,58.83,58.83,58.78,58.78,1.0
BKR,2026-06-24 18:00:00,58.78,58.78,58.42,58.42,329.0
BKR,2026-06-24 19:00:00,58.42,58.68,57.54,58.07,5842.0
BKR,2026-06-24 20:00:00,58.07,58.07,58.07,58.07,1.0
BKR,2026-06-24 20:30:00,58.07,58.52,57.97,57.97,6125.0
BKR,2026-06-24 21:00:00,57.97,58.28,57.97,58.079,52.0
BKR,2026-06-24 21:30:00,58.079,64.22,58.0695,64.22,28.0
BKR,2026-06-24 22:00:00,64.22,64.22,57.06,57.51,10857.0
BKR,2026-06-24 22:30:00,57.03,57.465,56.56,57.11,601352.0
BKR,2026-06-24 23:00:00,57.11,57.32,56.33,56.33,347250.0
BKR,2026-06-24 23:30:00,56.355,56.39,55.92,56.025,429505.0
BKR,2026-06-25 00:00:00,56.025,56.14,55.56,55.9101,809772.0
BKR,2026-06-25 00:30:00,55.92,56.26,55.86,56.0,319448.0
BKR,2026-06-25 01:00:00,56.0,56.03,55.84,55.9,521832.0
BKR,2026-06-25 01:30:00,55.9,56.084,55.83,56.03,417792.0
BKR,2026-06-25 02:00:00,56.03,56.115,55.76,55.76,273321.0
BKR,2026-06-25 02:30:00,55.76,56.025,55.635,55.91,302494.0
BKR,2026-06-25 03:00:00,55.91,56.145,55.88,56.089,308892.0
BKR,2026-06-25 03:30:00,56.089,56.12,55.955,56.08,215920.0
BKR,2026-06-25 04:00:00,56.08,56.29,56.07,56.275,406132.0
BKR,2026-06-25 04:30:00,56.275,56.555,56.13,56.37,1373262.0
BKR,2026-06-25 05:00:00,56.38,56.63,56.023,56.09,2703106.0
BKR,2026-06-25 05:30:00,56.09,56.38,56.09,56.1107,7612.0
BKR,2026-06-25 06:00:00,56.1107,56.13,56.11,56.13,21.0
BKR,2026-06-25 06:30:00,56.13,56.38,56.1098,56.12,300660.0
BKR,2026-06-25 07:00:00,56.15,56.38,56.1,56.29,2439.0
BKR,2026-06-25 07:30:00,56.29,56.29,56.1,56.1,30.0
BKR,2026-06-25 08:00:00,56.1,56.35,56.1,56.35,201.0
BKR,2026-06-25 08:30:00,56.35,56.35,56.17,56.17,17.0
BKR,2026-06-25 17:00:00,56.38,56.38,56.0,56.2,189.0
BKR,2026-06-25 17:30:00,56.2,56.2,55.6543,55.6543,4.0
BKR,2026-06-25 18:00:00,55.6543,55.6543,55.65,55.65,8.0
BKR,2026-06-25 19:30:00,56.11,56.11,56.01,56.01,140.0
BKR,2026-06-25 20:00:00,56.01,56.25,56.01,56.1631,520795.0
BKR,2026-06-25 20:30:00,56.1631,56.38,56.05,56.05,9.0
BKR,2026-06-25 21:00:00,56.05,56.8156,56.05,56.1,70.0
BKR,2026-06-25 21:30:00,56.1,56.11,56.1,56.11,30.0
BKR,2026-06-25 22:00:00,56.11,56.85,55.85,55.93,3404.0
BKR,2026-06-25 22:30:00,56.21,56.395,55.685,56.3655,598892.0
BKR,2026-06-25 23:00:00,56.3655,56.68,56.3,56.56,322643.0
BKR,2026-06-25 23:30:00,56.56,56.92,56.5559,56.91,452360.0
BKR,2026-06-26 00:00:00,56.91,57.57,56.81,57.425,779485.0
BKR,2026-06-26 00:30:00,57.425,57.56,57.37,57.515,602315.0
BKR,2026-06-26 01:00:00,57.515,57.78,57.46,57.78,265377.0
BKR,2026-06-26 01:30:00,57.78,57.805,57.46,57.465,187777.0
BKR,2026-06-26 02:00:00,57.465,57.655,57.22,57.24,354051.0
BKR,2026-06-26 02:30:00,57.24,57.44,56.96,57.13,500724.0
BKR,2026-06-26 03:00:00,57.13,57.28,57.04,57.225,244217.0
BKR,2026-06-26 03:30:00,57.225,57.3,57.155,57.25,223477.0
