symbol,datetime,open,high,low,close,volume
CHTR,2026-06-22 17:00:00,124.9612,127.1,124.9612,126.0,617.0
CHTR,2026-06-22 17:30:00,127.63,127.63,126.51,127.0,12.0
CHTR,2026-06-22 18:00:00,127.0,129.0,126.8,126.8,6.0
CHTR,2026-06-22 20:00:00,126.8,127.07,126.8,127.0,16.0
CHTR,2026-06-22 20:30:00,127.0,127.0,126.23,127.0,170.0
CHTR,2026-06-22 21:00:00,126.2,126.54,126.11,126.54,203.0
CHTR,2026-06-22 21:30:00,126.54,126.95,126.4,126.5,667.0
CHTR,2026-06-22 22:00:00,126.5,126.95,124.0,124.38,777.0
CHTR,2026-06-22 22:30:00,124.39,128.658,124.28,128.585,241809.0
CHTR,2026-06-22 23:00:00,128.585,128.77,126.8,127.27,107028.0
CHTR,2026-06-22 23:30:00,127.27,128.1,126.67,127.09,139035.0
CHTR,2026-06-23 00:00:00,127.09,127.1999,125.93,126.76,148196.0
CHTR,2026-06-23 00:30:00,126.76,127.395,126.43,127.11,87427.0
CHTR,2026-06-23 01:00:00,127.11,127.15,126.24,126.31,85544.0
CHTR,2026-06-23 01:30:00,126.31,126.52,126.07,126.447,65041.0
CHTR,2026-06-23 02:00:00,126.447,126.525,125.33,125.4519,155944.0
CHTR,2026-06-23 02:30:00,125.4519,126.56,125.14,126.44,132449.0
CHTR,2026-06-23 03:00:00,126.44,127.389,126.44,127.28,77102.0
CHTR,2026-06-23 03:30:00,127.28,128.015,127.09,127.85,132883.0
CHTR,2026-06-23 04:00:00,127.85,128.3,126.86,127.0,121669.0
CHTR,2026-06-23 04:30:00,127.0,127.2,125.47,125.57,426881.0
CHTR,2026-06-23 05:00:00,125.54,127.5,125.54,126.0,556084.0
CHTR,2026-06-23 05:30:00,126.0,126.4,125.54,126.4,1051.0
CHTR,2026-06-23 06:00:00,126.4,126.4,125.67,125.67,150.0
CHTR,2026-06-23 06:30:00,125.67,125.925,125.64,125.925,29.0
CHTR,2026-06-23 07:00:00,125.7,126.4,125.54,126.4,6624.0
CHTR,2026-06-23 07:30:00,126.4,126.4,126.34,126.34,3.0
CHTR,2026-06-23 08:00:00,125.71,126.0,125.49,126.0,22.0
CHTR,2026-06-23 08:30:00,126.0,126.24,125.55,126.0,40.0
CHTR,2026-06-23 17:00:00,125.54,125.71,125.3,125.55,293.0
CHTR,2026-06-23 17:30:00,125.55,126.0,125.55,126.0,65.0
CHTR,2026-06-23 18:00:00,126.0,126.02,125.76,125.9,835.0
CHTR,2026-06-23 19:00:00,125.9,126.03,125.9,126.0,41.0
CHTR,2026-06-23 20:00:00,125.9,126.0,125.9,126.0,192.0
CHTR,2026-06-23 20:30:00,126.0,126.0,126.0,126.0,314.0
CHTR,2026-06-23 21:00:00,126.0,127.495,126.0,126.0,2.0
CHTR,2026-06-23 21:30:00,126.0,128.52,126.0,126.6,972.0
CHTR,2026-06-23 22:00:00,126.6,127.7,126.0,126.09,28.0
CHTR,2026-06-23 22:30:00,126.15,127.26,124.8,127.08,144966.0
CHTR,2026-06-23 23:00:00,127.08,128.29,125.6,128.085,93225.0
