symbol,datetime,open,high,low,close,volume
CMCSA,2026-06-22 17:00:00,22.55,22.55,22.42,22.42,520.0
CMCSA,2026-06-22 17:30:00,22.49,22.49,22.41,22.41,4924.0
CMCSA,2026-06-22 18:00:00,22.41,22.47,22.41,22.42,19.0
CMCSA,2026-06-22 18:30:00,22.42,22.49,22.42,22.45,3417.0
CMCSA,2026-06-22 19:00:00,22.45,22.4669,22.43,22.44,868.0
CMCSA,2026-06-22 19:30:00,22.42,22.45,22.39,22.39,5284.0
CMCSA,2026-06-22 20:00:00,22.48,22.62,22.3669,22.3987,4237.0
CMCSA,2026-06-22 20:30:00,22.45,22.5,22.3501,22.44,8407.0
CMCSA,2026-06-22 21:00:00,22.44,22.735,22.42,22.42,475.0
CMCSA,2026-06-22 21:30:00,22.42,22.5,22.42,22.5,6475.0
CMCSA,2026-06-22 22:00:00,22.5,22.5,22.14,22.15,23539.0
CMCSA,2026-06-22 22:30:00,22.245,22.6,22.13,22.53,1666958.0
CMCSA,2026-06-22 23:00:00,22.53,22.595,22.4541,22.5,1159472.0
CMCSA,2026-06-22 23:30:00,22.5,22.54,22.4,22.51,1268283.0
CMCSA,2026-06-23 00:00:00,22.52,22.555,22.325,22.485,1408395.0
CMCSA,2026-06-23 00:30:00,22.485,22.49,22.38,22.41,861586.0
CMCSA,2026-06-23 01:00:00,22.41,22.5,22.3703,22.38,5341329.0
CMCSA,2026-06-23 01:30:00,22.38,22.42,22.335,22.345,693743.0
CMCSA,2026-06-23 02:00:00,22.345,22.39,22.32,22.325,1378494.0
CMCSA,2026-06-23 02:30:00,22.325,22.36,22.25,22.3328,1123293.0
CMCSA,2026-06-23 03:00:00,22.3328,22.44,22.33,22.385,1240755.0
CMCSA,2026-06-23 03:30:00,22.385,22.44,22.365,22.415,925919.0
CMCSA,2026-06-23 04:00:00,22.415,22.43,22.33,22.335,1583095.0
CMCSA,2026-06-23 04:30:00,22.33,22.46,22.27,22.31,4216279.0
CMCSA,2026-06-23 05:00:00,22.32,22.5,22.25,22.33,13032178.0
