symbol,datetime,open,high,low,close,volume
COST,2026-06-22 17:00:00,950.5,953.9492,950.0,950.6628,743.0
COST,2026-06-22 17:30:00,950.0,951.63,950.0,950.5,133.0
COST,2026-06-22 18:00:00,950.5,952.25,950.5,952.25,39.0
COST,2026-06-22 18:30:00,952.25,953.8109,951.0,951.0,3.0
COST,2026-06-22 19:00:00,951.0,953.8009,950.0,950.2481,21.0
COST,2026-06-22 19:30:00,950.0,951.0,948.0,948.85,80.0
COST,2026-06-22 20:00:00,950.0,951.0,948.0,949.95,749.0
COST,2026-06-22 20:30:00,949.95,951.45,948.89,950.0,277.0
COST,2026-06-22 21:00:00,950.3,950.605,949.0,950.27,190.0
COST,2026-06-22 21:30:00,950.0,951.63,949.18,951.45,202.0
COST,2026-06-22 22:00:00,949.88,951.95,945.8,946.6,1205.0
COST,2026-06-22 22:30:00,945.38,956.23,942.53,943.2675,172066.0
COST,2026-06-22 23:00:00,943.2675,950.89,943.0,947.555,139162.0
COST,2026-06-22 23:30:00,947.555,951.02,943.37,948.79,72218.0
COST,2026-06-23 00:00:00,948.79,952.01,948.79,950.5,48574.0
COST,2026-06-23 00:30:00,950.5,951.9299,949.27,951.455,72960.0
COST,2026-06-23 01:00:00,951.455,951.6809,949.085,949.84,61633.0
COST,2026-06-23 01:30:00,949.84,951.555,948.0,950.05,40356.0
COST,2026-06-23 02:00:00,950.05,950.86,949.0,949.03,36447.0
COST,2026-06-23 02:30:00,949.03,950.4899,948.12,948.67,41196.0
COST,2026-06-23 03:00:00,948.67,949.1122,946.9,947.7521,68268.0
COST,2026-06-23 03:30:00,947.7521,948.84,947.31,948.61,42759.0
COST,2026-06-23 04:00:00,948.61,949.28,948.16,948.44,59835.0
COST,2026-06-23 04:30:00,948.44,952.74,948.43,951.03,204351.0
COST,2026-06-23 05:00:00,951.35,951.35,946.0,949.8,649993.0
COST,2026-06-23 05:30:00,949.8,951.0,949.01,951.0,73.0
COST,2026-06-23 06:00:00,951.0,951.0,950.0,950.0,74.0
COST,2026-06-23 06:30:00,950.0,951.35,950.0,950.87,2610.0
COST,2026-06-23 07:00:00,950.87,951.35,950.0,950.18,29162.0
COST,2026-06-23 07:30:00,950.0394,950.5,950.0,950.0,115.0
COST,2026-06-23 08:00:00,950.0,951.0,950.0,950.5,29.0
COST,2026-06-23 08:30:00,951.0,951.0,950.0,950.99,230.0
COST,2026-06-23 17:00:00,954.8812,965.0,951.35,961.58,1463.0
COST,2026-06-23 17:30:00,961.56,962.775,958.97,961.56,69.0
COST,2026-06-23 18:00:00,961.56,961.56,955.0,959.1545,177.0
COST,2026-06-23 18:30:00,959.1545,959.4,958.54,959.4,10.0
COST,2026-06-23 19:00:00,958.54,960.0,958.54,960.0,841.0
COST,2026-06-23 19:30:00,960.0,961.96,959.5,961.96,93.0
COST,2026-06-23 20:00:00,958.56,959.98,950.27,958.0,2372.0
COST,2026-06-23 20:30:00,958.045,958.73,951.35,955.56,1798.0
COST,2026-06-23 21:00:00,955.56,958.0,948.765,957.1534,3356.0
COST,2026-06-23 21:30:00,957.5,958.89,951.35,957.41,54541.0
COST,2026-06-23 22:00:00,957.49,967.56,957.0,966.56,3872.0
COST,2026-06-23 22:30:00,968.0,968.0,955.99,958.58,200422.0
COST,2026-06-23 23:00:00,959.0,959.08,953.485,956.49,101168.0
COST,2026-06-23 23:30:00,956.49,961.99,955.75,961.36,77052.0
COST,2026-06-24 00:00:00,961.36,966.2,959.82,964.775,106468.0
COST,2026-06-24 00:30:00,964.775,966.26,962.76,964.79,58528.0
COST,2026-06-24 01:00:00,964.79,965.4,960.51,962.42,53205.0
COST,2026-06-24 01:30:00,962.42,962.71,960.5151,960.735,38999.0
COST,2026-06-24 02:00:00,960.735,962.42,960.45,961.68,45346.0
COST,2026-06-24 02:30:00,961.68,963.01,961.13,962.285,47508.0
COST,2026-06-24 03:00:00,962.285,962.77,960.2,960.77,46507.0
COST,2026-06-24 03:30:00,960.77,961.53,958.63,958.81,72192.0
COST,2026-06-24 04:00:00,958.81,959.445,956.54,957.61,77235.0
COST,2026-06-24 04:30:00,957.61,960.29,956.16,957.47,241022.0
COST,2026-06-24 05:00:00,960.725,962.0,955.0,957.0,673354.0
COST,2026-06-24 05:30:00,957.0,958.0,957.0,957.99,590.0
COST,2026-06-24 06:00:00,957.68,958.0,957.3,957.93,61569.0
COST,2026-06-24 06:30:00,957.93,957.99,955.0,956.71,240978.0
COST,2026-06-24 07:00:00,958.0,958.0,956.06,956.06,295.0
COST,2026-06-24 07:30:00,956.06,958.0,955.0,955.1,288.0
COST,2026-06-24 08:00:00,957.623,958.0,955.1,956.55,80.0
COST,2026-06-24 08:30:00,956.55,958.0,955.1,957.623,52.0
COST,2026-06-24 17:00:00,957.4715,957.4715,954.2,954.2,427.0
COST,2026-06-24 17:30:00,954.2,954.9,953.91,954.71,40.0
COST,2026-06-24 18:00:00,954.71,961.0,954.71,961.0,1.0
COST,2026-06-24 18:30:00,961.0,961.0,954.0,954.02,41.0
COST,2026-06-24 19:00:00,954.02,954.02,951.8775,951.8775,1.0
COST,2026-06-24 19:30:00,953.0,954.0,952.0,954.0,5.0
COST,2026-06-24 20:00:00,955.56,959.22,954.0,956.5,283.0
COST,2026-06-24 20:30:00,956.0,958.0,955.0,955.5,249.0
COST,2026-06-24 21:00:00,955.5,958.0,955.0,955.6,49.0
COST,2026-06-24 21:30:00,955.6,958.0,954.07,954.07,290.0
COST,2026-06-24 22:00:00,955.87,962.08,955.0,962.08,466.0
COST,2026-06-24 22:30:00,959.105,967.94,959.105,962.17,110214.0
COST,2026-06-24 23:00:00,962.17,964.99,960.15,960.46,67231.0
COST,2026-06-24 23:30:00,960.46,962.12,957.33,960.355,68551.0
COST,2026-06-25 00:00:00,960.355,965.99,960.0001,965.26,78305.0
COST,2026-06-25 00:30:00,965.26,965.8,960.091,960.225,46130.0
COST,2026-06-25 01:00:00,960.225,962.63,959.3427,961.11,52505.0
COST,2026-06-25 01:30:00,961.11,961.925,958.46,959.65,39688.0
COST,2026-06-25 02:00:00,959.65,962.13,958.9,959.35,39739.0
COST,2026-06-25 02:30:00,959.35,959.8,957.0,959.44,41649.0
COST,2026-06-25 03:00:00,959.25,962.72,959.25,962.7122,51383.0
COST,2026-06-25 03:30:00,962.7122,965.79,962.41,963.8,55017.0
COST,2026-06-25 04:00:00,963.8,965.065,961.0,961.1707,62023.0
COST,2026-06-25 04:30:00,961.1707,961.95,958.75,960.95,169649.0
COST,2026-06-25 05:00:00,961.09,962.85,955.0,955.02,691525.0
COST,2026-06-25 05:30:00,960.19,960.19,955.0,957.15,6752.0
COST,2026-06-25 06:00:00,957.55,960.29,956.7,957.2,1204.0
COST,2026-06-25 06:30:00,957.95,960.0,956.7,957.02,65638.0
COST,2026-06-25 07:00:00,957.02,961.09,956.04,957.75,1421.0
COST,2026-06-25 07:30:00,957.75,961.09,955.5,956.1,1365.0
COST,2026-06-25 08:00:00,958.0,958.0,956.0,958.0,89.0
COST,2026-06-25 08:30:00,958.0,958.0,956.0,957.0,321.0
COST,2026-06-25 17:00:00,962.5988,962.5988,955.1903,956.95,188.0
COST,2026-06-25 17:30:00,956.97,956.97,956.6308,956.6308,2.0
COST,2026-06-25 18:00:00,956.6308,958.55,956.48,956.48,46.0
COST,2026-06-25 18:30:00,956.48,957.35,955.56,957.35,3.0
COST,2026-06-25 19:00:00,957.35,957.35,956.0,956.4775,31.0
COST,2026-06-25 19:30:00,956.4942,956.4942,955.0,955.0001,81.0
COST,2026-06-25 20:00:00,956.56,959.0,951.9,952.0,947.0
COST,2026-06-25 20:30:00,952.0,961.09,952.0,953.1,248.0
COST,2026-06-25 21:00:00,953.48,963.2616,952.0,953.56,43079.0
COST,2026-06-25 21:30:00,953.56,961.09,953.3,955.7085,554.0
COST,2026-06-25 22:00:00,953.51,953.78,948.56,949.51,1717.0
COST,2026-06-25 22:30:00,950.12,954.95,946.02,951.795,139092.0
COST,2026-06-25 23:00:00,951.795,955.75,947.37,947.82,122793.0
COST,2026-06-25 23:30:00,947.82,947.82,941.26,942.69,161470.0
COST,2026-06-26 00:00:00,942.69,949.8099,942.11,949.8099,80954.0
COST,2026-06-26 00:30:00,949.8099,950.335,946.59,947.53,50806.0
COST,2026-06-26 01:00:00,947.82,947.89,942.76,943.4,79562.0
COST,2026-06-26 01:30:00,943.4,944.2099,938.685,939.975,82359.0
