symbol,datetime,open,high,low,close,volume
CPRT,2026-06-22 17:00:00,30.23,30.23,30.11,30.11,73.0
CPRT,2026-06-22 17:30:00,30.11,30.11,30.06,30.06,175.0
CPRT,2026-06-22 18:00:00,30.06,30.18,30.06,30.18,7.0
CPRT,2026-06-22 19:00:00,30.18,30.18,30.1,30.1,1.0
CPRT,2026-06-22 20:00:00,30.18,30.18,30.0321,30.0321,161.0
CPRT,2026-06-22 20:30:00,30.0321,30.064,30.0321,30.06,39.0
CPRT,2026-06-22 21:00:00,30.06,30.18,30.02,30.0458,534.0
CPRT,2026-06-22 21:30:00,30.0458,30.05,30.0458,30.05,60.0
CPRT,2026-06-22 22:00:00,30.05,30.27,29.83,29.87,10969.0
CPRT,2026-06-22 22:30:00,29.808,29.91,29.475,29.74,603263.0
CPRT,2026-06-22 23:00:00,29.74,29.825,29.635,29.73,464106.0
CPRT,2026-06-22 23:30:00,29.73,29.765,29.565,29.59,404316.0
CPRT,2026-06-23 00:00:00,29.59,29.7,29.525,29.68,262685.0
CPRT,2026-06-23 00:30:00,29.68,29.68,29.58,29.6045,274647.0
CPRT,2026-06-23 01:00:00,29.6045,29.61,29.46,29.5,186889.0
CPRT,2026-06-23 01:30:00,29.5,29.585,29.49,29.5754,225633.0
CPRT,2026-06-23 02:00:00,29.5754,29.585,29.485,29.505,328927.0
CPRT,2026-06-23 02:30:00,29.505,29.575,29.48,29.565,431309.0
CPRT,2026-06-23 03:00:00,29.565,29.595,29.525,29.575,465717.0
CPRT,2026-06-23 03:30:00,29.575,29.595,29.505,29.5201,295860.0
CPRT,2026-06-23 04:00:00,29.5201,29.63,29.5,29.6,368840.0
CPRT,2026-06-23 04:30:00,29.6,29.65,29.42,29.45,1276530.0
CPRT,2026-06-23 05:00:00,29.48,29.99,29.48,29.52,3958461.0
CPRT,2026-06-23 05:30:00,29.52,30.0542,29.5,30.0542,124.0
CPRT,2026-06-23 06:00:00,30.0542,30.0542,29.48,29.48,291.0
CPRT,2026-06-23 06:30:00,29.48,29.85,29.48,29.5535,3425.0
CPRT,2026-06-23 07:00:00,29.52,29.52,29.48,29.48,27199.0
CPRT,2026-06-23 07:30:00,29.48,30.0,29.48,29.79,38.0
CPRT,2026-06-23 08:00:00,29.79,29.79,29.48,29.48,30.0
CPRT,2026-06-23 17:00:00,29.5,29.6,29.48,29.5,165.0
CPRT,2026-06-23 19:00:00,29.5,30.0,29.5,30.0,3.0
CPRT,2026-06-23 20:00:00,30.0,30.0,29.5,29.8889,64.0
CPRT,2026-06-23 21:00:00,29.8889,29.8889,29.61,29.61,4.0
CPRT,2026-06-23 21:30:00,29.55,30.0,29.55,30.0,150.0
CPRT,2026-06-23 22:00:00,30.0,33.25,29.55,29.98,2095.0
CPRT,2026-06-23 22:30:00,29.62,30.06,29.62,29.7,406664.0
CPRT,2026-06-23 23:00:00,29.7,29.715,29.585,29.65,292067.0
CPRT,2026-06-23 23:30:00,29.64,29.77,29.605,29.685,264622.0
CPRT,2026-06-24 00:00:00,29.685,29.765,29.62,29.64,211874.0
CPRT,2026-06-24 00:30:00,29.64,29.65,29.55,29.588,361234.0
CPRT,2026-06-24 01:00:00,29.59,29.745,29.585,29.705,182343.0
CPRT,2026-06-24 01:30:00,29.705,29.77,29.645,29.685,212407.0
CPRT,2026-06-24 02:00:00,29.685,29.715,29.595,29.625,268419.0
CPRT,2026-06-24 02:30:00,29.625,29.635,29.52,29.575,307088.0
CPRT,2026-06-24 03:00:00,29.575,29.63,29.525,29.595,355640.0
CPRT,2026-06-24 03:30:00,29.595,29.62,29.585,29.615,258080.0
CPRT,2026-06-24 04:00:00,29.61,29.725,29.595,29.675,403627.0
CPRT,2026-06-24 04:30:00,29.675,29.765,29.6,29.61,969872.0
CPRT,2026-06-24 05:00:00,29.6,29.87,29.52,29.87,3232545.0
CPRT,2026-06-24 05:30:00,29.87,30.036,29.79,30.036,39269.0
CPRT,2026-06-24 06:00:00,29.6,29.77,29.6,29.77,177.0
CPRT,2026-06-24 06:30:00,29.77,30.0,29.6,29.6,87697.0
CPRT,2026-06-24 08:00:00,29.6,29.63,29.6,29.63,1.0
CPRT,2026-06-24 17:00:00,29.6,29.68,29.54,29.68,261.0
CPRT,2026-06-24 17:30:00,29.68,29.68,29.5,29.51,301.0
CPRT,2026-06-24 20:00:00,29.51,29.51,29.5,29.5,240.0
CPRT,2026-06-24 20:30:00,29.5,29.5,29.5,29.5,824.0
CPRT,2026-06-24 21:00:00,29.5,30.01,29.5,29.6,105.0
CPRT,2026-06-24 22:00:00,29.6,29.71,29.25,29.71,236833.0
CPRT,2026-06-24 22:30:00,29.82,30.47,29.8,30.38,560197.0
CPRT,2026-06-24 23:00:00,30.39,30.5,30.235,30.3,549519.0
CPRT,2026-06-24 23:30:00,30.3,30.36,30.125,30.34,561869.0
CPRT,2026-06-25 00:00:00,30.34,30.6099,30.34,30.525,397489.0
CPRT,2026-06-25 00:30:00,30.525,30.54,30.405,30.425,232986.0
CPRT,2026-06-25 01:00:00,30.425,30.495,30.415,30.435,184782.0
CPRT,2026-06-25 01:30:00,30.435,30.45,30.305,30.33,227898.0
CPRT,2026-06-25 02:00:00,30.33,30.36,30.25,30.265,230352.0
CPRT,2026-06-25 02:30:00,30.265,30.275,30.215,30.255,265374.0
CPRT,2026-06-25 03:00:00,30.255,30.45,30.255,30.445,380749.0
CPRT,2026-06-25 03:30:00,30.445,30.475,30.425,30.465,244631.0
CPRT,2026-06-25 04:00:00,30.465,30.525,30.41,30.425,386347.0
CPRT,2026-06-25 04:30:00,30.425,30.545,30.37,30.39,968076.0
CPRT,2026-06-25 05:00:00,30.4,30.6,30.01,30.01,1653378.0
CPRT,2026-06-25 05:30:00,30.01,30.38,30.01,30.01,12.0
CPRT,2026-06-25 06:00:00,30.01,30.4,30.01,30.4,18304.0
CPRT,2026-06-25 06:30:00,30.4,30.4,30.21,30.21,6.0
CPRT,2026-06-25 07:00:00,30.13,30.4,30.08,30.08,92939.0
CPRT,2026-06-25 07:30:00,30.08,30.08,30.0,30.01,180.0
CPRT,2026-06-25 08:00:00,30.01,30.1,29.8245,29.8245,85.0
CPRT,2026-06-25 08:30:00,29.8245,30.01,29.79,30.01,1083.0
CPRT,2026-06-25 17:00:00,30.01,30.22,30.01,30.22,21.0
CPRT,2026-06-25 19:00:00,30.22,30.29,30.22,30.29,25.0
CPRT,2026-06-25 20:00:00,30.2,30.2,30.19,30.19,200.0
CPRT,2026-06-25 20:30:00,30.19,30.3,30.19,30.3,42.0
CPRT,2026-06-25 21:00:00,30.3,30.3,30.0,30.0,10.0
CPRT,2026-06-25 21:30:00,30.0,30.4,30.0,30.4,22.0
CPRT,2026-06-25 22:00:00,30.4,30.4,30.0,30.0,12521.0
CPRT,2026-06-25 22:30:00,30.15,30.73,30.13,30.68,337663.0
CPRT,2026-06-25 23:00:00,30.69,30.93,30.66,30.73,336843.0
CPRT,2026-06-25 23:30:00,30.73,30.73,30.36,30.36,265273.0
CPRT,2026-06-26 00:00:00,30.36,30.39,30.22,30.39,197134.0
CPRT,2026-06-26 00:30:00,30.39,30.45,30.355,30.37,162473.0
CPRT,2026-06-26 01:00:00,30.375,30.385,30.2607,30.28,336700.0
CPRT,2026-06-26 01:30:00,30.28,30.355,30.28,30.315,184930.0
CPRT,2026-06-26 02:00:00,30.315,30.335,30.265,30.305,176511.0
CPRT,2026-06-26 02:30:00,30.305,30.305,30.185,30.275,206361.0
CPRT,2026-06-26 03:00:00,30.275,30.31,30.19,30.275,262768.0
CPRT,2026-06-26 03:30:00,30.275,30.28,30.145,30.155,248078.0
CPRT,2026-06-26 04:00:00,30.155,30.255,30.13,30.145,302454.0
CPRT,2026-06-26 04:30:00,30.145,30.2,29.995,30.05,862039.0
CPRT,2026-06-26 05:00:00,30.05,30.66,30.05,30.66,1653092.0
CPRT,2026-06-26 05:30:00,30.66,30.66,29.8001,29.8001,228.0
CPRT,2026-06-26 06:30:00,29.8001,30.64,29.8001,30.05,63.0
CPRT,2026-06-26 07:00:00,30.35,30.35,30.35,30.35,100.0
CPRT,2026-06-26 07:30:00,30.35,30.35,30.05,30.1,46.0
CPRT,2026-06-26 08:30:00,30.1,30.1,29.8,29.8,500.0
CPRT,2026-06-26 17:00:00,30.05,30.36,30.03,30.2,181.0
CPRT,2026-06-26 18:30:00,30.2,30.22,30.2,30.22,82.0
CPRT,2026-06-26 19:00:00,30.22,30.49,30.18,30.18,30.0
CPRT,2026-06-26 21:00:00,30.18,30.18,30.18,30.18,16.0
CPRT,2026-06-26 21:30:00,30.18,30.2,30.05,30.18,183945.0
CPRT,2026-06-26 22:00:00,30.18,30.22,30.15,30.16,98.0
CPRT,2026-06-26 22:30:00,30.3,30.84,30.255,30.45,506509.0
