symbol,datetime,open,high,low,close,volume
CSCO,2026-06-22 17:00:00,118.9512,119.3205,118.47,118.8,2843.0
CSCO,2026-06-22 17:30:00,119.01,119.25,118.79,119.02,178.0
CSCO,2026-06-22 18:00:00,119.02,119.25,118.8614,119.05,182.0
CSCO,2026-06-22 18:30:00,119.02,119.02,118.9,118.9177,74.0
CSCO,2026-06-22 19:00:00,118.9177,119.13,118.9177,118.99,480.0
CSCO,2026-06-22 19:30:00,118.95,119.25,118.9,118.92,2171.0
CSCO,2026-06-22 20:00:00,118.94,119.07,118.58,118.9533,4333.0
CSCO,2026-06-22 20:30:00,118.95,119.54,118.59,118.6444,1488.0
CSCO,2026-06-22 21:00:00,118.86,119.2105,118.58,119.15,383.0
CSCO,2026-06-22 21:30:00,119.1711,119.25,118.9,119.0869,1649.0
CSCO,2026-06-22 22:00:00,119.0699,119.62,118.55,119.57,3712.0
CSCO,2026-06-22 22:30:00,119.8,121.38,119.6,121.06,1288224.0
CSCO,2026-06-22 23:00:00,121.06,121.55,120.51,121.11,727807.0
CSCO,2026-06-22 23:30:00,121.11,121.45,120.43,121.345,621756.0
CSCO,2026-06-23 00:00:00,121.345,121.4665,120.5579,120.68,623505.0
CSCO,2026-06-23 00:30:00,120.68,120.92,120.42,120.585,464974.0
CSCO,2026-06-23 01:00:00,120.585,121.29,120.37,121.15,565924.0
CSCO,2026-06-23 01:30:00,121.15,121.42,120.89,121.3483,338197.0
CSCO,2026-06-23 02:00:00,121.3483,121.68,121.13,121.58,420407.0
CSCO,2026-06-23 02:30:00,121.58,122.09,121.5001,121.87,454745.0
CSCO,2026-06-23 03:00:00,121.87,121.93,121.5951,121.65,376105.0
CSCO,2026-06-23 03:30:00,121.66,121.87,121.4,121.43,464519.0
CSCO,2026-06-23 04:00:00,121.43,121.445,120.86,121.035,570167.0
CSCO,2026-06-23 04:30:00,121.035,121.73,121.035,121.51,1418826.0
CSCO,2026-06-23 05:00:00,121.53,121.81,121.51,121.62,7592506.0
CSCO,2026-06-23 05:30:00,121.62,121.71,121.53,121.5534,31442.0
CSCO,2026-06-23 06:00:00,121.5534,121.71,121.23,121.48,186593.0
CSCO,2026-06-23 06:30:00,121.41,121.68,121.3,121.43,15972.0
CSCO,2026-06-23 07:00:00,121.43,121.71,121.43,121.68,170442.0
CSCO,2026-06-23 07:30:00,121.68,121.68,121.43,121.48,549.0
CSCO,2026-06-23 08:00:00,121.2,121.5,121.0,121.25,1079.0
CSCO,2026-06-23 08:30:00,121.25,121.65,121.1,121.65,860.0
CSCO,2026-06-23 17:00:00,120.0877,123.38,119.59,119.9,7450.0
CSCO,2026-06-23 17:30:00,119.9,120.06,119.04,119.0593,4538.0
CSCO,2026-06-23 18:00:00,119.38,120.2,119.05,120.0,4176.0
CSCO,2026-06-23 18:30:00,120.0,121.0,119.7054,120.13,2250.0
CSCO,2026-06-23 19:00:00,120.13,120.5597,119.91,119.91,4301.0
CSCO,2026-06-23 19:30:00,120.01,120.09,119.56,119.9156,2670.0
CSCO,2026-06-23 20:00:00,120.19,121.53,119.3,119.5066,9038.0
CSCO,2026-06-23 20:30:00,119.45,121.53,119.3,119.5,2476.0
CSCO,2026-06-23 21:00:00,119.2,121.7106,118.51,118.5336,11720.0
CSCO,2026-06-23 21:30:00,121.53,121.53,118.51,118.72,9310.0
CSCO,2026-06-23 22:00:00,118.74,118.9188,118.05,118.2,18436.0
CSCO,2026-06-23 22:30:00,118.82,119.5,117.66,119.3701,1290201.0
CSCO,2026-06-23 23:00:00,119.3701,119.9299,119.21,119.45,693916.0
CSCO,2026-06-23 23:30:00,119.465,119.83,118.9,119.26,484893.0
CSCO,2026-06-24 00:00:00,119.26,120.11,118.9,120.08,876996.0
CSCO,2026-06-24 00:30:00,120.08,120.68,119.94,120.62,520199.0
CSCO,2026-06-24 01:00:00,120.62,121.68,120.57,121.65,576787.0
CSCO,2026-06-24 01:30:00,121.65,121.96,121.45,121.92,519127.0
CSCO,2026-06-24 02:00:00,121.92,122.325,121.65,122.21,445538.0
CSCO,2026-06-24 02:30:00,122.21,122.29,121.65,121.7,434141.0
CSCO,2026-06-24 03:00:00,121.7,122.005,121.25,121.35,370982.0
CSCO,2026-06-24 03:30:00,121.35,121.39,120.86,120.975,393002.0
CSCO,2026-06-24 04:00:00,120.975,121.26,120.59,120.935,645941.0
CSCO,2026-06-24 04:30:00,120.935,121.63,120.77,121.175,1973886.0
CSCO,2026-06-24 05:00:00,121.15,122.49,121.15,122.1768,6973994.0
CSCO,2026-06-24 05:30:00,122.39,122.437,122.2772,122.36,330719.0
CSCO,2026-06-24 06:00:00,122.3,122.45,122.13,122.29,921729.0
CSCO,2026-06-24 06:30:00,122.29,122.295,122.15,122.15,1714556.0
CSCO,2026-06-24 07:00:00,122.21,122.45,122.15,122.21,1013.0
CSCO,2026-06-24 07:30:00,122.21,122.45,122.0,122.29,2655.0
CSCO,2026-06-24 08:00:00,122.29,122.3599,122.0,122.1,193.0
CSCO,2026-06-24 08:30:00,122.1,122.25,122.05,122.08,166.0
CSCO,2026-06-24 17:00:00,122.1727,122.26,121.15,121.41,2995.0
CSCO,2026-06-24 17:30:00,121.41,121.52,121.41,121.52,27.0
CSCO,2026-06-24 18:00:00,121.52,121.57,121.35,121.41,333.0
CSCO,2026-06-24 18:30:00,121.41,121.4547,121.31,121.432,651.0
CSCO,2026-06-24 19:00:00,121.432,121.53,121.37,121.41,916.0
CSCO,2026-06-24 19:30:00,121.41,121.53,121.41,121.49,718.0
CSCO,2026-06-24 20:00:00,121.41,121.93,121.39,121.51,1594.0
CSCO,2026-06-24 20:30:00,121.51,121.85,121.15,121.7765,264.0
CSCO,2026-06-24 21:00:00,121.7765,121.85,120.6128,121.7775,680.0
CSCO,2026-06-24 21:30:00,121.7991,126.25,121.45,121.54,894.0
CSCO,2026-06-24 22:00:00,121.47,121.71,120.0,120.29,6712.0
CSCO,2026-06-24 22:30:00,120.565,121.515,119.57,121.3,975829.0
CSCO,2026-06-24 23:00:00,121.33,121.515,120.28,121.31,746477.0
CSCO,2026-06-24 23:30:00,121.31,122.84,121.1866,122.84,543267.0
CSCO,2026-06-25 00:00:00,122.82,122.89,120.89,121.145,781565.0
CSCO,2026-06-25 00:30:00,121.145,121.55,120.79,120.805,780478.0
CSCO,2026-06-25 01:00:00,120.815,120.94,120.31,120.31,462071.0
CSCO,2026-06-25 01:30:00,120.31,120.64,120.085,120.39,494431.0
CSCO,2026-06-25 02:00:00,120.39,120.52,119.75,119.775,507679.0
CSCO,2026-06-25 02:30:00,119.775,120.06,119.65,119.68,426815.0
CSCO,2026-06-25 03:00:00,119.68,119.96,119.43,119.88,525314.0
CSCO,2026-06-25 03:30:00,119.88,119.95,119.05,119.17,474434.0
CSCO,2026-06-25 04:00:00,119.17,119.63,119.03,119.55,553011.0
CSCO,2026-06-25 04:30:00,119.55,119.87,119.12,119.65,1202829.0
CSCO,2026-06-25 05:00:00,119.73,119.86,118.1,118.9,7397915.0
CSCO,2026-06-25 05:30:00,118.2,119.73,118.1,118.7224,927833.0
CSCO,2026-06-25 06:00:00,118.7473,119.73,118.35,119.0,851614.0
CSCO,2026-06-25 06:30:00,118.99,119.73,118.61,118.61,88685.0
CSCO,2026-06-25 07:00:00,118.61,119.73,118.61,118.74,15774.0
CSCO,2026-06-25 07:30:00,119.0,119.0,118.74,118.99,2140.0
CSCO,2026-06-25 08:00:00,118.74,118.8,118.25,118.75,964.0
CSCO,2026-06-25 08:30:00,118.75,119.0,118.3,118.45,6817.0
CSCO,2026-06-25 17:00:00,119.3,119.8,118.53,119.13,1333.0
CSCO,2026-06-25 17:30:00,119.14,119.18,118.88,119.1,162.0
CSCO,2026-06-25 18:00:00,119.1,119.1,118.5012,118.85,278.0
CSCO,2026-06-25 18:30:00,118.79,118.8,118.74,118.8,117.0
CSCO,2026-06-25 19:00:00,118.8034,119.29,118.8034,119.13,1114.0
CSCO,2026-06-25 19:30:00,119.15,119.15,118.89,119.13,800.0
CSCO,2026-06-25 20:00:00,119.01,119.73,118.81,118.9203,645.0
CSCO,2026-06-25 20:30:00,118.9203,120.0,118.9203,119.61,1801.0
CSCO,2026-06-25 21:00:00,119.85,119.85,119.29,119.73,3131.0
CSCO,2026-06-25 21:30:00,119.73,119.91,119.02,119.02,5827.0
CSCO,2026-06-25 22:00:00,119.38,121.22,118.9675,120.9,8223.0
CSCO,2026-06-25 22:30:00,120.77,121.1375,117.56,117.69,1740056.0
CSCO,2026-06-25 23:00:00,117.69,120.005,117.67,119.7055,1015819.0
CSCO,2026-06-25 23:30:00,119.7055,120.31,119.63,119.96,570132.0
CSCO,2026-06-26 00:00:00,120.0,120.06,118.4667,119.01,677857.0
CSCO,2026-06-26 00:30:00,119.01,119.37,118.76,119.075,716380.0
CSCO,2026-06-26 01:00:00,119.08,119.5,118.8683,119.2209,823749.0
CSCO,2026-06-26 01:30:00,119.2209,119.24,118.495,118.655,729234.0
CSCO,2026-06-26 02:00:00,118.655,118.8,118.34,118.65,506139.0
CSCO,2026-06-26 02:30:00,118.65,119.2,118.56,119.145,356145.0
CSCO,2026-06-26 03:00:00,119.145,120.33,118.845,120.28,538216.0
CSCO,2026-06-26 03:30:00,120.28,120.3,119.02,119.1481,831745.0
CSCO,2026-06-26 04:00:00,119.1481,119.16,118.43,118.57,641725.0
CSCO,2026-06-26 04:30:00,118.57,118.97,118.18,118.97,1770312.0
CSCO,2026-06-26 05:00:00,118.97,119.61,118.97,119.1838,10422831.0
CSCO,2026-06-26 05:30:00,119.1838,119.69,118.97,119.36,3732.0
CSCO,2026-06-26 06:00:00,119.36,119.5,118.97,119.39,49598.0
CSCO,2026-06-26 06:30:00,119.39,119.4,118.97,119.2783,754115.0
CSCO,2026-06-26 07:00:00,119.4,119.48,118.97,119.169,4134.0
CSCO,2026-06-26 07:30:00,119.3,119.43,119.13,119.4,59.0
CSCO,2026-06-26 08:00:00,119.4,119.62,119.272,119.272,437.0
CSCO,2026-06-26 08:30:00,119.272,119.84,119.1928,119.7,163.0
CSCO,2026-06-26 17:00:00,118.3212,119.68,117.95,118.21,3803.0
CSCO,2026-06-26 17:30:00,118.21,118.97,118.02,118.02,117.0
CSCO,2026-06-26 18:00:00,118.02,118.44,118.02,118.3,64.0
CSCO,2026-06-26 18:30:00,118.28,119.53,118.28,119.5105,281.0
CSCO,2026-06-26 19:00:00,119.5105,119.5105,118.14,118.14,199.0
CSCO,2026-06-26 19:30:00,118.14,118.1579,118.01,118.01,796.0
CSCO,2026-06-26 20:00:00,118.88,119.245,118.21,118.3,1050.0
CSCO,2026-06-26 20:30:00,118.29,118.97,118.0675,118.12,8153.0
CSCO,2026-06-26 21:00:00,118.0309,118.4,118.01,118.18,1084.0
CSCO,2026-06-26 21:30:00,118.18,118.24,117.56,118.15,1490481.0
CSCO,2026-06-26 22:00:00,118.15,118.15,116.2,116.6,21912.0
CSCO,2026-06-26 22:30:00,116.79,117.01,114.78,115.385,1772726.0
CSCO,2026-06-26 23:00:00,115.385,116.31,115.29,115.67,1120290.0
CSCO,2026-06-26 23:30:00,115.67,115.79,114.79,114.935,690385.0
CSCO,2026-06-27 00:00:00,114.935,114.98,114.24,114.65,810009.0
CSCO,2026-06-27 00:30:00,114.66,115.39,114.5,115.27,968194.0
CSCO,2026-06-27 01:00:00,115.27,115.46,114.64,114.86,730370.0
CSCO,2026-06-27 01:30:00,114.86,115.365,114.78,115.235,639726.0
CSCO,2026-06-27 02:00:00,115.24,115.785,115.18,115.72,518064.0
CSCO,2026-06-27 02:30:00,115.72,115.89,115.525,115.53,425641.0
CSCO,2026-06-27 03:00:00,115.53,116.07,115.41,115.47,467814.0
CSCO,2026-06-27 03:30:00,115.47,115.625,115.275,115.46,599791.0
CSCO,2026-06-27 04:00:00,115.46,116.0,115.18,115.94,657978.0
CSCO,2026-06-27 04:30:00,115.94,115.95,112.858,113.43,7468427.0
CSCO,2026-06-27 05:00:00,113.38,114.7152,112.77,114.15,21885777.0
CSCO,2026-06-27 05:30:00,114.15,114.3,113.2,113.82,140320.0
CSCO,2026-06-27 06:00:00,113.82,114.505,113.3,113.72,138304.0
CSCO,2026-06-27 06:30:00,113.77,114.53,113.55,113.66,1219335.0
CSCO,2026-06-27 07:00:00,113.66,114.5,113.5781,113.69,2684.0
CSCO,2026-06-27 07:30:00,113.69,114.3,113.55,113.67,1165.0
CSCO,2026-06-27 08:00:00,113.67,113.79,113.55,113.79,473.0
CSCO,2026-06-27 08:30:00,113.79,113.94,113.51,113.9,1842.0
CSCO,2026-06-29 17:00:00,113.8312,114.77,113.55,114.27,4354.0
CSCO,2026-06-29 17:30:00,114.29,114.94,114.14,114.94,288.0
CSCO,2026-06-29 18:00:00,114.94,114.94,114.16,114.47,973.0
CSCO,2026-06-29 18:30:00,114.47,114.47,114.17,114.17,39.0
CSCO,2026-06-29 19:00:00,114.17,114.9165,114.02,114.2,2216.0
CSCO,2026-06-29 19:30:00,114.2,114.7273,114.2,114.36,250.0
CSCO,2026-06-29 20:00:00,114.41,114.75,113.77,114.6515,2642.0
CSCO,2026-06-29 20:30:00,114.4,114.71,113.77,114.38,47124.0
CSCO,2026-06-29 21:00:00,114.6593,115.88,114.2501,114.4,4402.0
CSCO,2026-06-29 21:30:00,114.4,114.71,114.25,114.52,3829.0
CSCO,2026-06-29 22:00:00,114.5,115.0,113.8,114.85,9156.0
