symbol,datetime,open,high,low,close,volume
CSGP,2026-06-22 17:00:00,30.49,30.49,30.49,30.49,1.0
CSGP,2026-06-22 18:30:00,30.49,30.49,30.2,30.2,1251.0
CSGP,2026-06-22 19:00:00,30.2,30.2,30.2,30.2,501.0
CSGP,2026-06-22 20:00:00,30.2,30.25,30.02,30.25,41.0
CSGP,2026-06-22 20:30:00,30.25,30.81,30.04,30.81,4071.0
CSGP,2026-06-22 21:00:00,30.81,30.81,30.81,30.81,75.0
CSGP,2026-06-22 21:30:00,30.81,30.81,30.35,30.35,20.0
CSGP,2026-06-22 22:00:00,30.35,30.35,30.03,30.03,81.0
CSGP,2026-06-22 22:30:00,30.05,31.04,29.91,30.34,508340.0
CSGP,2026-06-22 23:00:00,30.34,30.371,29.935,29.96,255754.0
CSGP,2026-06-22 23:30:00,29.96,29.98,29.715,29.835,164932.0
CSGP,2026-06-23 00:00:00,29.835,29.835,29.59,29.61,148701.0
CSGP,2026-06-23 00:30:00,29.61,29.7,29.49,29.5,131856.0
CSGP,2026-06-23 01:00:00,29.495,29.585,29.27,29.31,525273.0
CSGP,2026-06-23 01:30:00,29.31,29.42,29.26,29.27,140607.0
CSGP,2026-06-23 02:00:00,29.27,29.34,29.1718,29.2,337285.0
CSGP,2026-06-23 02:30:00,29.2,29.24,29.11,29.23,259918.0
CSGP,2026-06-23 03:00:00,29.23,29.355,29.16,29.35,273974.0
CSGP,2026-06-23 03:30:00,29.35,29.37,29.08,29.09,261409.0
CSGP,2026-06-23 04:00:00,29.09,29.2299,29.08,29.18,325874.0
CSGP,2026-06-23 04:30:00,29.18,29.42,29.14,29.2,841571.0
CSGP,2026-06-23 05:00:00,29.22,29.5,29.22,29.25,1461380.0
CSGP,2026-06-23 06:00:00,29.25,29.5,29.25,29.26,44.0
CSGP,2026-06-23 06:30:00,29.26,29.4,29.26,29.4,2142.0
CSGP,2026-06-23 07:00:00,29.4,29.4,29.22,29.22,17961.0
CSGP,2026-06-23 07:30:00,29.22,29.84,29.22,29.84,3.0
CSGP,2026-06-23 08:30:00,29.84,29.84,29.7,29.7,1.0
CSGP,2026-06-23 17:00:00,29.22,29.27,29.22,29.27,2.0
CSGP,2026-06-23 20:30:00,29.27,29.27,29.02,29.02,1.0
CSGP,2026-06-23 22:00:00,29.02,29.95,29.02,29.92,3160.0
CSGP,2026-06-23 22:30:00,29.73,30.44,29.525,30.17,690247.0
CSGP,2026-06-23 23:00:00,30.165,30.3,29.975,30.2,499181.0
CSGP,2026-06-23 23:30:00,30.2,30.31,30.09,30.265,212848.0
CSGP,2026-06-24 00:00:00,30.27,30.37,30.15,30.17,200081.0
CSGP,2026-06-24 00:30:00,30.18,30.32,30.15,30.32,151846.0
CSGP,2026-06-24 01:00:00,30.32,30.5,30.32,30.41,257914.0
CSGP,2026-06-24 01:30:00,30.41,30.55,30.32,30.405,267033.0
CSGP,2026-06-24 02:00:00,30.405,30.57,30.405,30.515,277671.0
CSGP,2026-06-24 02:30:00,30.515,30.6,30.43,30.455,308204.0
CSGP,2026-06-24 03:00:00,30.455,30.47,30.29,30.39,276564.0
CSGP,2026-06-24 03:30:00,30.39,30.46,30.345,30.43,242171.0
CSGP,2026-06-24 04:00:00,30.43,30.55,30.4,30.49,309994.0
CSGP,2026-06-24 04:30:00,30.49,30.56,30.24,30.265,980114.0
CSGP,2026-06-24 05:00:00,30.265,31.0869,30.03,31.0869,1786430.0
CSGP,2026-06-24 05:30:00,31.0869,31.0869,30.08,30.47,52.0
CSGP,2026-06-24 06:00:00,30.26,30.27,30.26,30.26,141.0
CSGP,2026-06-24 07:00:00,30.26,30.7,30.26,30.7,34919.0
CSGP,2026-06-24 07:30:00,30.7,30.7,30.63,30.63,30.0
CSGP,2026-06-24 08:00:00,30.63,30.63,30.41,30.41,299.0
CSGP,2026-06-24 08:30:00,30.41,30.69,30.41,30.69,151.0
CSGP,2026-06-24 17:00:00,30.26,30.44,30.2,30.44,71.0
CSGP,2026-06-24 17:30:00,30.44,30.44,30.41,30.41,10.0
CSGP,2026-06-24 20:00:00,30.41,30.63,30.41,30.63,3.0
CSGP,2026-06-24 21:30:00,30.63,30.63,30.48,30.48,4.0
CSGP,2026-06-24 22:00:00,30.48,30.59,29.85,29.88,1833.0
CSGP,2026-06-24 22:30:00,29.99,30.89,29.89,30.375,420032.0
CSGP,2026-06-24 23:00:00,30.375,30.56,30.17,30.36,268190.0
CSGP,2026-06-24 23:30:00,30.36,30.56,30.22,30.36,255035.0
CSGP,2026-06-25 00:00:00,30.37,30.745,30.33,30.54,198665.0
CSGP,2026-06-25 00:30:00,30.54,30.54,30.255,30.33,148923.0
CSGP,2026-06-25 01:00:00,30.33,30.38,30.19,30.235,145966.0
CSGP,2026-06-25 01:30:00,30.235,30.39,30.235,30.34,155623.0
CSGP,2026-06-25 02:00:00,30.34,30.38,30.19,30.22,159511.0
CSGP,2026-06-25 02:30:00,30.22,30.26,30.055,30.09,182946.0
CSGP,2026-06-25 03:00:00,30.09,30.225,30.055,30.19,176540.0
CSGP,2026-06-25 03:30:00,30.19,30.23,30.135,30.22,217698.0
CSGP,2026-06-25 04:00:00,30.22,30.22,30.0,30.025,326526.0
CSGP,2026-06-25 04:30:00,30.025,30.055,29.76,29.8,1155908.0
CSGP,2026-06-25 05:00:00,29.81,29.81,29.795,29.81,1341326.0
CSGP,2026-06-25 05:30:00,29.81,29.82,29.8,29.82,94.0
CSGP,2026-06-25 06:00:00,29.82,29.82,29.82,29.82,10.0
CSGP,2026-06-25 06:30:00,29.82,29.82,29.7,29.82,127004.0
CSGP,2026-06-25 07:00:00,29.82,30.05,29.81,29.82,1049.0
CSGP,2026-06-25 07:30:00,29.82,29.82,29.82,29.82,70.0
CSGP,2026-06-25 08:00:00,29.82,29.82,29.82,29.82,200.0
CSGP,2026-06-25 08:30:00,29.82,30.05,29.7542,30.05,230.0
CSGP,2026-06-25 20:00:00,29.81,29.81,29.81,29.81,1.0
CSGP,2026-06-25 20:30:00,29.81,30.068,29.81,30.068,429.0
CSGP,2026-06-25 21:00:00,30.068,30.068,29.7,29.8069,108.0
CSGP,2026-06-25 21:30:00,29.8069,30.06,29.7,29.7,1672.0
CSGP,2026-06-25 22:00:00,29.7,30.16,29.31,29.31,19.0
CSGP,2026-06-25 22:30:00,29.32,29.4,28.93,29.29,291412.0
CSGP,2026-06-25 23:00:00,29.29,29.68,29.16,29.62,244529.0
CSGP,2026-06-25 23:30:00,29.62,29.66,29.05,29.08,231826.0
CSGP,2026-06-26 00:00:00,29.08,29.15,28.88,29.0,273603.0
CSGP,2026-06-26 00:30:00,29.0,29.205,29.0,29.14,241315.0
CSGP,2026-06-26 01:00:00,29.14,29.195,28.9,28.9,148046.0
CSGP,2026-06-26 01:30:00,28.9,28.905,28.72,28.72,158333.0
CSGP,2026-06-26 02:00:00,28.72,28.735,28.55,28.57,162580.0
CSGP,2026-06-26 02:30:00,28.57,28.6523,28.54,28.6523,156664.0
CSGP,2026-06-26 03:00:00,28.6523,28.73,28.595,28.69,240463.0
CSGP,2026-06-26 03:30:00,28.69,28.71,28.56,28.7,232566.0
CSGP,2026-06-26 04:00:00,28.7,28.815,28.625,28.755,396863.0
CSGP,2026-06-26 04:30:00,28.755,28.79,28.54,28.65,956848.0
CSGP,2026-06-26 05:00:00,28.64,28.92,28.64,28.69,1293635.0
CSGP,2026-06-26 05:30:00,28.69,28.8,28.64,28.64,129.0
CSGP,2026-06-26 06:00:00,28.64,28.79,28.5161,28.79,515.0
CSGP,2026-06-26 06:30:00,28.79,28.79,28.64,28.75,235.0
