symbol,datetime,open,high,low,close,volume
CSX,2026-06-22 17:00:00,47.3388,47.3388,45.73,45.73,4.0
CSX,2026-06-22 17:30:00,45.73,46.08,45.4,46.08,244.0
CSX,2026-06-22 20:00:00,45.478,46.0,45.478,46.0,164.0
CSX,2026-06-22 20:30:00,46.0,46.0,45.4,45.4,80.0
CSX,2026-06-22 21:00:00,45.4,45.922,45.4,45.922,4.0
CSX,2026-06-22 21:30:00,45.922,45.922,45.4,45.57,129.0
CSX,2026-06-22 22:00:00,45.57,46.0,45.47,45.48,60.0
CSX,2026-06-22 22:30:00,45.4838,46.07,45.4838,45.81,402150.0
CSX,2026-06-22 23:00:00,45.81,46.065,45.73,46.04,283352.0
CSX,2026-06-22 23:30:00,46.04,46.185,45.985,46.155,312171.0
CSX,2026-06-23 00:00:00,46.155,46.22,46.125,46.1877,199678.0
CSX,2026-06-23 00:30:00,46.1877,46.225,46.12,46.225,168712.0
CSX,2026-06-23 01:00:00,46.23,46.27,46.185,46.25,140771.0
CSX,2026-06-23 01:30:00,46.25,46.335,46.24,46.32,136426.0
CSX,2026-06-23 02:00:00,46.32,46.325,46.2,46.245,158553.0
CSX,2026-06-23 02:30:00,46.245,46.2451,46.18,46.22,191393.0
CSX,2026-06-23 03:00:00,46.22,46.27,46.155,46.25,165327.0
CSX,2026-06-23 03:30:00,46.25,46.295,46.18,46.205,262461.0
CSX,2026-06-23 04:00:00,46.2,46.235,46.095,46.108,277220.0
CSX,2026-06-23 04:30:00,46.108,46.21,46.08,46.195,1090365.0
CSX,2026-06-23 05:00:00,46.2,46.2,45.74,46.2,3201257.0
CSX,2026-06-23 05:30:00,46.2,46.2,46.2,46.2,137.0
CSX,2026-06-23 06:00:00,46.2,46.3142,46.2,46.2,7309.0
CSX,2026-06-23 07:00:00,46.2,46.4,46.2,46.2,4383.0
CSX,2026-06-23 07:30:00,46.2,46.2,46.1402,46.1402,27.0
CSX,2026-06-23 08:00:00,46.1402,46.2,45.75,45.75,128.0
CSX,2026-06-23 08:30:00,45.75,45.8,45.75,45.8,4.0
CSX,2026-06-23 17:00:00,46.2,46.95,45.91,46.57,1465.0
CSX,2026-06-23 17:30:00,46.57,46.57,46.47,46.47,120.0
CSX,2026-06-23 19:00:00,45.4895,45.4895,45.4895,45.4895,3.0
CSX,2026-06-23 20:00:00,45.4895,45.8,45.4895,45.8,2.0
CSX,2026-06-23 20:30:00,45.8,46.3586,45.75,45.75,1564.0
CSX,2026-06-23 21:00:00,45.75,46.2,45.56,46.2,134.0
CSX,2026-06-23 21:30:00,46.2,46.58,45.75,45.75,18.0
CSX,2026-06-23 22:00:00,45.75,46.529,42.35,46.529,96.0
CSX,2026-06-23 22:30:00,46.33,46.505,46.05,46.37,550871.0
CSX,2026-06-23 23:00:00,46.37,46.48,46.245,46.44,293361.0
CSX,2026-06-23 23:30:00,46.43,46.5078,46.415,46.5,243408.0
CSX,2026-06-24 00:00:00,46.5,46.5199,46.37,46.375,233633.0
CSX,2026-06-24 00:30:00,46.375,46.415,46.28,46.385,199079.0
CSX,2026-06-24 01:00:00,46.385,46.41,46.325,46.375,159470.0
CSX,2026-06-24 01:30:00,46.375,46.47,46.365,46.385,200519.0
CSX,2026-06-24 02:00:00,46.385,46.502,46.365,46.415,180243.0
CSX,2026-06-24 02:30:00,46.415,46.42,46.345,46.375,141684.0
CSX,2026-06-24 03:00:00,46.375,46.415,46.28,46.355,310583.0
CSX,2026-06-24 03:30:00,46.355,46.39,46.325,46.345,302585.0
CSX,2026-06-24 04:00:00,46.345,46.375,46.17,46.225,542029.0
CSX,2026-06-24 04:30:00,46.225,46.26,46.085,46.175,1204600.0
CSX,2026-06-24 05:00:00,46.16,46.5001,45.55,46.16,5902313.0
CSX,2026-06-24 05:30:00,46.16,46.16,45.55,45.55,1711.0
CSX,2026-06-24 06:00:00,46.16,46.16,46.15,46.16,408.0
CSX,2026-06-24 06:30:00,46.16,46.16,45.6293,46.12,171.0
CSX,2026-06-24 07:00:00,46.12,46.13,45.65,45.65,20.0
CSX,2026-06-24 07:30:00,45.65,45.65,45.65,45.65,3.0
CSX,2026-06-24 08:30:00,45.65,45.6777,45.65,45.6777,8.0
CSX,2026-06-24 17:00:00,46.16,46.16,45.8,46.0,314.0
CSX,2026-06-24 20:30:00,46.0,46.16,45.55,45.55,8.0
CSX,2026-06-24 21:00:00,45.55,46.55,45.55,46.55,10.0
CSX,2026-06-24 21:30:00,46.55,46.55,46.0003,46.0003,40.0
CSX,2026-06-24 22:00:00,46.0003,46.25,45.79,46.25,628.0
CSX,2026-06-24 22:30:00,46.16,46.77,46.105,46.67,791349.0
CSX,2026-06-24 23:00:00,46.67,46.895,46.57,46.825,469848.0
CSX,2026-06-24 23:30:00,46.82,46.835,46.595,46.695,406767.0
CSX,2026-06-25 00:00:00,46.695,46.78,46.6,46.765,283373.0
CSX,2026-06-25 00:30:00,46.765,46.765,46.5,46.505,355097.0
CSX,2026-06-25 01:00:00,46.505,46.505,46.305,46.33,173609.0
CSX,2026-06-25 01:30:00,46.33,46.375,46.06,46.135,438926.0
CSX,2026-06-25 02:00:00,46.135,46.18,46.01,46.015,291818.0
CSX,2026-06-25 02:30:00,46.015,46.135,45.93,46.085,339373.0
CSX,2026-06-25 03:00:00,46.085,46.215,46.085,46.175,499782.0
CSX,2026-06-25 03:30:00,46.175,46.27,46.165,46.265,316652.0
CSX,2026-06-25 04:00:00,46.265,46.375,46.185,46.225,325616.0
CSX,2026-06-25 04:30:00,46.225,46.24,46.05,46.06,1229223.0
CSX,2026-06-25 05:00:00,46.06,46.73,45.4,45.55,3235933.0
CSX,2026-06-25 05:30:00,45.55,45.9742,45.4,45.9742,3.0
CSX,2026-06-25 06:00:00,45.9742,46.08,45.4,45.4453,226479.0
CSX,2026-06-25 06:30:00,45.4453,46.0,45.4453,46.0,200.0
CSX,2026-06-25 07:00:00,46.0,46.06,45.4,45.41,17452.0
CSX,2026-06-25 07:30:00,45.41,45.46,45.41,45.46,245.0
CSX,2026-06-25 08:00:00,45.46,45.47,45.46,45.47,1279.0
CSX,2026-06-25 08:30:00,45.47,45.47,45.45,45.45,8.0
CSX,2026-06-25 17:00:00,46.06,46.06,45.35,45.45,10.0
CSX,2026-06-25 19:30:00,45.45,45.81,45.45,45.81,86.0
CSX,2026-06-25 20:00:00,45.81,45.81,45.74,45.76,383.0
CSX,2026-06-25 20:30:00,45.76,46.06,45.74,46.0,6.0
CSX,2026-06-25 21:00:00,46.0,46.3142,46.0,46.06,3.0
CSX,2026-06-25 21:30:00,46.06,46.06,46.0,46.0,1.0
CSX,2026-06-25 22:00:00,46.0,46.33,45.85,46.33,696.0
CSX,2026-06-25 22:30:00,46.37,47.575,46.2925,47.57,777169.0
CSX,2026-06-25 23:00:00,47.57,47.59,47.135,47.3,511318.0
CSX,2026-06-25 23:30:00,47.3,47.545,47.29,47.39,324452.0
CSX,2026-06-26 00:00:00,47.39,47.43,47.025,47.42,467021.0
CSX,2026-06-26 00:30:00,47.415,47.46,47.31,47.375,241731.0
CSX,2026-06-26 01:00:00,47.375,47.445,47.31,47.405,179076.0
CSX,2026-06-26 01:30:00,47.405,47.415,47.325,47.385,296841.0
CSX,2026-06-26 02:00:00,47.385,47.445,47.35,47.395,174434.0
CSX,2026-06-26 02:30:00,47.395,47.465,47.375,47.445,176845.0
CSX,2026-06-26 03:00:00,47.445,47.495,47.3,47.455,214708.0
CSX,2026-06-26 03:30:00,47.455,47.455,47.285,47.425,256745.0
CSX,2026-06-26 04:00:00,47.425,47.5,47.395,47.455,322651.0
CSX,2026-06-26 04:30:00,47.455,47.58,47.315,47.43,1094549.0
CSX,2026-06-26 05:00:00,47.44,47.91,47.43,47.91,3645915.0
CSX,2026-06-26 05:30:00,47.91,47.91,47.4,47.44,735.0
CSX,2026-06-26 06:00:00,47.44,47.44,46.83,46.83,29.0
CSX,2026-06-26 06:30:00,46.83,47.75,46.83,47.75,27916.0
CSX,2026-06-26 07:00:00,47.75,47.75,47.75,47.75,200.0
CSX,2026-06-26 07:30:00,47.75,47.75,46.8,46.8,7.0
CSX,2026-06-26 08:00:00,47.59,47.59,47.59,47.59,7.0
CSX,2026-06-26 08:30:00,47.59,47.75,47.59,47.75,1.0
CSX,2026-06-26 17:00:00,47.44,47.925,46.38,46.38,279.0
CSX,2026-06-26 18:00:00,46.38,47.8179,46.38,47.8179,1.0
CSX,2026-06-26 18:30:00,47.8179,47.8179,46.38,46.38,25.0
CSX,2026-06-26 20:00:00,47.28,47.75,47.28,47.6729,47.0
CSX,2026-06-26 20:30:00,47.6729,47.75,47.44,47.44,8.0
CSX,2026-06-26 21:00:00,47.44,47.44,47.1,47.37,2548.0
CSX,2026-06-26 21:30:00,47.37,47.74,47.37,47.74,207.0
CSX,2026-06-26 22:00:00,47.506,47.95,47.26,47.95,6311.0
CSX,2026-06-26 22:30:00,47.8,47.94,47.19,47.443,653726.0
CSX,2026-06-26 23:00:00,47.443,47.605,47.41,47.53,236974.0
CSX,2026-06-26 23:30:00,47.54,47.62,47.505,47.57,285885.0
CSX,2026-06-27 00:00:00,47.57,47.605,47.38,47.59,523352.0
CSX,2026-06-27 00:30:00,47.59,47.6,47.4,47.46,661172.0
CSX,2026-06-27 01:00:00,47.46,47.55,47.25,47.34,431838.0
CSX,2026-06-27 01:30:00,47.34,47.465,47.32,47.46,200495.0
CSX,2026-06-27 02:00:00,47.46,47.575,47.41,47.465,221792.0
CSX,2026-06-27 02:30:00,47.465,47.6,47.45,47.55,149933.0
CSX,2026-06-27 03:00:00,47.55,47.6,47.53,47.565,141365.0
CSX,2026-06-27 03:30:00,47.565,47.71,47.565,47.685,196532.0
CSX,2026-06-27 04:00:00,47.685,47.6882,47.555,47.595,341363.0
CSX,2026-06-27 04:30:00,47.6,47.87,47.41,47.61,2739505.0
CSX,2026-06-27 05:00:00,47.66,47.6632,47.0003,47.0902,9208486.0
CSX,2026-06-27 05:30:00,47.0902,47.6609,47.0902,47.36,54174.0
CSX,2026-06-27 06:00:00,47.36,47.66,47.36,47.66,3362.0
CSX,2026-06-27 06:30:00,47.66,47.66,47.22,47.22,45756.0
CSX,2026-06-27 07:00:00,47.22,47.48,47.22,47.48,12.0
CSX,2026-06-27 07:30:00,47.48,47.48,47.46,47.46,2.0
CSX,2026-06-27 08:00:00,47.46,47.49,47.3421,47.3421,125.0
CSX,2026-06-27 08:30:00,47.3421,47.3424,47.33,47.33,291.0
CSX,2026-06-29 17:00:00,47.4,47.5798,47.2,47.5798,53.0
CSX,2026-06-29 18:30:00,47.5798,47.5798,47.37,47.37,2.0
CSX,2026-06-29 20:00:00,47.62,48.0,47.57,47.57,546.0
CSX,2026-06-29 20:30:00,47.57,47.61,47.57,47.61,168.0
CSX,2026-06-29 21:00:00,47.61,47.918,47.5302,47.918,22.0
CSX,2026-06-29 21:30:00,47.918,47.918,47.45,47.66,5.0
CSX,2026-06-29 22:00:00,47.66,48.23,47.48,48.1,2506.0
CSX,2026-06-29 22:30:00,47.82,48.415,47.68,48.27,500360.0
CSX,2026-06-29 23:00:00,48.27,48.32,48.13,48.145,412599.0
CSX,2026-06-29 23:30:00,48.145,48.2,47.95,47.97,279402.0
CSX,2026-06-30 00:00:00,47.97,48.09,47.935,47.945,182068.0
CSX,2026-06-30 00:30:00,47.945,47.955,47.85,47.895,215537.0
CSX,2026-06-30 01:00:00,47.9,48.06,47.895,48.055,225472.0
CSX,2026-06-30 01:30:00,48.055,48.08,47.955,47.98,207752.0
CSX,2026-06-30 02:00:00,47.9799,47.985,47.905,47.905,196510.0
CSX,2026-06-30 02:30:00,47.91,47.91,47.79,47.905,217817.0
CSX,2026-06-30 03:00:00,47.905,47.955,47.84,47.915,203324.0
CSX,2026-06-30 03:30:00,47.915,47.945,47.855,47.925,259482.0
CSX,2026-06-30 04:00:00,47.925,47.97,47.845,47.91,428837.0
CSX,2026-06-30 04:30:00,47.91,48.09,47.8501,47.99,1262089.0
CSX,2026-06-30 05:00:00,48.01,48.39,47.9,47.9,2791365.0
CSX,2026-06-30 05:30:00,47.9,48.25,47.9,48.25,90316.0
CSX,2026-06-30 06:00:00,48.25,48.25,48.01,48.01,51780.0
CSX,2026-06-30 07:00:00,48.25,48.25,48.25,48.25,234.0
CSX,2026-06-30 07:30:00,48.25,48.25,48.2,48.2,29.0
CSX,2026-06-30 08:00:00,48.2,48.2,47.9,47.9,26.0
CSX,2026-06-30 08:30:00,47.9,48.2,47.9,48.04,141.0
CSX,2026-06-30 17:00:00,48.01,48.01,47.53,47.66,20.0
CSX,2026-06-30 17:30:00,48.44,48.44,48.44,48.44,13.0
CSX,2026-06-30 19:00:00,48.44,49.2488,48.44,49.2488,1.0
CSX,2026-06-30 20:00:00,49.2488,49.2488,47.8,47.8,803.0
CSX,2026-06-30 20:30:00,48.24,48.24,48.01,48.24,17.0
CSX,2026-06-30 21:00:00,48.24,48.24,47.505,47.8,81.0
CSX,2026-06-30 21:30:00,47.8,48.24,47.8,48.2,53.0
CSX,2026-06-30 22:00:00,48.2,48.2,47.7,47.77,3433.0
CSX,2026-06-30 22:30:00,47.81,47.9,47.31,47.43,540437.0
CSX,2026-06-30 23:00:00,47.43,47.55,47.174,47.44,444637.0
CSX,2026-06-30 23:30:00,47.44,47.54,47.37,47.4897,257596.0
CSX,2026-07-01 00:00:00,47.4897,47.75,47.475,47.675,208245.0
CSX,2026-07-01 00:30:00,47.675,47.675,47.5,47.565,234701.0
CSX,2026-07-01 01:00:00,47.565,47.63,47.475,47.595,214674.0
CSX,2026-07-01 01:30:00,47.595,47.605,47.51,47.55,196597.0
CSX,2026-07-01 02:00:00,47.55,47.6,47.51,47.57,185518.0
CSX,2026-07-01 02:30:00,47.57,47.645,47.57,47.59,142640.0
CSX,2026-07-01 03:00:00,47.59,47.695,47.555,47.655,227749.0
CSX,2026-07-01 03:30:00,47.655,47.69,47.595,47.655,231761.0
CSX,2026-07-01 04:00:00,47.655,47.725,47.635,47.67,326469.0
CSX,2026-07-01 04:30:00,47.67,47.695,47.5,47.51,1425318.0
CSX,2026-07-01 05:00:00,47.53,48.03,47.53,47.53,4168029.0
CSX,2026-07-01 05:30:00,47.53,47.64,47.53,47.53,127865.0
CSX,2026-07-01 06:00:00,47.53,47.6,47.53,47.6,10897.0
CSX,2026-07-01 06:30:00,47.6,47.6,47.6,47.6,14.0
CSX,2026-07-01 07:00:00,47.6,47.88,47.53,47.7669,536.0
CSX,2026-07-01 08:00:00,47.7669,47.7669,47.51,47.51,11.0
CSX,2026-07-01 08:30:00,47.51,47.51,47.01,47.01,4.0
CSX,2026-07-01 17:00:00,47.7,47.9,47.67,47.67,196.0
CSX,2026-07-01 19:00:00,47.67,47.98,47.67,47.98,339.0
CSX,2026-07-01 19:30:00,47.98,47.98,47.74,47.74,5.0
CSX,2026-07-01 20:00:00,47.74,47.89,47.74,47.89,3.0
CSX,2026-07-01 20:30:00,47.89,47.89,47.53,47.77,885.0
CSX,2026-07-01 21:00:00,47.77,47.77,46.81,47.62,43.0
CSX,2026-07-01 21:30:00,47.62,47.75,47.05,47.75,3876.0
CSX,2026-07-01 22:00:00,47.75,48.22,47.75,47.98,6628.0
CSX,2026-07-01 22:30:00,47.945,47.95,47.485,47.88,524092.0
CSX,2026-07-01 23:00:00,47.88,47.925,47.71,47.895,255179.0
CSX,2026-07-01 23:30:00,47.895,48.245,47.82,48.095,365683.0
CSX,2026-07-02 00:00:00,48.095,48.26,48.045,48.225,343672.0
CSX,2026-07-02 00:30:00,48.225,48.465,48.195,48.325,460883.0
CSX,2026-07-02 01:00:00,48.32,48.455,48.315,48.455,318349.0
CSX,2026-07-02 01:30:00,48.455,48.575,48.42,48.44,414161.0
CSX,2026-07-02 02:00:00,48.44,48.495,48.345,48.35,536846.0
CSX,2026-07-02 02:30:00,48.35,48.535,48.335,48.455,380568.0
CSX,2026-07-02 03:00:00,48.455,48.47,48.3,48.345,408208.0
CSX,2026-07-02 03:30:00,48.345,48.3451,48.105,48.125,829572.0
CSX,2026-07-02 04:00:00,48.125,48.175,47.975,48.06,585729.0
CSX,2026-07-02 04:30:00,48.06,48.41,47.99,48.33,1654354.0
CSX,2026-07-02 05:00:00,48.33,48.67,47.89,47.89,2551702.0
CSX,2026-07-02 05:30:00,48.52,48.67,48.33,48.67,20815.0
CSX,2026-07-02 06:00:00,48.67,48.67,48.32,48.33,149.0
CSX,2026-07-02 06:30:00,48.33,48.67,47.9827,47.9827,81125.0
CSX,2026-07-02 07:30:00,47.9827,48.67,47.9827,48.67,1.0
CSX,2026-07-02 08:30:00,48.67,48.67,48.33,48.5,135.0
CSX,2026-07-02 17:00:00,48.33,48.69,48.33,48.63,249.0
CSX,2026-07-02 18:00:00,48.63,48.84,48.63,48.63,147.0
CSX,2026-07-02 18:30:00,48.63,48.63,48.43,48.52,22.0
CSX,2026-07-02 19:00:00,48.52,48.52,48.41,48.41,42.0
CSX,2026-07-02 19:30:00,48.41,48.83,48.41,48.83,2.0
CSX,2026-07-02 20:00:00,48.83,48.83,48.42,48.42,15.0
CSX,2026-07-02 20:30:00,48.42,48.67,48.33,48.6375,49.0
CSX,2026-07-02 21:00:00,48.67,48.67,48.41,48.41,260.0
CSX,2026-07-02 21:30:00,48.67,48.67,48.5,48.5,143.0
CSX,2026-07-02 22:00:00,48.5,48.68,48.33,48.68,78882.0
CSX,2026-07-02 22:30:00,48.66,49.0,48.535,48.92,860167.0
CSX,2026-07-02 23:00:00,48.945,49.21,48.875,49.19,567747.0
CSX,2026-07-02 23:30:00,49.19,49.21,48.885,48.895,578551.0
CSX,2026-07-03 00:00:00,48.895,48.98,48.735,48.89,404584.0
CSX,2026-07-03 00:30:00,48.885,48.94,48.825,48.915,333183.0
CSX,2026-07-03 01:00:00,48.915,49.07,48.895,49.045,355133.0
CSX,2026-07-03 01:30:00,49.045,49.055,48.785,48.795,445104.0
CSX,2026-07-03 02:00:00,48.795,48.815,48.62,48.725,363080.0
CSX,2026-07-03 02:30:00,48.725,48.76,48.65,48.7,258076.0
CSX,2026-07-03 03:00:00,48.7,48.725,48.635,48.64,234188.0
CSX,2026-07-03 03:30:00,48.64,48.74,48.64,48.7,241721.0
CSX,2026-07-03 04:00:00,48.7,48.8,48.665,48.72,383711.0
CSX,2026-07-03 04:30:00,48.72,49.02,48.715,48.87,1507556.0
CSX,2026-07-03 05:00:00,48.87,48.89,48.81,48.89,3670887.0
CSX,2026-07-03 05:30:00,48.89,48.89,48.89,48.89,17568.0
CSX,2026-07-03 06:00:00,48.89,48.89,48.89,48.89,46240.0
CSX,2026-07-03 06:30:00,48.89,48.89,48.89,48.89,8178.0
CSX,2026-07-03 08:00:00,48.89,48.89,48.65,48.65,61646.0
CSX,2026-07-06 17:00:00,48.89,48.89,48.58,48.79,352.0
CSX,2026-07-06 17:30:00,48.79,48.79,48.7445,48.7445,2.0
CSX,2026-07-06 18:30:00,48.7445,48.92,48.73,48.73,148.0
CSX,2026-07-06 20:00:00,48.88,49.18,48.86,49.18,713.0
CSX,2026-07-06 20:30:00,49.18,49.18,48.89,48.99,317.0
CSX,2026-07-06 21:00:00,48.99,48.99,48.86,48.86,328.0
CSX,2026-07-06 21:30:00,48.86,48.86,48.85,48.85,2.0
CSX,2026-07-06 22:00:00,48.85,49.29,48.85,49.26,2002.0
CSX,2026-07-06 22:30:00,49.26,49.26,48.86,49.14,567412.0
CSX,2026-07-06 23:00:00,49.14,49.265,49.04,49.1825,694530.0
CSX,2026-07-06 23:30:00,49.185,49.2,49.06,49.15,323547.0
CSX,2026-07-07 00:00:00,49.15,49.17,48.865,48.91,558442.0
CSX,2026-07-07 00:30:00,48.91,48.97,48.78,48.79,188672.0
CSX,2026-07-07 01:00:00,48.79,48.95,48.73,48.95,128838.0
CSX,2026-07-07 01:30:00,48.955,48.965,48.82,48.84,129838.0
CSX,2026-07-07 02:00:00,48.84,48.91,48.805,48.89,174841.0
CSX,2026-07-07 02:30:00,48.89,48.975,48.81,48.965,182371.0
CSX,2026-07-07 03:00:00,48.965,49.015,48.895,48.935,235356.0
CSX,2026-07-07 03:30:00,48.935,49.015,48.83,49.005,184962.0
CSX,2026-07-07 04:00:00,49.005,49.02,48.885,48.975,332991.0
CSX,2026-07-07 04:30:00,48.975,48.99,48.71,48.85,1122497.0
CSX,2026-07-07 05:00:00,48.85,49.19,48.4,48.8134,2995477.0
CSX,2026-07-07 05:30:00,48.8134,49.13,48.81,48.81,16253.0
CSX,2026-07-07 06:00:00,48.81,48.81,48.6332,48.81,1230.0
CSX,2026-07-07 07:00:00,48.81,48.81,48.4,48.7,6.0
CSX,2026-07-07 07:30:00,48.71,49.0897,48.71,49.0897,3.0
CSX,2026-07-07 08:30:00,49.0897,49.19,49.0897,49.19,2.0
CSX,2026-07-07 17:00:00,48.81,49.15,48.7328,48.99,521.0
CSX,2026-07-07 19:30:00,48.99,49.01,48.99,49.0,134.0
CSX,2026-07-07 20:00:00,49.0,49.22,49.0,49.22,12.0
CSX,2026-07-07 20:30:00,49.22,49.36,48.81,49.36,134.0
CSX,2026-07-07 21:00:00,49.36,49.5,48.97,49.41,239.0
CSX,2026-07-07 21:30:00,49.41,49.41,48.81,49.41,45.0
CSX,2026-07-07 22:00:00,49.2904,49.41,48.73,48.85,5149.0
CSX,2026-07-07 22:30:00,49.02,49.02,48.61,48.785,447472.0
CSX,2026-07-07 23:00:00,48.785,49.0098,48.62,48.995,657638.0
CSX,2026-07-07 23:30:00,48.995,49.09,48.8,48.815,335267.0
CSX,2026-07-08 00:00:00,48.815,48.835,48.51,48.535,323463.0
CSX,2026-07-08 00:30:00,48.535,48.545,48.3,48.38,344161.0
CSX,2026-07-08 01:00:00,48.38,48.455,48.355,48.4,143678.0
CSX,2026-07-08 01:30:00,48.4,48.415,48.27,48.32,348040.0
CSX,2026-07-08 02:00:00,48.32,48.33,48.17,48.2377,195408.0
CSX,2026-07-08 02:30:00,48.2377,48.28,48.14,48.145,264472.0
CSX,2026-07-08 03:00:00,48.145,48.2369,48.1,48.235,271765.0
CSX,2026-07-08 03:30:00,48.235,48.535,48.235,48.53,333404.0
CSX,2026-07-08 04:00:00,48.53,48.705,48.42,48.575,394618.0
CSX,2026-07-08 04:30:00,48.575,48.625,48.445,48.51,1731490.0
CSX,2026-07-08 05:00:00,48.51,48.55,48.4,48.51,2813382.0
