symbol,datetime,open,high,low,close,volume
CTSH,2026-06-22 17:00:00,43.8012,43.91,43.58,43.91,114.0
CTSH,2026-06-22 17:30:00,43.91,44.4925,43.8,44.4925,453.0
CTSH,2026-06-22 18:00:00,44.4925,44.4925,43.91,43.91,45.0
CTSH,2026-06-22 18:30:00,43.91,43.91,43.6,43.6,290.0
CTSH,2026-06-22 19:00:00,43.6,43.72,43.6,43.72,5.0
CTSH,2026-06-22 19:30:00,43.72,43.94,43.72,43.94,72.0
CTSH,2026-06-22 20:00:00,43.94,44.43,43.61,43.61,828.0
CTSH,2026-06-22 20:30:00,43.61,44.43,43.61,43.63,357.0
CTSH,2026-06-22 21:00:00,43.63,44.4,43.6,43.75,235.0
CTSH,2026-06-22 21:30:00,43.75,44.1211,43.48,43.5349,587.0
CTSH,2026-06-22 22:00:00,43.5349,43.74,43.0,43.11,4320.0
CTSH,2026-06-22 22:30:00,43.0084,44.57,42.88,44.29,1220104.0
CTSH,2026-06-22 23:00:00,44.29,44.35,42.8,42.83,641179.0
CTSH,2026-06-22 23:30:00,42.83,42.9,42.365,42.395,1223979.0
CTSH,2026-06-23 00:00:00,42.395,42.425,42.22,42.37,524734.0
CTSH,2026-06-23 00:30:00,42.36,42.37,41.985,42.025,417668.0
CTSH,2026-06-23 01:00:00,42.025,42.06,41.605,41.635,448607.0
CTSH,2026-06-23 01:30:00,41.635,41.7699,41.54,41.69,421645.0
CTSH,2026-06-23 02:00:00,41.69,41.82,41.515,41.515,618476.0
CTSH,2026-06-23 02:30:00,41.515,41.515,41.18,41.235,697044.0
CTSH,2026-06-23 03:00:00,41.235,41.495,41.145,41.435,556977.0
CTSH,2026-06-23 03:30:00,41.435,41.61,40.975,40.985,1177608.0
CTSH,2026-06-23 04:00:00,40.985,41.22,40.77,41.19,2392203.0
CTSH,2026-06-23 04:30:00,41.19,42.035,41.115,41.82,2606385.0
CTSH,2026-06-23 05:00:00,41.83,42.07,41.6026,41.89,4110004.0
CTSH,2026-06-23 05:30:00,41.89,43.7,41.85,41.85,4.0
CTSH,2026-06-23 06:00:00,41.85,41.97,41.85,41.97,576.0
CTSH,2026-06-23 06:30:00,41.97,41.97,41.8,41.93,21487.0
CTSH,2026-06-23 07:00:00,41.93,41.97,41.83,41.97,32093.0
CTSH,2026-06-23 07:30:00,41.97,41.97,41.9479,41.9596,41.0
CTSH,2026-06-23 08:00:00,41.9596,41.9596,41.899,41.8995,165.0
CTSH,2026-06-23 08:30:00,41.8995,41.97,41.88,41.9583,249.0
CTSH,2026-06-23 17:00:00,41.79,41.89,41.63,41.65,1352.0
CTSH,2026-06-23 17:30:00,41.65,41.74,41.65,41.74,43.0
CTSH,2026-06-23 18:00:00,41.74,42.6752,41.74,42.2,46.0
CTSH,2026-06-23 18:30:00,42.2,42.2,42.15,42.15,30.0
CTSH,2026-06-23 19:00:00,42.15,42.15,42.0,42.0,62.0
CTSH,2026-06-23 19:30:00,42.0,42.0,41.02,41.02,11.0
CTSH,2026-06-23 20:00:00,41.95,42.18,41.86,42.1,686.0
CTSH,2026-06-23 20:30:00,42.1,42.3828,41.83,42.03,856.0
CTSH,2026-06-23 21:00:00,42.28,42.28,42.01,42.11,206.0
CTSH,2026-06-23 21:30:00,42.11,42.11,41.83,41.83,650.0
CTSH,2026-06-23 22:00:00,41.83,42.45,41.83,42.43,2406.0
CTSH,2026-06-23 22:30:00,42.4,42.67,41.58,42.06,1036398.0
CTSH,2026-06-23 23:00:00,42.06,42.09,41.3,41.47,1042474.0
CTSH,2026-06-23 23:30:00,41.47,41.54,41.19,41.31,1249114.0
CTSH,2026-06-24 00:00:00,41.31,41.64,41.18,41.35,1047650.0
CTSH,2026-06-24 00:30:00,41.35,41.425,41.0262,41.415,459700.0
CTSH,2026-06-24 01:00:00,41.415,41.49,41.325,41.405,486660.0
CTSH,2026-06-24 01:30:00,41.405,41.48,41.27,41.335,437646.0
CTSH,2026-06-24 02:00:00,41.335,41.455,41.195,41.355,523562.0
CTSH,2026-06-24 02:30:00,41.355,41.43,41.1,41.135,619485.0
CTSH,2026-06-24 03:00:00,41.135,41.195,41.06,41.095,570535.0
CTSH,2026-06-24 03:30:00,41.095,41.2675,41.08,41.235,549585.0
CTSH,2026-06-24 04:00:00,41.235,41.47,41.21,41.305,1750861.0
CTSH,2026-06-24 04:30:00,41.305,41.38,40.895,40.975,2943744.0
CTSH,2026-06-24 05:00:00,40.95,41.5,40.95,40.9628,4856124.0
CTSH,2026-06-24 05:30:00,41.2,41.2,40.96,41.1,118055.0
CTSH,2026-06-24 06:00:00,40.95,41.1,40.95,41.1,241076.0
CTSH,2026-06-24 06:30:00,41.1,41.1,41.09,41.09,12.0
CTSH,2026-06-24 07:00:00,41.09,41.1,40.9782,41.02,76.0
CTSH,2026-06-24 07:30:00,41.02,41.22,41.02,41.2015,19.0
CTSH,2026-06-24 08:00:00,41.2015,41.22,41.02,41.07,153.0
CTSH,2026-06-24 08:30:00,41.07,41.22,41.07,41.22,1150.0
CTSH,2026-06-24 17:00:00,40.95,41.67,40.88,41.03,787.0
CTSH,2026-06-24 18:00:00,41.03,41.03,40.7053,40.7053,1918.0
CTSH,2026-06-24 20:30:00,40.7053,40.95,40.63,40.95,131.0
CTSH,2026-06-24 21:00:00,40.95,41.1645,40.68,40.95,60441.0
CTSH,2026-06-24 21:30:00,40.95,40.95,40.72,40.83,89.0
CTSH,2026-06-24 22:00:00,40.83,40.97,40.79,40.97,453.0
CTSH,2026-06-24 22:30:00,40.96,42.415,40.96,42.17,1114853.0
CTSH,2026-06-24 23:00:00,42.17,42.295,41.8,42.22,688344.0
CTSH,2026-06-24 23:30:00,42.22,42.39,42.05,42.34,626567.0
CTSH,2026-06-25 00:00:00,42.34,42.78,42.16,42.555,725459.0
CTSH,2026-06-25 00:30:00,42.555,42.59,42.07,42.13,435218.0
CTSH,2026-06-25 01:00:00,42.13,42.13,41.795,41.805,417070.0
CTSH,2026-06-25 01:30:00,41.805,41.97,41.69,41.925,336259.0
CTSH,2026-06-25 02:00:00,41.925,42.005,41.77,41.795,328201.0
CTSH,2026-06-25 02:30:00,41.795,42.12,41.74,41.9,398473.0
CTSH,2026-06-25 03:00:00,41.9,42.02,41.82,41.9895,360357.0
CTSH,2026-06-25 03:30:00,41.9895,42.0,41.83,41.905,347530.0
CTSH,2026-06-25 04:00:00,41.905,42.085,41.865,41.905,556706.0
CTSH,2026-06-25 04:30:00,41.905,41.935,41.39,41.405,2268521.0
CTSH,2026-06-25 05:00:00,41.44,41.47,41.37,41.41,3210749.0
CTSH,2026-06-25 05:30:00,41.37,41.41,41.19,41.2,863.0
CTSH,2026-06-25 06:00:00,41.2,41.44,41.2,41.2699,427194.0
CTSH,2026-06-25 06:30:00,41.2699,41.4,41.2699,41.4,99896.0
CTSH,2026-06-25 07:00:00,41.4,41.44,41.28,41.44,1119.0
CTSH,2026-06-25 07:30:00,41.44,41.44,41.33,41.4,28873.0
CTSH,2026-06-25 08:00:00,41.4,41.4,41.39,41.39,53.0
CTSH,2026-06-25 08:30:00,41.39,41.41,41.39,41.41,9.0
CTSH,2026-06-25 17:00:00,41.44,41.44,41.26,41.26,16.0
CTSH,2026-06-25 18:30:00,41.26,41.5,41.26,41.5,60.0
CTSH,2026-06-25 19:30:00,41.5,41.715,40.713,40.713,3.0
CTSH,2026-06-25 20:00:00,41.44,41.63,41.44,41.63,40.0
CTSH,2026-06-25 21:00:00,41.63,41.942,41.63,41.942,10.0
CTSH,2026-06-25 21:30:00,41.942,42.0,41.12,41.12,10741.0
CTSH,2026-06-25 22:00:00,41.12,41.73,41.12,41.2,539.0
CTSH,2026-06-25 22:30:00,41.2,41.61,40.57,40.92,830883.0
CTSH,2026-06-25 23:00:00,40.92,41.15,40.57,40.765,548865.0
CTSH,2026-06-25 23:30:00,40.765,40.77,39.98,39.995,912709.0
CTSH,2026-06-26 00:00:00,40.0,40.1,39.61,39.87,520303.0
CTSH,2026-06-26 00:30:00,39.87,40.2,39.86,40.01,313796.0
CTSH,2026-06-26 01:00:00,40.01,40.085,39.76,39.815,288941.0
CTSH,2026-06-26 01:30:00,39.815,39.85,39.615,39.625,273125.0
CTSH,2026-06-26 02:00:00,39.625,39.655,39.3,39.305,318483.0
CTSH,2026-06-26 02:30:00,39.305,39.335,39.03,39.2,352976.0
