symbol,datetime,open,high,low,close,volume
DASH,2026-06-22 17:00:00,172.77,172.77,172.0,172.7,474.0
DASH,2026-06-22 17:30:00,172.09,172.45,172.09,172.45,36.0
DASH,2026-06-22 18:00:00,172.45,172.45,171.53,171.87,13.0
DASH,2026-06-22 18:30:00,171.87,171.87,165.5561,171.8,159.0
DASH,2026-06-22 19:00:00,171.8,172.21,171.47,171.74,135.0
DASH,2026-06-22 19:30:00,171.78,171.79,171.6,171.6,167.0
DASH,2026-06-22 20:00:00,172.0,172.65,172.0,172.01,2078.0
DASH,2026-06-22 20:30:00,172.01,172.65,172.0001,172.5,1169.0
DASH,2026-06-22 21:00:00,172.5,172.5,172.0,172.0,240.0
DASH,2026-06-22 21:30:00,172.25,172.4,168.875,172.4,150.0
DASH,2026-06-22 22:00:00,172.4,172.79,168.5894,171.0,1405.0
DASH,2026-06-22 22:30:00,171.21,176.88,170.65,176.71,373419.0
DASH,2026-06-22 23:00:00,176.71,177.88,172.85,173.31,445031.0
DASH,2026-06-22 23:30:00,173.31,175.14,173.19,174.28,296266.0
DASH,2026-06-23 00:00:00,174.28,175.31,173.88,175.31,242963.0
DASH,2026-06-23 00:30:00,175.31,176.68,175.07,176.11,103797.0
DASH,2026-06-23 01:00:00,176.11,176.14,173.615,173.7,134040.0
DASH,2026-06-23 01:30:00,173.7,174.09,173.59,173.898,133945.0
DASH,2026-06-23 02:00:00,173.898,175.27,173.73,175.165,151355.0
DASH,2026-06-23 02:30:00,175.165,175.96,175.04,175.565,184338.0
DASH,2026-06-23 03:00:00,175.565,176.6899,175.5,176.405,138354.0
DASH,2026-06-23 03:30:00,176.405,176.46,174.5825,174.88,493742.0
DASH,2026-06-23 04:00:00,174.88,175.25,171.6,172.265,342613.0
DASH,2026-06-23 04:30:00,172.265,174.24,171.57,172.105,817858.0
DASH,2026-06-23 05:00:00,172.08,174.0,171.46,174.0,1252439.0
DASH,2026-06-23 05:30:00,174.0,174.0,171.66,173.6958,1753.0
DASH,2026-06-23 06:00:00,172.27,174.0,171.66,174.0,161.0
DASH,2026-06-23 06:30:00,174.0,174.0,172.0,172.55,920.0
DASH,2026-06-23 07:00:00,172.55,174.0,171.66,172.0,484363.0
DASH,2026-06-23 07:30:00,172.0,173.9,172.0,173.9,72.0
DASH,2026-06-23 08:00:00,173.08,173.9,171.68,171.68,109.0
DASH,2026-06-23 08:30:00,171.68,173.9,171.66,172.4,48.0
DASH,2026-06-23 17:00:00,172.08,172.48,169.0,169.97,701.0
DASH,2026-06-23 17:30:00,169.97,171.79,169.97,170.6,42.0
DASH,2026-06-23 18:00:00,170.6,172.85,168.23,172.85,42.0
DASH,2026-06-23 19:00:00,172.85,172.85,170.5,171.0,51.0
DASH,2026-06-23 19:30:00,171.0,173.655,169.7,173.655,15.0
DASH,2026-06-23 20:00:00,171.0,173.0,170.7385,171.0,157.0
DASH,2026-06-23 20:30:00,171.13,173.0,171.01,171.01,38.0
DASH,2026-06-23 21:00:00,171.01,172.45,171.0,171.0025,890.0
DASH,2026-06-23 21:30:00,171.0025,174.6,171.0,171.88,93.0
DASH,2026-06-23 22:00:00,171.88,174.14,159.61,174.14,451.0
DASH,2026-06-23 22:30:00,175.0,176.5,172.73,173.695,370058.0
DASH,2026-06-23 23:00:00,173.66,174.54,172.12,173.8,157393.0
DASH,2026-06-23 23:30:00,173.8,174.55,173.0,174.215,140185.0
DASH,2026-06-24 00:00:00,174.215,174.85,172.77,172.925,136161.0
DASH,2026-06-24 00:30:00,172.925,173.59,172.55,173.25,134897.0
DASH,2026-06-24 01:00:00,173.25,174.55,172.98,174.315,172462.0
DASH,2026-06-24 01:30:00,174.315,175.0,173.84,174.84,118775.0
DASH,2026-06-24 02:00:00,174.84,175.42,174.5201,174.66,101952.0
DASH,2026-06-24 02:30:00,174.66,175.08,173.195,174.145,432036.0
DASH,2026-06-24 03:00:00,174.145,174.42,173.49,173.8,260465.0
DASH,2026-06-24 03:30:00,173.83,174.11,171.345,171.345,355901.0
DASH,2026-06-24 04:00:00,171.345,172.79,171.27,172.375,232605.0
DASH,2026-06-24 04:30:00,172.375,173.28,171.49,171.52,551673.0
DASH,2026-06-24 05:00:00,171.52,172.51,171.002,171.52,1051274.0
DASH,2026-06-24 05:30:00,171.52,172.02,171.52,171.89,8828.0
DASH,2026-06-24 06:00:00,171.52,171.7501,171.52,171.75,100809.0
DASH,2026-06-24 06:30:00,171.75,171.75,171.5648,171.74,16984.0
DASH,2026-06-24 07:00:00,171.74,171.74,171.55,171.55,1.0
DASH,2026-06-24 07:30:00,171.55,173.2465,171.55,172.0,20.0
DASH,2026-06-24 08:00:00,172.0,173.0,172.0,172.8,127.0
DASH,2026-06-24 08:30:00,172.8,172.8,171.55,171.55,1238.0
DASH,2026-06-24 17:00:00,171.52,172.19,171.52,171.59,180.0
DASH,2026-06-24 18:30:00,171.59,172.65,171.42,171.42,2.0
DASH,2026-06-24 19:00:00,171.42,171.42,171.0,171.0,1.0
DASH,2026-06-24 20:00:00,171.52,176.2486,171.52,171.7,90.0
DASH,2026-06-24 20:30:00,171.98,173.0,171.79,172.31,95.0
DASH,2026-06-24 21:00:00,172.31,173.9667,171.65,172.5,1226.0
DASH,2026-06-24 21:30:00,175.0,176.0,155.07,155.07,172969.0
DASH,2026-06-24 22:00:00,155.07,175.28,155.07,172.0,17292.0
DASH,2026-06-24 22:30:00,172.59,174.99,169.0,173.42,484792.0
DASH,2026-06-24 23:00:00,173.42,176.44,172.16,176.44,249152.0
