symbol,datetime,open,high,low,close,volume
DXCM,2026-06-22 17:00:00,72.98,72.98,72.47,72.5,219.0
DXCM,2026-06-22 17:30:00,72.07,72.07,72.07,72.07,2.0
DXCM,2026-06-22 18:00:00,72.07,72.51,72.07,72.14,13.0
DXCM,2026-06-22 19:30:00,72.14,72.79,72.0734,72.79,6.0
DXCM,2026-06-22 20:00:00,72.81,72.81,72.81,72.81,2.0
DXCM,2026-06-22 20:30:00,72.81,72.81,72.47,72.47,51.0
DXCM,2026-06-22 21:00:00,72.47,72.87,72.47,72.87,2.0
DXCM,2026-06-22 22:00:00,72.87,72.87,71.26,71.26,156.0
DXCM,2026-06-22 22:30:00,71.67,71.765,70.51,70.715,263339.0
DXCM,2026-06-22 23:00:00,70.715,70.86,69.88,69.93,164816.0
DXCM,2026-06-22 23:30:00,69.91,70.11,69.55,69.56,120476.0
DXCM,2026-06-23 00:00:00,69.56,69.86,69.38,69.86,179768.0
DXCM,2026-06-23 00:30:00,69.86,70.03,69.18,69.18,155877.0
DXCM,2026-06-23 01:00:00,69.18,69.49,69.09,69.18,114940.0
DXCM,2026-06-23 01:30:00,69.18,69.21,68.93,69.06,114805.0
DXCM,2026-06-23 02:00:00,69.06,69.35,69.05,69.17,139900.0
DXCM,2026-06-23 02:30:00,69.17,69.17,68.9,68.97,136650.0
DXCM,2026-06-23 03:00:00,68.97,69.115,68.8,68.8721,168019.0
DXCM,2026-06-23 03:30:00,68.8721,68.99,68.745,68.75,145638.0
DXCM,2026-06-23 04:00:00,68.75,68.8999,68.55,68.68,164129.0
DXCM,2026-06-23 04:30:00,68.68,69.29,68.665,69.07,508525.0
DXCM,2026-06-23 05:00:00,69.07,70.2748,68.5003,70.01,2150587.0
DXCM,2026-06-23 05:30:00,70.01,70.01,69.63,69.8,7.0
DXCM,2026-06-23 06:00:00,69.8,69.8,68.99,69.8,18.0
DXCM,2026-06-23 06:30:00,69.8,69.8,68.56,68.56,284.0
DXCM,2026-06-23 07:00:00,68.56,69.07,68.5,68.5,22471.0
DXCM,2026-06-23 07:30:00,68.5,68.5511,68.5,68.5,47.0
DXCM,2026-06-23 08:00:00,68.5,69.79,68.5,68.5,28.0
DXCM,2026-06-23 08:30:00,68.5,68.5,68.5,68.5,5.0
DXCM,2026-06-23 17:00:00,69.07,69.64,68.93,69.64,600.0
DXCM,2026-06-23 17:30:00,69.36,69.36,69.36,69.36,2.0
DXCM,2026-06-23 19:30:00,69.36,70.0,68.9,70.0,102.0
DXCM,2026-06-23 20:30:00,70.0,70.0,68.9959,68.9959,325.0
DXCM,2026-06-23 21:00:00,68.9959,69.07,68.9959,69.07,118.0
DXCM,2026-06-23 21:30:00,68.778,69.3,68.7,69.3,19.0
DXCM,2026-06-23 22:00:00,69.3,70.35,63.12,70.2,1783.0
DXCM,2026-06-23 22:30:00,70.27,70.27,69.535,69.67,252964.0
