symbol,datetime,open,high,low,close,volume
EA,2026-06-22 17:00:00,202.15,202.15,201.98,202.1,16.0
EA,2026-06-22 19:00:00,202.1,202.3,202.1,202.153,97.0
EA,2026-06-22 20:00:00,202.153,202.153,201.6,202.06,212.0
EA,2026-06-22 20:30:00,202.06,203.0,201.8,203.0,21.0
EA,2026-06-22 21:00:00,203.0,203.0,202.04,202.33,1788.0
EA,2026-06-22 21:30:00,202.33,202.33,202.27,202.27,2.0
EA,2026-06-22 22:00:00,202.27,202.5,202.15,202.42,2552.0
EA,2026-06-22 22:30:00,202.33,202.845,202.26,202.845,157997.0
EA,2026-06-22 23:00:00,202.84,202.86,202.745,202.84,47875.0
EA,2026-06-22 23:30:00,202.84,202.85,202.55,202.71,46694.0
EA,2026-06-23 00:00:00,202.71,202.88,202.665,202.87,114500.0
EA,2026-06-23 00:30:00,202.87,203.0,202.87,202.895,26560.0
EA,2026-06-23 01:00:00,202.895,202.93,202.642,202.715,66755.0
EA,2026-06-23 01:30:00,202.715,202.9,202.7,202.89,27985.0
EA,2026-06-23 02:00:00,202.89,203.0,202.88,202.95,31652.0
EA,2026-06-23 02:30:00,202.95,203.0,202.92,202.93,35599.0
EA,2026-06-23 03:00:00,202.93,202.95,202.85,202.9,28771.0
EA,2026-06-23 03:30:00,202.9,202.91,202.83,202.89,35075.0
EA,2026-06-23 04:00:00,202.89,202.905,202.76,202.81,50528.0
EA,2026-06-23 04:30:00,202.81,202.97,202.61,202.95,239688.0
EA,2026-06-23 05:00:00,202.97,202.98,202.97,202.97,765159.0
EA,2026-06-23 05:30:00,202.97,202.97,202.3,202.55,47.0
EA,2026-06-23 06:00:00,202.55,202.97,202.55,202.97,46.0
EA,2026-06-23 06:30:00,202.97,203.0,202.95,203.0,374.0
EA,2026-06-23 07:00:00,203.0,203.19,202.83,203.08,297.0
EA,2026-06-23 07:30:00,202.84,202.84,202.39,202.61,29.0
EA,2026-06-23 08:00:00,202.61,202.8,202.39,202.67,50.0
EA,2026-06-23 17:00:00,202.97,209.01,202.97,203.33,373.0
EA,2026-06-23 17:30:00,203.33,203.54,202.79,203.54,238.0
EA,2026-06-23 18:00:00,203.57,203.79,203.57,203.59,116.0
EA,2026-06-23 18:30:00,203.59,203.79,203.59,203.66,21.0
EA,2026-06-23 19:00:00,203.66,204.27,203.66,203.84,134.0
EA,2026-06-23 19:30:00,203.84,204.18,203.74,203.92,164.0
EA,2026-06-23 20:00:00,203.75,203.83,203.64,203.64,12.0
EA,2026-06-23 20:30:00,203.64,203.83,203.64,203.83,10.0
EA,2026-06-23 21:00:00,203.83,203.83,203.18,203.69,112.0
EA,2026-06-23 21:30:00,203.69,203.81,202.97,202.97,262.0
EA,2026-06-23 22:00:00,202.97,203.92,202.56,203.67,500.0
EA,2026-06-23 22:30:00,203.67,203.67,203.02,203.54,123402.0
EA,2026-06-23 23:00:00,203.54,203.54,203.2912,203.36,150454.0
