symbol,datetime,open,high,low,close,volume
EXC,2026-06-22 17:00:00,45.5012,45.75,45.5012,45.75,88.0
EXC,2026-06-22 17:30:00,45.75,48.13,45.75,48.13,16.0
EXC,2026-06-22 18:00:00,48.13,48.13,47.9186,47.9186,7.0
EXC,2026-06-22 19:00:00,47.9186,47.92,47.9186,47.92,30.0
EXC,2026-06-22 19:30:00,47.92,47.92,45.59,45.59,148.0
EXC,2026-06-22 20:00:00,45.8,46.2,45.8,46.07,82.0
EXC,2026-06-22 20:30:00,46.07,46.07,45.81,45.81,9.0
EXC,2026-06-22 21:00:00,45.81,46.2,45.56,45.56,4.0
EXC,2026-06-22 22:00:00,45.84,46.2,45.56,45.83,49.0
EXC,2026-06-22 22:30:00,45.99,46.02,45.68,45.96,232676.0
EXC,2026-06-22 23:00:00,45.955,46.31,45.95,46.29,292710.0
EXC,2026-06-22 23:30:00,46.29,46.435,46.185,46.375,204831.0
EXC,2026-06-23 00:00:00,46.375,46.4,46.22,46.2401,233429.0
EXC,2026-06-23 00:30:00,46.2401,46.245,46.11,46.16,100116.0
EXC,2026-06-23 01:00:00,46.16,46.21,46.1205,46.125,133576.0
EXC,2026-06-23 01:30:00,46.125,46.21,46.125,46.15,99640.0
EXC,2026-06-23 02:00:00,46.15,46.215,46.09,46.09,128456.0
EXC,2026-06-23 02:30:00,46.09,46.12,46.035,46.04,138857.0
EXC,2026-06-23 03:00:00,46.04,46.085,45.99,46.08,192050.0
EXC,2026-06-23 03:30:00,46.08,46.21,46.05,46.19,185084.0
EXC,2026-06-23 04:00:00,46.19,46.19,45.955,45.955,243068.0
EXC,2026-06-23 04:30:00,45.955,46.26,45.875,45.93,1083255.0
EXC,2026-06-23 05:00:00,45.94,45.94,45.94,45.94,2370636.0
EXC,2026-06-23 05:30:00,45.94,46.4,45.94,45.94,33330.0
EXC,2026-06-23 06:00:00,45.94,45.94,45.94,45.94,1614300.0
EXC,2026-06-23 07:00:00,45.94,45.94,45.94,45.94,1039645.0
EXC,2026-06-23 08:00:00,45.94,46.5031,45.83,46.5031,149.0
EXC,2026-06-23 17:00:00,45.94,46.49,45.94,46.36,210.0
EXC,2026-06-23 19:30:00,46.36,46.36,45.36,45.36,1.0
EXC,2026-06-23 20:30:00,45.36,46.5,45.36,46.49,199.0
EXC,2026-06-23 21:00:00,46.49,46.49,46.312,46.4202,566.0
EXC,2026-06-23 21:30:00,46.5,46.5,46.0,46.0,35.0
EXC,2026-06-23 22:00:00,46.0,48.15,46.0,46.41,1566.0
EXC,2026-06-23 22:30:00,46.41,46.41,45.94,46.31,299601.0
EXC,2026-06-23 23:00:00,46.31,46.62,46.22,46.57,187340.0
EXC,2026-06-23 23:30:00,46.57,46.64,46.39,46.525,193909.0
EXC,2026-06-24 00:00:00,46.525,46.755,46.43,46.605,173071.0
EXC,2026-06-24 00:30:00,46.605,46.74,46.545,46.68,131020.0
EXC,2026-06-24 01:00:00,46.68,46.68,46.575,46.605,110478.0
EXC,2026-06-24 01:30:00,46.605,46.71,46.59,46.68,243574.0
EXC,2026-06-24 02:00:00,46.68,46.72,46.6,46.63,197166.0
EXC,2026-06-24 02:30:00,46.63,46.73,46.5945,46.715,156968.0
EXC,2026-06-24 03:00:00,46.715,46.745,46.64,46.73,134180.0
EXC,2026-06-24 03:30:00,46.73,46.84,46.72,46.78,160775.0
EXC,2026-06-24 04:00:00,46.78,46.79,46.595,46.625,423281.0
EXC,2026-06-24 04:30:00,46.625,46.74,46.55,46.61,1146437.0
EXC,2026-06-24 05:00:00,46.62,46.99,45.55,46.62,2792210.0
EXC,2026-06-24 05:30:00,46.62,46.7,46.62,46.7,1956.0
EXC,2026-06-24 06:00:00,46.62,46.62,46.61,46.61,197809.0
EXC,2026-06-24 06:30:00,46.61,46.65,46.6,46.6,179925.0
EXC,2026-06-24 07:00:00,46.6,46.6,46.6,46.6,11.0
EXC,2026-06-24 17:00:00,46.62,46.62,46.45,46.47,27.0
EXC,2026-06-24 20:30:00,46.47,46.62,46.47,46.62,2.0
EXC,2026-06-24 22:00:00,46.62,47.0099,46.26,46.85,127.0
EXC,2026-06-24 22:30:00,46.88,47.155,46.76,46.825,1046701.0
EXC,2026-06-24 23:00:00,46.825,46.93,46.58,46.62,239745.0
EXC,2026-06-24 23:30:00,46.62,46.67,46.48,46.615,358575.0
EXC,2026-06-25 00:00:00,46.615,46.72,46.5924,46.705,157832.0
EXC,2026-06-25 00:30:00,46.705,46.8376,46.61,46.635,197818.0
EXC,2026-06-25 01:00:00,46.635,46.67,46.415,46.445,140814.0
EXC,2026-06-25 01:30:00,46.445,46.6,46.3,46.32,442371.0
EXC,2026-06-25 02:00:00,46.32,46.56,46.32,46.46,266499.0
EXC,2026-06-25 02:30:00,46.46,46.635,46.46,46.635,181562.0
EXC,2026-06-25 03:00:00,46.64,46.82,46.64,46.82,213004.0
EXC,2026-06-25 03:30:00,46.82,46.98,46.82,46.945,203117.0
EXC,2026-06-25 04:00:00,46.945,47.03,46.85,46.86,371193.0
EXC,2026-06-25 04:30:00,46.86,47.05,46.77,46.89,1220532.0
EXC,2026-06-25 05:00:00,46.9,46.9,46.4563,46.46,2076634.0
EXC,2026-06-25 05:30:00,46.46,46.9,46.2572,46.31,5290.0
EXC,2026-06-25 06:00:00,47.17,47.17,46.31,46.9,267760.0
EXC,2026-06-25 07:00:00,46.9,46.9,46.2543,46.35,20420.0
EXC,2026-06-25 07:30:00,46.35,47.227,46.35,47.227,120.0
EXC,2026-06-25 08:00:00,46.293,46.293,46.26,46.26,205.0
EXC,2026-06-25 08:30:00,46.26,46.26,46.26,46.26,186.0
EXC,2026-06-25 17:00:00,46.9,47.31,46.25,46.93,573.0
EXC,2026-06-25 20:00:00,45.11,46.26,45.11,46.26,12.0
EXC,2026-06-25 20:30:00,46.26,46.9,46.26,46.9,19.0
EXC,2026-06-25 21:00:00,46.9,46.9,46.5,46.5,221.0
EXC,2026-06-25 22:00:00,46.5,47.0,46.5,47.0,292.0
EXC,2026-06-25 22:30:00,47.07,47.47,46.99,47.4121,577834.0
EXC,2026-06-25 23:00:00,47.4121,47.5,47.17,47.21,352688.0
EXC,2026-06-25 23:30:00,47.21,47.21,46.875,46.88,244555.0
EXC,2026-06-26 00:00:00,46.88,47.17,46.88,46.96,175652.0
EXC,2026-06-26 00:30:00,46.96,46.96,46.755,46.765,123642.0
EXC,2026-06-26 01:00:00,46.765,46.78,46.665,46.68,195665.0
EXC,2026-06-26 01:30:00,46.68,46.735,46.6,46.655,172858.0
EXC,2026-06-26 02:00:00,46.655,46.785,46.645,46.735,239460.0
EXC,2026-06-26 02:30:00,46.735,46.805,46.69,46.735,702440.0
EXC,2026-06-26 03:00:00,46.735,46.85,46.705,46.815,217039.0
EXC,2026-06-26 03:30:00,46.815,46.885,46.8,46.865,394452.0
EXC,2026-06-26 04:00:00,46.865,46.995,46.84,46.845,292849.0
EXC,2026-06-26 04:30:00,46.845,46.91,46.66,46.74,1413077.0
EXC,2026-06-26 05:00:00,46.75,46.75,46.6376,46.75,1755918.0
EXC,2026-06-26 05:30:00,46.75,46.75,46.3,46.75,24502.0
EXC,2026-06-26 06:00:00,46.75,46.75,46.5,46.722,34.0
EXC,2026-06-26 06:30:00,46.722,46.75,46.51,46.51,181281.0
EXC,2026-06-26 17:00:00,46.75,46.94,46.75,46.86,604.0
EXC,2026-06-26 17:30:00,46.86,46.86,45.45,45.45,140.0
EXC,2026-06-26 18:00:00,45.45,46.92,45.45,46.92,832.0
EXC,2026-06-26 19:00:00,46.92,47.06,46.92,47.06,448.0
EXC,2026-06-26 20:00:00,47.06,47.06,46.84,46.87,92.0
EXC,2026-06-26 20:30:00,46.87,46.87,46.75,46.75,2.0
EXC,2026-06-26 21:00:00,46.75,46.88,46.75,46.77,1429.0
EXC,2026-06-26 21:30:00,46.77,47.69,46.77,47.69,1781766.0
EXC,2026-06-26 22:00:00,47.69,47.69,46.96,47.23,892.0
EXC,2026-06-26 22:30:00,47.23,47.385,47.06,47.225,585461.0
EXC,2026-06-26 23:00:00,47.225,47.28,47.11,47.225,220835.0
EXC,2026-06-26 23:30:00,47.23,47.27,47.04,47.18,232501.0
EXC,2026-06-27 00:00:00,47.18,47.345,47.1596,47.3225,324071.0
EXC,2026-06-27 00:30:00,47.3225,47.33,47.22,47.29,293630.0
EXC,2026-06-27 01:00:00,47.29,47.315,47.125,47.13,144540.0
EXC,2026-06-27 01:30:00,47.13,47.21,47.1,47.185,87897.0
EXC,2026-06-27 02:00:00,47.185,47.38,47.185,47.32,153471.0
EXC,2026-06-27 02:30:00,47.32,47.38,47.3,47.32,169841.0
EXC,2026-06-27 03:00:00,47.32,47.335,47.25,47.29,180452.0
EXC,2026-06-27 03:30:00,47.29,47.4275,47.29,47.41,176939.0
EXC,2026-06-27 04:00:00,47.41,47.41,47.25,47.34,218772.0
