symbol,datetime,open,high,low,close,volume
FAST,2026-06-22 17:00:00,45.71,45.9,45.58,45.58,389.0
FAST,2026-06-22 20:00:00,45.58,45.85,45.58,45.85,9.0
FAST,2026-06-22 22:00:00,45.85,45.94,45.67,45.94,509.0
FAST,2026-06-22 22:30:00,45.97,46.33,45.91,46.085,305050.0
FAST,2026-06-22 23:00:00,46.075,46.18,45.9935,46.05,181443.0
FAST,2026-06-22 23:30:00,46.05,46.47,45.935,46.45,920686.0
FAST,2026-06-23 00:00:00,46.45,46.875,46.45,46.78,179283.0
FAST,2026-06-23 00:30:00,46.78,46.8,46.685,46.71,159474.0
FAST,2026-06-23 01:00:00,46.71,46.775,46.64,46.73,127509.0
FAST,2026-06-23 01:30:00,46.73,46.78,46.585,46.615,158688.0
FAST,2026-06-23 02:00:00,46.615,46.755,46.52,46.565,197875.0
FAST,2026-06-23 02:30:00,46.565,46.735,46.56,46.6697,197698.0
FAST,2026-06-23 03:00:00,46.6697,46.715,46.59,46.695,172294.0
FAST,2026-06-23 03:30:00,46.695,46.695,46.495,46.495,183989.0
FAST,2026-06-23 04:00:00,46.495,46.515,46.355,46.355,217913.0
FAST,2026-06-23 04:30:00,46.36,46.415,46.11,46.11,898785.0
FAST,2026-06-23 05:00:00,46.12,46.12,46.07,46.12,3231504.0
FAST,2026-06-23 06:00:00,46.12,46.15,46.12,46.12,30720.0
FAST,2026-06-23 07:00:00,46.12,46.18,46.12,46.18,53166.0
FAST,2026-06-23 07:30:00,46.18,46.7899,46.18,46.18,250.0
FAST,2026-06-23 08:00:00,46.17,46.18,46.12,46.12,575.0
FAST,2026-06-23 08:30:00,46.12,46.1275,46.12,46.1275,1000.0
FAST,2026-06-23 17:00:00,46.12,46.12,46.1,46.12,906.0
FAST,2026-06-23 19:00:00,46.5,46.5,46.22,46.22,147.0
FAST,2026-06-23 20:00:00,46.22,46.22,46.13,46.13,362.0
FAST,2026-06-23 20:30:00,46.13,46.15,45.91,45.91,2976.0
FAST,2026-06-23 21:30:00,45.91,45.95,45.91,45.95,36.0
FAST,2026-06-23 22:00:00,45.95,46.19,45.8,46.16,139.0
FAST,2026-06-23 22:30:00,46.13,46.58,45.41,45.46,339618.0
FAST,2026-06-23 23:00:00,45.46,45.865,45.46,45.865,181899.0
FAST,2026-06-23 23:30:00,45.865,46.01,45.8,45.92,185670.0
FAST,2026-06-24 00:00:00,45.92,45.985,45.79,45.815,151997.0
FAST,2026-06-24 00:30:00,45.815,45.935,45.8,45.925,122864.0
FAST,2026-06-24 01:00:00,45.925,45.995,45.915,45.96,98307.0
FAST,2026-06-24 01:30:00,45.96,46.105,45.925,46.085,97760.0
FAST,2026-06-24 02:00:00,46.085,46.125,45.995,46.005,120928.0
FAST,2026-06-24 02:30:00,46.005,46.005,45.87,45.88,114838.0
FAST,2026-06-24 03:00:00,45.88,45.91,45.74,45.755,117899.0
FAST,2026-06-24 03:30:00,45.755,45.76,45.705,45.715,114128.0
FAST,2026-06-24 04:00:00,45.715,45.7896,45.66,45.6867,188843.0
FAST,2026-06-24 04:30:00,45.6867,45.795,45.565,45.61,822626.0
FAST,2026-06-24 05:00:00,45.6,45.68,45.6,45.65,1866943.0
FAST,2026-06-24 06:00:00,45.6,45.6,45.6,45.6,31495.0
FAST,2026-06-24 06:30:00,45.6,45.6,45.6,45.6,41185.0
FAST,2026-06-24 07:00:00,45.6,45.6,45.33,45.33,3.0
FAST,2026-06-24 07:30:00,45.33,45.33,45.1198,45.1198,100.0
FAST,2026-06-24 08:00:00,45.1198,45.1198,45.0,45.0,1.0
FAST,2026-06-24 17:00:00,45.6,45.6,45.6,45.6,1.0
FAST,2026-06-24 20:30:00,45.6,45.7114,45.6,45.7114,3.0
FAST,2026-06-24 22:00:00,45.7114,45.7114,45.56,45.56,349.0
FAST,2026-06-24 22:30:00,45.67,46.56,45.67,46.46,391538.0
FAST,2026-06-24 23:00:00,46.46,46.52,46.19,46.29,322090.0
FAST,2026-06-24 23:30:00,46.29,46.71,46.285,46.705,186010.0
FAST,2026-06-25 00:00:00,46.705,46.81,46.59,46.805,152613.0
FAST,2026-06-25 00:30:00,46.805,46.82,46.55,46.575,135173.0
FAST,2026-06-25 01:00:00,46.575,46.625,46.53,46.625,102431.0
FAST,2026-06-25 01:30:00,46.625,46.665,46.455,46.46,123993.0
FAST,2026-06-25 02:00:00,46.4646,46.515,46.325,46.335,121140.0
FAST,2026-06-25 02:30:00,46.335,46.425,46.31,46.385,144447.0
FAST,2026-06-25 03:00:00,46.385,46.51,46.37,46.485,154294.0
FAST,2026-06-25 03:30:00,46.485,46.64,46.48,46.62,144217.0
FAST,2026-06-25 04:00:00,46.62,46.679,46.44,46.485,267218.0
FAST,2026-06-25 04:30:00,46.485,46.4999,46.25,46.26,891235.0
FAST,2026-06-25 05:00:00,46.26,46.305,45.94,45.94,1998646.0
FAST,2026-06-25 05:30:00,45.94,46.26,45.67,45.68,428049.0
FAST,2026-06-25 06:00:00,45.68,46.26,45.68,46.26,393600.0
FAST,2026-06-25 06:30:00,46.26,46.26,45.66,45.66,10.0
FAST,2026-06-25 07:00:00,45.66,46.26,45.62,45.62,342619.0
FAST,2026-06-25 07:30:00,45.62,46.26,45.62,46.26,17318.0
FAST,2026-06-25 08:00:00,46.26,46.26,45.51,45.51,206.0
FAST,2026-06-25 08:30:00,45.51,45.92,45.5,45.5,708.0
FAST,2026-06-25 17:00:00,45.71,45.71,45.71,45.71,4.0
FAST,2026-06-25 17:30:00,45.71,46.2869,45.71,46.2869,5.0
FAST,2026-06-25 20:00:00,45.93,45.93,45.93,45.93,18.0
FAST,2026-06-25 21:00:00,45.93,46.6502,45.93,46.1,811.0
FAST,2026-06-25 21:30:00,46.08,46.08,46.08,46.08,236.0
FAST,2026-06-25 22:00:00,46.08,46.5,46.06,46.2,1815.0
FAST,2026-06-25 22:30:00,46.24,47.61,46.19,47.535,570687.0
FAST,2026-06-25 23:00:00,47.535,47.81,47.43,47.51,307258.0
FAST,2026-06-25 23:30:00,47.51,47.65,47.33,47.33,170952.0
FAST,2026-06-26 00:00:00,47.33,47.385,46.995,46.995,211797.0
FAST,2026-06-26 00:30:00,46.995,47.0251,46.76,46.775,169796.0
FAST,2026-06-26 01:00:00,46.775,46.87,46.725,46.745,129628.0
FAST,2026-06-26 01:30:00,46.745,46.76,46.665,46.735,112840.0
FAST,2026-06-26 02:00:00,46.735,46.875,46.71,46.845,79606.0
FAST,2026-06-26 02:30:00,46.845,46.955,46.8,46.88,116190.0
FAST,2026-06-26 03:00:00,46.88,46.92,46.72,46.805,122538.0
