symbol,datetime,open,high,low,close,volume
GEHC,2026-06-22 17:00:00,61.885,61.885,61.29,61.82,168.0
GEHC,2026-06-22 17:30:00,61.82,61.82,61.39,61.39,273.0
GEHC,2026-06-22 20:00:00,61.51,61.65,61.3,61.33,184.0
GEHC,2026-06-22 20:30:00,61.33,61.65,61.33,61.65,84.0
GEHC,2026-06-22 21:00:00,61.65,61.65,61.59,61.59,1.0
GEHC,2026-06-22 21:30:00,61.59,61.65,61.59,61.65,101.0
GEHC,2026-06-22 22:00:00,61.65,61.78,61.03,61.03,648.0
GEHC,2026-06-22 22:30:00,61.07,61.3,60.71,61.175,233774.0
GEHC,2026-06-22 23:00:00,61.175,61.175,60.62,60.62,223433.0
GEHC,2026-06-22 23:30:00,60.62,60.815,60.32,60.705,168810.0
GEHC,2026-06-23 00:00:00,60.705,60.89,60.6933,60.8,120462.0
GEHC,2026-06-23 00:30:00,60.8,61.0,60.67,60.715,192318.0
GEHC,2026-06-23 01:00:00,60.715,60.87,60.61,60.71,72081.0
GEHC,2026-06-23 01:30:00,60.71,60.8,60.67,60.7,65128.0
GEHC,2026-06-23 02:00:00,60.7,61.02,60.7,60.87,139144.0
GEHC,2026-06-23 02:30:00,60.87,60.945,60.795,60.9,112821.0
GEHC,2026-06-23 03:00:00,60.9,60.965,60.8,60.92,70491.0
GEHC,2026-06-23 03:30:00,60.92,60.94,60.715,60.73,82541.0
GEHC,2026-06-23 04:00:00,60.73,60.86,60.62,60.66,137889.0
GEHC,2026-06-23 04:30:00,60.66,60.98,60.605,60.66,490892.0
GEHC,2026-06-23 05:00:00,60.64,61.76,60.5,60.5,1738122.0
GEHC,2026-06-23 05:30:00,60.5,60.64,60.5,60.64,137646.0
GEHC,2026-06-23 06:00:00,60.64,61.5,60.64,60.64,639700.0
GEHC,2026-06-23 06:30:00,60.64,60.6996,60.5801,60.6996,781.0
GEHC,2026-06-23 07:00:00,60.6996,60.6996,60.64,60.64,405632.0
GEHC,2026-06-23 07:30:00,60.64,61.5,60.64,61.5,5.0
GEHC,2026-06-23 08:00:00,61.5,61.5,60.63,60.75,76.0
GEHC,2026-06-23 08:30:00,60.75,60.75,60.5663,60.5663,21.0
GEHC,2026-06-23 17:00:00,60.5,60.99,60.33,60.99,222.0
GEHC,2026-06-23 17:30:00,60.99,60.99,60.7,60.7,146.0
GEHC,2026-06-23 20:00:00,60.7,60.84,60.7,60.7,306.0
GEHC,2026-06-23 20:30:00,60.7,60.91,60.5,60.53,401.0
GEHC,2026-06-23 21:00:00,60.53,61.3184,60.51,60.82,1021.0
GEHC,2026-06-23 21:30:00,60.82,61.32,60.64,60.79,105.0
GEHC,2026-06-23 22:00:00,60.79,73.83,60.7,61.44,5995.0
GEHC,2026-06-23 22:30:00,61.49,61.7,61.0,61.595,653505.0
GEHC,2026-06-23 23:00:00,61.595,62.2,61.49,62.145,422872.0
GEHC,2026-06-23 23:30:00,62.145,62.92,62.145,62.78,270021.0
GEHC,2026-06-24 00:00:00,62.78,62.9,62.52,62.87,230663.0
GEHC,2026-06-24 00:30:00,62.8601,63.23,62.82,63.22,255977.0
GEHC,2026-06-24 01:00:00,63.22,63.515,63.2,63.44,272779.0
GEHC,2026-06-24 01:30:00,63.44,63.49,63.32,63.43,158713.0
