symbol,datetime,open,high,low,close,volume
GILD,2026-06-22 17:00:00,124.387,124.56,123.33,124.56,233.0
GILD,2026-06-22 17:30:00,124.75,124.75,124.75,124.75,3.0
GILD,2026-06-22 18:00:00,124.75,124.75,123.68,123.68,205.0
GILD,2026-06-22 18:30:00,123.68,123.77,123.68,123.77,2.0
GILD,2026-06-22 19:00:00,123.77,123.77,123.6,123.6,6.0
GILD,2026-06-22 19:30:00,123.6,124.48,123.6,124.48,12.0
GILD,2026-06-22 20:00:00,125.0,125.0,124.01,124.4799,285.0
GILD,2026-06-22 20:30:00,124.4799,124.4799,123.76,124.33,1248.0
GILD,2026-06-22 21:00:00,124.33,125.49,122.965,124.2895,81.0
GILD,2026-06-22 21:30:00,124.2895,124.95,124.22,124.95,1481.0
GILD,2026-06-22 22:00:00,124.95,125.99,124.22,124.23,2550.0
GILD,2026-06-22 22:30:00,124.23,124.5,123.0,124.1,479707.0
GILD,2026-06-22 23:00:00,124.1,124.31,123.62,123.98,347291.0
GILD,2026-06-22 23:30:00,123.98,124.1025,123.45,123.765,264705.0
GILD,2026-06-23 00:00:00,123.765,124.0375,123.59,123.95,234269.0
GILD,2026-06-23 00:30:00,123.92,124.48,123.73,124.44,193458.0
GILD,2026-06-23 01:00:00,124.44,124.735,124.235,124.61,158914.0
GILD,2026-06-23 01:30:00,124.61,124.68,124.32,124.565,209054.0
GILD,2026-06-23 02:00:00,124.565,124.57,124.2,124.35,223400.0
GILD,2026-06-23 02:30:00,124.35,124.81,124.22,124.69,185300.0
GILD,2026-06-23 03:00:00,124.69,125.17,124.53,124.92,246772.0
GILD,2026-06-23 03:30:00,124.92,124.97,124.49,124.63,244515.0
GILD,2026-06-23 04:00:00,124.63,124.87,124.14,124.15,442664.0
GILD,2026-06-23 04:30:00,124.15,125.06,124.15,124.83,768878.0
GILD,2026-06-23 05:00:00,124.87,124.88,123.84,123.93,2566225.0
GILD,2026-06-23 05:30:00,123.93,124.8725,123.93,124.87,10953.0
GILD,2026-06-23 06:00:00,124.87,124.87,123.8683,124.87,112588.0
GILD,2026-06-23 06:30:00,124.37,125.5,124.31,124.31,1348.0
GILD,2026-06-23 07:00:00,124.31,124.872,124.0,124.0,104879.0
GILD,2026-06-23 07:30:00,124.0,124.56,122.36,124.56,99.0
GILD,2026-06-23 08:00:00,124.56,124.56,124.5,124.5,125.0
GILD,2026-06-23 17:00:00,125.15,126.99,124.87,126.55,1842.0
GILD,2026-06-23 17:30:00,126.55,126.55,126.05,126.08,47.0
GILD,2026-06-23 18:00:00,126.08,126.08,126.06,126.06,10.0
GILD,2026-06-23 19:00:00,126.05,126.06,125.63,126.06,176.0
GILD,2026-06-23 20:00:00,126.5,126.5,123.1529,123.1529,592.0
GILD,2026-06-23 20:30:00,123.1529,126.0,123.1529,126.0,459.0
GILD,2026-06-23 21:00:00,126.0,126.0,124.3813,124.87,3.0
GILD,2026-06-23 21:30:00,124.87,125.51,124.87,125.51,33.0
GILD,2026-06-23 22:00:00,125.51,139.03,124.77,126.58,1711.0
GILD,2026-06-23 22:30:00,126.63,126.7,124.44,125.99,476062.0
GILD,2026-06-23 23:00:00,125.99,126.535,125.74,126.47,296960.0
GILD,2026-06-23 23:30:00,126.47,126.495,125.86,126.22,164102.0
GILD,2026-06-24 00:00:00,126.22,126.22,125.61,125.73,221522.0
GILD,2026-06-24 00:30:00,125.73,126.1799,125.6301,125.9,266712.0
GILD,2026-06-24 01:00:00,125.9,126.0,125.3,125.36,232314.0
GILD,2026-06-24 01:30:00,125.36,125.8,125.36,125.72,183988.0
GILD,2026-06-24 02:00:00,125.72,125.94,125.64,125.69,191382.0
GILD,2026-06-24 02:30:00,125.69,125.96,125.655,125.74,193697.0
GILD,2026-06-24 03:00:00,125.735,125.95,125.64,125.6601,154395.0
GILD,2026-06-24 03:30:00,125.6601,126.0,125.585,125.78,257883.0
GILD,2026-06-24 04:00:00,125.78,125.82,125.21,125.24,311674.0
GILD,2026-06-24 04:30:00,125.24,125.475,124.99,125.05,981891.0
GILD,2026-06-24 05:00:00,125.05,125.537,125.05,125.15,2425770.0
GILD,2026-06-24 05:30:00,125.16,125.45,125.15,125.15,71.0
GILD,2026-06-24 06:00:00,125.05,127.0,125.05,127.0,333960.0
GILD,2026-06-24 06:30:00,127.0,127.0,125.2,125.2,147302.0
GILD,2026-06-24 07:00:00,125.2,125.45,125.2,125.45,1.0
GILD,2026-06-24 07:30:00,125.45,125.45,123.57,123.57,123.0
GILD,2026-06-24 08:00:00,123.57,126.48,123.57,126.48,4.0
GILD,2026-06-24 17:00:00,125.05,126.2,124.28,124.28,526.0
GILD,2026-06-24 18:00:00,124.28,124.28,124.27,124.27,5.0
GILD,2026-06-24 19:30:00,124.27,124.3,124.27,124.3,4.0
GILD,2026-06-24 20:00:00,124.3,125.22,124.3,125.22,25.0
GILD,2026-06-24 20:30:00,125.22,125.99,123.9175,125.99,627.0
GILD,2026-06-24 21:00:00,125.99,125.99,124.6,125.05,17.0
GILD,2026-06-24 21:30:00,125.05,127.59,124.94,127.59,496.0
GILD,2026-06-24 22:00:00,124.9002,125.3,124.9002,125.06,67.0
GILD,2026-06-24 22:30:00,125.92,127.2647,125.0,126.25,436975.0
