symbol,datetime,open,high,low,close,volume
GOOG,2026-06-22 17:00:00,363.12,363.95,360.67,361.25,26206.0
GOOG,2026-06-22 17:30:00,361.31,361.86,361.15,361.82,3512.0
GOOG,2026-06-22 18:00:00,361.81,362.38,361.5512,361.89,4826.0
GOOG,2026-06-22 18:30:00,361.89,362.07,361.4,361.61,5472.0
GOOG,2026-06-22 19:00:00,361.49,362.0,360.9423,361.1,5671.0
GOOG,2026-06-22 19:30:00,361.05,361.33,360.42,361.29,7606.0
GOOG,2026-06-22 20:00:00,361.29,361.7699,360.3412,360.8166,16219.0
GOOG,2026-06-22 20:30:00,360.78,361.36,360.6,360.8,16891.0
GOOG,2026-06-22 21:00:00,360.8,361.3017,359.75,359.8,28287.0
GOOG,2026-06-22 21:30:00,359.67,359.97,358.75,359.34,42370.0
GOOG,2026-06-22 22:00:00,359.39,359.53,355.9,357.19,95733.0
GOOG,2026-06-22 22:30:00,357.275,358.2,352.6,353.62,2361666.0
GOOG,2026-06-22 23:00:00,353.63,353.71,347.86,348.2427,2195213.0
GOOG,2026-06-22 23:30:00,348.2427,348.51,344.1072,344.675,2072613.0
GOOG,2026-06-23 00:00:00,344.675,344.72,340.94,342.7,2476316.0
GOOG,2026-06-23 00:30:00,342.7,346.58,342.6,345.2731,1314030.0
GOOG,2026-06-23 01:00:00,345.34,346.21,344.16,346.13,890113.0
GOOG,2026-06-23 01:30:00,346.13,346.3,344.83,345.7348,723271.0
GOOG,2026-06-23 02:00:00,345.7,346.75,344.92,346.32,937561.0
GOOG,2026-06-23 02:30:00,346.32,347.04,345.67,346.43,601897.0
GOOG,2026-06-23 03:00:00,346.46,347.67,346.315,347.305,737309.0
GOOG,2026-06-23 03:30:00,347.31,347.8822,346.51,346.765,666776.0
GOOG,2026-06-23 04:00:00,346.765,348.97,346.7,348.655,834734.0
GOOG,2026-06-23 04:30:00,348.655,349.46,347.69,348.69,1934945.0
GOOG,2026-06-23 05:00:00,348.78,349.72,347.81,347.92,5099980.0
GOOG,2026-06-23 05:30:00,347.9,348.25,346.09,346.2,34447.0
GOOG,2026-06-23 06:00:00,346.3891,348.0,346.04,347.76,18725.0
GOOG,2026-06-23 06:30:00,347.6295,347.98,347.61,347.72,26470.0
GOOG,2026-06-23 07:00:00,347.67,348.0,347.31,347.7,251564.0
GOOG,2026-06-23 07:30:00,347.68,348.0,346.36,346.6,12816.0
GOOG,2026-06-23 08:00:00,346.5985,346.9,346.26,346.4,9879.0
GOOG,2026-06-23 08:30:00,346.5,346.5,345.0,345.3994,21815.0
GOOG,2026-06-23 17:00:00,340.17,344.84,337.92,338.3,74770.0
GOOG,2026-06-23 17:30:00,338.63,340.38,338.57,340.3092,18874.0
GOOG,2026-06-23 18:00:00,340.4,341.52,339.66,340.99,18557.0
GOOG,2026-06-23 18:30:00,340.87,342.11,340.76,341.54,7331.0
GOOG,2026-06-23 19:00:00,341.8,342.9295,340.88,340.95,10580.0
GOOG,2026-06-23 19:30:00,341.02,341.8413,340.3,341.83,10513.0
GOOG,2026-06-23 20:00:00,341.86,342.5,341.31,341.92,35745.0
GOOG,2026-06-23 20:30:00,341.9,343.43,341.8,342.7,28002.0
GOOG,2026-06-23 21:00:00,342.7554,343.15,341.25,341.5675,28008.0
GOOG,2026-06-23 21:30:00,341.57,342.83,341.25,341.89,259317.0
GOOG,2026-06-23 22:00:00,341.99,342.79,339.2,340.23,92078.0
GOOG,2026-06-23 22:30:00,339.89,348.35,339.802,347.79,1991840.0
GOOG,2026-06-23 23:00:00,347.79,348.72,346.42,347.622,937986.0
GOOG,2026-06-23 23:30:00,347.622,348.125,345.57,345.98,868261.0
GOOG,2026-06-24 00:00:00,346.0,346.52,344.745,344.93,800910.0
GOOG,2026-06-24 00:30:00,344.93,346.35,344.6,345.71,694931.0
GOOG,2026-06-24 01:00:00,345.7,347.2,344.775,346.93,548029.0
GOOG,2026-06-24 01:30:00,346.93,347.65,346.52,347.375,459472.0
GOOG,2026-06-24 02:00:00,347.375,347.54,346.3101,347.23,355490.0
GOOG,2026-06-24 02:30:00,347.23,347.33,346.001,346.155,408392.0
GOOG,2026-06-24 03:00:00,346.155,346.64,345.39,345.42,530044.0
GOOG,2026-06-24 03:30:00,345.42,346.37,345.36,346.18,472322.0
GOOG,2026-06-24 04:00:00,346.18,346.885,345.8201,346.38,565545.0
GOOG,2026-06-24 04:30:00,346.37,347.72,345.84,346.04,1602808.0
GOOG,2026-06-24 05:00:00,346.04,347.0,345.83,346.999,5461370.0
GOOG,2026-06-24 05:30:00,347.0,347.0,346.06,346.95,40435.0
GOOG,2026-06-24 06:00:00,346.08,351.8,346.08,350.8496,57751.0
GOOG,2026-06-24 06:30:00,350.8,350.85,348.92,349.7487,151030.0
GOOG,2026-06-24 07:00:00,349.39,349.8,347.24,347.61,12838.0
GOOG,2026-06-24 07:30:00,347.62,348.07,346.3,347.64,9535.0
GOOG,2026-06-24 08:00:00,348.0,348.0,346.65,347.55,4193.0
GOOG,2026-06-24 08:30:00,347.3124,349.0,346.64,347.9999,12610.0
GOOG,2026-06-24 17:00:00,348.08,348.46,347.03,347.72,19232.0
GOOG,2026-06-24 17:30:00,347.6723,348.17,347.44,347.99,5699.0
GOOG,2026-06-24 18:00:00,348.0,348.33,347.65,348.03,6411.0
GOOG,2026-06-24 18:30:00,347.7813,348.0454,347.37,347.7366,1857.0
GOOG,2026-06-24 19:00:00,347.33,347.7064,347.24,347.6,2433.0
GOOG,2026-06-24 19:30:00,347.6,347.7998,347.01,347.12,2463.0
GOOG,2026-06-24 20:00:00,347.25,347.39,346.26,346.5495,12801.0
GOOG,2026-06-24 20:30:00,346.78,347.86,346.08,347.8594,10969.0
GOOG,2026-06-24 21:00:00,347.69,348.55,346.7,348.35,20011.0
GOOG,2026-06-24 21:30:00,348.52,348.64,347.6,348.4,40979.0
GOOG,2026-06-24 22:00:00,348.5,349.11,347.62,348.97,42389.0
GOOG,2026-06-24 22:30:00,348.72,351.86,346.77,349.975,1709646.0
GOOG,2026-06-24 23:00:00,349.9,350.715,348.61,349.85,747974.0
GOOG,2026-06-24 23:30:00,349.85,352.83,349.41,352.56,699474.0
GOOG,2026-06-25 00:00:00,352.56,352.58,349.6,350.12,579214.0
GOOG,2026-06-25 00:30:00,350.12,350.4,348.81,349.31,477213.0
GOOG,2026-06-25 01:00:00,349.31,350.15,348.71,349.01,742737.0
GOOG,2026-06-25 01:30:00,349.01,349.08,347.45,348.565,480096.0
GOOG,2026-06-25 02:00:00,348.54,349.01,347.92,348.07,528124.0
GOOG,2026-06-25 02:30:00,348.07,348.81,347.585,348.64,653862.0
GOOG,2026-06-25 03:00:00,348.64,348.99,343.64,344.465,1120351.0
GOOG,2026-06-25 03:30:00,344.465,345.2,341.835,342.59,1232196.0
GOOG,2026-06-25 04:00:00,342.59,344.59,341.51,344.02,957929.0
GOOG,2026-06-25 04:30:00,344.02,345.21,343.17,345.035,1776617.0
GOOG,2026-06-25 05:00:00,345.04,345.78,343.99,344.71,4723304.0
GOOG,2026-06-25 05:30:00,344.71,345.06,344.4,344.62,17242.0
GOOG,2026-06-25 06:00:00,344.57,345.19,343.99,344.974,44061.0
GOOG,2026-06-25 06:30:00,345.0,345.45,344.97,345.24,145228.0
GOOG,2026-06-25 07:00:00,345.29,345.36,342.2,342.6,26021.0
GOOG,2026-06-25 07:30:00,342.6001,343.26,342.3,342.3,25999.0
GOOG,2026-06-25 08:00:00,342.38,342.55,341.57,342.0,13775.0
GOOG,2026-06-25 08:30:00,341.98,342.75,341.56,342.0,10041.0
GOOG,2026-06-25 17:00:00,341.0,345.04,339.45,340.09,38669.0
GOOG,2026-06-25 17:30:00,340.09,340.64,339.8,340.0,7957.0
GOOG,2026-06-25 18:00:00,340.08,341.0,340.0571,340.68,3550.0
GOOG,2026-06-25 18:30:00,340.68,341.5,340.6112,341.41,2958.0
GOOG,2026-06-25 19:00:00,341.34,341.51,340.73,341.08,3296.0
GOOG,2026-06-25 19:30:00,340.93,341.1,340.17,341.0104,4258.0
GOOG,2026-06-25 20:00:00,341.1025,341.3,340.17,340.3,19461.0
GOOG,2026-06-25 20:30:00,340.46,341.0,340.12,340.4,15331.0
GOOG,2026-06-25 21:00:00,340.67,340.73,340.01,340.4,18201.0
