symbol,datetime,open,high,low,close,volume
HON,2026-06-22 17:00:00,228.51,229.16,228.09,228.9497,358.0
HON,2026-06-22 17:30:00,228.5,228.8933,228.5,228.7438,15.0
HON,2026-06-22 18:00:00,228.7438,228.96,228.7438,228.96,104.0
HON,2026-06-22 18:30:00,228.96,230.0,227.0793,227.0793,106.0
HON,2026-06-22 19:00:00,227.0793,228.36,227.0793,228.36,19.0
HON,2026-06-22 19:30:00,228.31,228.39,228.2,228.23,32.0
HON,2026-06-22 20:00:00,228.98,229.45,228.6,228.6,629.0
HON,2026-06-22 20:30:00,228.7105,229.1,228.6,228.89,423.0
HON,2026-06-22 21:00:00,228.89,229.45,228.6,229.45,831.0
HON,2026-06-22 21:30:00,229.45,229.45,229.03,229.0709,202.0
HON,2026-06-22 22:00:00,229.1,232.0,229.01,229.12,1167.0
HON,2026-06-22 22:30:00,231.35,231.3999,228.75,230.795,182429.0
HON,2026-06-22 23:00:00,230.795,231.0532,229.83,230.795,83288.0
HON,2026-06-22 23:30:00,230.795,230.945,230.26,230.87,115297.0
HON,2026-06-23 00:00:00,230.87,231.18,230.63,230.685,93885.0
HON,2026-06-23 00:30:00,230.685,231.07,230.41,231.07,94439.0
HON,2026-06-23 01:00:00,231.07,231.2,230.0,230.03,74959.0
HON,2026-06-23 01:30:00,230.1,230.1,229.165,229.56,85135.0
HON,2026-06-23 02:00:00,229.56,229.655,228.52,229.0,145884.0
HON,2026-06-23 02:30:00,229.0,229.39,228.5,228.77,77121.0
HON,2026-06-23 03:00:00,228.77,229.46,228.1691,229.37,68508.0
HON,2026-06-23 03:30:00,229.37,229.51,228.36,228.415,92564.0
HON,2026-06-23 04:00:00,228.415,228.63,227.39,227.4725,101145.0
HON,2026-06-23 04:30:00,227.4725,228.49,227.2,228.13,389684.0
HON,2026-06-23 05:00:00,228.13,228.52,226.8982,228.139,1704862.0
HON,2026-06-23 05:30:00,228.139,232.32,228.0,229.0,131.0
HON,2026-06-23 06:00:00,229.0,229.0,227.65,227.76,144807.0
HON,2026-06-23 06:30:00,227.75,228.01,227.75,228.01,1117.0
HON,2026-06-23 07:00:00,228.01,228.11,226.6963,227.8,753.0
HON,2026-06-23 07:30:00,227.74,227.96,227.2,227.2,121.0
HON,2026-06-23 08:00:00,227.3,228.01,227.2639,227.2851,50.0
HON,2026-06-23 08:30:00,227.2851,228.1478,227.07,228.1478,317.0
