symbol,datetime,open,high,low,close,volume
IDXX,2026-06-22 17:00:00,582.1432,582.1432,552.18,552.18,6.0
IDXX,2026-06-22 19:30:00,552.18,559.35,552.18,559.35,8.0
IDXX,2026-06-22 20:00:00,559.35,560.69,559.35,559.46,8.0
IDXX,2026-06-22 20:30:00,559.46,560.52,559.46,560.52,5.0
IDXX,2026-06-22 22:00:00,560.52,560.52,556.53,556.53,45.0
IDXX,2026-06-22 22:30:00,555.92,562.74,554.105,558.825,26217.0
IDXX,2026-06-22 23:00:00,558.825,558.825,550.76,550.76,12402.0
IDXX,2026-06-22 23:30:00,550.76,551.11,547.23,549.16,27106.0
IDXX,2026-06-23 00:00:00,549.16,550.915,548.38,550.89,9746.0
IDXX,2026-06-23 00:30:00,550.45,552.6,549.54,550.3075,8793.0
IDXX,2026-06-23 01:00:00,550.3075,550.31,548.215,548.215,9253.0
IDXX,2026-06-23 01:30:00,548.215,549.0499,547.475,547.82,6224.0
IDXX,2026-06-23 02:00:00,547.82,549.16,547.82,547.8565,7890.0
IDXX,2026-06-23 02:30:00,547.8565,549.16,547.6701,547.6701,8873.0
IDXX,2026-06-23 03:00:00,547.6701,549.01,547.36,548.135,19219.0
IDXX,2026-06-23 03:30:00,548.135,548.135,541.605,541.67,20225.0
IDXX,2026-06-23 04:00:00,541.67,543.465,541.02,541.375,20692.0
IDXX,2026-06-23 04:30:00,541.375,546.35,540.99,545.62,68841.0
IDXX,2026-06-23 05:00:00,545.73,545.73,545.73,545.73,232959.0
IDXX,2026-06-23 07:00:00,545.73,545.73,545.73,545.73,1695.0
IDXX,2026-06-23 07:30:00,545.73,556.37,545.01,556.37,20.0
IDXX,2026-06-23 17:00:00,545.73,553.65,545.73,553.65,128.0
IDXX,2026-06-23 19:00:00,553.65,553.65,544.44,544.44,8.0
IDXX,2026-06-23 20:30:00,544.44,544.44,542.0,542.0,50.0
IDXX,2026-06-23 21:00:00,542.0,542.0,541.0,541.0,40.0
IDXX,2026-06-23 21:30:00,541.0,541.0,541.0,541.0,114.0
IDXX,2026-06-23 22:00:00,541.0,554.39,540.96,548.12,723.0
IDXX,2026-06-23 22:30:00,548.75,551.61,545.145,545.145,28382.0
IDXX,2026-06-23 23:00:00,545.145,547.06,544.09,544.885,30257.0
IDXX,2026-06-23 23:30:00,544.885,546.12,544.465,545.51,37139.0
IDXX,2026-06-24 00:00:00,545.51,545.51,541.14,542.04,13519.0
IDXX,2026-06-24 00:30:00,542.04,542.82,541.14,542.82,11777.0
IDXX,2026-06-24 01:00:00,542.82,545.59,542.82,543.27,40255.0
IDXX,2026-06-24 01:30:00,543.27,544.37,542.22,542.29,10661.0
IDXX,2026-06-24 02:00:00,542.29,543.56,540.64,541.28,11471.0
IDXX,2026-06-24 02:30:00,541.28,541.95,540.0101,540.875,14355.0
IDXX,2026-06-24 03:00:00,540.875,542.12,540.24,540.82,11670.0
IDXX,2026-06-24 03:30:00,540.82,540.82,538.44,539.86,26101.0
IDXX,2026-06-24 04:00:00,539.86,542.31,539.7,541.31,20151.0
IDXX,2026-06-24 04:30:00,541.31,541.92,540.18,541.21,52487.0
IDXX,2026-06-24 05:00:00,541.31,541.31,541.31,541.31,182554.0
IDXX,2026-06-24 06:00:00,541.31,541.31,541.31,541.31,16.0
IDXX,2026-06-24 07:00:00,541.31,541.31,540.75,540.75,5594.0
IDXX,2026-06-24 07:30:00,540.75,540.75,540.75,540.75,8.0
IDXX,2026-06-24 08:00:00,540.75,540.75,540.75,540.75,8.0
IDXX,2026-06-24 20:30:00,541.31,541.31,541.31,541.31,1.0
IDXX,2026-06-24 21:30:00,541.31,542.31,541.31,542.31,50.0
IDXX,2026-06-24 22:00:00,542.31,542.31,539.91,539.91,23.0
IDXX,2026-06-24 22:30:00,539.91,556.45,539.3,553.96,40477.0
IDXX,2026-06-24 23:00:00,553.96,560.92,552.8225,559.58,26805.0
IDXX,2026-06-24 23:30:00,559.58,560.09,554.85,556.05,13725.0
IDXX,2026-06-25 00:00:00,556.05,557.22,553.741,554.69,30123.0
IDXX,2026-06-25 00:30:00,554.69,554.69,551.18,551.68,12119.0
IDXX,2026-06-25 01:00:00,551.68,553.78,550.99,553.12,9339.0
IDXX,2026-06-25 01:30:00,553.12,553.96,552.04,552.04,13381.0
IDXX,2026-06-25 02:00:00,552.04,552.325,549.005,549.12,16373.0
IDXX,2026-06-25 02:30:00,549.12,550.66,548.86,550.66,7642.0
IDXX,2026-06-25 03:00:00,550.66,553.13,550.66,552.335,13274.0
IDXX,2026-06-25 03:30:00,552.335,552.85,551.125,551.91,11677.0
IDXX,2026-06-25 04:00:00,551.91,552.51,551.045,551.245,17474.0
IDXX,2026-06-25 04:30:00,551.245,552.15,548.46,549.3,54740.0
IDXX,2026-06-25 05:00:00,549.16,550.9,549.09,549.09,156152.0
IDXX,2026-06-25 05:30:00,549.09,549.09,543.5,546.28,23.0
IDXX,2026-06-25 06:00:00,546.28,549.16,546.28,549.16,7008.0
IDXX,2026-06-25 07:00:00,549.16,549.16,549.16,549.16,17687.0
IDXX,2026-06-25 07:30:00,549.16,549.16,543.68,543.68,1.0
IDXX,2026-06-25 08:00:00,543.5,543.5,543.5,543.5,13.0
IDXX,2026-06-25 17:00:00,549.16,549.16,549.16,549.16,3.0
IDXX,2026-06-25 18:00:00,549.16,549.16,546.54,546.54,8.0
IDXX,2026-06-25 20:30:00,546.54,549.16,546.54,548.16,40.0
IDXX,2026-06-25 21:30:00,549.16,549.16,545.37,546.59,30.0
IDXX,2026-06-25 22:00:00,546.59,548.27,546.59,547.13,16.0
IDXX,2026-06-25 22:30:00,547.37,564.52,545.6645,559.47,48822.0
IDXX,2026-06-25 23:00:00,559.875,570.84,559.61,568.5,22646.0
IDXX,2026-06-25 23:30:00,568.5,568.63,564.8978,565.47,15730.0
IDXX,2026-06-26 00:00:00,565.47,565.605,562.885,563.18,16069.0
IDXX,2026-06-26 00:30:00,563.18,565.83,562.78,564.16,76930.0
IDXX,2026-06-26 01:00:00,563.14,563.76,558.43,558.765,8801.0
IDXX,2026-06-26 01:30:00,558.765,558.765,556.75,557.95,19305.0
IDXX,2026-06-26 02:00:00,557.95,558.38,555.99,556.295,5750.0
IDXX,2026-06-26 02:30:00,556.295,556.64,555.18,555.56,7165.0
