symbol,datetime,open,high,low,close,volume
INTU,2026-06-22 17:00:00,268.3037,268.6023,265.01,267.0,735.0
INTU,2026-06-22 17:30:00,267.93,268.8,267.02,267.8,134.0
INTU,2026-06-22 18:00:00,267.8,267.8,266.71,266.71,105.0
INTU,2026-06-22 18:30:00,266.86,266.86,265.0528,265.97,198.0
INTU,2026-06-22 19:00:00,265.97,265.97,265.61,265.9,151.0
INTU,2026-06-22 19:30:00,265.9,265.9,265.0,265.0,8.0
INTU,2026-06-22 20:00:00,266.1,266.5,264.0,264.08,2241.0
INTU,2026-06-22 20:30:00,265.0,267.0,264.0,264.66,10186.0
INTU,2026-06-22 21:00:00,264.6328,265.0,264.0261,264.41,3043.0
INTU,2026-06-22 21:30:00,264.4,265.0,263.81,264.547,833.0
INTU,2026-06-22 22:00:00,264.34,264.34,258.21,259.42,5383.0
INTU,2026-06-22 22:30:00,259.415,266.01,257.87,265.825,432202.0
INTU,2026-06-22 23:00:00,265.825,267.43,260.24,260.995,316575.0
INTU,2026-06-22 23:30:00,260.995,261.84,259.63,260.34,206009.0
INTU,2026-06-23 00:00:00,260.34,260.5,256.92,257.875,211978.0
INTU,2026-06-23 00:30:00,257.86,257.98,255.63,255.86,225293.0
INTU,2026-06-23 01:00:00,255.86,256.05,252.84,253.09,266560.0
INTU,2026-06-23 01:30:00,253.09,254.72,252.92,254.49,243577.0
INTU,2026-06-23 02:00:00,254.49,256.32,254.34,255.055,331832.0
INTU,2026-06-23 02:30:00,255.06,256.39,254.46,256.295,206379.0
INTU,2026-06-23 03:00:00,256.295,257.3,255.48,257.18,242727.0
INTU,2026-06-23 03:30:00,257.18,257.705,256.3701,256.655,213260.0
INTU,2026-06-23 04:00:00,256.655,257.16,256.09,256.91,230901.0
INTU,2026-06-23 04:30:00,256.91,258.47,256.89,257.77,612174.0
INTU,2026-06-23 05:00:00,257.77,258.4705,256.6,257.9025,844171.0
INTU,2026-06-23 05:30:00,257.68,258.0,257.25,257.55,3166.0
INTU,2026-06-23 06:00:00,257.5,258.0,257.5,258.0,575.0
INTU,2026-06-23 06:30:00,257.76,258.4,257.3,258.4,1128.0
INTU,2026-06-23 07:00:00,258.4,258.4,257.77,257.77,23351.0
INTU,2026-06-23 07:30:00,257.77,258.35,257.77,258.19,247.0
INTU,2026-06-23 08:00:00,257.82,258.4,257.78,258.0,236.0
INTU,2026-06-23 08:30:00,258.0,258.0,257.5,257.848,1406.0
INTU,2026-06-23 17:00:00,257.097,261.99,256.5,261.99,2782.0
INTU,2026-06-23 17:30:00,261.6581,261.99,258.1137,259.71,857.0
INTU,2026-06-23 18:00:00,259.71,259.99,259.18,259.18,493.0
INTU,2026-06-23 18:30:00,259.1,259.9,258.65,259.0,170.0
INTU,2026-06-23 19:00:00,259.0,260.52,258.55,260.0,1444.0
INTU,2026-06-23 19:30:00,260.0,261.0,259.4,261.0,1539.0
INTU,2026-06-23 20:00:00,259.63,261.0,257.77,260.55,6771.0
INTU,2026-06-23 20:30:00,260.75,261.5,257.77,260.65,6013.0
INTU,2026-06-23 21:00:00,260.64,261.99,259.55,261.3565,3418.0
INTU,2026-06-23 21:30:00,261.6998,263.0,259.8122,262.0,3805.0
INTU,2026-06-23 22:00:00,262.01,264.0,260.74,262.0,5156.0
INTU,2026-06-23 22:30:00,262.02,263.55,256.435,258.55,475847.0
INTU,2026-06-23 23:00:00,258.55,258.96,255.65,257.46,285708.0
INTU,2026-06-23 23:30:00,257.46,260.71,256.95,260.33,393754.0
INTU,2026-06-24 00:00:00,260.33,260.965,258.09,258.34,268720.0
INTU,2026-06-24 00:30:00,258.34,259.15,257.88,258.71,174934.0
INTU,2026-06-24 01:00:00,258.71,259.86,258.435,259.545,143004.0
INTU,2026-06-24 01:30:00,259.545,261.05,259.38,260.735,176520.0
INTU,2026-06-24 02:00:00,260.735,261.33,258.75,259.58,260263.0
INTU,2026-06-24 02:30:00,259.58,260.015,257.92,258.38,227144.0
INTU,2026-06-24 03:00:00,258.38,259.48,257.85,258.58,194588.0
INTU,2026-06-24 03:30:00,258.58,258.75,257.5,258.0,201437.0
INTU,2026-06-24 04:00:00,258.0,258.695,257.77,257.97,207904.0
INTU,2026-06-24 04:30:00,257.965,258.69,257.48,257.97,543466.0
INTU,2026-06-24 05:00:00,258.05,258.65,256.0,258.15,714894.0
INTU,2026-06-24 05:30:00,258.15,258.45,257.2,258.45,2261.0
INTU,2026-06-24 06:00:00,258.05,258.45,257.75,257.75,289.0
INTU,2026-06-24 06:30:00,258.2,258.45,258.001,258.3,4545.0
INTU,2026-06-24 07:00:00,258.3,258.3,257.4,257.4,433.0
INTU,2026-06-24 07:30:00,257.4,258.3,257.0,258.0,285.0
INTU,2026-06-24 08:00:00,258.0,258.0,257.1248,257.1248,149.0
INTU,2026-06-24 08:30:00,257.1248,259.1,257.1248,257.9,209.0
INTU,2026-06-24 17:00:00,259.725,260.53,256.63,257.01,325.0
INTU,2026-06-24 17:30:00,257.01,257.01,256.62,256.99,30.0
INTU,2026-06-24 18:00:00,256.99,257.8,256.35,256.35,86.0
INTU,2026-06-24 18:30:00,256.35,256.4,255.49,256.16,12.0
INTU,2026-06-24 19:00:00,256.16,257.749,256.16,257.42,172.0
INTU,2026-06-24 19:30:00,257.42,257.52,256.5108,257.52,63.0
INTU,2026-06-24 20:00:00,257.54,259.2,257.0315,257.56,263.0
INTU,2026-06-24 20:30:00,257.56,258.05,256.6656,257.7,149.0
INTU,2026-06-24 21:00:00,258.11,258.11,255.5003,255.9,3832.0
INTU,2026-06-24 21:30:00,256.02,256.25,254.03,255.0,2905.0
INTU,2026-06-24 22:00:00,255.0,258.75,254.44,258.11,3817.0
INTU,2026-06-24 22:30:00,258.11,267.29,256.1501,263.88,397503.0
INTU,2026-06-24 23:00:00,263.88,266.105,261.52,264.28,233230.0
INTU,2026-06-24 23:30:00,264.28,265.73,263.06,265.6,188300.0
INTU,2026-06-25 00:00:00,265.6,269.03,265.25,268.11,178428.0
INTU,2026-06-25 00:30:00,268.11,268.22,265.95,266.05,134504.0
INTU,2026-06-25 01:00:00,266.05,268.31,265.96,267.645,167399.0
INTU,2026-06-25 01:30:00,267.645,270.4599,267.64,269.075,190999.0
INTU,2026-06-25 02:00:00,269.075,269.53,266.51,267.05,218360.0
INTU,2026-06-25 02:30:00,267.05,267.54,266.56,266.7,154903.0
INTU,2026-06-25 03:00:00,266.715,268.27,266.47,267.59,156100.0
INTU,2026-06-25 03:30:00,267.54,267.78,266.03,266.835,141692.0
INTU,2026-06-25 04:00:00,266.835,266.835,264.09,264.19,204115.0
INTU,2026-06-25 04:30:00,264.19,264.43,261.625,262.239,486126.0
INTU,2026-06-25 05:00:00,262.235,267.0,260.0,260.5,1008619.0
INTU,2026-06-25 05:30:00,260.11,262.24,260.0,261.0,1996.0
INTU,2026-06-25 06:00:00,261.18,262.24,260.8,261.0,568.0
INTU,2026-06-25 06:30:00,261.8,261.8,261.0,261.75,67065.0
INTU,2026-06-25 07:00:00,261.75,262.23,260.87,261.04,905.0
INTU,2026-06-25 07:30:00,261.04,262.235,261.0,261.49,762.0
INTU,2026-06-25 08:00:00,261.49,261.5,260.81,261.4,297.0
INTU,2026-06-25 08:30:00,261.4,261.5,260.9,261.46,324.0
INTU,2026-06-25 17:00:00,262.235,262.235,259.34,259.3675,1012.0
INTU,2026-06-25 17:30:00,259.0,260.25,259.0,259.33,27.0
INTU,2026-06-25 18:00:00,259.33,260.19,259.2514,259.5,192.0
INTU,2026-06-25 18:30:00,259.5,260.19,259.5,260.19,230.0
INTU,2026-06-25 19:00:00,259.6,259.61,258.54,258.54,343.0
INTU,2026-06-25 19:30:00,259.02,260.25,258.6,259.77,1015.0
INTU,2026-06-25 20:00:00,260.04,260.2055,258.3,259.5,7565.0
INTU,2026-06-25 20:30:00,259.396,262.235,258.32,258.6722,4044.0
INTU,2026-06-25 21:00:00,258.6722,259.5,258.48,259.49,813.0
INTU,2026-06-25 21:30:00,259.4899,259.49,256.45,256.99,6114.0
INTU,2026-06-25 22:00:00,256.8645,258.99,255.28,255.59,3099.0
INTU,2026-06-25 22:30:00,255.19,259.79,253.21,258.47,372539.0
INTU,2026-06-25 23:00:00,259.04,262.3599,258.05,261.15,204201.0
INTU,2026-06-25 23:30:00,261.15,261.15,258.26,258.38,144900.0
INTU,2026-06-26 00:00:00,258.38,258.38,255.6,257.38,203105.0
INTU,2026-06-26 00:30:00,257.38,258.54,257.27,257.91,98807.0
INTU,2026-06-26 01:00:00,258.01,258.78,256.235,256.33,131640.0
INTU,2026-06-26 01:30:00,256.33,256.66,255.17,256.02,108774.0
INTU,2026-06-26 02:00:00,256.02,256.265,254.68,254.88,130454.0
INTU,2026-06-26 02:30:00,254.88,255.29,254.05,255.14,103856.0
INTU,2026-06-26 03:00:00,255.14,257.52,254.76,257.51,130329.0
INTU,2026-06-26 03:30:00,257.51,257.53,255.4,255.62,93941.0
INTU,2026-06-26 04:00:00,255.62,255.85,255.11,255.14,121485.0
INTU,2026-06-26 04:30:00,255.14,256.815,254.3262,255.02,333732.0
INTU,2026-06-26 05:00:00,255.02,256.6,254.0,256.0,855914.0
INTU,2026-06-26 05:30:00,255.809,256.5,255.07,255.07,761.0
INTU,2026-06-26 06:00:00,255.07,256.43,255.07,256.02,426.0
INTU,2026-06-26 06:30:00,255.946,256.8941,255.07,256.6914,156628.0
INTU,2026-06-26 07:00:00,256.6914,256.85,255.786,256.29,579.0
INTU,2026-06-26 07:30:00,256.23,256.85,255.73,256.2062,94.0
INTU,2026-06-26 08:00:00,256.2062,256.85,256.11,256.85,219.0
INTU,2026-06-26 08:30:00,256.85,256.85,255.86,256.85,163.0
INTU,2026-06-26 17:00:00,248.9,257.75,248.9,256.2,569.0
INTU,2026-06-26 17:30:00,257.82,258.36,256.21,256.81,100.0
INTU,2026-06-26 18:00:00,256.81,257.15,256.5,256.98,845.0
INTU,2026-06-26 18:30:00,256.98,258.66,256.0,258.66,83.0
INTU,2026-06-26 19:00:00,258.66,258.66,256.0715,256.54,152.0
INTU,2026-06-26 19:30:00,256.54,257.14,256.54,257.14,24.0
INTU,2026-06-26 20:00:00,256.55,257.69,256.01,256.43,364.0
INTU,2026-06-26 20:30:00,256.49,257.0,255.07,256.4,989.0
INTU,2026-06-26 21:00:00,256.1474,258.0,256.1474,257.15,584.0
INTU,2026-06-26 21:30:00,258.0,258.0,257.0,257.75,1108.0
INTU,2026-06-26 22:00:00,257.6525,260.3,257.0,260.3,1983.0
INTU,2026-06-26 22:30:00,259.755,267.73,259.4375,264.3275,301763.0
INTU,2026-06-26 23:00:00,264.3275,265.6699,261.85,264.91,173125.0
INTU,2026-06-26 23:30:00,265.09,266.34,264.1,265.69,120016.0
INTU,2026-06-27 00:00:00,265.69,267.44,264.76,266.4503,167128.0
INTU,2026-06-27 00:30:00,266.4503,268.37,266.02,268.37,150499.0
INTU,2026-06-27 01:00:00,268.37,269.82,267.74,267.88,149026.0
INTU,2026-06-27 01:30:00,267.88,269.88,267.88,268.13,141401.0
INTU,2026-06-27 02:00:00,268.13,268.91,266.2,266.355,126841.0
