symbol,datetime,open,high,low,close,volume
KDP,2026-06-22 17:00:00,32.1575,32.1575,30.61,30.74,62.0
KDP,2026-06-22 20:00:00,30.81,30.8871,30.8,30.8,834.0
KDP,2026-06-22 20:30:00,30.8,30.8,30.6001,30.62,170.0
KDP,2026-06-22 21:00:00,30.62,30.79,30.62,30.79,204.0
KDP,2026-06-22 21:30:00,30.79,30.99,30.6,30.6,16.0
KDP,2026-06-22 22:00:00,30.6,30.79,30.6,30.6,530.0
KDP,2026-06-22 22:30:00,30.6,30.87,30.6,30.67,501895.0
KDP,2026-06-22 23:00:00,30.665,30.89,30.66,30.875,259502.0
KDP,2026-06-22 23:30:00,30.875,30.985,30.855,30.92,215575.0
KDP,2026-06-23 00:00:00,30.92,31.22,30.895,31.13,295278.0
KDP,2026-06-23 00:30:00,31.13,31.13,31.055,31.085,175676.0
KDP,2026-06-23 01:00:00,31.085,31.09,30.96,31.02,193115.0
KDP,2026-06-23 01:30:00,31.02,31.09,30.995,31.045,174920.0
KDP,2026-06-23 02:00:00,31.045,31.055,30.94,30.945,180099.0
KDP,2026-06-23 02:30:00,30.945,30.95,30.855,30.875,234977.0
KDP,2026-06-23 03:00:00,30.875,30.92,30.85,30.905,162152.0
KDP,2026-06-23 03:30:00,30.905,30.95,30.9,30.935,247627.0
KDP,2026-06-23 04:00:00,30.935,30.995,30.905,30.965,338743.0
KDP,2026-06-23 04:30:00,30.965,31.0,30.85,30.85,1847784.0
KDP,2026-06-23 05:00:00,30.87,31.25,30.87,31.25,4720278.0
KDP,2026-06-23 05:30:00,31.25,31.25,30.87,30.87,55.0
KDP,2026-06-23 06:00:00,30.87,31.25,30.87,30.87,18100.0
KDP,2026-06-23 06:30:00,30.87,31.25,30.87,31.0,1275.0
KDP,2026-06-23 07:00:00,31.0,31.0,30.87,30.87,93989.0
KDP,2026-06-23 08:30:00,30.87,30.87,30.87,30.87,1.0
KDP,2026-06-23 17:00:00,31.29,31.36,31.01,31.05,1444.0
KDP,2026-06-23 19:00:00,31.05,31.05,31.05,31.05,21.0
KDP,2026-06-23 19:30:00,31.05,31.11,31.05,31.11,100.0
KDP,2026-06-23 20:00:00,30.81,31.25,30.81,31.25,42.0
KDP,2026-06-23 21:00:00,31.25,31.25,30.87,30.87,124.0
KDP,2026-06-23 21:30:00,30.87,31.08,30.87,31.08,23.0
KDP,2026-06-23 22:00:00,31.08,31.25,30.83,31.13,7867.0
KDP,2026-06-23 22:30:00,30.87,31.02,29.8307,29.895,998814.0
KDP,2026-06-23 23:00:00,29.895,30.285,29.845,30.22,1480655.0
KDP,2026-06-23 23:30:00,30.22,30.55,30.13,30.54,595237.0
KDP,2026-06-24 00:00:00,30.54,30.625,30.495,30.58,496371.0
KDP,2026-06-24 00:30:00,30.585,30.635,30.535,30.545,371967.0
KDP,2026-06-24 01:00:00,30.545,30.605,30.485,30.575,436726.0
KDP,2026-06-24 01:30:00,30.575,30.64,30.56,30.615,266329.0
KDP,2026-06-24 02:00:00,30.615,30.655,30.535,30.535,332027.0
KDP,2026-06-24 02:30:00,30.535,30.565,30.455,30.515,377710.0
KDP,2026-06-24 03:00:00,30.515,30.715,30.48,30.7,425304.0
KDP,2026-06-24 03:30:00,30.7,30.825,30.685,30.825,431082.0
KDP,2026-06-24 04:00:00,30.825,30.86,30.775,30.845,725297.0
KDP,2026-06-24 04:30:00,30.845,30.94,30.82,30.87,1833258.0
KDP,2026-06-24 05:00:00,30.87,30.87,30.87,30.87,4374686.0
KDP,2026-06-24 05:30:00,30.87,30.87,30.5,30.5,12.0
KDP,2026-06-24 06:00:00,30.87,31.0,30.5001,31.0,182788.0
KDP,2026-06-24 06:30:00,31.0,31.0,31.0,31.0,306531.0
KDP,2026-06-24 07:00:00,31.0,31.0,31.0,31.0,1.0
KDP,2026-06-24 07:30:00,31.0,31.0,30.52,30.52,45.0
KDP,2026-06-24 08:00:00,30.52,30.8,30.52,30.8,12.0
KDP,2026-06-24 17:00:00,30.87,30.87,30.67,30.83,90.0
KDP,2026-06-24 17:30:00,30.83,30.83,30.77,30.77,1.0
KDP,2026-06-24 19:00:00,30.77,30.78,30.77,30.78,3.0
KDP,2026-06-24 20:00:00,30.78,30.9665,30.72,30.9665,2.0
KDP,2026-06-24 20:30:00,30.9665,30.9665,30.67,30.67,45.0
KDP,2026-06-24 21:00:00,30.67,30.9,30.67,30.9,11.0
KDP,2026-06-24 21:30:00,30.9,30.99,30.9,30.9807,3.0
KDP,2026-06-24 22:00:00,30.9807,31.28,30.89,31.0,2977.0
KDP,2026-06-24 22:30:00,31.125,31.46,30.985,31.3,843463.0
KDP,2026-06-24 23:00:00,31.3094,31.465,31.19,31.46,783469.0
KDP,2026-06-24 23:30:00,31.46,31.478,31.3,31.46,690458.0
KDP,2026-06-25 00:00:00,31.45,31.755,31.42,31.685,548655.0
KDP,2026-06-25 00:30:00,31.685,31.755,31.62,31.645,462372.0
KDP,2026-06-25 01:00:00,31.645,31.75,31.63,31.675,334002.0
KDP,2026-06-25 01:30:00,31.675,31.705,31.51,31.525,284348.0
KDP,2026-06-25 02:00:00,31.525,31.53,31.36,31.37,330010.0
KDP,2026-06-25 02:30:00,31.37,31.49,31.355,31.475,523340.0
KDP,2026-06-25 03:00:00,31.475,31.625,31.46,31.61,304876.0
KDP,2026-06-25 03:30:00,31.61,31.72,31.6098,31.675,369677.0
KDP,2026-06-25 04:00:00,31.675,31.685,31.47,31.475,482436.0
KDP,2026-06-25 04:30:00,31.475,31.54,31.375,31.39,1452235.0
