symbol,datetime,open,high,low,close,volume
KHC,2026-06-22 17:00:00,22.7737,22.88,22.7737,22.82,1552.0
KHC,2026-06-22 17:30:00,22.89,22.89,22.88,22.88,15.0
KHC,2026-06-22 18:00:00,22.88,22.88,22.85,22.85,83.0
KHC,2026-06-22 18:30:00,22.85,22.89,22.85,22.88,372.0
KHC,2026-06-22 19:00:00,22.88,22.9,22.88,22.8958,15.0
KHC,2026-06-22 19:30:00,22.8958,22.9,22.89,22.9,25.0
KHC,2026-06-22 20:00:00,22.85,22.9,22.82,22.8999,5704.0
KHC,2026-06-22 20:30:00,22.8999,22.9,22.8145,22.8883,749.0
KHC,2026-06-22 21:00:00,22.8883,23.05,22.83,22.83,139.0
KHC,2026-06-22 21:30:00,22.83,22.89,22.8045,22.89,4098.0
KHC,2026-06-22 22:00:00,22.8,22.89,22.6112,22.63,5922.0
KHC,2026-06-22 22:30:00,22.65,22.72,22.44,22.48,1214211.0
KHC,2026-06-22 23:00:00,22.49,22.535,22.295,22.525,836133.0
KHC,2026-06-22 23:30:00,22.53,22.59,22.445,22.4801,586698.0
KHC,2026-06-23 00:00:00,22.485,22.55,22.46,22.48,618602.0
KHC,2026-06-23 00:30:00,22.48,22.49,22.375,22.3898,676581.0
KHC,2026-06-23 01:00:00,22.3898,22.3898,22.31,22.31,479751.0
KHC,2026-06-23 01:30:00,22.31,22.375,22.3026,22.325,665025.0
KHC,2026-06-23 02:00:00,22.325,22.325,22.25,22.255,497214.0
KHC,2026-06-23 02:30:00,22.255,22.26,22.11,22.145,486200.0
KHC,2026-06-23 03:00:00,22.145,22.165,22.1138,22.125,435636.0
KHC,2026-06-23 03:30:00,22.125,22.15,22.1,22.115,532853.0
KHC,2026-06-23 04:00:00,22.115,22.12,22.065,22.085,695801.0
KHC,2026-06-23 04:30:00,22.085,22.185,22.005,22.04,1674049.0
KHC,2026-06-23 05:00:00,22.04,22.23,22.03,22.184,2909802.0
KHC,2026-06-23 05:30:00,22.184,22.184,22.03,22.175,4141.0
KHC,2026-06-23 06:00:00,22.175,22.18,22.1,22.16,4176.0
KHC,2026-06-23 06:30:00,22.16,22.18,22.11,22.18,1071.0
KHC,2026-06-23 07:00:00,22.11,22.18,22.03,22.17,149655.0
KHC,2026-06-23 07:30:00,22.17,22.17,22.1,22.11,1110.0
KHC,2026-06-23 08:00:00,22.11,22.17,22.11,22.15,5364.0
KHC,2026-06-23 08:30:00,22.15,22.17,22.11,22.17,1676.0
KHC,2026-06-23 17:00:00,22.2788,22.3,22.1,22.25,3208.0
KHC,2026-06-23 17:30:00,22.31,22.31,22.17,22.3063,1656.0
KHC,2026-06-23 18:00:00,22.3063,22.31,22.3,22.3,472.0
KHC,2026-06-23 18:30:00,22.3,22.3554,22.2644,22.28,1022.0
KHC,2026-06-23 19:00:00,22.28,22.3572,22.28,22.3572,13.0
KHC,2026-06-23 19:30:00,22.3572,22.37,22.31,22.31,83.0
KHC,2026-06-23 20:00:00,22.29,22.33,22.25,22.26,3543.0
KHC,2026-06-23 20:30:00,22.26,22.27,22.03,22.21,1673.0
KHC,2026-06-23 21:00:00,22.235,22.2619,22.2,22.23,2931.0
KHC,2026-06-23 21:30:00,22.25,22.27,22.2,22.27,2496.0
KHC,2026-06-23 22:00:00,22.23,22.45,22.2,22.45,15105.0
KHC,2026-06-23 22:30:00,22.36,22.6,22.275,22.28,891386.0
KHC,2026-06-23 23:00:00,22.28,22.395,22.235,22.355,401299.0
KHC,2026-06-23 23:30:00,22.355,22.41,22.285,22.385,315982.0
KHC,2026-06-24 00:00:00,22.385,22.46,22.33,22.43,432353.0
KHC,2026-06-24 00:30:00,22.42,22.48,22.3826,22.44,354022.0
KHC,2026-06-24 01:00:00,22.44,22.44,22.365,22.4055,411585.0
KHC,2026-06-24 01:30:00,22.4055,22.47,22.4,22.43,264811.0
KHC,2026-06-24 02:00:00,22.43,22.46,22.4,22.405,311308.0
KHC,2026-06-24 02:30:00,22.405,22.43,22.38,22.41,325430.0
KHC,2026-06-24 03:00:00,22.41,22.485,22.385,22.475,440627.0
KHC,2026-06-24 03:30:00,22.475,22.51,22.46,22.505,447230.0
KHC,2026-06-24 04:00:00,22.505,22.53,22.48,22.505,491647.0
KHC,2026-06-24 04:30:00,22.505,22.5253,22.43,22.455,1264090.0
KHC,2026-06-24 05:00:00,22.47,22.55,22.47,22.55,2895273.0
KHC,2026-06-24 05:30:00,22.55,22.55,22.42,22.51,5538.0
KHC,2026-06-24 06:00:00,22.47,22.54,22.42,22.42,98604.0
KHC,2026-06-24 06:30:00,22.42,22.54,22.42,22.42,358067.0
KHC,2026-06-24 07:00:00,22.42,22.54,22.42,22.43,194.0
KHC,2026-06-24 07:30:00,22.43,22.54,22.42,22.42,180.0
KHC,2026-06-24 08:00:00,22.42,22.54,22.42,22.51,1412.0
KHC,2026-06-24 08:30:00,22.51,22.51,22.42,22.509,162.0
KHC,2026-06-24 17:00:00,22.4937,22.51,22.35,22.45,1372.0
KHC,2026-06-24 17:30:00,22.5,22.5,22.45,22.49,939.0
KHC,2026-06-24 18:00:00,22.49,22.49,22.49,22.49,120.0
KHC,2026-06-24 18:30:00,22.49,22.49,22.48,22.48,131.0
KHC,2026-06-24 19:00:00,22.48,22.5,22.4621,22.5,115.0
KHC,2026-06-24 19:30:00,22.5,22.5,22.4951,22.4951,28.0
KHC,2026-06-24 20:00:00,22.4951,22.51,22.4665,22.5,71.0
KHC,2026-06-24 20:30:00,22.5,22.51,22.41,22.51,5972.0
KHC,2026-06-24 21:00:00,22.51,22.51,22.47,22.47,1317.0
KHC,2026-06-24 21:30:00,22.4551,22.5,22.34,22.4456,1345.0
KHC,2026-06-24 22:00:00,22.4456,22.53,22.37,22.53,2171.0
KHC,2026-06-24 22:30:00,22.57,22.82,22.55,22.63,765233.0
KHC,2026-06-24 23:00:00,22.63,22.71,22.58,22.655,471088.0
KHC,2026-06-24 23:30:00,22.66,22.79,22.605,22.785,562262.0
KHC,2026-06-25 00:00:00,22.785,22.865,22.77,22.805,578724.0
KHC,2026-06-25 00:30:00,22.805,22.82,22.715,22.755,448278.0
KHC,2026-06-25 01:00:00,22.755,22.88,22.75,22.865,536229.0
KHC,2026-06-25 01:30:00,22.865,22.905,22.845,22.8686,368371.0
KHC,2026-06-25 02:00:00,22.8686,22.91,22.855,22.9,526084.0
KHC,2026-06-25 02:30:00,22.9,23.025,22.9,23.015,533000.0
KHC,2026-06-25 03:00:00,23.015,23.075,22.9441,22.975,504291.0
KHC,2026-06-25 03:30:00,22.975,23.045,22.97,23.015,396541.0
KHC,2026-06-25 04:00:00,23.015,23.04,22.94,22.945,457546.0
KHC,2026-06-25 04:30:00,22.945,22.995,22.91,22.915,1321829.0
KHC,2026-06-25 05:00:00,22.94,22.94,22.8,22.81,5020626.0
KHC,2026-06-25 05:30:00,22.9044,22.94,22.75,22.79,10310.0
KHC,2026-06-25 06:00:00,22.84,22.94,22.7501,22.79,661006.0
KHC,2026-06-25 06:30:00,22.79,22.94,22.78,22.94,325417.0
KHC,2026-06-25 07:00:00,22.94,22.94,22.7604,22.8386,2119.0
KHC,2026-06-25 07:30:00,22.8386,22.94,22.76,22.7607,50074.0
KHC,2026-06-25 08:00:00,22.7607,22.94,22.7607,22.84,35.0
KHC,2026-06-25 08:30:00,22.84,22.85,22.76,22.79,420.0
KHC,2026-06-25 17:00:00,22.94,22.94,22.77,22.7822,288.0
KHC,2026-06-25 17:30:00,22.78,22.83,22.78,22.83,22.0
KHC,2026-06-25 18:00:00,22.83,22.8655,22.83,22.84,103.0
KHC,2026-06-25 18:30:00,22.84,22.84,22.82,22.82,9.0
KHC,2026-06-25 19:00:00,22.82,22.83,22.82,22.8226,540.0
KHC,2026-06-25 19:30:00,22.82,22.98,22.77,22.98,366.0
KHC,2026-06-25 20:00:00,22.84,22.9171,22.8,22.8883,689.0
KHC,2026-06-25 20:30:00,22.8883,22.94,22.823,22.88,728.0
KHC,2026-06-25 21:00:00,22.88,23.045,22.8,22.8955,189.0
KHC,2026-06-25 21:30:00,22.8955,22.9,22.72,22.74,5507.0
KHC,2026-06-25 22:00:00,22.783,23.03,22.63,23.03,31384.0
KHC,2026-06-25 22:30:00,22.99,23.7699,22.945,23.6732,1379820.0
KHC,2026-06-25 23:00:00,23.6732,23.84,23.53,23.53,789199.0
KHC,2026-06-25 23:30:00,23.535,23.65,23.475,23.485,442100.0
KHC,2026-06-26 00:00:00,23.485,23.725,23.48,23.675,492581.0
KHC,2026-06-26 00:30:00,23.675,23.675,23.55,23.565,344566.0
KHC,2026-06-26 01:00:00,23.565,23.63,23.4,23.445,648782.0
KHC,2026-06-26 01:30:00,23.445,23.59,23.44,23.58,468391.0
KHC,2026-06-26 02:00:00,23.57,23.67,23.565,23.615,326363.0
KHC,2026-06-26 02:30:00,23.615,23.7,23.6,23.65,341788.0
KHC,2026-06-26 03:00:00,23.65,23.66,23.53,23.565,308866.0
KHC,2026-06-26 03:30:00,23.565,23.575,23.4943,23.51,251563.0
KHC,2026-06-26 04:00:00,23.51,23.66,23.49,23.65,516223.0
KHC,2026-06-26 04:30:00,23.65,23.655,23.445,23.455,1352134.0
KHC,2026-06-26 05:00:00,23.47,23.5,23.25,23.46,3812151.0
KHC,2026-06-26 05:30:00,23.5,23.5,23.47,23.47,3669.0
KHC,2026-06-26 06:00:00,23.49,23.56,23.33,23.47,11909.0
KHC,2026-06-26 06:30:00,23.47,23.65,23.47,23.5001,237877.0
KHC,2026-06-26 07:00:00,23.5435,23.55,23.5,23.55,2030.0
KHC,2026-06-26 07:30:00,23.55,23.55,23.5,23.54,653.0
KHC,2026-06-26 08:00:00,23.6,23.6,23.54,23.56,90.0
KHC,2026-06-26 08:30:00,23.56,23.56,23.5348,23.5348,277.0
KHC,2026-06-26 17:00:00,23.47,23.7,23.47,23.54,692.0
KHC,2026-06-26 17:30:00,23.47,23.61,23.47,23.61,837.0
KHC,2026-06-26 18:00:00,23.61,23.61,23.61,23.61,1.0
KHC,2026-06-26 18:30:00,23.48,23.5,23.48,23.4847,2905.0
KHC,2026-06-26 19:00:00,23.61,23.65,23.61,23.61,103.0
KHC,2026-06-26 19:30:00,23.61,23.65,23.55,23.65,38.0
KHC,2026-06-26 20:00:00,23.48,23.6,23.48,23.5999,1298.0
KHC,2026-06-26 20:30:00,23.5999,23.65,23.47,23.6026,3228.0
KHC,2026-06-26 21:00:00,23.62,23.6794,23.47,23.64,2691.0
KHC,2026-06-26 21:30:00,23.64,23.6479,23.51,23.63,1491.0
KHC,2026-06-26 22:00:00,23.64,23.82,23.57,23.67,15586.0
KHC,2026-06-26 22:30:00,23.62,23.895,23.59,23.765,704235.0
KHC,2026-06-26 23:00:00,23.765,23.87,23.67,23.85,457516.0
KHC,2026-06-26 23:30:00,23.85,23.96,23.79,23.925,404589.0
KHC,2026-06-27 00:00:00,23.93,24.045,23.915,23.99,461500.0
KHC,2026-06-27 00:30:00,23.99,24.0,23.835,23.84,482322.0
KHC,2026-06-27 01:00:00,23.84,23.87,23.81,23.82,343521.0
KHC,2026-06-27 01:30:00,23.82,23.835,23.735,23.735,329759.0
KHC,2026-06-27 02:00:00,23.735,23.74,23.64,23.68,315367.0
KHC,2026-06-27 02:30:00,23.68,23.7,23.62,23.635,270023.0
KHC,2026-06-27 03:00:00,23.635,23.71,23.63,23.675,264614.0
KHC,2026-06-27 03:30:00,23.675,23.7097,23.645,23.67,277055.0
KHC,2026-06-27 04:00:00,23.67,23.67,23.59,23.635,457550.0
KHC,2026-06-27 04:30:00,23.635,23.73,23.57,23.71,1563463.0
KHC,2026-06-27 05:00:00,23.7,23.7032,23.59,23.64,4181972.0
KHC,2026-06-27 05:30:00,23.62,23.7004,23.59,23.61,24624.0
KHC,2026-06-27 06:00:00,23.61,23.7,23.51,23.51,1602.0
KHC,2026-06-27 06:30:00,23.7,23.7,23.5511,23.5525,422688.0
KHC,2026-06-27 07:00:00,23.5525,23.68,23.55,23.6043,75.0
KHC,2026-06-27 07:30:00,23.6043,23.7,23.6043,23.7,21.0
KHC,2026-06-27 08:00:00,23.7,23.7,23.64,23.6451,676.0
KHC,2026-06-27 08:30:00,23.6451,23.6536,23.6451,23.6536,1193.0
KHC,2026-06-29 17:00:00,23.8288,23.8288,23.56,23.56,1630.0
KHC,2026-06-29 17:30:00,23.53,23.6,23.53,23.6,77.0
KHC,2026-06-29 18:00:00,23.6,23.6,23.58,23.58,27.0
KHC,2026-06-29 19:00:00,23.5763,23.58,23.51,23.54,312.0
KHC,2026-06-29 19:30:00,23.54,23.54,23.54,23.54,1.0
KHC,2026-06-29 20:00:00,23.58,23.71,23.5782,23.66,6017.0
KHC,2026-06-29 20:30:00,23.66,23.71,23.62,23.66,140.0
KHC,2026-06-29 21:00:00,23.66,23.67,23.65,23.65,402.0
KHC,2026-06-29 21:30:00,23.65,23.68,23.6178,23.68,3344.0
KHC,2026-06-29 22:00:00,23.6242,23.75,23.62,23.75,664.0
KHC,2026-06-29 22:30:00,23.71,24.0,23.71,23.92,690511.0
KHC,2026-06-29 23:00:00,23.92,24.135,23.885,24.05,533230.0
KHC,2026-06-29 23:30:00,24.05,24.175,24.035,24.065,538892.0
KHC,2026-06-30 00:00:00,24.065,24.1,23.99,24.0724,449526.0
KHC,2026-06-30 00:30:00,24.0724,24.195,24.0643,24.155,429253.0
KHC,2026-06-30 01:00:00,24.155,24.26,24.145,24.25,467094.0
KHC,2026-06-30 01:30:00,24.245,24.27,24.1101,24.135,462206.0
KHC,2026-06-30 02:00:00,24.135,24.2271,24.115,24.165,553362.0
KHC,2026-06-30 02:30:00,24.165,24.165,24.1211,24.155,290429.0
KHC,2026-06-30 03:00:00,24.155,24.22,24.135,24.18,519461.0
KHC,2026-06-30 03:30:00,24.18,24.24,24.165,24.225,355284.0
KHC,2026-06-30 04:00:00,24.225,24.31,24.19,24.295,545239.0
KHC,2026-06-30 04:30:00,24.295,24.295,24.12,24.19,1618993.0
KHC,2026-06-30 05:00:00,24.19,24.31,24.05,24.05,2561257.0
KHC,2026-06-30 05:30:00,24.05,24.2,24.05,24.1,22357.0
KHC,2026-06-30 06:00:00,24.1,24.2,24.05,24.1731,496016.0
KHC,2026-06-30 06:30:00,24.1731,24.2,24.05,24.2,72526.0
KHC,2026-06-30 07:00:00,24.2,24.2,24.14,24.1599,23607.0
KHC,2026-06-30 07:30:00,24.15,24.2,24.15,24.19,181.0
KHC,2026-06-30 08:00:00,24.19,24.2,24.1501,24.2,396.0
