symbol,datetime,open,high,low,close,volume
KLAC,2026-06-22 17:00:00,259.794,260.0,255.0,257.2385,6020.0
KLAC,2026-06-22 17:30:00,258.53,258.53,257.0,257.9,858.0
KLAC,2026-06-22 18:00:00,257.4345,258.52,257.0,258.4,511.0
KLAC,2026-06-22 18:30:00,258.4,258.4,256.62,256.8895,624.0
KLAC,2026-06-22 19:00:00,257.3,261.28,257.16,260.83,5511.0
KLAC,2026-06-22 19:30:00,260.58,261.0627,259.54,259.96,1011.0
KLAC,2026-06-22 20:00:00,260.0,263.43,260.0,261.69,7301.0
KLAC,2026-06-22 20:30:00,261.5,263.41,259.56,261.38,4146.0
KLAC,2026-06-22 21:00:00,262.6,263.9,257.6701,263.0,9542.0
KLAC,2026-06-22 21:30:00,263.6855,264.75,263.0,263.565,5003.0
KLAC,2026-06-22 22:00:00,264.0,266.0,263.26,265.91,16290.0
KLAC,2026-06-22 22:30:00,265.99,268.4113,262.45,266.55,817593.0
KLAC,2026-06-22 23:00:00,266.45,269.9,265.67,267.865,488865.0
KLAC,2026-06-22 23:30:00,267.865,268.11,264.27,266.87,499482.0
KLAC,2026-06-23 00:00:00,266.87,268.67,266.02,267.27,390384.0
KLAC,2026-06-23 00:30:00,267.27,267.96,264.655,264.935,259108.0
KLAC,2026-06-23 01:00:00,265.02,267.0,263.84,266.485,314888.0
KLAC,2026-06-23 01:30:00,266.485,267.8,265.13,267.71,201573.0
KLAC,2026-06-23 02:00:00,267.73,268.8,267.16,267.825,193370.0
KLAC,2026-06-23 02:30:00,267.85,268.22,267.06,267.205,174999.0
KLAC,2026-06-23 03:00:00,267.22,268.16,266.96,267.12,171604.0
KLAC,2026-06-23 03:30:00,267.14,267.2,265.33,265.46,202720.0
KLAC,2026-06-23 04:00:00,265.49,266.6,264.72,266.17,261803.0
KLAC,2026-06-23 04:30:00,266.17,269.5,266.17,268.64,932267.0
KLAC,2026-06-23 05:00:00,269.27,269.6,267.0,267.8007,3554534.0
KLAC,2026-06-23 05:30:00,267.8837,269.16,267.01,268.1168,18717.0
KLAC,2026-06-23 06:00:00,268.0101,269.16,268.01,268.8,672785.0
KLAC,2026-06-23 06:30:00,268.349,269.0,268.21,268.25,3449.0
KLAC,2026-06-23 07:00:00,268.3,269.16,268.26,268.35,220760.0
KLAC,2026-06-23 07:30:00,268.5,269.0,267.19,267.58,1623.0
KLAC,2026-06-23 08:00:00,267.58,268.5,267.58,267.94,600.0
KLAC,2026-06-23 08:30:00,267.4416,268.5,267.32,268.47,438.0
KLAC,2026-06-23 17:00:00,253.63,266.99,251.5,252.88,22195.0
KLAC,2026-06-23 17:30:00,252.25,254.01,250.5,251.56,5056.0
KLAC,2026-06-23 18:00:00,251.5,257.1553,250.52,256.4205,1438.0
KLAC,2026-06-23 18:30:00,256.05,256.8,252.69,253.09,7715.0
KLAC,2026-06-23 19:00:00,253.51,255.4389,252.26,252.977,2071.0
KLAC,2026-06-23 19:30:00,252.4,253.0,250.51,251.41,993.0
KLAC,2026-06-23 20:00:00,252.75,254.97,250.52,250.71,13485.0
KLAC,2026-06-23 20:30:00,250.72,254.97,250.51,251.9529,4281.0
KLAC,2026-06-23 21:00:00,251.61,253.96,248.68,250.7464,11146.0
KLAC,2026-06-23 21:30:00,251.675,251.675,248.0,248.5,7680.0
KLAC,2026-06-23 22:00:00,249.2442,249.48,244.0,248.0,18513.0
KLAC,2026-06-23 22:30:00,247.895,251.22,243.46,244.9,1122217.0
KLAC,2026-06-23 23:00:00,244.9,249.07,244.84,245.91,575546.0
KLAC,2026-06-23 23:30:00,245.875,246.1299,242.0,243.265,428083.0
KLAC,2026-06-24 00:00:00,243.29,243.92,241.0,242.445,494836.0
KLAC,2026-06-24 00:30:00,242.45,243.07,240.5601,242.63,412135.0
KLAC,2026-06-24 01:00:00,242.66,245.8299,242.48,245.14,347631.0
KLAC,2026-06-24 01:30:00,245.14,246.96,244.93,245.57,353692.0
KLAC,2026-06-24 02:00:00,245.59,247.3675,244.51,246.375,313808.0
KLAC,2026-06-24 02:30:00,246.375,246.4,244.13,244.18,344301.0
KLAC,2026-06-24 03:00:00,244.18,245.42,243.19,244.0532,337610.0
KLAC,2026-06-24 03:30:00,244.05,244.29,241.5,242.79,449794.0
KLAC,2026-06-24 04:00:00,242.79,245.2941,242.53,244.875,540249.0
KLAC,2026-06-24 04:30:00,244.83,246.125,242.91,244.54,1600780.0
KLAC,2026-06-24 05:00:00,244.52,247.0,243.57,244.97,6715086.0
KLAC,2026-06-24 05:30:00,245.29,245.29,244.3975,244.98,96313.0
KLAC,2026-06-24 06:00:00,244.975,246.19,244.49,245.9,1347.0
KLAC,2026-06-24 06:30:00,245.9,246.5,245.6,246.5,382.0
KLAC,2026-06-24 07:00:00,246.2,247.75,245.5,245.84,650692.0
KLAC,2026-06-24 07:30:00,245.948,247.75,244.5,246.18,1248.0
KLAC,2026-06-24 08:00:00,246.09,246.5799,244.21,244.9001,521.0
KLAC,2026-06-24 08:30:00,244.9001,246.0,244.19,246.0,1074.0
KLAC,2026-06-24 17:00:00,246.8985,248.99,242.14,248.7087,3872.0
KLAC,2026-06-24 17:30:00,248.88,248.88,248.0,248.27,762.0
KLAC,2026-06-24 18:00:00,248.27,248.6695,247.21,247.21,2120.0
KLAC,2026-06-24 18:30:00,247.21,248.06,247.0,247.5,315.0
KLAC,2026-06-24 19:00:00,247.49,248.06,247.2,247.695,331.0
KLAC,2026-06-24 19:30:00,247.695,248.49,247.01,247.37,607.0
KLAC,2026-06-24 20:00:00,247.805,248.01,246.13,246.15,3489.0
KLAC,2026-06-24 20:30:00,246.15,247.8,244.49,246.78,2004.0
KLAC,2026-06-24 21:00:00,246.93,247.8,244.43,247.54,2372.0
KLAC,2026-06-24 21:30:00,247.53,247.6,245.19,245.24,2173.0
KLAC,2026-06-24 22:00:00,245.63,246.68,241.2,242.05,7567.0
KLAC,2026-06-24 22:30:00,242.11,245.3,237.69,241.07,921327.0
KLAC,2026-06-24 23:00:00,241.07,243.77,239.35,240.77,407323.0
KLAC,2026-06-24 23:30:00,240.78,244.04,240.75,243.26,546072.0
KLAC,2026-06-25 00:00:00,243.275,243.34,238.96,240.46,523390.0
KLAC,2026-06-25 00:30:00,240.495,241.19,238.69,240.215,324226.0
KLAC,2026-06-25 01:00:00,240.215,241.87,240.03,241.205,270208.0
KLAC,2026-06-25 01:30:00,241.205,241.205,238.82,238.87,277611.0
KLAC,2026-06-25 02:00:00,238.9,239.6,235.5701,235.805,361969.0
KLAC,2026-06-25 02:30:00,235.805,237.15,235.19,235.535,407860.0
KLAC,2026-06-25 03:00:00,235.535,239.13,235.515,238.8,298079.0
KLAC,2026-06-25 03:30:00,238.85,239.25,235.43,236.035,340949.0
KLAC,2026-06-25 04:00:00,236.035,237.76,235.0,236.57,436086.0
KLAC,2026-06-25 04:30:00,236.57,240.84,236.41,240.48,1176168.0
KLAC,2026-06-25 05:00:00,240.48,251.0,237.65,250.144,2219505.0
KLAC,2026-06-25 05:30:00,250.02,254.87,246.91,252.638,25437.0
KLAC,2026-06-25 06:00:00,251.6385,253.5,249.0,253.22,10003.0
KLAC,2026-06-25 06:30:00,253.25,253.9164,251.0,252.49,5282.0
KLAC,2026-06-25 07:00:00,252.0,254.0,252.0,253.3,8717.0
KLAC,2026-06-25 07:30:00,253.29,254.0,252.7,253.89,2213.0
KLAC,2026-06-25 08:00:00,253.01,254.0,253.0,254.0,4665.0
KLAC,2026-06-25 08:30:00,253.99,254.98,253.5792,254.6343,5236.0
KLAC,2026-06-25 17:00:00,253.79,254.6,249.13,253.25,4332.0
KLAC,2026-06-25 17:30:00,252.98,253.53,251.3,251.31,1426.0
KLAC,2026-06-25 18:00:00,251.31,253.4798,251.3,252.48,620.0
KLAC,2026-06-25 18:30:00,252.17,252.72,251.57,252.3887,93.0
KLAC,2026-06-25 19:00:00,252.3887,252.6229,251.59,252.57,1157.0
KLAC,2026-06-25 19:30:00,252.55,252.95,250.25,251.4,2818.0
KLAC,2026-06-25 20:00:00,252.14,252.88,250.1,252.305,6678.0
KLAC,2026-06-25 20:30:00,251.01,252.5,250.39,251.4,8749.0
KLAC,2026-06-25 21:00:00,251.31,253.0,251.17,252.45,3945.0
KLAC,2026-06-25 21:30:00,252.42,255.21,252.16,254.45,31049.0
KLAC,2026-06-25 22:00:00,254.865,255.95,253.0,254.58,5315.0
KLAC,2026-06-25 22:30:00,254.59,255.93,243.51,243.99,931849.0
KLAC,2026-06-25 23:00:00,243.99,249.63,243.9,248.14,574780.0
KLAC,2026-06-25 23:30:00,248.14,252.45,247.19,250.45,342154.0
KLAC,2026-06-26 00:00:00,250.46,253.0,249.93,251.88,352861.0
KLAC,2026-06-26 00:30:00,251.89,254.48,251.45,252.8,257448.0
KLAC,2026-06-26 01:00:00,252.88,259.89,252.55,259.645,355348.0
KLAC,2026-06-26 01:30:00,259.645,259.71,255.12,256.61,290106.0
KLAC,2026-06-26 02:00:00,256.61,259.45,256.605,258.86,264147.0
KLAC,2026-06-26 02:30:00,258.86,260.2,257.95,260.2,321243.0
KLAC,2026-06-26 03:00:00,260.2,260.84,258.4,259.79,282358.0
KLAC,2026-06-26 03:30:00,259.79,259.79,257.5,258.98,300441.0
KLAC,2026-06-26 04:00:00,258.98,259.01,256.45,257.99,326423.0
KLAC,2026-06-26 04:30:00,258.01,258.98,255.55,258.98,1196893.0
KLAC,2026-06-26 05:00:00,258.98,260.7,258.24,259.8956,3103228.0
KLAC,2026-06-26 05:30:00,259.22,260.0,258.0,258.5,8763.0
KLAC,2026-06-26 06:00:00,258.3,258.5,257.27,258.0075,1476.0
KLAC,2026-06-26 06:30:00,258.0075,258.8,257.3,257.8133,248623.0
KLAC,2026-06-26 07:00:00,257.3752,257.99,255.12,256.3522,1653.0
KLAC,2026-06-26 07:30:00,256.29,257.7,255.16,257.53,1688.0
KLAC,2026-06-26 08:00:00,257.5,260.69,256.8,258.1451,2233.0
KLAC,2026-06-26 08:30:00,257.0,260.0,257.0,257.9,922.0
KLAC,2026-06-26 17:00:00,253.26,258.8,248.76,253.3,3603.0
KLAC,2026-06-26 17:30:00,253.17,253.27,249.2,250.87,1463.0
KLAC,2026-06-26 18:00:00,250.87,252.67,249.61,250.47,1324.0
KLAC,2026-06-26 18:30:00,250.5599,253.67,249.0,251.06,4487.0
KLAC,2026-06-26 19:00:00,251.11,251.44,248.12,250.1,3452.0
KLAC,2026-06-26 19:30:00,250.1,251.19,249.5,249.9875,618.0
KLAC,2026-06-26 20:00:00,250.49,252.6078,250.0,250.88,2519.0
KLAC,2026-06-26 20:30:00,250.88,258.8,247.44,248.67,2726.0
KLAC,2026-06-26 21:00:00,248.8082,256.97,248.8082,250.5967,3460.0
KLAC,2026-06-26 21:30:00,250.4382,250.5,248.66,249.33,559613.0
KLAC,2026-06-26 22:00:00,248.66,249.95,244.01,246.0,139024.0
KLAC,2026-06-26 22:30:00,246.995,253.0,244.5,247.465,789714.0
KLAC,2026-06-26 23:00:00,247.555,250.27,247.08,248.63,345866.0
KLAC,2026-06-26 23:30:00,248.63,249.23,246.348,247.13,336776.0
KLAC,2026-06-27 00:00:00,247.245,247.78,243.09,246.19,464311.0
KLAC,2026-06-27 00:30:00,246.19,247.875,244.34,246.32,378858.0
KLAC,2026-06-27 01:00:00,246.32,246.45,244.17,246.115,255513.0
KLAC,2026-06-27 01:30:00,246.115,248.0,246.115,247.34,205374.0
KLAC,2026-06-27 02:00:00,247.34,249.29,247.06,248.36,219785.0
KLAC,2026-06-27 02:30:00,248.36,249.0573,245.65,246.43,281538.0
KLAC,2026-06-27 03:00:00,246.43,246.73,245.223,245.635,239265.0
KLAC,2026-06-27 03:30:00,245.635,246.5499,245.17,245.78,212085.0
KLAC,2026-06-27 04:00:00,245.78,247.405,245.33,246.625,341223.0
KLAC,2026-06-27 04:30:00,246.625,249.7,243.69,247.76,1618692.0
KLAC,2026-06-27 05:00:00,247.76,250.78,246.8962,248.35,12144174.0
KLAC,2026-06-27 05:30:00,248.49,250.0,245.27,247.0,6513.0
KLAC,2026-06-27 06:00:00,247.0,248.64,246.03,247.5244,159771.0
KLAC,2026-06-27 06:30:00,248.64,248.64,245.73,247.0191,45270.0
KLAC,2026-06-27 07:00:00,247.0,248.0,246.84,247.2995,697.0
KLAC,2026-06-27 07:30:00,247.4623,248.0,247.2172,247.3,550.0
KLAC,2026-06-27 08:00:00,247.3,248.64,247.3,247.51,1750.0
KLAC,2026-06-27 08:30:00,247.51,249.39,247.3,247.95,2059.0
KLAC,2026-06-29 17:00:00,250.34,258.8,248.06,257.0,6969.0
KLAC,2026-06-29 17:30:00,256.7834,256.7834,255.14,255.2891,2020.0
KLAC,2026-06-29 18:00:00,255.28,256.5,254.14,255.1968,1673.0
KLAC,2026-06-29 18:30:00,255.1968,255.99,254.0,254.61,1748.0
KLAC,2026-06-29 19:00:00,255.49,256.13,253.8171,255.7,1171.0
KLAC,2026-06-29 19:30:00,255.05,255.88,254.64,255.7776,981.0
KLAC,2026-06-29 20:00:00,254.6,256.0,253.37,254.2133,6785.0
KLAC,2026-06-29 20:30:00,254.21,255.45,248.64,254.2918,1555.0
KLAC,2026-06-29 21:00:00,254.5731,255.0,248.8,254.02,1055.0
KLAC,2026-06-29 21:30:00,254.02,254.6,252.0,253.5283,5290.0
KLAC,2026-06-29 22:00:00,253.75,254.64,249.25,251.53,3972.0
KLAC,2026-06-29 22:30:00,251.55,262.7899,249.39,259.64,1085592.0
KLAC,2026-06-29 23:00:00,259.61,260.26,251.18,257.7,737956.0
KLAC,2026-06-29 23:30:00,257.655,267.57,257.3,267.57,703246.0
KLAC,2026-06-30 00:00:00,267.4,269.49,264.98,269.22,532748.0
KLAC,2026-06-30 00:30:00,269.22,271.66,269.2179,271.375,694365.0
KLAC,2026-06-30 01:00:00,271.375,273.34,270.74,272.335,446125.0
