symbol,datetime,open,high,low,close,volume
MDLZ,2026-06-22 17:00:00,59.7912,60.1,59.7912,60.0,433.0
MDLZ,2026-06-22 20:00:00,60.12,60.12,59.8511,59.8511,101.0
MDLZ,2026-06-22 20:30:00,59.8511,60.12,59.8511,60.12,12.0
MDLZ,2026-06-22 21:00:00,60.12,60.46,59.8527,59.8527,3.0
MDLZ,2026-06-22 22:00:00,59.8527,60.1,59.76,59.76,20.0
MDLZ,2026-06-22 22:30:00,59.9072,60.47,59.75,60.005,274198.0
MDLZ,2026-06-22 23:00:00,60.005,60.33,59.89,60.24,333839.0
MDLZ,2026-06-22 23:30:00,60.24,60.285,59.91,60.07,184863.0
MDLZ,2026-06-23 00:00:00,60.07,60.38,60.02,60.29,182200.0
MDLZ,2026-06-23 00:30:00,60.29,60.395,60.265,60.34,189708.0
MDLZ,2026-06-23 01:00:00,60.34,60.345,60.155,60.19,164597.0
MDLZ,2026-06-23 01:30:00,60.19,60.4575,60.165,60.235,210622.0
MDLZ,2026-06-23 02:00:00,60.235,60.275,59.97,60.0,137308.0
MDLZ,2026-06-23 02:30:00,60.0,60.04,59.865,59.93,130265.0
MDLZ,2026-06-23 03:00:00,59.93,60.01,59.865,59.97,182030.0
MDLZ,2026-06-23 03:30:00,59.97,59.995,59.805,59.835,222609.0
MDLZ,2026-06-23 04:00:00,59.835,59.915,59.75,59.77,191377.0
MDLZ,2026-06-23 04:30:00,59.77,59.895,59.45,59.5,819817.0
MDLZ,2026-06-23 05:00:00,59.51,60.49,59.51,59.51,4000829.0
MDLZ,2026-06-23 05:30:00,59.51,59.51,59.5,59.5,416.0
MDLZ,2026-06-23 06:30:00,59.5,59.5,59.5,59.5,1.0
MDLZ,2026-06-23 07:00:00,59.5,59.51,59.5,59.51,94252.0
MDLZ,2026-06-23 08:30:00,59.51,59.51,59.32,59.32,2.0
MDLZ,2026-06-23 17:00:00,59.51,60.59,59.51,60.17,842.0
MDLZ,2026-06-23 17:30:00,60.17,60.34,60.17,60.34,165.0
MDLZ,2026-06-23 18:00:00,60.34,60.34,60.11,60.11,80.0
MDLZ,2026-06-23 18:30:00,60.11,60.4,59.91,60.14,1171.0
MDLZ,2026-06-23 19:00:00,60.14,60.32,60.01,60.32,119.0
MDLZ,2026-06-23 19:30:00,60.32,60.85,60.32,60.85,94.0
MDLZ,2026-06-23 20:00:00,60.57,60.58,60.36,60.58,3189.0
MDLZ,2026-06-23 20:30:00,60.58,60.98,59.51,60.05,77.0
MDLZ,2026-06-23 21:00:00,60.05,60.07,59.51,59.51,270.0
MDLZ,2026-06-23 21:30:00,59.51,60.33,59.51,60.33,200.0
MDLZ,2026-06-23 22:00:00,60.33,61.11,57.68,60.84,2108.0
MDLZ,2026-06-23 22:30:00,60.88,60.9,60.375,60.67,402265.0
MDLZ,2026-06-23 23:00:00,60.67,60.79,60.49,60.74,320060.0
MDLZ,2026-06-23 23:30:00,60.74,60.8,60.49,60.68,271016.0
MDLZ,2026-06-24 00:00:00,60.68,61.115,60.6006,60.875,294674.0
MDLZ,2026-06-24 00:30:00,60.875,60.945,60.78,60.87,263592.0
MDLZ,2026-06-24 01:00:00,60.87,60.9,60.6,60.63,149688.0
MDLZ,2026-06-24 01:30:00,60.63,60.735,60.585,60.615,150042.0
MDLZ,2026-06-24 02:00:00,60.615,60.68,60.52,60.545,175221.0
MDLZ,2026-06-24 02:30:00,60.545,60.75,60.505,60.725,122504.0
MDLZ,2026-06-24 03:00:00,60.73,60.96,60.625,60.94,828043.0
MDLZ,2026-06-24 03:30:00,60.94,61.1,60.9,61.04,183649.0
MDLZ,2026-06-24 04:00:00,61.04,61.23,60.935,61.2,555428.0
MDLZ,2026-06-24 04:30:00,61.2,61.27,60.98,61.08,1146001.0
MDLZ,2026-06-24 05:00:00,61.06,61.06,60.95,61.06,3146662.0
MDLZ,2026-06-24 05:30:00,61.06,61.06,61.01,61.01,1.0
MDLZ,2026-06-24 06:00:00,61.06,61.06,61.06,61.06,254.0
MDLZ,2026-06-24 07:00:00,61.06,61.06,60.82,60.82,342.0
MDLZ,2026-06-24 07:30:00,60.82,60.82,60.41,60.41,272.0
MDLZ,2026-06-24 08:00:00,60.41,60.41,60.41,60.41,68.0
MDLZ,2026-06-24 17:00:00,60.82,61.07,60.34,60.86,200.0
MDLZ,2026-06-24 19:00:00,60.86,60.86,60.53,60.53,48.0
MDLZ,2026-06-24 20:00:00,60.53,60.79,60.53,60.79,10.0
MDLZ,2026-06-24 20:30:00,60.79,61.06,60.79,61.06,5.0
MDLZ,2026-06-24 21:00:00,61.06,61.06,60.775,60.775,1.0
MDLZ,2026-06-24 21:30:00,60.775,61.25,60.775,61.25,10.0
MDLZ,2026-06-24 22:00:00,61.25,61.48,60.73,61.48,1481.0
MDLZ,2026-06-24 22:30:00,61.53,62.24,61.39,62.1,469926.0
MDLZ,2026-06-24 23:00:00,62.1,62.375,61.84,61.985,313594.0
MDLZ,2026-06-24 23:30:00,61.985,62.15,61.725,62.1,240832.0
MDLZ,2026-06-25 00:00:00,62.1,62.32,62.085,62.14,175653.0
MDLZ,2026-06-25 00:30:00,62.14,62.25,61.91,62.02,309865.0
MDLZ,2026-06-25 01:00:00,62.02,62.14,61.975,62.115,137102.0
MDLZ,2026-06-25 01:30:00,62.115,62.205,62.04,62.14,134004.0
MDLZ,2026-06-25 02:00:00,62.14,62.19,62.02,62.035,108587.0
MDLZ,2026-06-25 02:30:00,62.035,62.22,61.995,62.21,157437.0
MDLZ,2026-06-25 03:00:00,62.21,62.315,61.96,62.06,227488.0
MDLZ,2026-06-25 03:30:00,62.06,62.2186,62.055,62.165,240234.0
MDLZ,2026-06-25 04:00:00,62.165,62.32,61.96,61.975,410382.0
MDLZ,2026-06-25 04:30:00,61.975,62.09,61.66,61.74,1001263.0
MDLZ,2026-06-25 05:00:00,61.74,61.75,61.02,61.02,3873461.0
MDLZ,2026-06-25 05:30:00,61.02,61.74,60.53,60.55,166655.0
MDLZ,2026-06-25 06:30:00,60.55,61.74,60.55,60.8,371997.0
MDLZ,2026-06-25 07:00:00,60.8,61.74,60.71,60.71,3182.0
MDLZ,2026-06-25 07:30:00,60.71,61.24,60.7,60.7,348.0
MDLZ,2026-06-25 08:00:00,60.77,61.07,60.69,61.07,636.0
MDLZ,2026-06-25 08:30:00,61.07,61.07,60.74,60.74,155.0
MDLZ,2026-06-25 17:00:00,61.74,61.74,61.06,61.61,154.0
MDLZ,2026-06-25 19:00:00,61.61,61.61,61.3,61.45,328.0
MDLZ,2026-06-25 19:30:00,61.41,61.41,61.26,61.26,517.0
MDLZ,2026-06-25 20:00:00,61.25,61.26,61.25,61.26,301.0
MDLZ,2026-06-25 20:30:00,61.26,61.74,61.26,61.3,13.0
MDLZ,2026-06-25 21:00:00,61.3,61.35,61.3,61.35,9.0
MDLZ,2026-06-25 22:00:00,61.35,61.6,61.18,61.33,452.0
MDLZ,2026-06-25 22:30:00,61.72,63.0,61.72,62.72,505793.0
MDLZ,2026-06-25 23:00:00,62.72,62.96,62.41,62.415,333743.0
MDLZ,2026-06-25 23:30:00,62.41,62.505,62.12,62.12,255623.0
MDLZ,2026-06-26 00:00:00,62.12,62.58,62.105,62.4401,212220.0
MDLZ,2026-06-26 00:30:00,62.435,62.49,62.21,62.255,162681.0
MDLZ,2026-06-26 01:00:00,62.255,62.295,62.085,62.14,108307.0
MDLZ,2026-06-26 01:30:00,62.14,62.2,62.005,62.06,194422.0
MDLZ,2026-06-26 02:00:00,62.06,62.11,61.985,62.005,169432.0
MDLZ,2026-06-26 02:30:00,62.005,62.115,61.925,61.99,162959.0
MDLZ,2026-06-26 03:00:00,61.995,62.025,61.81,61.845,169162.0
MDLZ,2026-06-26 03:30:00,61.845,61.915,61.595,61.595,260552.0
MDLZ,2026-06-26 04:00:00,61.595,61.76,61.555,61.6,332582.0
MDLZ,2026-06-26 04:30:00,61.6,61.6,61.11,61.19,1033540.0
MDLZ,2026-06-26 05:00:00,61.2,61.37,61.18,61.37,2439756.0
MDLZ,2026-06-26 05:30:00,61.37,61.37,61.2,61.2,7180.0
MDLZ,2026-06-26 06:00:00,61.2,61.2,61.2,61.2,374337.0
MDLZ,2026-06-26 08:30:00,61.2,61.22,61.11,61.22,155.0
MDLZ,2026-06-26 17:00:00,61.2,61.73,61.2,61.72,322.0
MDLZ,2026-06-26 18:30:00,61.72,61.72,61.55,61.56,50.0
MDLZ,2026-06-26 20:30:00,61.56,61.7878,61.2,61.68,23.0
MDLZ,2026-06-26 21:00:00,61.68,61.748,61.66,61.748,5.0
MDLZ,2026-06-26 21:30:00,61.748,61.748,61.65,61.65,2.0
MDLZ,2026-06-26 22:00:00,61.65,61.96,61.65,61.96,292.0
MDLZ,2026-06-26 22:30:00,61.77,61.92,61.4,61.41,467468.0
MDLZ,2026-06-26 23:00:00,61.41,61.65,61.0,61.61,316195.0
MDLZ,2026-06-26 23:30:00,61.61,61.935,61.58,61.8,458893.0
MDLZ,2026-06-27 00:00:00,61.8,61.975,61.725,61.955,312853.0
MDLZ,2026-06-27 00:30:00,61.95,61.95,61.54,61.735,199504.0
MDLZ,2026-06-27 01:00:00,61.735,61.773,61.62,61.625,149009.0
MDLZ,2026-06-27 01:30:00,61.625,61.71,61.585,61.665,443658.0
MDLZ,2026-06-27 02:00:00,61.665,61.71,61.48,61.55,291169.0
MDLZ,2026-06-27 02:30:00,61.55,61.605,61.53,61.555,143597.0
MDLZ,2026-06-27 03:00:00,61.555,61.63,61.34,61.425,229904.0
MDLZ,2026-06-27 03:30:00,61.425,61.435,60.925,60.96,394062.0
MDLZ,2026-06-27 04:00:00,60.96,60.98,60.805,60.8708,377383.0
MDLZ,2026-06-27 04:30:00,60.8708,60.965,60.56,60.725,2143437.0
MDLZ,2026-06-27 05:00:00,60.79,60.85,60.41,60.42,5867260.0
MDLZ,2026-06-27 05:30:00,60.41,60.7911,60.18,60.43,59443.0
MDLZ,2026-06-27 06:00:00,60.43,60.79,60.4,60.79,23795.0
MDLZ,2026-06-27 06:30:00,60.79,60.79,60.42,60.7,2.0
MDLZ,2026-06-27 07:00:00,60.7,60.7199,60.7,60.7199,1.0
