symbol,datetime,open,high,low,close,volume
MELI,2026-06-22 17:00:00,1631.8212,1645.6,1631.8212,1643.27,96.0
MELI,2026-06-22 17:30:00,1643.27,1645.6,1642.0,1643.5,175.0
MELI,2026-06-22 18:00:00,1643.5,1643.5,1640.0,1640.0,18.0
MELI,2026-06-22 18:30:00,1640.0,1640.0,1639.96,1639.96,1.0
MELI,2026-06-22 19:00:00,1639.96,1642.0,1635.96,1639.98,15.0
MELI,2026-06-22 19:30:00,1640.0,1640.0,1635.9,1639.89,13.0
MELI,2026-06-22 20:00:00,1636.98,1641.75,1632.55,1635.04,316.0
MELI,2026-06-22 20:30:00,1635.04,1640.31,1632.0,1635.0,295.0
MELI,2026-06-22 21:00:00,1635.0,1640.97,1632.01,1634.0,108.0
MELI,2026-06-22 21:30:00,1634.0,1638.0,1632.0,1637.0,142.0
MELI,2026-06-22 22:00:00,1637.0,1637.99,1626.4968,1635.35,372.0
MELI,2026-06-22 22:30:00,1627.36,1635.15,1611.46,1634.34,40013.0
MELI,2026-06-22 23:00:00,1634.34,1634.34,1603.87,1605.5,18752.0
MELI,2026-06-22 23:30:00,1605.5,1616.0323,1604.58,1610.11,18062.0
MELI,2026-06-23 00:00:00,1610.11,1613.32,1605.1254,1610.3338,10718.0
MELI,2026-06-23 00:30:00,1610.3338,1617.9999,1609.61,1611.99,8753.0
MELI,2026-06-23 01:00:00,1611.99,1611.99,1597.23,1600.37,11825.0
MELI,2026-06-23 01:30:00,1600.37,1601.24,1596.62,1597.61,10410.0
MELI,2026-06-23 02:00:00,1597.61,1599.24,1595.22,1597.83,12928.0
MELI,2026-06-23 02:30:00,1597.83,1598.88,1595.7401,1598.045,11482.0
MELI,2026-06-23 03:00:00,1598.045,1602.93,1596.42,1602.03,7841.0
MELI,2026-06-23 03:30:00,1602.03,1603.38,1595.45,1597.63,12096.0
MELI,2026-06-23 04:00:00,1597.63,1600.2,1594.5138,1594.97,10176.0
MELI,2026-06-23 04:30:00,1595.3,1601.71,1588.01,1588.8,44359.0
MELI,2026-06-23 05:00:00,1589.45,1601.0,1589.0,1591.01,59642.0
MELI,2026-06-23 05:30:00,1591.06,1601.0,1591.0,1592.6,29.0
MELI,2026-06-23 06:00:00,1593.99,1594.8481,1592.0,1594.8481,66.0
