symbol,datetime,open,high,low,close,volume
META,2026-06-22 17:00:00,572.9,576.81,572.22,575.09,17284.0
META,2026-06-22 17:30:00,574.7,576.0,574.04,575.27,3371.0
META,2026-06-22 18:00:00,575.26,575.9988,574.58,574.7269,1719.0
META,2026-06-22 18:30:00,574.72,574.99,574.5,574.5,1022.0
META,2026-06-22 19:00:00,574.78,576.0,574.3812,574.63,2309.0
META,2026-06-22 19:30:00,574.5779,575.3184,572.25,572.61,3767.0
META,2026-06-22 20:00:00,573.28,574.0,571.12,571.6514,17230.0
META,2026-06-22 20:30:00,571.6514,574.0,571.5,573.7645,11666.0
META,2026-06-22 21:00:00,573.6,575.0,572.79,574.75,10577.0
META,2026-06-22 21:30:00,575.0,575.0,573.5,573.63,9002.0
META,2026-06-22 22:00:00,573.85,575.0,571.66,571.93,13216.0
META,2026-06-22 22:30:00,572.01,575.78,567.2501,575.09,1341838.0
META,2026-06-22 23:00:00,575.09,575.48,567.0,567.645,643190.0
META,2026-06-22 23:30:00,567.645,568.63,561.47,562.69,1064309.0
META,2026-06-23 00:00:00,562.69,563.9,560.02,560.545,686876.0
META,2026-06-23 00:30:00,560.545,564.6399,559.81,562.64,749610.0
META,2026-06-23 01:00:00,562.76,563.11,560.71,560.86,360313.0
META,2026-06-23 01:30:00,560.86,562.5,560.38,562.08,287530.0
META,2026-06-23 02:00:00,562.08,563.75,561.9,562.55,393810.0
META,2026-06-23 02:30:00,562.55,564.52,561.39,563.92,392526.0
META,2026-06-23 03:00:00,563.92,566.15,563.45,565.525,312380.0
META,2026-06-23 03:30:00,565.525,566.06,565.03,565.06,270418.0
META,2026-06-23 04:00:00,565.06,565.9883,562.0,564.63,404579.0
META,2026-06-23 04:30:00,564.63,566.0,563.49,563.68,898659.0
META,2026-06-23 05:00:00,563.85,565.0,562.52,562.79,2977775.0
META,2026-06-23 05:30:00,562.99,563.0,561.61,562.3999,14711.0
META,2026-06-23 06:00:00,562.28,565.143,562.15,563.28,8065.0
META,2026-06-23 06:30:00,563.23,563.85,563.0,563.31,19282.0
META,2026-06-23 07:00:00,563.45,564.0,563.2,563.5,93882.0
META,2026-06-23 07:30:00,563.5,563.5,562.07,562.7,4290.0
META,2026-06-23 08:00:00,562.5,563.0,562.0,562.48,4537.0
META,2026-06-23 08:30:00,562.46,563.0,562.4,562.51,7557.0
META,2026-06-23 17:00:00,559.87,565.32,558.0,559.98,44578.0
META,2026-06-23 17:30:00,559.45,561.2,558.0,559.06,18045.0
META,2026-06-23 18:00:00,559.975,560.3788,557.59,559.0,13504.0
META,2026-06-23 18:30:00,558.9838,559.6919,558.0,559.61,3442.0
META,2026-06-23 19:00:00,559.21,560.78,559.01,560.31,3923.0
META,2026-06-23 19:30:00,560.1,560.4557,559.0,560.14,3854.0
META,2026-06-23 20:00:00,560.24,560.8,559.5,559.58,20143.0
META,2026-06-23 20:30:00,559.65,560.5,559.3,560.0,10859.0
META,2026-06-23 21:00:00,559.78,560.18,558.01,558.765,16305.0
META,2026-06-23 21:30:00,558.7,559.99,557.53,558.955,16114.0
META,2026-06-23 22:00:00,559.0,563.59,558.25,562.03,31978.0
META,2026-06-23 22:30:00,562.245,572.2,561.1101,571.645,1241192.0
META,2026-06-23 23:00:00,571.645,571.82,567.51,568.71,562715.0
META,2026-06-23 23:30:00,568.71,569.15,565.315,565.64,351829.0
META,2026-06-24 00:00:00,565.64,565.972,562.08,563.35,387946.0
META,2026-06-24 00:30:00,563.35,564.59,562.211,564.17,355035.0
META,2026-06-24 01:00:00,564.17,564.65,563.01,563.83,282720.0
META,2026-06-24 01:30:00,563.83,568.8799,563.54,566.19,490703.0
META,2026-06-24 02:00:00,566.19,566.45,564.0,565.69,314790.0
META,2026-06-24 02:30:00,565.69,567.7,564.5,564.84,322117.0
META,2026-06-24 03:00:00,564.84,564.92,562.34,562.67,308289.0
META,2026-06-24 03:30:00,562.67,563.41,561.66,562.81,406058.0
META,2026-06-24 04:00:00,562.81,564.49,562.56,562.77,428590.0
META,2026-06-24 04:30:00,562.77,564.0,562.06,562.06,1008255.0
META,2026-06-24 05:00:00,562.2,564.07,562.2,563.45,2954145.0
META,2026-06-24 05:30:00,563.1414,563.45,562.2,563.0,6666.0
META,2026-06-24 06:00:00,563.0225,563.45,562.2,562.53,111828.0
META,2026-06-24 06:30:00,562.74,563.25,562.5,562.6172,3235.0
META,2026-06-24 07:00:00,562.59,562.99,561.28,561.28,2339.0
META,2026-06-24 07:30:00,561.69,562.44,560.42,561.59,4233.0
META,2026-06-24 08:00:00,562.0,562.0,560.86,561.5,5391.0
META,2026-06-24 08:30:00,562.0,563.0,560.51,561.9,8842.0
META,2026-06-24 17:00:00,562.6842,564.5,561.5075,562.37,11960.0
META,2026-06-24 17:30:00,562.2,562.92,561.5,562.0,2282.0
META,2026-06-24 18:00:00,561.9015,562.78,561.75,561.86,1872.0
META,2026-06-24 18:30:00,561.6,562.78,561.0417,562.2505,520.0
META,2026-06-24 19:00:00,562.28,562.28,561.1,561.99,626.0
META,2026-06-24 19:30:00,561.99,562.28,561.17,562.2517,880.0
META,2026-06-24 20:00:00,562.0,564.5,561.775,562.75,5633.0
META,2026-06-24 20:30:00,562.6592,564.5,562.2,563.68,2685.0
META,2026-06-24 21:00:00,563.495,563.69,562.2,563.48,3089.0
META,2026-06-24 21:30:00,563.5,563.62,561.55,561.9,6258.0
META,2026-06-24 22:00:00,562.0,562.71,560.11,562.21,23465.0
META,2026-06-24 22:30:00,562.15,569.04,557.475,562.62,1000906.0
META,2026-06-24 23:00:00,562.62,563.88,560.5,562.8,549129.0
META,2026-06-24 23:30:00,562.8,566.28,559.8,566.23,471777.0
META,2026-06-25 00:00:00,566.23,568.03,564.7923,566.5073,489612.0
META,2026-06-25 00:30:00,566.5073,566.73,562.52,563.0,385630.0
META,2026-06-25 01:00:00,563.0,564.4999,562.5,563.53,235221.0
META,2026-06-25 01:30:00,563.55,563.5525,558.945,559.05,1174185.0
META,2026-06-25 02:00:00,559.05,560.05,555.5503,556.865,427490.0
META,2026-06-25 02:30:00,556.865,557.4,555.83,556.275,406005.0
META,2026-06-25 03:00:00,556.275,560.5599,556.275,560.1168,339434.0
META,2026-06-25 03:30:00,560.0,560.97,557.75,558.235,310972.0
META,2026-06-25 04:00:00,558.235,559.41,556.64,557.7,422835.0
META,2026-06-25 04:30:00,557.7,559.34,557.03,557.87,778417.0
META,2026-06-25 05:00:00,557.87,560.0,556.45,557.62,2914689.0
META,2026-06-25 05:30:00,557.62,558.9,557.12,558.3,45930.0
META,2026-06-25 06:00:00,558.49,560.68,557.51,560.38,253132.0
META,2026-06-25 06:30:00,560.5,560.5,558.98,560.3,185331.0
META,2026-06-25 07:00:00,560.0,560.5,557.67,559.0,10894.0
META,2026-06-25 07:30:00,559.0,560.4,558.0,559.0,7411.0
META,2026-06-25 08:00:00,559.0,560.0,557.7,558.72,3333.0
META,2026-06-25 08:30:00,558.8835,559.0,557.75,558.69,7822.0
META,2026-06-25 17:00:00,556.8015,559.0,555.94,556.82,18070.0
META,2026-06-25 17:30:00,556.42,557.3988,556.16,556.42,928.0
META,2026-06-25 18:00:00,556.42,557.4,556.0,556.4035,1814.0
META,2026-06-25 18:30:00,556.4035,557.69,556.15,556.63,2499.0
META,2026-06-25 19:00:00,556.95,557.7,556.5,557.7,2101.0
META,2026-06-25 19:30:00,557.1,557.67,556.02,556.97,1917.0
META,2026-06-25 20:00:00,556.61,557.16,556.05,556.225,7743.0
META,2026-06-25 20:30:00,556.05,557.67,555.27,555.316,7645.0
META,2026-06-25 21:00:00,555.4594,557.67,555.27,556.39,11114.0
META,2026-06-25 21:30:00,555.6,557.67,554.08,554.84,31495.0
META,2026-06-25 22:00:00,554.68,555.87,554.3,555.87,15805.0
META,2026-06-25 22:30:00,555.4,556.0,540.205,547.545,1764200.0
META,2026-06-25 23:00:00,547.545,553.7933,546.71,553.51,751516.0
META,2026-06-25 23:30:00,553.51,556.34,552.415,552.6901,448159.0
META,2026-06-26 00:00:00,552.6901,553.46,549.1101,552.8775,444528.0
META,2026-06-26 00:30:00,552.8775,554.655,549.26,549.935,438919.0
META,2026-06-26 01:00:00,549.96,550.0,546.93,547.45,477586.0
META,2026-06-26 01:30:00,547.2711,547.4599,545.5,546.65,396072.0
META,2026-06-26 02:00:00,546.65,546.95,543.74,544.3301,421734.0
META,2026-06-26 02:30:00,544.3301,545.5973,543.02,545.335,400852.0
META,2026-06-26 03:00:00,545.335,548.47,543.26,548.39,422054.0
META,2026-06-26 03:30:00,548.39,548.45,545.4,546.625,405271.0
META,2026-06-26 04:00:00,546.625,546.7963,545.58,545.76,452969.0
META,2026-06-26 04:30:00,545.76,546.59,542.4,542.88,1386377.0
META,2026-06-26 05:00:00,542.88,549.3,542.3,544.94,3763850.0
META,2026-06-26 05:30:00,545.0,545.0,542.87,543.63,44942.0
META,2026-06-26 06:00:00,544.0,544.8,543.5,543.8225,7208.0
META,2026-06-26 06:30:00,544.1915,545.8482,542.87,545.8482,460205.0
META,2026-06-26 07:00:00,544.25,546.0,542.87,543.85,9265.0
META,2026-06-26 07:30:00,543.95,545.5,543.3,544.5,4999.0
META,2026-06-26 08:00:00,544.5,547.6,544.0,547.25,6434.0
META,2026-06-26 08:30:00,547.25,547.51,543.3,544.8139,6878.0
META,2026-06-26 17:00:00,545.7,547.2888,539.025,546.29,24752.0
META,2026-06-26 17:30:00,546.2577,546.29,543.39,543.96,2054.0
META,2026-06-26 18:00:00,543.8,544.85,543.0,544.2,1943.0
META,2026-06-26 18:30:00,543.5,545.0,543.32,544.1394,1867.0
META,2026-06-26 19:00:00,544.6,544.6,543.06,544.4331,2293.0
META,2026-06-26 19:30:00,544.47,545.48,543.54,544.98,2004.0
META,2026-06-26 20:00:00,544.99,545.54,544.14,544.75,10974.0
META,2026-06-26 20:30:00,544.75,545.0,544.42,544.51,4899.0
META,2026-06-26 21:00:00,544.8364,548.8235,544.5,545.03,18636.0
META,2026-06-26 21:30:00,545.42,546.0,544.42,544.6601,10288.0
META,2026-06-26 22:00:00,545.1,546.03,541.31,542.775,18978.0
META,2026-06-26 22:30:00,543.17,545.745,540.4,542.875,1336241.0
META,2026-06-26 23:00:00,542.875,551.8,542.36,550.89,739162.0
META,2026-06-26 23:30:00,550.89,553.515,550.3301,552.475,568467.0
META,2026-06-27 00:00:00,552.475,555.75,552.16,555.675,442852.0
META,2026-06-27 00:30:00,555.675,556.73,554.8,555.92,496425.0
META,2026-06-27 01:00:00,555.92,556.85,554.4,554.44,393186.0
META,2026-06-27 01:30:00,554.4464,556.25,553.0,553.42,330734.0
META,2026-06-27 02:00:00,553.42,554.91,553.0001,554.77,297996.0
META,2026-06-27 02:30:00,554.77,555.37,553.445,554.89,248054.0
META,2026-06-27 03:00:00,554.89,555.9276,553.465,553.47,291606.0
META,2026-06-27 03:30:00,553.47,553.86,549.79,550.295,427793.0
META,2026-06-27 04:00:00,550.295,550.9999,549.93,550.08,453785.0
META,2026-06-27 04:30:00,550.08,552.02,548.97,549.11,1621366.0
META,2026-06-27 05:00:00,549.4,551.39,547.88,549.91,6617555.0
META,2026-06-27 05:30:00,549.91,550.2599,548.5,549.86,12837.0
META,2026-06-27 06:00:00,549.8145,551.5,549.8118,550.55,98585.0
META,2026-06-27 06:30:00,551.0,552.0,550.25,550.26,299362.0
META,2026-06-27 07:00:00,550.69,550.7,550.26,550.405,1922.0
META,2026-06-27 07:30:00,550.41,551.92,550.31,551.79,2952.0
META,2026-06-27 08:00:00,551.76,551.79,550.7,551.2468,5967.0
META,2026-06-27 08:30:00,551.0,551.79,550.7,551.22,4942.0
META,2026-06-29 17:00:00,556.94,559.7475,555.1,556.95,14047.0
META,2026-06-29 17:30:00,556.78,557.3288,556.195,556.63,2605.0
META,2026-06-29 18:00:00,556.86,557.9535,556.49,557.4,738.0
META,2026-06-29 18:30:00,557.65,558.0,557.04,557.6881,2002.0
META,2026-06-29 19:00:00,557.57,558.0,557.32,557.61,2170.0
META,2026-06-29 19:30:00,557.65,558.3614,557.5,557.78,1046.0
META,2026-06-29 20:00:00,557.99,559.5,557.99,559.5,24409.0
META,2026-06-29 20:30:00,559.14,562.0,559.0222,561.8084,18156.0
META,2026-06-29 21:00:00,561.8331,562.0,560.64,561.11,25432.0
META,2026-06-29 21:30:00,561.12,561.4,559.18,559.6985,18708.0
META,2026-06-29 22:00:00,559.67,560.96,557.4,560.33,326331.0
META,2026-06-29 22:30:00,560.31,570.9,558.19,566.545,1724680.0
