symbol,datetime,open,high,low,close,volume
MNST,2026-06-22 17:00:00,91.0,91.69,90.72,90.72,44.0
MNST,2026-06-22 17:30:00,91.22,91.22,91.22,91.22,10.0
MNST,2026-06-22 18:00:00,91.22,91.22,90.6981,90.6981,3.0
MNST,2026-06-22 18:30:00,90.6981,90.8,90.6981,90.8,90.0
MNST,2026-06-22 19:00:00,90.8,91.28,90.8,91.28,65.0
MNST,2026-06-22 19:30:00,91.28,91.28,90.6981,90.6981,8.0
MNST,2026-06-22 20:00:00,91.27,91.27,90.68,91.2,3482.0
MNST,2026-06-22 21:00:00,91.2,91.29,90.99,91.29,116.0
MNST,2026-06-22 21:30:00,91.29,91.29,91.0,91.29,29.0
MNST,2026-06-22 22:00:00,91.29,91.54,90.7,91.4235,1105.0
MNST,2026-06-22 22:30:00,91.36,92.12,91.36,91.875,217970.0
MNST,2026-06-22 23:00:00,91.875,92.49,91.67,92.41,124831.0
MNST,2026-06-22 23:30:00,92.41,92.77,92.21,92.62,173803.0
MNST,2026-06-23 00:00:00,92.62,93.009,92.46,92.95,123724.0
MNST,2026-06-23 00:30:00,92.95,93.08,92.87,93.02,77388.0
MNST,2026-06-23 01:00:00,93.02,93.1,92.84,92.97,209482.0
MNST,2026-06-23 01:30:00,92.97,93.17,92.865,93.05,96327.0
MNST,2026-06-23 02:00:00,93.05,93.1,92.77,92.7879,71289.0
MNST,2026-06-23 02:30:00,92.7879,92.97,92.74,92.89,89134.0
MNST,2026-06-23 03:00:00,92.89,92.89,92.7,92.79,99569.0
MNST,2026-06-23 03:30:00,92.79,92.95,92.772,92.92,74222.0
MNST,2026-06-23 04:00:00,92.92,93.01,92.79,92.87,127281.0
MNST,2026-06-23 04:30:00,92.87,93.42,92.865,92.99,550859.0
MNST,2026-06-23 05:00:00,93.02,93.91,92.97,93.52,1846363.0
MNST,2026-06-23 05:30:00,93.52,93.52,93.396,93.396,10.0
MNST,2026-06-23 06:00:00,93.396,93.49,93.08,93.4,43.0
MNST,2026-06-23 06:30:00,93.4,93.4,93.24,93.24,960.0
MNST,2026-06-23 07:00:00,93.24,93.24,93.02,93.15,91926.0
MNST,2026-06-23 07:30:00,93.15,93.21,93.0476,93.0476,130.0
MNST,2026-06-23 08:00:00,93.4888,93.4888,93.04,93.04,121.0
MNST,2026-06-23 08:30:00,93.04,93.36,93.02,93.36,13.0
MNST,2026-06-23 17:00:00,97.8375,97.8375,93.02,94.87,385.0
MNST,2026-06-23 17:30:00,93.15,94.3927,93.15,94.3927,15.0
MNST,2026-06-23 18:00:00,94.3927,94.4,94.3007,94.3007,6.0
MNST,2026-06-23 18:30:00,94.3007,94.3007,93.15,93.99,120.0
MNST,2026-06-23 19:30:00,93.99,93.99,93.2477,93.2477,5.0
MNST,2026-06-23 20:00:00,93.2477,93.75,93.02,93.51,536.0
MNST,2026-06-23 20:30:00,93.51,93.51,93.02,93.27,8.0
MNST,2026-06-23 21:00:00,93.27,94.0,93.02,93.02,7.0
MNST,2026-06-23 21:30:00,93.02,93.83,93.02,93.78,135.0
MNST,2026-06-23 22:00:00,93.78,95.88,75.17,95.01,6545.0
MNST,2026-06-23 22:30:00,95.01,95.01,92.62,92.92,316274.0
MNST,2026-06-23 23:00:00,92.92,93.56,92.92,93.46,156013.0
MNST,2026-06-23 23:30:00,93.46,93.545,93.16,93.35,123707.0
MNST,2026-06-24 00:00:00,93.35,93.5,93.165,93.27,158344.0
MNST,2026-06-24 00:30:00,93.27,93.43,93.199,93.315,88982.0
MNST,2026-06-24 01:00:00,93.315,93.47,93.3101,93.365,79508.0
MNST,2026-06-24 01:30:00,93.365,93.46,93.19,93.29,109719.0
MNST,2026-06-24 02:00:00,93.29,93.34,93.14,93.18,94189.0
MNST,2026-06-24 02:30:00,93.18,93.29,93.12,93.24,61699.0
MNST,2026-06-24 03:00:00,93.24,93.435,93.14,93.4,102375.0
MNST,2026-06-24 03:30:00,93.41,93.57,93.3,93.55,122346.0
MNST,2026-06-24 04:00:00,93.55,93.78,93.425,93.76,221894.0
MNST,2026-06-24 04:30:00,93.76,93.9,93.61,93.7,464090.0
MNST,2026-06-24 05:00:00,93.69,93.69,92.9739,93.69,1960895.0
MNST,2026-06-24 05:30:00,93.69,93.95,92.9624,92.9624,18.0
MNST,2026-06-24 06:00:00,93.69,93.69,93.69,93.69,141.0
MNST,2026-06-24 06:30:00,93.69,94.43,93.69,94.05,19.0
MNST,2026-06-24 07:30:00,94.05,94.05,93.0032,93.0032,113054.0
MNST,2026-06-24 08:00:00,93.0032,94.43,93.0032,94.43,1.0
MNST,2026-06-24 08:30:00,94.43,94.43,94.43,94.43,7.0
MNST,2026-06-24 17:00:00,93.69,94.19,93.42,94.19,192.0
MNST,2026-06-24 17:30:00,94.19,96.2188,93.8,93.8,19.0
MNST,2026-06-24 18:30:00,93.8,93.8,93.7,93.7,106.0
MNST,2026-06-24 19:00:00,93.7,94.21,93.7,94.21,4.0
MNST,2026-06-24 19:30:00,94.21,94.21,94.21,94.21,3.0
MNST,2026-06-24 20:30:00,93.7,96.0,93.7,93.7,47.0
MNST,2026-06-24 21:00:00,93.7,94.477,93.2534,94.477,210.0
MNST,2026-06-24 21:30:00,94.477,94.477,93.01,93.248,155.0
MNST,2026-06-24 22:00:00,93.248,94.25,88.04,93.98,195.0
MNST,2026-06-24 22:30:00,93.96,94.8,93.465,94.51,319815.0
MNST,2026-06-24 23:00:00,94.51,95.345,94.51,95.0699,240343.0
MNST,2026-06-24 23:30:00,95.0699,95.3,94.825,95.28,119595.0
MNST,2026-06-25 00:00:00,95.28,95.565,95.155,95.52,146021.0
MNST,2026-06-25 00:30:00,95.52,95.7458,95.52,95.6,160986.0
MNST,2026-06-25 01:00:00,95.6,95.69,95.48,95.59,96544.0
MNST,2026-06-25 01:30:00,95.59,95.65,95.1575,95.21,73348.0
MNST,2026-06-25 02:00:00,95.21,95.28,94.855,94.86,108983.0
MNST,2026-06-25 02:30:00,94.86,95.035,94.81,94.955,96897.0
MNST,2026-06-25 03:00:00,94.955,95.11,94.94,95.105,89767.0
MNST,2026-06-25 03:30:00,95.105,95.32,94.99,95.09,102589.0
MNST,2026-06-25 04:00:00,95.09,95.15,94.91,94.945,157678.0
MNST,2026-06-25 04:30:00,94.945,95.0,94.55,94.7,505275.0
MNST,2026-06-25 05:00:00,94.7,95.46,77.19,93.5,1285848.0
MNST,2026-06-25 05:30:00,93.5,94.07,93.0,94.06,1174.0
MNST,2026-06-25 06:00:00,94.06,94.06,89.9797,94.06,19.0
MNST,2026-06-25 06:30:00,94.06,94.06,92.5,93.65,10133.0
MNST,2026-06-25 07:00:00,93.65,94.7,93.11,94.25,1767.0
MNST,2026-06-25 07:30:00,94.25,94.25,92.5,93.3,11614.0
MNST,2026-06-25 08:00:00,93.3,94.06,92.93,93.84,337.0
MNST,2026-06-25 08:30:00,93.84,94.06,92.5,92.5,83.0
MNST,2026-06-25 17:00:00,95.0588,97.31,93.94,93.94,306.0
MNST,2026-06-25 18:00:00,93.94,93.94,93.94,93.94,1.0
MNST,2026-06-25 19:00:00,93.94,96.1204,93.94,94.6988,45.0
MNST,2026-06-25 19:30:00,94.6988,94.88,94.3,94.3,70.0
MNST,2026-06-25 20:00:00,94.7,94.7,93.0,93.0,179.0
MNST,2026-06-25 20:30:00,93.0,93.87,93.0,93.4,13.0
