symbol,datetime,open,high,low,close,volume
MSFT,2026-06-22 17:00:00,379.33,381.0,378.3,380.0198,40680.0
MSFT,2026-06-22 17:30:00,380.3602,380.7988,379.6,380.2,10833.0
MSFT,2026-06-22 18:00:00,380.0104,380.4,379.8,379.95,4091.0
MSFT,2026-06-22 18:30:00,379.9091,380.0,378.75,378.91,7607.0
MSFT,2026-06-22 19:00:00,378.91,379.5,378.81,378.87,4524.0
MSFT,2026-06-22 19:30:00,378.85,380.25,378.5,379.19,31967.0
MSFT,2026-06-22 20:00:00,379.29,379.7772,377.6,377.7041,18532.0
MSFT,2026-06-22 20:30:00,377.7,379.4,377.47,377.94,791930.0
MSFT,2026-06-22 21:00:00,377.92,379.4,377.77,378.01,22473.0
MSFT,2026-06-22 21:30:00,378.0,378.09,377.15,377.21,33520.0
MSFT,2026-06-22 22:00:00,377.37,377.55,375.27,375.6382,46750.0
MSFT,2026-06-22 22:30:00,375.71,381.63,374.36,379.9,3241782.0
MSFT,2026-06-22 23:00:00,379.85,380.88,373.53,373.63,1713595.0
MSFT,2026-06-22 23:30:00,373.63,374.4554,371.46,372.235,2064332.0
MSFT,2026-06-23 00:00:00,372.235,373.14,370.5701,371.19,1819648.0
MSFT,2026-06-23 00:30:00,371.19,372.0893,370.36,370.54,1824413.0
MSFT,2026-06-23 01:00:00,370.54,370.67,367.93,368.41,1527775.0
MSFT,2026-06-23 01:30:00,368.41,369.05,368.0,368.8625,1188060.0
MSFT,2026-06-23 02:00:00,368.8625,369.6,368.1,368.99,1592694.0
MSFT,2026-06-23 02:30:00,368.995,370.12,368.6608,370.02,878406.0
MSFT,2026-06-23 03:00:00,370.02,370.6563,369.57,370.355,967679.0
MSFT,2026-06-23 03:30:00,370.355,370.57,369.1,369.315,949006.0
MSFT,2026-06-23 04:00:00,369.315,370.482,369.0,369.75,1160261.0
MSFT,2026-06-23 04:30:00,369.75,370.45,367.07,367.19,3888199.0
MSFT,2026-06-23 05:00:00,367.4,368.81,367.28,367.54,9218506.0
MSFT,2026-06-23 05:30:00,367.54,368.1,367.5,367.77,33055.0
MSFT,2026-06-23 06:00:00,367.77,368.3,367.58,368.23,361800.0
MSFT,2026-06-23 06:30:00,368.1,368.8,368.0,368.68,64297.0
MSFT,2026-06-23 07:00:00,368.65,369.34,368.4512,369.0,531271.0
MSFT,2026-06-23 07:30:00,369.19,369.19,368.5001,368.9393,24218.0
MSFT,2026-06-23 08:00:00,368.8002,368.95,368.2,368.32,20401.0
MSFT,2026-06-23 08:30:00,368.33,368.6,368.2,368.3355,22610.0
MSFT,2026-06-23 17:00:00,367.6,371.0,365.63,369.9,108120.0
MSFT,2026-06-23 17:30:00,369.94,372.4,369.5,370.96,49305.0
MSFT,2026-06-23 18:00:00,370.96,371.28,370.32,370.7419,35550.0
MSFT,2026-06-23 18:30:00,370.7,372.38,370.32,372.11,23100.0
MSFT,2026-06-23 19:00:00,372.0,372.59,371.5283,372.0,25820.0
MSFT,2026-06-23 19:30:00,372.0,372.3,371.0,371.19,17356.0
MSFT,2026-06-23 20:00:00,371.16,371.96,370.2,371.5872,82823.0
MSFT,2026-06-23 20:30:00,371.6,372.95,370.62,372.2,65715.0
MSFT,2026-06-23 21:00:00,372.1,373.5,370.8907,372.4,453102.0
MSFT,2026-06-23 21:30:00,372.139,373.3128,371.65,372.9,70443.0
MSFT,2026-06-23 22:00:00,372.9036,374.16,371.5,372.35,105939.0
MSFT,2026-06-23 22:30:00,372.325,375.9,370.69,374.84,3883064.0
MSFT,2026-06-23 23:00:00,374.86,376.38,373.22,376.28,2079894.0
MSFT,2026-06-23 23:30:00,376.28,377.22,374.125,374.71,1676898.0
MSFT,2026-06-24 00:00:00,374.71,375.0,372.76,372.9592,1259560.0
MSFT,2026-06-24 00:30:00,372.9592,373.6551,372.47,373.41,1536114.0
MSFT,2026-06-24 01:00:00,373.41,373.55,371.61,373.1701,1072206.0
MSFT,2026-06-24 01:30:00,373.1701,373.54,372.57,372.885,958353.0
MSFT,2026-06-24 02:00:00,372.885,373.1899,372.43,373.015,958247.0
MSFT,2026-06-24 02:30:00,373.015,374.5715,372.6,373.535,1141868.0
MSFT,2026-06-24 03:00:00,373.535,374.23,373.12,373.2,949403.0
MSFT,2026-06-24 03:30:00,373.2,373.73,372.27,372.845,1149839.0
MSFT,2026-06-24 04:00:00,372.845,374.1995,372.78,373.9462,1199836.0
MSFT,2026-06-24 04:30:00,373.9462,376.1212,373.4,374.06,3057361.0
MSFT,2026-06-24 05:00:00,373.94,375.0,373.5,373.9,8748538.0
MSFT,2026-06-24 05:30:00,373.92,374.14,373.5,374.14,44401.0
MSFT,2026-06-24 06:00:00,373.94,374.1389,373.05,373.5,467356.0
MSFT,2026-06-24 06:30:00,373.5,373.8,373.05,373.608,586745.0
MSFT,2026-06-24 07:00:00,373.38,373.66,372.0003,372.32,13352.0
MSFT,2026-06-24 07:30:00,372.32,373.5,371.99,373.5,8771.0
MSFT,2026-06-24 08:00:00,373.1601,373.5,372.4261,373.2144,7951.0
MSFT,2026-06-24 08:30:00,373.25,374.35,372.45,374.0,11843.0
MSFT,2026-06-24 17:00:00,373.41,376.335,371.5,372.25,37801.0
MSFT,2026-06-24 17:30:00,372.25,373.0,371.68,372.8,4998.0
MSFT,2026-06-24 18:00:00,372.8,372.8,372.3,372.5,2916.0
MSFT,2026-06-24 18:30:00,372.67,372.9862,372.07,372.8,4291.0
MSFT,2026-06-24 19:00:00,372.77,372.8,372.28,372.3067,2064.0
MSFT,2026-06-24 19:30:00,372.3,372.5,371.6162,372.08,5201.0
MSFT,2026-06-24 20:00:00,372.2,372.5,371.35,371.36,19022.0
