symbol,datetime,open,high,low,close,volume
MU,2026-06-22 17:00:00,1152.0,1171.99,1152.0,1166.39,182716.0
MU,2026-06-22 17:30:00,1166.4,1172.5,1165.5574,1171.51,45338.0
MU,2026-06-22 18:00:00,1171.3,1172.8,1169.0,1169.8601,26125.0
MU,2026-06-22 18:30:00,1169.99,1172.0,1169.14,1169.14,22000.0
MU,2026-06-22 19:00:00,1169.8,1176.98,1169.1602,1174.8,47271.0
MU,2026-06-22 19:30:00,1174.7,1184.0,1172.73,1180.9693,84022.0
MU,2026-06-22 20:00:00,1180.795,1189.0,1180.0,1186.21,293017.0
MU,2026-06-22 20:30:00,1186.0,1191.3,1180.0,1182.85,227461.0
MU,2026-06-22 21:00:00,1182.9,1189.62,1180.0,1189.62,141870.0
MU,2026-06-22 21:30:00,1189.64,1189.94,1182.49,1184.49,117713.0
MU,2026-06-22 22:00:00,1184.39,1203.53,1184.26,1196.63,697362.0
MU,2026-06-22 22:30:00,1196.215,1204.5,1168.57,1182.34,6447145.0
MU,2026-06-22 23:00:00,1182.34,1195.8699,1179.12,1190.6301,2804377.0
MU,2026-06-22 23:30:00,1191.0,1193.1725,1177.55,1190.37,2221467.0
MU,2026-06-23 00:00:00,1190.37,1194.38,1178.8301,1180.0,1767156.0
MU,2026-06-23 00:30:00,1179.76,1182.88,1172.0,1179.355,1790490.0
MU,2026-06-23 01:00:00,1179.355,1201.1,1178.54,1200.8,2208260.0
MU,2026-06-23 01:30:00,1200.76,1200.87,1186.36,1191.68,1579941.0
MU,2026-06-23 02:00:00,1191.68,1196.78,1187.33,1194.31,1067683.0
MU,2026-06-23 02:30:00,1194.31,1201.44,1191.22,1197.5243,1227847.0
MU,2026-06-23 03:00:00,1197.5243,1202.13,1192.54,1193.815,1086548.0
MU,2026-06-23 03:30:00,1193.815,1195.911,1185.8601,1190.4769,1411998.0
MU,2026-06-23 04:00:00,1190.4769,1195.8499,1187.6,1189.38,1414707.0
MU,2026-06-23 04:30:00,1189.38,1213.34,1188.72,1211.4,3700679.0
MU,2026-06-23 05:00:00,1211.4,1229.45,1207.56,1226.0,7362877.0
MU,2026-06-23 05:30:00,1226.3305,1245.75,1225.0,1245.5,382210.0
MU,2026-06-23 06:00:00,1245.5,1245.95,1230.14,1232.5001,406444.0
MU,2026-06-23 06:30:00,1232.5783,1238.0,1231.0,1236.76,115590.0
MU,2026-06-23 07:00:00,1236.49,1241.8,1232.61,1233.0,128426.0
MU,2026-06-23 07:30:00,1232.922,1234.0,1224.0,1230.0,133962.0
MU,2026-06-23 08:00:00,1230.46,1231.12,1225.0,1230.58,84856.0
MU,2026-06-23 08:30:00,1230.3,1231.0,1228.0,1230.43,110910.0
MU,2026-06-23 17:00:00,1123.06,1137.01,1088.0,1104.0,563220.0
MU,2026-06-23 17:30:00,1104.8961,1110.0,1097.84,1107.0,82384.0
MU,2026-06-23 18:00:00,1106.0,1127.0,1105.9,1124.7184,115924.0
MU,2026-06-23 18:30:00,1123.0,1124.89,1110.01,1117.0,59979.0
MU,2026-06-23 19:00:00,1116.1963,1121.0,1100.25,1105.1964,65534.0
MU,2026-06-23 19:30:00,1105.5,1113.0,1096.0,1111.76,82571.0
MU,2026-06-23 20:00:00,1112.2,1128.99,1110.5,1118.1,390894.0
MU,2026-06-23 20:30:00,1118.01,1137.66,1115.0,1134.382,256310.0
MU,2026-06-23 21:00:00,1133.49,1144.44,1110.45,1116.9321,358213.0
MU,2026-06-23 21:30:00,1117.45,1117.5,1093.25,1096.36,363058.0
MU,2026-06-23 22:00:00,1096.6,1097.8,1074.0,1079.97,513885.0
MU,2026-06-23 22:30:00,1079.97,1099.24,1054.98,1090.875,7212007.0
MU,2026-06-23 23:00:00,1090.875,1125.0,1090.5,1104.35,4365672.0
MU,2026-06-23 23:30:00,1104.35,1105.5,1081.59,1089.335,2698796.0
MU,2026-06-24 00:00:00,1089.335,1095.69,1073.2,1075.7499,1883904.0
MU,2026-06-24 00:30:00,1075.7499,1085.6,1073.07,1082.0801,1668596.0
MU,2026-06-24 01:00:00,1082.0801,1097.5,1081.5,1085.55,1615523.0
MU,2026-06-24 01:30:00,1085.55,1091.21,1076.501,1079.32,1489797.0
MU,2026-06-24 02:00:00,1079.32,1080.9683,1072.03,1076.455,1275815.0
MU,2026-06-24 02:30:00,1076.455,1078.9999,1056.5001,1056.865,1834374.0
MU,2026-06-24 03:00:00,1056.865,1061.94,1053.23,1057.5101,1894622.0
MU,2026-06-24 03:30:00,1057.5101,1058.5599,1038.5,1046.705,2414723.0
MU,2026-06-24 04:00:00,1046.62,1058.5,1043.83,1050.725,2414357.0
MU,2026-06-24 04:30:00,1050.725,1060.98,1045.54,1051.53,3624492.0
MU,2026-06-24 05:00:00,1051.37,1070.12,1049.0,1068.29,6597278.0
MU,2026-06-24 05:30:00,1068.01,1069.0,1055.2,1060.11,159806.0
MU,2026-06-24 06:00:00,1060.11,1068.4,1059.5,1068.3,112414.0
MU,2026-06-24 06:30:00,1068.08,1081.2,1066.01,1077.99,206717.0
MU,2026-06-24 07:00:00,1078.0,1087.33,1076.23,1079.6098,233880.0
MU,2026-06-24 07:30:00,1079.608,1084.0,1063.54,1063.9999,196552.0
MU,2026-06-24 08:00:00,1063.8,1070.0,1052.04,1067.5,203795.0
MU,2026-06-24 08:30:00,1067.01,1069.9,1058.26,1064.9987,157897.0
MU,2026-06-24 17:00:00,1081.46,1105.77,1058.873,1099.4875,257488.0
MU,2026-06-24 17:30:00,1099.0,1102.8,1089.0,1095.9,47764.0
MU,2026-06-24 18:00:00,1094.5782,1097.0837,1088.34,1090.0,38395.0
MU,2026-06-24 18:30:00,1090.0,1092.97,1084.0,1091.37,38654.0
MU,2026-06-24 19:00:00,1091.15,1094.8791,1087.0,1091.0,35233.0
MU,2026-06-24 19:30:00,1090.55,1095.0,1086.0,1088.9,33263.0
MU,2026-06-24 20:00:00,1087.8,1091.9,1079.11,1084.36,178578.0
MU,2026-06-24 20:30:00,1084.01,1103.49,1084.01,1101.998,236733.0
MU,2026-06-24 21:00:00,1102.0,1105.0,1095.2,1096.5,262643.0
MU,2026-06-24 21:30:00,1096.4784,1098.8,1087.0,1088.75,1021437.0
MU,2026-06-24 22:00:00,1088.75,1094.0,1079.0,1083.42,325729.0
MU,2026-06-24 22:30:00,1083.095,1083.095,1032.0,1045.8,6164675.0
MU,2026-06-24 23:00:00,1045.8,1055.78,1031.0,1048.99,3160116.0
MU,2026-06-24 23:30:00,1048.99,1058.518,1041.0001,1051.0193,2219714.0
MU,2026-06-25 00:00:00,1051.0193,1053.95,1028.93,1039.02,1940696.0
MU,2026-06-25 00:30:00,1039.02,1046.5,1035.1801,1042.73,1408019.0
MU,2026-06-25 01:00:00,1042.73,1049.1338,1039.76,1044.0405,1166639.0
MU,2026-06-25 01:30:00,1044.0405,1044.27,1035.9001,1037.15,1242603.0
MU,2026-06-25 02:00:00,1037.15,1042.7182,1017.32,1018.675,2179794.0
MU,2026-06-25 02:30:00,1018.85,1029.83,1013.53,1014.6599,2029377.0
MU,2026-06-25 03:00:00,1014.6599,1033.84,1011.49,1031.0884,1906120.0
MU,2026-06-25 03:30:00,1030.75,1034.4199,1010.2,1012.4999,1633656.0
MU,2026-06-25 04:00:00,1012.4999,1018.2,991.1001,1012.915,3481489.0
MU,2026-06-25 04:30:00,1012.915,1048.81,1012.6201,1048.5,4911921.0
MU,2026-06-25 05:00:00,1048.5,1197.0,1030.0,1190.14,8597771.0
MU,2026-06-25 05:30:00,1190.2388,1218.0,1161.8,1200.46,2256786.0
MU,2026-06-25 06:00:00,1200.6796,1205.98,1163.5,1191.96,1215395.0
MU,2026-06-25 06:30:00,1191.9517,1196.99,1174.0,1190.15,586231.0
MU,2026-06-25 07:00:00,1190.09,1200.0,1183.25,1199.9,457146.0
MU,2026-06-25 07:30:00,1199.9,1208.86,1195.56,1200.099,395681.0
MU,2026-06-25 08:00:00,1200.1188,1216.99,1200.0,1215.01,397097.0
MU,2026-06-25 08:30:00,1215.5,1219.98,1212.5,1213.96,405077.0
MU,2026-06-25 17:00:00,1237.47,1243.1948,1214.2733,1231.017,416935.0
MU,2026-06-25 17:30:00,1231.59,1231.68,1213.0,1216.0,102574.0
MU,2026-06-25 18:00:00,1215.22,1228.9,1215.22,1219.5018,71170.0
MU,2026-06-25 18:30:00,1220.66,1224.2888,1216.63,1216.63,47277.0
MU,2026-06-25 19:00:00,1216.7242,1229.2,1216.22,1228.76,57658.0
MU,2026-06-25 19:30:00,1228.88,1239.54,1228.0,1234.15,101595.0
MU,2026-06-25 20:00:00,1234.25,1246.96,1232.96,1235.2336,375702.0
MU,2026-06-25 20:30:00,1235.0,1238.99,1227.0,1232.12,215342.0
MU,2026-06-25 21:00:00,1231.46,1234.25,1224.0,1226.5,245523.0
MU,2026-06-25 21:30:00,1226.28,1246.0,1225.5,1241.975,426159.0
MU,2026-06-25 22:00:00,1241.99,1243.8583,1228.0,1234.49,400122.0
MU,2026-06-25 22:30:00,1233.49,1255.0,1136.31,1138.24,13967093.0
MU,2026-06-25 23:00:00,1138.24,1183.89,1137.09,1148.6,6616514.0
MU,2026-06-25 23:30:00,1148.6525,1180.98,1148.38,1177.48,3718334.0
MU,2026-06-26 00:00:00,1177.48,1191.85,1163.26,1174.035,3686800.0
MU,2026-06-26 00:30:00,1174.035,1201.42,1173.1226,1193.71,2773778.0
MU,2026-06-26 01:00:00,1193.71,1219.0,1193.18,1216.785,3015668.0
MU,2026-06-26 01:30:00,1216.785,1222.17,1197.8,1215.325,2602267.0
MU,2026-06-26 02:00:00,1215.22,1228.08,1212.0,1227.89,2291099.0
MU,2026-06-26 02:30:00,1227.89,1237.2999,1222.6501,1236.91,2113221.0
MU,2026-06-26 03:00:00,1236.91,1237.68,1218.04,1223.44,2170648.0
MU,2026-06-26 03:30:00,1223.44,1231.5256,1213.09,1228.445,2113218.0
MU,2026-06-26 04:00:00,1228.445,1228.95,1194.59,1205.19,2961584.0
MU,2026-06-26 04:30:00,1205.19,1215.65,1194.0,1215.275,4059621.0
MU,2026-06-26 05:00:00,1212.79,1225.48,1208.4,1213.45,6360783.0
MU,2026-06-26 05:30:00,1213.23,1214.0,1200.02,1206.19,170069.0
MU,2026-06-26 06:00:00,1206.0,1207.83,1195.324,1197.7712,85588.0
MU,2026-06-26 06:30:00,1197.98,1202.0,1195.0,1197.0205,74102.0
