symbol,datetime,open,high,low,close,volume
NVDA,2026-06-22 17:00:00,209.95,210.02,208.2625,209.2994,183882.0
NVDA,2026-06-22 17:30:00,209.29,209.8042,209.2,209.528,22635.0
NVDA,2026-06-22 18:00:00,209.59,209.7,209.2563,209.42,21311.0
NVDA,2026-06-22 18:30:00,209.41,209.47,209.1137,209.25,19215.0
NVDA,2026-06-22 19:00:00,209.25,209.98,209.2312,209.6067,40813.0
NVDA,2026-06-22 19:30:00,209.56,209.6262,209.2578,209.55,17144.0
NVDA,2026-06-22 20:00:00,209.575,210.66,209.5,210.19,152385.0
NVDA,2026-06-22 20:30:00,210.11,210.69,209.99,210.065,79915.0
NVDA,2026-06-22 21:00:00,210.11,210.35,209.85,210.3,88212.0
NVDA,2026-06-22 21:30:00,210.3,211.0,210.2,210.769,221774.0
NVDA,2026-06-22 22:00:00,210.77,211.4795,210.6,211.44,1158394.0
NVDA,2026-06-22 22:30:00,211.365,213.99,210.79,213.065,13710672.0
NVDA,2026-06-22 23:00:00,213.065,213.99,211.11,211.11,6943719.0
NVDA,2026-06-22 23:30:00,211.11,211.14,208.62,209.11,7349487.0
NVDA,2026-06-23 00:00:00,209.11,210.38,209.01,209.83,5307524.0
NVDA,2026-06-23 00:30:00,209.83,210.89,209.41,209.48,4546517.0
NVDA,2026-06-23 01:00:00,209.48,209.9762,209.1706,209.765,3599788.0
NVDA,2026-06-23 01:30:00,209.765,209.92,209.16,209.4,2589161.0
NVDA,2026-06-23 02:00:00,209.4,209.61,208.88,208.99,2525125.0
NVDA,2026-06-23 02:30:00,208.992,209.04,208.45,208.555,2983879.0
NVDA,2026-06-23 03:00:00,208.555,209.27,208.46,208.75,2742888.0
NVDA,2026-06-23 03:30:00,208.75,209.135,208.55,208.62,2644218.0
NVDA,2026-06-23 04:00:00,208.62,208.93,207.95,208.01,3685580.0
NVDA,2026-06-23 04:30:00,208.01,208.85,207.72,208.52,6671705.0
NVDA,2026-06-23 05:00:00,208.65,208.99,208.05,208.16,22305751.0
NVDA,2026-06-23 05:30:00,208.15,208.28,208.0,208.07,729187.0
NVDA,2026-06-23 06:00:00,208.0501,208.15,207.93,208.0299,70268.0
NVDA,2026-06-23 06:30:00,208.0299,208.15,208.0,208.0368,112630.0
NVDA,2026-06-23 07:00:00,208.01,208.33,207.9,207.9,74218.0
NVDA,2026-06-23 07:30:00,207.9,208.0,207.64,207.69,53245.0
NVDA,2026-06-23 08:00:00,207.69,208.0,207.64,207.93,48595.0
NVDA,2026-06-23 08:30:00,207.9014,207.95,207.69,207.78,69946.0
NVDA,2026-06-23 17:00:00,202.6,206.31,201.66,201.88,386280.0
NVDA,2026-06-23 17:30:00,201.93,202.6,201.83,202.41,99877.0
NVDA,2026-06-23 18:00:00,202.42,202.88,202.23,202.73,73750.0
NVDA,2026-06-23 18:30:00,202.7449,202.9,202.1249,202.39,63603.0
NVDA,2026-06-23 19:00:00,202.42,202.7888,202.09,202.13,38288.0
NVDA,2026-06-23 19:30:00,202.2901,202.65,201.8242,202.5,57236.0
NVDA,2026-06-23 20:00:00,202.62,203.5,202.2,203.1658,292732.0
NVDA,2026-06-23 20:30:00,203.2,204.19,203.0917,203.8739,181755.0
NVDA,2026-06-23 21:00:00,203.89,204.01,202.9182,203.2006,273714.0
