symbol,datetime,open,high,low,close,volume
NXPI,2026-06-22 17:00:00,313.27,314.725,301.69,312.45,706.0
NXPI,2026-06-22 17:30:00,314.8,314.8,312.0,313.31,410.0
NXPI,2026-06-22 18:00:00,313.37,314.3,312.22,312.58,1190.0
NXPI,2026-06-22 18:30:00,312.58,316.01,312.21,312.8,71.0
NXPI,2026-06-22 19:00:00,312.8,313.5,312.15,313.46,528.0
NXPI,2026-06-22 19:30:00,313.46,313.46,312.68,313.2,41.0
NXPI,2026-06-22 20:00:00,313.65,319.0,313.5016,314.53,119.0
NXPI,2026-06-22 20:30:00,314.53,319.0,313.27,314.49,39.0
NXPI,2026-06-22 21:00:00,314.49,316.72,313.27,316.0,154.0
NXPI,2026-06-22 21:30:00,317.55,318.9055,316.3,318.09,599.0
NXPI,2026-06-22 22:00:00,318.3,320.08,316.0,320.08,552.0
NXPI,2026-06-22 22:30:00,318.83,324.205,316.04,324.205,138613.0
NXPI,2026-06-22 23:00:00,324.205,327.5,323.53,325.5,87370.0
NXPI,2026-06-22 23:30:00,325.5,326.03,323.4001,325.725,96117.0
NXPI,2026-06-23 00:00:00,325.725,326.22,324.44,325.355,84529.0
NXPI,2026-06-23 00:30:00,325.355,326.68,323.2,323.2,73085.0
NXPI,2026-06-23 01:00:00,323.2,323.47,321.35,323.35,59772.0
NXPI,2026-06-23 01:30:00,323.35,323.53,321.16,321.44,99599.0
NXPI,2026-06-23 02:00:00,321.44,322.29,320.34,322.2,59207.0
NXPI,2026-06-23 02:30:00,322.2,322.2,321.41,321.82,76832.0
NXPI,2026-06-23 03:00:00,321.82,322.19,320.9141,321.08,44331.0
NXPI,2026-06-23 03:30:00,321.08,321.25,319.78,319.82,55953.0
NXPI,2026-06-23 04:00:00,319.82,320.13,319.25,319.52,150301.0
NXPI,2026-06-23 04:30:00,319.52,323.61,319.52,323.6,879275.0
NXPI,2026-06-23 05:00:00,323.24,328.9999,320.0,326.89,1251155.0
NXPI,2026-06-23 05:30:00,326.89,326.89,320.24,320.67,451.0
NXPI,2026-06-23 06:00:00,320.59,323.24,320.26,323.24,16636.0
NXPI,2026-06-23 06:30:00,323.24,323.24,321.3,321.41,272.0
NXPI,2026-06-23 07:00:00,321.43,323.24,321.15,321.15,512.0
NXPI,2026-06-23 07:30:00,320.61,322.6325,320.06,321.8,96.0
NXPI,2026-06-23 08:00:00,321.8,321.96,321.8,321.96,35.0
NXPI,2026-06-23 08:30:00,321.96,321.96,320.01,320.01,1.0
NXPI,2026-06-23 17:00:00,320.05,325.71,304.0432,313.38,673.0
NXPI,2026-06-23 17:30:00,313.38,314.53,313.17,313.78,334.0
NXPI,2026-06-23 18:00:00,313.34,315.01,313.15,315.01,86.0
NXPI,2026-06-23 18:30:00,315.01,315.01,304.43,313.48,103.0
NXPI,2026-06-23 19:00:00,313.48,314.7,311.69,311.69,151.0
NXPI,2026-06-23 19:30:00,311.69,314.7,303.05,303.05,121.0
NXPI,2026-06-23 20:00:00,314.95,314.95,310.0,311.02,257.0
NXPI,2026-06-23 20:30:00,311.02,317.0,311.02,311.57,829.0
NXPI,2026-06-23 21:00:00,311.57,323.24,308.36,310.89,1910.0
NXPI,2026-06-23 21:30:00,309.0,323.24,308.8,309.92,752.0
NXPI,2026-06-23 22:00:00,310.0,312.0,308.18,310.5,3921.0
