symbol,datetime,open,high,low,close,volume
ODFL,2026-06-22 17:00:00,235.3865,235.3865,235.3865,235.3865,1.0
ODFL,2026-06-22 18:30:00,235.3865,235.3865,220.29,220.29,8.0
ODFL,2026-06-22 20:00:00,220.29,220.29,220.02,220.02,18.0
ODFL,2026-06-22 20:30:00,220.02,221.04,220.02,220.16,16.0
ODFL,2026-06-22 22:00:00,220.16,221.89,220.16,221.88,162.0
ODFL,2026-06-22 22:30:00,221.88,223.81,221.21,222.035,42972.0
ODFL,2026-06-22 23:00:00,222.035,222.035,219.37,219.7,42875.0
ODFL,2026-06-22 23:30:00,219.7,219.7,217.79,218.06,160213.0
ODFL,2026-06-23 00:00:00,218.06,219.85,217.96,219.85,147188.0
ODFL,2026-06-23 00:30:00,219.86,220.17,219.2,220.0001,51546.0
ODFL,2026-06-23 01:00:00,220.0001,220.6079,219.4,219.77,57649.0
ODFL,2026-06-23 01:30:00,219.77,221.49,219.68,221.32,59048.0
ODFL,2026-06-23 02:00:00,221.32,221.62,220.67,221.38,45866.0
ODFL,2026-06-23 02:30:00,221.38,221.38,220.2924,220.2924,33841.0
ODFL,2026-06-23 03:00:00,220.2924,220.629,219.76,220.559,45329.0
ODFL,2026-06-23 03:30:00,220.559,220.8,219.56,219.585,53722.0
ODFL,2026-06-23 04:00:00,219.585,219.76,219.01,219.1999,44574.0
ODFL,2026-06-23 04:30:00,219.03,219.77,218.89,219.44,159233.0
ODFL,2026-06-23 05:00:00,219.52,219.61,209.49,219.61,582062.0
ODFL,2026-06-23 05:30:00,219.61,220.05,219.52,219.52,20.0
ODFL,2026-06-23 06:30:00,219.52,219.52,217.0,217.0,395.0
ODFL,2026-06-23 07:00:00,217.0,219.52,217.0,219.52,16555.0
ODFL,2026-06-23 08:30:00,219.52,223.0136,219.52,223.0136,111.0
ODFL,2026-06-23 17:00:00,219.52,219.96,217.93,219.17,48.0
ODFL,2026-06-23 17:30:00,219.17,219.52,218.42,219.52,19.0
ODFL,2026-06-23 18:00:00,219.52,219.79,219.52,219.52,32.0
ODFL,2026-06-23 19:30:00,219.52,219.52,219.5,219.5,2.0
ODFL,2026-06-23 20:30:00,219.5,219.52,217.82,217.82,23.0
ODFL,2026-06-23 21:00:00,217.82,217.82,217.82,217.82,109.0
ODFL,2026-06-23 21:30:00,217.82,219.52,217.55,217.55,44.0
ODFL,2026-06-23 22:00:00,217.82,222.34,207.63,222.33,361.0
ODFL,2026-06-23 22:30:00,222.33,222.33,218.94,219.76,65724.0
ODFL,2026-06-23 23:00:00,219.76,219.8,217.97,218.75,62099.0
ODFL,2026-06-23 23:30:00,218.75,219.21,218.39,218.755,35773.0
ODFL,2026-06-24 00:00:00,218.755,219.0,217.4,217.74,40731.0
ODFL,2026-06-24 00:30:00,217.74,218.085,217.37,217.82,60080.0
ODFL,2026-06-24 01:00:00,217.82,218.9,217.71,218.6,147573.0
ODFL,2026-06-24 01:30:00,218.6,219.64,218.56,219.345,29894.0
ODFL,2026-06-24 02:00:00,219.345,219.84,219.085,219.085,21845.0
ODFL,2026-06-24 02:30:00,219.085,219.205,218.69,218.75,22446.0
ODFL,2026-06-24 03:00:00,218.75,219.11,218.55,218.815,30124.0
ODFL,2026-06-24 03:30:00,218.815,219.1799,218.62,219.06,34062.0
ODFL,2026-06-24 04:00:00,219.06,219.66,218.81,218.81,43334.0
ODFL,2026-06-24 04:30:00,218.81,218.83,217.375,217.515,191888.0
ODFL,2026-06-24 05:00:00,217.515,218.03,217.515,217.58,383211.0
ODFL,2026-06-24 05:30:00,217.58,217.58,216.26,216.26,25.0
ODFL,2026-06-24 06:00:00,217.58,217.58,217.58,217.58,168090.0
ODFL,2026-06-24 06:30:00,217.58,217.58,216.26,216.26,111200.0
ODFL,2026-06-24 07:00:00,216.26,216.26,216.26,216.26,30.0
ODFL,2026-06-24 07:30:00,216.26,216.26,215.59,215.59,1.0
ODFL,2026-06-24 08:30:00,215.59,217.7,215.59,217.7,5.0
ODFL,2026-06-24 17:00:00,214.873,216.94,214.873,216.94,64.0
ODFL,2026-06-24 18:30:00,216.94,218.69,216.94,218.14,6.0
ODFL,2026-06-24 20:30:00,218.14,218.14,217.58,217.58,3.0
ODFL,2026-06-24 22:00:00,217.58,219.67,217.58,219.67,22.0
ODFL,2026-06-24 22:30:00,214.27,222.56,214.27,220.91,97895.0
ODFL,2026-06-24 23:00:00,220.91,221.11,219.03,219.03,88914.0
ODFL,2026-06-24 23:30:00,219.03,219.23,218.01,218.44,64120.0
ODFL,2026-06-25 00:00:00,218.44,219.52,217.905,219.3201,57755.0
ODFL,2026-06-25 00:30:00,219.3201,219.56,218.36,218.585,33503.0
ODFL,2026-06-25 01:00:00,218.585,218.73,217.91,218.15,22790.0
ODFL,2026-06-25 01:30:00,218.15,218.15,216.64,216.77,31727.0
ODFL,2026-06-25 02:00:00,216.77,217.215,216.69,216.76,40439.0
ODFL,2026-06-25 02:30:00,216.76,217.4107,216.1,216.91,29505.0
ODFL,2026-06-25 03:00:00,216.91,218.04,216.8,217.76,40123.0
ODFL,2026-06-25 03:30:00,217.76,218.79,217.76,218.51,95250.0
ODFL,2026-06-25 04:00:00,218.51,219.26,218.44,218.78,110050.0
ODFL,2026-06-25 04:30:00,218.78,219.305,218.04,219.18,209514.0
ODFL,2026-06-25 05:00:00,219.04,222.191,219.03,219.04,274264.0
ODFL,2026-06-25 06:00:00,219.04,219.04,219.04,219.04,25930.0
ODFL,2026-06-25 06:30:00,219.04,219.04,219.04,219.04,1.0
ODFL,2026-06-25 07:00:00,219.04,219.04,219.04,219.04,98806.0
ODFL,2026-06-25 18:00:00,219.04,219.04,217.98,217.98,16.0
ODFL,2026-06-25 18:30:00,217.98,217.98,217.55,217.55,12.0
