symbol,datetime,open,high,low,close,volume
ORLY,2026-06-22 20:00:00,86.84,86.84,86.79,86.79,1.0
ORLY,2026-06-22 20:30:00,86.79,86.84,86.35,86.84,117.0
ORLY,2026-06-22 21:00:00,86.84,86.84,86.0,86.0,42.0
ORLY,2026-06-22 21:30:00,86.0,86.84,86.0,86.84,122.0
ORLY,2026-06-22 22:00:00,86.84,86.84,85.31,85.63,1884.0
ORLY,2026-06-22 22:30:00,85.74,86.1,85.03,85.63,808240.0
ORLY,2026-06-22 23:00:00,85.63,85.665,84.825,85.025,648100.0
ORLY,2026-06-22 23:30:00,85.025,85.475,84.88,85.4,367791.0
ORLY,2026-06-23 00:00:00,85.42,85.848,85.2,85.59,1088308.0
ORLY,2026-06-23 00:30:00,85.59,85.735,85.07,85.3,547554.0
ORLY,2026-06-23 01:00:00,85.3,85.705,85.21,85.55,333671.0
ORLY,2026-06-23 01:30:00,85.55,85.575,85.31,85.43,276473.0
ORLY,2026-06-23 02:00:00,85.43,85.44,85.17,85.19,953314.0
ORLY,2026-06-23 02:30:00,85.19,85.355,85.13,85.15,248513.0
ORLY,2026-06-23 03:00:00,85.15,85.24,85.03,85.2,151649.0
ORLY,2026-06-23 03:30:00,85.2,85.35,85.14,85.17,204058.0
ORLY,2026-06-23 04:00:00,85.17,85.18,84.76,85.13,473679.0
ORLY,2026-06-23 04:30:00,85.13,85.84,85.115,85.625,656768.0
ORLY,2026-06-23 05:00:00,85.625,86.64,85.625,86.64,2016844.0
ORLY,2026-06-23 05:30:00,86.64,86.64,85.6,85.63,6599.0
ORLY,2026-06-23 06:00:00,85.63,86.56,85.61,85.61,11.0
ORLY,2026-06-23 06:30:00,85.61,86.0,85.3241,85.64,3069.0
ORLY,2026-06-23 07:00:00,85.64,85.64,85.63,85.63,69860.0
ORLY,2026-06-23 08:00:00,85.63,85.63,85.0398,85.0398,2.0
ORLY,2026-06-23 08:30:00,85.0398,86.0,84.98,84.98,1022.0
ORLY,2026-06-23 17:00:00,85.28,86.97,85.28,86.5,974.0
ORLY,2026-06-23 18:00:00,86.5,86.5,85.5,85.5,83.0
ORLY,2026-06-23 19:00:00,85.5,86.15,85.5,86.15,160.0
ORLY,2026-06-23 20:00:00,86.15,86.33,85.818,85.818,98.0
ORLY,2026-06-23 20:30:00,85.818,86.3,85.63,86.3,56.0
ORLY,2026-06-23 21:00:00,86.3,86.34,86.2,86.34,311.0
ORLY,2026-06-23 22:00:00,86.34,94.01,86.01,86.97,1353.0
ORLY,2026-06-23 22:30:00,86.87,87.285,86.51,86.73,373092.0
ORLY,2026-06-23 23:00:00,86.73,87.2,86.48,87.07,364056.0
ORLY,2026-06-23 23:30:00,87.07,87.62,87.06,87.34,179345.0
ORLY,2026-06-24 00:00:00,87.34,87.9,87.185,87.7619,255943.0
ORLY,2026-06-24 00:30:00,87.7619,87.98,87.41,87.805,434749.0
ORLY,2026-06-24 01:00:00,87.805,87.91,87.63,87.78,156087.0
ORLY,2026-06-24 01:30:00,87.78,87.82,87.63,87.73,347967.0
ORLY,2026-06-24 02:00:00,87.73,87.78,87.33,87.3737,146489.0
ORLY,2026-06-24 02:30:00,87.3737,87.54,87.28,87.43,140360.0
ORLY,2026-06-24 03:00:00,87.43,87.44,87.18,87.21,137421.0
ORLY,2026-06-24 03:30:00,87.21,87.47,87.18,87.335,470885.0
ORLY,2026-06-24 04:00:00,87.335,87.545,87.2,87.38,629743.0
ORLY,2026-06-24 04:30:00,87.38,87.75,87.27,87.525,1088850.0
ORLY,2026-06-24 05:00:00,87.54,88.2,86.0,88.2,1333113.0
ORLY,2026-06-24 05:30:00,88.2,88.2,87.26,87.28,15189.0
ORLY,2026-06-24 06:00:00,87.54,87.54,87.0,87.0,764.0
