symbol,datetime,open,high,low,close,volume
PANW,2026-06-22 17:00:00,288.53,290.05,284.66,288.79,2994.0
PANW,2026-06-22 17:30:00,288.79,289.3988,288.01,288.4,309.0
PANW,2026-06-22 18:00:00,288.4,289.4,288.4,288.4,140.0
PANW,2026-06-22 18:30:00,288.41,289.2,287.26,288.99,514.0
PANW,2026-06-22 19:00:00,287.71,289.0,287.04,289.0,185.0
PANW,2026-06-22 19:30:00,287.36,289.0,286.92,287.16,1088.0
PANW,2026-06-22 20:00:00,287.4,288.57,286.2,286.59,716.0
PANW,2026-06-22 20:30:00,286.85,287.78,286.25,286.6,1060.0
PANW,2026-06-22 21:00:00,286.6,287.24,286.25,287.07,489.0
PANW,2026-06-22 21:30:00,286.6264,287.24,286.391,286.55,480.0
PANW,2026-06-22 22:00:00,286.55,287.99,283.11,287.99,5291.0
PANW,2026-06-22 22:30:00,286.95,295.75,286.7,293.19,739887.0
PANW,2026-06-22 23:00:00,293.19,295.48,290.51,291.18,273186.0
PANW,2026-06-22 23:30:00,291.18,291.95,289.6649,290.2,383197.0
PANW,2026-06-23 00:00:00,290.2,290.275,287.91,289.29,208039.0
PANW,2026-06-23 00:30:00,289.29,289.65,286.6,286.6,252799.0
PANW,2026-06-23 01:00:00,286.6,287.085,285.18,285.605,127110.0
PANW,2026-06-23 01:30:00,285.605,286.83,285.37,286.59,145021.0
PANW,2026-06-23 02:00:00,286.59,286.735,284.26,285.55,195018.0
PANW,2026-06-23 02:30:00,285.55,286.68,285.55,286.505,150016.0
PANW,2026-06-23 03:00:00,286.505,286.92,285.81,286.4,133801.0
PANW,2026-06-23 03:30:00,286.4,286.87,285.72,285.84,158117.0
PANW,2026-06-23 04:00:00,285.84,286.2,284.7045,285.4675,174956.0
PANW,2026-06-23 04:30:00,285.4675,288.21,285.4675,286.445,444002.0
PANW,2026-06-23 05:00:00,286.4,287.4,284.434,286.2373,1379531.0
PANW,2026-06-23 05:30:00,286.2373,286.8765,286.05,286.18,2251.0
PANW,2026-06-23 06:00:00,286.18,286.5,286.05,286.5,607.0
PANW,2026-06-23 06:30:00,286.05,288.312,286.05,286.07,1127.0
PANW,2026-06-23 07:00:00,286.07,287.2,286.05,286.34,1124.0
PANW,2026-06-23 07:30:00,286.34,287.6,286.07,287.0,252.0
PANW,2026-06-23 08:00:00,286.6,286.9999,286.05,286.3999,273.0
PANW,2026-06-23 08:30:00,286.3999,286.4,286.05,286.3301,80.0
PANW,2026-06-23 17:00:00,284.57,288.86,279.86,281.52,3820.0
PANW,2026-06-23 17:30:00,283.0,286.5588,280.16,285.3788,1411.0
PANW,2026-06-23 18:00:00,285.3788,285.3788,282.63,284.25,127.0
PANW,2026-06-23 18:30:00,284.25,285.0,283.2564,284.29,615.0
PANW,2026-06-23 19:00:00,284.29,285.34,283.0,284.29,294.0
PANW,2026-06-23 19:30:00,284.73,286.51,284.29,285.85,1223.0
PANW,2026-06-23 20:00:00,286.0,286.4,282.2,284.0021,1169.0
PANW,2026-06-23 20:30:00,283.41,286.4,282.8,283.92,1692.0
PANW,2026-06-23 21:00:00,283.92,285.01,283.91,284.0211,833.0
PANW,2026-06-23 21:30:00,284.0211,285.1988,282.98,283.234,2736.0
PANW,2026-06-23 22:00:00,283.3599,287.2,282.21,285.42,5452.0
PANW,2026-06-23 22:30:00,285.75,289.8,282.61,289.43,504999.0
PANW,2026-06-23 23:00:00,289.43,290.72,287.84,290.35,254803.0
PANW,2026-06-23 23:30:00,290.35,291.19,289.03,290.615,172129.0
PANW,2026-06-24 00:00:00,290.615,291.07,288.76,288.845,198120.0
PANW,2026-06-24 00:30:00,288.845,290.61,288.535,290.61,117726.0
PANW,2026-06-24 01:00:00,290.61,291.99,289.87,291.845,109048.0
PANW,2026-06-24 01:30:00,291.845,291.94,290.885,291.295,124762.0
PANW,2026-06-24 02:00:00,291.295,291.43,290.72,290.88,215753.0
PANW,2026-06-24 02:30:00,290.88,291.14,289.2054,289.66,122277.0
PANW,2026-06-24 03:00:00,289.66,289.95,288.6787,289.045,130663.0
PANW,2026-06-24 03:30:00,289.045,289.37,288.23,288.97,179997.0
PANW,2026-06-24 04:00:00,288.97,290.19,288.8,289.1658,170825.0
PANW,2026-06-24 04:30:00,289.1658,292.1403,288.46,290.98,744283.0
PANW,2026-06-24 05:00:00,290.98,292.25,290.608,291.87,1245598.0
PANW,2026-06-24 05:30:00,291.87,291.87,290.0,290.92,810.0
PANW,2026-06-24 06:00:00,290.91,291.8,290.0,290.7,4256.0
PANW,2026-06-24 06:30:00,290.7,291.5,290.0,291.5,74.0
PANW,2026-06-24 07:00:00,291.5,291.6,289.75,291.132,597.0
PANW,2026-06-24 07:30:00,291.132,291.3,288.0,288.1,105.0
PANW,2026-06-24 08:00:00,288.1,291.6,288.1,291.42,300.0
PANW,2026-06-24 08:30:00,289.2,291.4,289.1,289.3392,206.0
PANW,2026-06-24 17:00:00,290.96,293.28,289.73,290.67,1586.0
PANW,2026-06-24 17:30:00,290.31,291.74,290.31,291.14,34.0
PANW,2026-06-24 18:00:00,291.14,291.14,290.54,290.55,94.0
PANW,2026-06-24 18:30:00,290.55,291.34,290.3778,291.34,106.0
PANW,2026-06-24 19:00:00,291.34,291.34,290.5,290.5,114.0
PANW,2026-06-24 19:30:00,290.5,290.58,290.33,290.33,98.0
PANW,2026-06-24 20:00:00,290.33,291.2,289.99,290.38,605.0
PANW,2026-06-24 20:30:00,290.04,291.4,289.8,290.73,1366.0
PANW,2026-06-24 21:00:00,289.9,290.73,288.88,290.0,169.0
PANW,2026-06-24 21:30:00,289.67,290.2024,288.88,288.9373,454.0
PANW,2026-06-24 22:00:00,289.0,290.35,285.0,290.01,10120.0
PANW,2026-06-24 22:30:00,289.385,291.0,285.59,288.7,486970.0
PANW,2026-06-24 23:00:00,288.7,288.72,284.28,286.8,202679.0
PANW,2026-06-24 23:30:00,286.8,289.7161,286.66,288.185,207823.0
PANW,2026-06-25 00:00:00,288.185,288.74,285.05,286.12,273933.0
PANW,2026-06-25 00:30:00,286.12,288.65,286.12,288.36,133856.0
PANW,2026-06-25 01:00:00,288.36,288.735,287.81,288.14,90162.0
PANW,2026-06-25 01:30:00,288.14,288.8169,287.365,287.71,141932.0
PANW,2026-06-25 02:00:00,287.71,288.5899,285.82,285.985,124195.0
PANW,2026-06-25 02:30:00,285.985,287.13,285.7101,286.595,127201.0
PANW,2026-06-25 03:00:00,286.595,288.14,286.248,287.02,263808.0
PANW,2026-06-25 03:30:00,287.02,287.35,285.39,285.48,125275.0
PANW,2026-06-25 04:00:00,285.48,287.015,285.0351,286.88,208806.0
PANW,2026-06-25 04:30:00,286.88,287.08,284.5,285.17,462354.0
PANW,2026-06-25 05:00:00,285.26,287.4,282.0,283.0,1245422.0
