symbol,datetime,open,high,low,close,volume
PAYX,2026-06-22 17:00:00,97.488,98.68,97.488,98.0,46.0
PAYX,2026-06-22 17:30:00,98.0,98.23,98.0,98.23,17.0
PAYX,2026-06-22 18:30:00,98.23,98.23,96.09,96.09,21.0
PAYX,2026-06-22 19:00:00,96.09,97.9,96.09,97.363,128.0
PAYX,2026-06-22 20:00:00,97.7544,97.9,97.7544,97.7544,330.0
PAYX,2026-06-22 20:30:00,97.7544,98.24,97.74,97.94,169.0
PAYX,2026-06-22 21:00:00,97.94,98.385,97.68,97.71,54.0
PAYX,2026-06-22 21:30:00,97.71,97.9,97.71,97.9,20.0
PAYX,2026-06-22 22:00:00,97.9,98.23,96.92,96.92,222.0
PAYX,2026-06-22 22:30:00,97.2,98.28,96.82,98.18,320754.0
PAYX,2026-06-22 23:00:00,98.18,98.35,97.565,97.61,220809.0
PAYX,2026-06-22 23:30:00,97.61,97.78,97.31,97.435,141944.0
PAYX,2026-06-23 00:00:00,97.435,97.5648,97.2,97.41,136532.0
PAYX,2026-06-23 00:30:00,97.41,97.615,97.3,97.44,99632.0
PAYX,2026-06-23 01:00:00,97.44,97.59,96.94,97.04,77653.0
PAYX,2026-06-23 01:30:00,97.04,97.5286,96.97,97.46,77493.0
PAYX,2026-06-23 02:00:00,97.46,97.59,97.35,97.48,97681.0
PAYX,2026-06-23 02:30:00,97.48,97.56,97.13,97.34,112129.0
PAYX,2026-06-23 03:00:00,97.34,97.535,97.2,97.235,137327.0
PAYX,2026-06-23 03:30:00,97.24,97.24,95.87,96.07,219627.0
PAYX,2026-06-23 04:00:00,96.07,96.42,95.8415,96.39,204683.0
PAYX,2026-06-23 04:30:00,96.39,96.77,95.81,95.94,600187.0
PAYX,2026-06-23 05:00:00,95.93,96.5,95.93,96.5,1042175.0
PAYX,2026-06-23 05:30:00,96.5,96.5,95.93,96.4259,35.0
PAYX,2026-06-23 06:00:00,96.4259,96.4259,95.93,96.15,11176.0
PAYX,2026-06-23 06:30:00,96.15,96.38,96.15,96.38,589.0
PAYX,2026-06-23 07:00:00,96.38,96.49,95.93,96.15,493.0
PAYX,2026-06-23 07:30:00,96.15,96.15,95.92,95.92,70.0
PAYX,2026-06-23 08:00:00,95.92,96.0,95.92,95.94,26.0
PAYX,2026-06-23 08:30:00,95.94,96.0,95.94,96.0,1.0
PAYX,2026-06-23 17:00:00,95.93,98.0,95.93,97.36,55.0
PAYX,2026-06-23 17:30:00,97.36,97.36,97.03,97.03,5.0
PAYX,2026-06-23 20:00:00,96.495,96.98,96.0,96.98,114.0
PAYX,2026-06-23 20:30:00,96.98,97.42,95.56,97.16,167.0
PAYX,2026-06-23 21:00:00,97.0,97.49,95.56,95.93,125.0
PAYX,2026-06-23 21:30:00,95.93,96.98,95.93,96.9069,69.0
PAYX,2026-06-23 22:00:00,96.0,99.86,96.0,98.35,4838.0
PAYX,2026-06-23 22:30:00,97.91,98.8527,97.55,97.87,308037.0
PAYX,2026-06-23 23:00:00,97.87,98.39,97.57,98.295,153728.0
PAYX,2026-06-23 23:30:00,98.295,98.43,97.93,98.18,128195.0
PAYX,2026-06-24 00:00:00,98.18,98.76,98.1,98.35,121072.0
PAYX,2026-06-24 00:30:00,98.35,98.7,98.22,98.3901,147550.0
PAYX,2026-06-24 01:00:00,98.3901,98.65,98.3,98.48,159347.0
PAYX,2026-06-24 01:30:00,98.48,98.565,97.92,98.18,230156.0
PAYX,2026-06-24 02:00:00,98.18,98.285,97.9,97.98,178873.0
PAYX,2026-06-24 02:30:00,97.98,98.1,97.72,97.935,250536.0
PAYX,2026-06-24 03:00:00,97.935,97.945,97.73,97.86,99758.0
PAYX,2026-06-24 03:30:00,97.86,98.2,97.805,98.155,185083.0
PAYX,2026-06-24 04:00:00,98.155,98.52,98.11,98.51,235508.0
PAYX,2026-06-24 04:30:00,98.51,98.51,97.92,97.99,566717.0
PAYX,2026-06-24 05:00:00,97.99,98.73,97.5,97.96,1029495.0
PAYX,2026-06-24 05:30:00,97.96,97.97,97.5,97.97,1036.0
PAYX,2026-06-24 06:00:00,97.99,98.5,97.63,97.63,7893.0
PAYX,2026-06-24 06:30:00,97.63,98.5,97.5,98.49,497.0
PAYX,2026-06-24 07:00:00,98.49,98.5,98.49,98.5,85.0
PAYX,2026-06-24 07:30:00,98.5,98.5,98.0,98.0,2.0
PAYX,2026-06-24 08:00:00,98.0,98.25,96.5,96.99,391.0
PAYX,2026-06-24 08:30:00,97.5,97.69,95.98,95.98,371.0
PAYX,2026-06-24 17:00:00,97.99,98.73,96.7,97.5,226.0
PAYX,2026-06-24 17:30:00,97.5,97.89,95.99,96.46,282.0
PAYX,2026-06-24 18:00:00,96.46,97.93,91.31,94.73,791.0
PAYX,2026-06-24 18:30:00,94.73,98.49,94.73,98.49,12.0
PAYX,2026-06-24 19:00:00,98.49,99.07,98.49,99.07,76.0
PAYX,2026-06-24 19:30:00,98.91,98.93,98.91,98.93,52.0
PAYX,2026-06-24 20:00:00,98.06,98.28,96.2674,98.0,270.0
PAYX,2026-06-24 20:30:00,98.0,98.4574,97.5585,97.5585,174.0
PAYX,2026-06-24 21:00:00,97.5585,98.85,95.92,98.85,2388.0
PAYX,2026-06-24 21:30:00,98.96,103.95,92.0,94.0,21513.0
PAYX,2026-06-24 22:00:00,93.84,99.03,93.27,98.6,12095.0
PAYX,2026-06-24 22:30:00,98.39,98.39,93.02,93.645,1020539.0
PAYX,2026-06-24 23:00:00,93.58,94.8899,93.31,94.76,307827.0
PAYX,2026-06-24 23:30:00,94.76,95.96,94.71,95.675,222811.0
