symbol,datetime,open,high,low,close,volume
PDD,2026-06-22 17:00:00,78.5715,79.2927,78.34,78.4767,18107.0
PDD,2026-06-22 17:30:00,78.5,78.51,78.3,78.38,3469.0
PDD,2026-06-22 18:00:00,78.3919,78.88,78.39,78.88,6759.0
PDD,2026-06-22 18:30:00,78.88,78.88,78.6,78.87,1386.0
PDD,2026-06-22 19:00:00,78.87,79.14,78.87,79.07,422.0
PDD,2026-06-22 19:30:00,78.96,79.14,78.83,78.92,593.0
PDD,2026-06-22 20:00:00,79.0991,79.13,78.84,78.94,2917.0
PDD,2026-06-22 20:30:00,78.94,79.08,78.88,78.99,738.0
PDD,2026-06-22 21:00:00,79.08,79.12,78.9,79.0225,1406.0
PDD,2026-06-22 21:30:00,79.0225,79.1185,78.91,78.91,5589.0
PDD,2026-06-22 22:00:00,79.1,79.13,78.4,78.7,17023.0
PDD,2026-06-22 22:30:00,79.13,79.13,77.81,78.78,741944.0
PDD,2026-06-22 23:00:00,78.79,78.875,78.06,78.1,422711.0
PDD,2026-06-22 23:30:00,78.1,78.2897,77.96,78.2004,287843.0
PDD,2026-06-23 00:00:00,78.2089,78.7199,78.19,78.56,321366.0
PDD,2026-06-23 00:30:00,78.56,79.5,78.56,79.1275,415265.0
PDD,2026-06-23 01:00:00,79.1275,79.22,78.93,78.96,259054.0
PDD,2026-06-23 01:30:00,78.96,79.02,78.68,78.85,141635.0
PDD,2026-06-23 02:00:00,78.85,78.85,78.58,78.61,158940.0
PDD,2026-06-23 02:30:00,78.61,78.6384,78.305,78.365,230869.0
PDD,2026-06-23 03:00:00,78.365,78.38,78.24,78.33,126233.0
PDD,2026-06-23 03:30:00,78.33,78.42,78.21,78.22,144944.0
PDD,2026-06-23 04:00:00,78.22,78.385,78.22,78.28,370893.0
PDD,2026-06-23 04:30:00,78.28,78.455,78.05,78.12,726442.0
PDD,2026-06-23 05:00:00,78.11,78.97,78.02,78.1,1519357.0
PDD,2026-06-23 05:30:00,78.1,78.9,78.1,78.18,488.0
PDD,2026-06-23 06:00:00,78.18,78.45,78.11,78.45,6510.0
PDD,2026-06-23 06:30:00,78.27,78.49,78.01,78.09,11625.0
PDD,2026-06-23 07:00:00,78.09,78.4,78.02,78.06,1625.0
PDD,2026-06-23 07:30:00,78.06,78.33,78.02,78.07,2170.0
PDD,2026-06-23 08:00:00,78.07,78.1783,78.02,78.02,763.0
PDD,2026-06-23 08:30:00,78.05,78.08,78.0,78.08,6891.0
PDD,2026-06-23 17:00:00,75.82,76.97,75.25,75.7,50097.0
PDD,2026-06-23 17:30:00,75.69,75.95,75.62,75.8,9775.0
PDD,2026-06-23 18:00:00,75.68,76.12,75.65,75.92,6711.0
PDD,2026-06-23 18:30:00,76.1,76.19,76.0,76.0289,4030.0
PDD,2026-06-23 19:00:00,76.0289,76.5,76.0289,76.29,3631.0
PDD,2026-06-23 19:30:00,76.29,76.3,76.03,76.3,1695.0
PDD,2026-06-23 20:00:00,76.34,76.58,76.03,76.03,7153.0
PDD,2026-06-23 20:30:00,76.4389,76.97,76.41,76.42,3656.0
PDD,2026-06-23 21:00:00,76.41,76.5,76.2403,76.34,2829.0
PDD,2026-06-23 21:30:00,76.34,76.58,76.23,76.4315,4644.0
PDD,2026-06-23 22:00:00,76.4315,77.0,76.33,77.0,14584.0
PDD,2026-06-23 22:30:00,77.06,77.49,76.39,76.62,1033851.0
PDD,2026-06-23 23:00:00,76.62,76.99,76.53,76.86,401340.0
PDD,2026-06-23 23:30:00,76.86,76.965,76.66,76.835,252724.0
PDD,2026-06-24 00:00:00,76.835,76.835,76.13,76.22,318223.0
PDD,2026-06-24 00:30:00,76.22,76.22,75.7,75.95,466278.0
PDD,2026-06-24 01:00:00,75.95,76.02,75.81,75.885,291648.0
PDD,2026-06-24 01:30:00,75.885,76.11,75.84,76.07,205323.0
PDD,2026-06-24 02:00:00,76.07,76.2974,76.07,76.2,143879.0
PDD,2026-06-24 02:30:00,76.2,76.37,76.08,76.16,170382.0
PDD,2026-06-24 03:00:00,76.16,76.46,76.12,76.46,224559.0
PDD,2026-06-24 03:30:00,76.46,76.67,76.445,76.67,164201.0
PDD,2026-06-24 04:00:00,76.67,76.75,76.48,76.4845,258393.0
PDD,2026-06-24 04:30:00,76.4845,76.845,76.43,76.57,845056.0
PDD,2026-06-24 05:00:00,76.56,76.7499,76.42,76.69,1392835.0
PDD,2026-06-24 05:30:00,76.69,76.7192,76.58,76.7,171184.0
PDD,2026-06-24 06:00:00,76.7,76.71,76.56,76.62,195234.0
PDD,2026-06-24 06:30:00,76.62,76.6299,76.5,76.61,125.0
PDD,2026-06-24 07:00:00,76.597,76.6088,76.5,76.5015,1400.0
PDD,2026-06-24 07:30:00,76.5015,76.61,76.5,76.61,699.0
PDD,2026-06-24 08:00:00,76.61,76.63,76.52,76.59,921.0
PDD,2026-06-24 08:30:00,76.59,76.6299,76.52,76.6,248.0
PDD,2026-06-24 17:00:00,76.0047,77.2,76.0,76.4,16187.0
PDD,2026-06-24 17:30:00,76.4,76.51,76.3,76.3,828.0
PDD,2026-06-24 18:00:00,76.29,76.37,76.2,76.25,3906.0
PDD,2026-06-24 18:30:00,76.25,76.26,76.2,76.23,718.0
PDD,2026-06-24 19:00:00,76.23,76.35,76.2,76.35,1874.0
PDD,2026-06-24 19:30:00,76.35,76.35,76.34,76.35,399.0
PDD,2026-06-24 20:00:00,76.38,76.4391,76.11,76.11,5573.0
PDD,2026-06-24 20:30:00,76.16,76.35,76.02,76.35,1477.0
PDD,2026-06-24 21:00:00,76.34,76.34,76.02,76.278,1416.0
PDD,2026-06-24 21:30:00,76.2,76.27,76.0,76.0,2616.0
PDD,2026-06-24 22:00:00,76.0,76.2635,75.55,75.77,7772.0
PDD,2026-06-24 22:30:00,75.67,76.21,75.42,76.03,783815.0
PDD,2026-06-24 23:00:00,76.03,76.28,75.8,76.11,277635.0
PDD,2026-06-24 23:30:00,76.11,76.405,76.09,76.31,263366.0
PDD,2026-06-25 00:00:00,76.31,76.72,76.125,76.64,314345.0
PDD,2026-06-25 00:30:00,76.64,76.69,76.33,76.33,304383.0
PDD,2026-06-25 01:00:00,76.33,76.76,76.31,76.71,1047148.0
PDD,2026-06-25 01:30:00,76.71,76.7329,76.395,76.575,112610.0
PDD,2026-06-25 02:00:00,76.575,76.82,76.545,76.565,117468.0
PDD,2026-06-25 02:30:00,76.565,76.765,76.44,76.45,189320.0
PDD,2026-06-25 03:00:00,76.45,76.515,76.2008,76.34,346834.0
PDD,2026-06-25 03:30:00,76.34,76.44,76.165,76.24,290825.0
