symbol,datetime,open,high,low,close,volume
PLTR,2026-06-22 17:00:00,127.3,127.57,126.3233,127.39,72110.0
PLTR,2026-06-22 17:30:00,127.34,127.6488,127.11,127.4,20491.0
PLTR,2026-06-22 18:00:00,127.4323,127.6411,127.15,127.2549,7416.0
PLTR,2026-06-22 18:30:00,127.24,127.31,127.0,127.06,6110.0
PLTR,2026-06-22 19:00:00,127.05,127.31,126.87,126.8782,13416.0
PLTR,2026-06-22 19:30:00,126.84,126.95,126.62,126.803,5643.0
PLTR,2026-06-22 20:00:00,126.95,127.25,126.4201,126.46,45405.0
PLTR,2026-06-22 20:30:00,126.42,126.84,126.42,126.7,34664.0
PLTR,2026-06-22 21:00:00,126.73,126.95,126.61,126.93,39576.0
PLTR,2026-06-22 21:30:00,126.9,127.1,126.75,126.9348,54743.0
PLTR,2026-06-22 22:00:00,126.92,127.07,125.72,125.72,121970.0
PLTR,2026-06-22 22:30:00,125.74,128.87,125.06,127.92,4317416.0
PLTR,2026-06-22 23:00:00,127.92,128.4,124.02,124.18,3000000.0
PLTR,2026-06-22 23:30:00,124.18,124.74,122.56,123.02,3537332.0
PLTR,2026-06-23 00:00:00,123.02,123.28,122.25,122.89,2333145.0
PLTR,2026-06-23 00:30:00,122.9,123.1399,122.01,122.11,1927649.0
PLTR,2026-06-23 01:00:00,122.11,122.19,119.81,120.215,3541182.0
PLTR,2026-06-23 01:30:00,120.215,121.14,119.76,120.905,2460773.0
PLTR,2026-06-23 02:00:00,120.905,121.25,120.55,120.785,1622344.0
PLTR,2026-06-23 02:30:00,120.785,120.88,120.07,120.61,1681551.0
PLTR,2026-06-23 03:00:00,120.62,121.1,120.445,120.81,1473928.0
PLTR,2026-06-23 03:30:00,120.82,121.0,119.5,119.68,2069501.0
PLTR,2026-06-23 04:00:00,119.68,120.0227,119.2,119.425,2552210.0
PLTR,2026-06-23 04:30:00,119.425,120.0,119.25,119.47,4546366.0
PLTR,2026-06-23 05:00:00,119.47,119.88,119.35,119.65,5680781.0
PLTR,2026-06-23 05:30:00,119.65,119.78,119.34,119.38,91404.0
PLTR,2026-06-23 06:00:00,119.37,119.75,119.26,119.576,321064.0
PLTR,2026-06-23 06:30:00,119.64,119.74,119.48,119.58,62784.0
PLTR,2026-06-23 07:00:00,119.55,119.7,119.5,119.5959,193151.0
PLTR,2026-06-23 07:30:00,119.55,119.65,119.22,119.53,45829.0
PLTR,2026-06-23 08:00:00,119.53,119.53,119.21,119.2409,46516.0
PLTR,2026-06-23 08:30:00,119.26,119.69,119.2,119.4482,51549.0
PLTR,2026-06-23 17:00:00,118.02,119.1564,117.3,118.54,147366.0
PLTR,2026-06-23 17:30:00,118.52,119.39,118.26,118.4,37005.0
PLTR,2026-06-23 18:00:00,118.58,118.85,118.115,118.76,25244.0
PLTR,2026-06-23 18:30:00,118.73,118.85,118.3003,118.7486,8861.0
PLTR,2026-06-23 19:00:00,118.82,119.38,118.6854,119.2,24582.0
PLTR,2026-06-23 19:30:00,119.15,119.27,118.54,119.01,14189.0
PLTR,2026-06-23 20:00:00,119.01,119.65,118.85,119.14,75352.0
PLTR,2026-06-23 20:30:00,119.15,119.5,118.85,119.47,37328.0
PLTR,2026-06-23 21:00:00,119.41,119.5,118.88,119.09,84242.0
PLTR,2026-06-23 21:30:00,119.1616,120.15,118.97,119.93,138753.0
PLTR,2026-06-23 22:00:00,119.95,120.68,119.29,120.09,172449.0
PLTR,2026-06-23 22:30:00,120.15,120.817,118.8162,120.75,4737027.0
PLTR,2026-06-23 23:00:00,120.75,120.75,117.94,118.745,3280997.0
PLTR,2026-06-23 23:30:00,118.745,119.44,118.54,119.16,1909726.0
PLTR,2026-06-24 00:00:00,119.16,119.35,118.08,118.33,1649603.0
PLTR,2026-06-24 00:30:00,118.33,118.8695,118.2901,118.77,1354654.0
PLTR,2026-06-24 01:00:00,118.785,119.1599,118.6101,119.005,957685.0
PLTR,2026-06-24 01:30:00,119.005,119.24,118.77,118.955,818425.0
PLTR,2026-06-24 02:00:00,118.955,119.11,118.76,118.82,613245.0
PLTR,2026-06-24 02:30:00,118.82,119.15,117.63,117.7701,1340456.0
PLTR,2026-06-24 03:00:00,117.78,118.235,117.5605,117.58,1024870.0
PLTR,2026-06-24 03:30:00,117.58,117.69,116.39,116.705,1971520.0
PLTR,2026-06-24 04:00:00,116.705,117.0608,116.19,116.44,1844412.0
PLTR,2026-06-24 04:30:00,116.44,117.06,116.18,116.715,3153107.0
PLTR,2026-06-24 05:00:00,116.71,116.8,116.01,116.2994,6434170.0
PLTR,2026-06-24 05:30:00,116.3,116.8,116.1,116.75,138128.0
PLTR,2026-06-24 06:00:00,116.71,116.94,116.51,116.59,886346.0
PLTR,2026-06-24 06:30:00,116.59,116.89,116.56,116.78,560367.0
PLTR,2026-06-24 07:00:00,116.78,116.78,116.01,116.14,66713.0
PLTR,2026-06-24 07:30:00,116.0561,116.24,115.8,116.2,75405.0
PLTR,2026-06-24 08:00:00,116.2,116.2,115.68,115.93,77065.0
PLTR,2026-06-24 08:30:00,115.95,116.3,115.75,116.14,30983.0
PLTR,2026-06-24 17:00:00,117.0837,117.36,115.4578,115.83,68213.0
PLTR,2026-06-24 17:30:00,115.82,116.2986,115.6,116.2844,10405.0
PLTR,2026-06-24 18:00:00,116.09,116.2991,115.66,115.66,11663.0
PLTR,2026-06-24 18:30:00,115.7461,115.9791,115.23,115.23,11479.0
PLTR,2026-06-24 19:00:00,115.44,116.0,115.21,115.69,7773.0
PLTR,2026-06-24 19:30:00,115.65,115.9788,115.28,115.53,9966.0
PLTR,2026-06-24 20:00:00,115.54,115.8123,115.35,115.55,64428.0
PLTR,2026-06-24 20:30:00,115.49,115.69,114.75,114.9207,53125.0
PLTR,2026-06-24 21:00:00,114.9867,115.19,114.34,114.8148,113956.0
PLTR,2026-06-24 21:30:00,114.85,114.9,114.06,114.24,114707.0
PLTR,2026-06-24 22:00:00,114.24,114.3,113.39,114.13,180123.0
PLTR,2026-06-24 22:30:00,114.14,118.0,113.9,116.96,4512782.0
PLTR,2026-06-24 23:00:00,116.96,117.3,115.89,116.6301,2075537.0
PLTR,2026-06-24 23:30:00,116.655,116.98,115.47,116.785,1653100.0
PLTR,2026-06-25 00:00:00,116.785,116.8491,115.03,115.97,2588016.0
PLTR,2026-06-25 00:30:00,115.97,115.97,114.005,114.075,2715281.0
PLTR,2026-06-25 01:00:00,114.075,114.3099,113.57,113.88,1720199.0
PLTR,2026-06-25 01:30:00,113.875,114.0,112.93,113.36,2047752.0
PLTR,2026-06-25 02:00:00,113.36,113.67,112.78,112.86,1602811.0
PLTR,2026-06-25 02:30:00,112.86,113.05,112.25,112.3715,1889845.0
PLTR,2026-06-25 03:00:00,112.3715,114.34,112.36,114.04,1907354.0
PLTR,2026-06-25 03:30:00,114.04,114.13,113.21,113.3299,1256856.0
PLTR,2026-06-25 04:00:00,113.3299,113.71,113.0,113.625,1281915.0
PLTR,2026-06-25 04:30:00,113.62,114.24,113.41,113.46,2670268.0
PLTR,2026-06-25 05:00:00,113.46,114.0,112.01,112.7,3831207.0
PLTR,2026-06-25 05:30:00,112.59,112.98,112.2,112.75,126814.0
PLTR,2026-06-25 06:00:00,112.75,113.5,112.75,113.4998,395155.0
PLTR,2026-06-25 06:30:00,113.45,113.59,113.13,113.28,161327.0
PLTR,2026-06-25 07:00:00,113.28,113.73,113.275,113.58,50608.0
PLTR,2026-06-25 07:30:00,113.52,113.81,113.01,113.5,59476.0
PLTR,2026-06-25 08:00:00,113.5,113.6,113.3,113.4897,32460.0
PLTR,2026-06-25 08:30:00,113.49,113.83,113.48,113.7699,32189.0
PLTR,2026-06-25 17:00:00,113.48,113.57,112.6,112.7,73679.0
PLTR,2026-06-25 17:30:00,112.6,112.7611,112.4,112.55,12796.0
PLTR,2026-06-25 18:00:00,112.5,112.68,112.42,112.47,6065.0
PLTR,2026-06-25 18:30:00,112.47,112.9437,112.43,112.7599,12706.0
PLTR,2026-06-25 19:00:00,112.85,113.0,112.72,112.96,9809.0
PLTR,2026-06-25 19:30:00,112.96,113.22,112.6625,113.06,18701.0
PLTR,2026-06-25 20:00:00,113.15,113.21,112.37,112.4,58389.0
PLTR,2026-06-25 20:30:00,112.38,112.58,112.15,112.2526,40511.0
PLTR,2026-06-25 21:00:00,112.27,112.38,111.45,111.5796,79977.0
PLTR,2026-06-25 21:30:00,111.51,112.0,110.86,111.0948,150695.0
PLTR,2026-06-25 22:00:00,111.0948,111.82,110.9,111.46,162223.0
PLTR,2026-06-25 22:30:00,111.46,112.14,106.93,107.13,8012260.0
PLTR,2026-06-25 23:00:00,107.13,108.83,107.0367,108.5,4852529.0
PLTR,2026-06-25 23:30:00,108.5,108.7,107.01,107.16,2957970.0
PLTR,2026-06-26 00:00:00,107.16,107.55,106.375,107.35,3457506.0
PLTR,2026-06-26 00:30:00,107.35,107.87,106.82,106.905,2466259.0
PLTR,2026-06-26 01:00:00,106.905,107.95,106.68,107.33,2132409.0
PLTR,2026-06-26 01:30:00,107.33,107.8296,107.01,107.4001,1585584.0
PLTR,2026-06-26 02:00:00,107.4001,107.5756,106.82,106.8701,1303220.0
PLTR,2026-06-26 02:30:00,106.8701,107.3075,106.6101,107.265,1363263.0
PLTR,2026-06-26 03:00:00,107.265,108.451,106.9,108.44,1828595.0
PLTR,2026-06-26 03:30:00,108.445,108.67,107.63,108.095,2044625.0
PLTR,2026-06-26 04:00:00,108.095,108.11,106.93,107.01,2210704.0
PLTR,2026-06-26 04:30:00,107.01,107.97,106.78,107.315,4774177.0
PLTR,2026-06-26 05:00:00,107.27,108.2,107.08,107.6,4886996.0
PLTR,2026-06-26 05:30:00,107.5885,107.94,107.53,107.531,54480.0
PLTR,2026-06-26 06:00:00,107.6486,107.7,107.5,107.62,40346.0
PLTR,2026-06-26 06:30:00,107.6274,107.87,107.6,107.7695,855233.0
PLTR,2026-06-26 07:00:00,107.77,107.98,107.3,107.35,34990.0
PLTR,2026-06-26 07:30:00,107.35,107.72,107.3,107.39,46831.0
PLTR,2026-06-26 08:00:00,107.38,108.7,107.35,108.6,45351.0
PLTR,2026-06-26 08:30:00,108.59,108.7,107.6,107.9,46965.0
PLTR,2026-06-26 17:00:00,108.02,109.4,106.39,109.0,89250.0
