symbol,datetime,open,high,low,close,volume
PYPL,2026-06-22 17:00:00,42.5788,42.5788,42.13,42.3378,7379.0
PYPL,2026-06-22 17:30:00,42.36,42.46,42.11,42.46,273.0
PYPL,2026-06-22 18:00:00,42.46,42.46,42.38,42.419,1323.0
PYPL,2026-06-22 18:30:00,42.419,42.419,42.29,42.38,636.0
PYPL,2026-06-22 19:00:00,42.38,42.38,42.15,42.15,579.0
PYPL,2026-06-22 19:30:00,42.1584,42.34,42.1,42.22,1006.0
PYPL,2026-06-22 20:00:00,42.24,42.35,42.15,42.3,5858.0
PYPL,2026-06-22 20:30:00,42.35,42.35,42.18,42.33,3276.0
PYPL,2026-06-22 21:00:00,42.29,42.4701,42.23,42.35,1841.0
PYPL,2026-06-22 21:30:00,42.3,42.35,42.25,42.35,14357.0
PYPL,2026-06-22 22:00:00,42.35,42.75,42.2,42.65,1538579.0
PYPL,2026-06-22 22:30:00,42.738,43.33,42.55,43.29,1117033.0
PYPL,2026-06-22 23:00:00,43.29,43.33,42.6824,42.715,613304.0
PYPL,2026-06-22 23:30:00,42.715,42.7545,42.35,42.5,336312.0
PYPL,2026-06-23 00:00:00,42.5,42.585,42.265,42.5,358211.0
PYPL,2026-06-23 00:30:00,42.5,42.56,42.405,42.43,249073.0
PYPL,2026-06-23 01:00:00,42.43,42.455,42.28,42.31,199701.0
PYPL,2026-06-23 01:30:00,42.31,42.42,42.275,42.355,206877.0
PYPL,2026-06-23 02:00:00,42.355,42.38,42.23,42.255,298336.0
PYPL,2026-06-23 02:30:00,42.255,42.265,42.075,42.205,357718.0
PYPL,2026-06-23 03:00:00,42.205,42.34,42.125,42.305,288089.0
PYPL,2026-06-23 03:30:00,42.305,42.4,42.175,42.195,378389.0
PYPL,2026-06-23 04:00:00,42.195,42.345,42.165,42.29,287912.0
PYPL,2026-06-23 04:30:00,42.29,42.455,42.28,42.33,870066.0
PYPL,2026-06-23 05:00:00,42.34,42.51,42.04,42.25,2791431.0
PYPL,2026-06-23 05:30:00,42.25,42.5,42.04,42.36,1212.0
PYPL,2026-06-23 06:00:00,42.49,42.49,42.28,42.34,2063.0
PYPL,2026-06-23 06:30:00,42.3347,42.47,42.3,42.33,10402.0
PYPL,2026-06-23 07:00:00,42.34,42.47,42.3,42.4,76447.0
PYPL,2026-06-23 07:30:00,42.4,42.5,42.3,42.3,1307.0
PYPL,2026-06-23 08:00:00,42.3,42.48,42.06,42.48,261.0
PYPL,2026-06-23 08:30:00,42.48,42.48,42.06,42.34,586.0
PYPL,2026-06-23 17:00:00,42.02,42.29,41.85,42.0431,15160.0
PYPL,2026-06-23 17:30:00,42.0431,42.3216,42.0412,42.13,1274.0
PYPL,2026-06-23 18:00:00,42.12,42.32,42.12,42.32,754.0
PYPL,2026-06-23 18:30:00,42.32,42.3216,42.08,42.11,177.0
PYPL,2026-06-23 19:00:00,42.11,42.15,42.09,42.09,199.0
PYPL,2026-06-23 19:30:00,42.22,42.3916,42.04,42.04,854.0
PYPL,2026-06-23 20:00:00,42.1879,42.42,42.05,42.25,14926.0
PYPL,2026-06-23 20:30:00,42.25,42.4116,42.17,42.2636,3466.0
PYPL,2026-06-23 21:00:00,42.2636,42.42,42.17,42.2422,1692.0
PYPL,2026-06-23 21:30:00,42.2422,42.25,42.04,42.19,2472.0
PYPL,2026-06-23 22:00:00,42.1064,42.22,41.86,42.18,8009.0
PYPL,2026-06-23 22:30:00,42.18,42.47,41.96,42.12,1144544.0
PYPL,2026-06-23 23:00:00,42.125,42.27,41.9093,41.98,465908.0
PYPL,2026-06-23 23:30:00,41.98,42.2,41.92,42.04,317244.0
PYPL,2026-06-24 00:00:00,42.04,42.11,41.835,41.89,455856.0
PYPL,2026-06-24 00:30:00,41.89,41.98,41.855,41.92,312448.0
PYPL,2026-06-24 01:00:00,41.915,41.9586,41.855,41.91,283126.0
PYPL,2026-06-24 01:30:00,41.91,42.0201,41.85,41.89,304722.0
PYPL,2026-06-24 02:00:00,41.89,41.925,41.825,41.85,356360.0
PYPL,2026-06-24 02:30:00,41.85,41.92,41.725,41.75,347248.0
PYPL,2026-06-24 03:00:00,41.75,41.76,41.675,41.685,305776.0
PYPL,2026-06-24 03:30:00,41.685,41.745,41.65,41.725,315623.0
PYPL,2026-06-24 04:00:00,41.725,41.855,41.725,41.825,357367.0
PYPL,2026-06-24 04:30:00,41.825,41.88,41.68,41.68,1065074.0
PYPL,2026-06-24 05:00:00,41.7,41.74,41.61,41.61,4448164.0
PYPL,2026-06-24 05:30:00,41.7,41.74,41.69,41.74,100242.0
PYPL,2026-06-24 06:00:00,41.7,41.74,41.61,41.64,500509.0
PYPL,2026-06-24 06:30:00,41.64,41.74,41.64,41.69,744388.0
PYPL,2026-06-24 07:00:00,41.69,41.74,41.67,41.67,3235.0
PYPL,2026-06-24 07:30:00,41.67,41.74,41.67,41.72,4975.0
PYPL,2026-06-24 08:00:00,41.73,41.74,41.61,41.74,2592.0
PYPL,2026-06-24 08:30:00,41.74,41.74,41.6269,41.68,3113.0
PYPL,2026-06-24 17:00:00,41.7,41.8,41.5873,41.72,3096.0
PYPL,2026-06-24 17:30:00,41.72,41.72,41.62,41.62,51.0
PYPL,2026-06-24 18:00:00,41.62,41.7,41.62,41.6961,262.0
PYPL,2026-06-24 18:30:00,41.64,41.7188,41.6063,41.61,312.0
PYPL,2026-06-24 19:00:00,41.61,41.72,41.6,41.65,239.0
PYPL,2026-06-24 19:30:00,41.65,41.7048,41.65,41.65,18.0
PYPL,2026-06-24 20:00:00,41.6991,41.72,41.67,41.6802,3398.0
PYPL,2026-06-24 20:30:00,41.6802,41.79,41.68,41.7,2508.0
PYPL,2026-06-24 21:00:00,41.7887,41.79,41.68,41.6801,4493.0
PYPL,2026-06-24 21:30:00,41.6988,41.7,41.61,41.64,15777.0
PYPL,2026-06-24 22:00:00,41.64,41.64,41.24,41.64,1933993.0
PYPL,2026-06-24 22:30:00,41.666,42.665,41.666,42.51,1041136.0
PYPL,2026-06-24 23:00:00,42.5,42.85,42.32,42.7807,572759.0
PYPL,2026-06-24 23:30:00,42.78,43.005,42.57,42.9999,464241.0
PYPL,2026-06-25 00:00:00,43.0,43.38,42.98,43.182,437192.0
PYPL,2026-06-25 00:30:00,43.182,43.185,42.785,42.8,347402.0
PYPL,2026-06-25 01:00:00,42.8,42.84,42.73,42.77,205460.0
PYPL,2026-06-25 01:30:00,42.77,42.77,42.64,42.73,254964.0
PYPL,2026-06-25 02:00:00,42.73,42.755,42.53,42.56,323463.0
PYPL,2026-06-25 02:30:00,42.56,42.59,42.475,42.525,429105.0
PYPL,2026-06-25 03:00:00,42.525,42.745,42.515,42.745,250444.0
PYPL,2026-06-25 03:30:00,42.745,42.8,42.6,42.7151,320695.0
PYPL,2026-06-25 04:00:00,42.7151,42.765,42.535,42.57,402485.0
PYPL,2026-06-25 04:30:00,42.57,42.6,42.44,42.475,952028.0
PYPL,2026-06-25 05:00:00,42.48,42.9,42.31,42.4262,1530707.0
PYPL,2026-06-25 05:30:00,42.3963,42.59,42.31,42.35,6147.0
PYPL,2026-06-25 06:00:00,42.35,42.48,42.35,42.4,2115358.0
PYPL,2026-06-25 06:30:00,42.3843,42.48,42.37,42.4,238063.0
PYPL,2026-06-25 07:00:00,42.45,42.59,42.31,42.32,4992.0
PYPL,2026-06-25 07:30:00,42.31,42.54,42.17,42.54,7784.0
PYPL,2026-06-25 08:00:00,42.2551,42.59,42.2268,42.25,757.0
PYPL,2026-06-25 08:30:00,42.25,42.59,42.25,42.25,1757.0
