symbol,datetime,open,high,low,close,volume
REGN,2026-06-22 17:00:00,605.0,611.77,605.0,611.77,42.0
REGN,2026-06-22 17:30:00,605.02,610.93,605.02,610.93,13.0
REGN,2026-06-22 18:30:00,610.93,612.0237,605.3,605.3,232.0
REGN,2026-06-22 20:00:00,605.3,610.0,605.3,607.8,402.0
REGN,2026-06-22 20:30:00,608.0,611.0,607.25,607.6,1562.0
REGN,2026-06-22 21:00:00,608.0,608.0,602.49,602.49,787.0
REGN,2026-06-22 21:30:00,602.0,605.0,601.0,604.39,901.0
REGN,2026-06-22 22:00:00,604.94,606.01,602.01,602.01,353.0
REGN,2026-06-22 22:30:00,607.6579,612.7,598.02,602.28,92553.0
REGN,2026-06-22 23:00:00,602.28,603.0475,599.0,599.95,54090.0
REGN,2026-06-22 23:30:00,599.95,599.95,594.9,596.76,62858.0
REGN,2026-06-23 00:00:00,596.76,603.61,596.57,603.198,34535.0
REGN,2026-06-23 00:30:00,603.198,610.12,603.04,608.265,38085.0
REGN,2026-06-23 01:00:00,608.265,608.325,605.51,607.46,26552.0
REGN,2026-06-23 01:30:00,607.46,609.41,607.39,609.41,20836.0
REGN,2026-06-23 02:00:00,609.41,610.36,608.03,608.84,33685.0
REGN,2026-06-23 02:30:00,608.84,609.11,607.945,608.37,22807.0
REGN,2026-06-23 03:00:00,608.37,609.21,607.91,608.63,31398.0
REGN,2026-06-23 03:30:00,608.63,609.185,607.05,609.09,26472.0
REGN,2026-06-23 04:00:00,609.09,610.4863,608.36,609.785,36434.0
REGN,2026-06-23 04:30:00,609.785,613.39,609.775,612.395,127192.0
REGN,2026-06-23 05:00:00,612.5,612.5,612.34,612.34,650329.0
REGN,2026-06-23 05:30:00,612.34,612.5,612.34,612.5,294.0
REGN,2026-06-23 06:00:00,612.5,613.2,612.5,613.2,7.0
REGN,2026-06-23 06:30:00,613.2,613.2,609.51,609.51,2.0
REGN,2026-06-23 07:00:00,609.51,612.5,609.51,612.5,375.0
REGN,2026-06-23 08:00:00,612.5,612.5,609.51,609.51,5.0
REGN,2026-06-23 08:30:00,609.51,612.3645,609.51,612.3645,18.0
REGN,2026-06-23 17:00:00,618.5,619.98,612.0,614.23,219.0
REGN,2026-06-23 17:30:00,614.23,617.0,614.23,617.0,2.0
REGN,2026-06-23 18:30:00,615.15,615.15,612.0,612.0,6.0
REGN,2026-06-23 19:00:00,612.0,616.0,612.0,616.0,2.0
REGN,2026-06-23 19:30:00,612.5,612.5,612.5,612.5,30.0
REGN,2026-06-23 20:00:00,615.89,615.89,612.5,613.04,39.0
REGN,2026-06-23 20:30:00,613.04,613.5,612.5,613.46,69.0
REGN,2026-06-23 21:00:00,611.0,612.5,611.0,612.5,78.0
REGN,2026-06-23 21:30:00,612.5,612.5,609.44,609.44,684.0
REGN,2026-06-23 22:00:00,609.44,612.0,607.01,607.01,890.0
REGN,2026-06-23 22:30:00,607.92,617.4999,607.92,615.1896,59995.0
REGN,2026-06-23 23:00:00,614.11,620.79,613.775,620.535,32314.0
REGN,2026-06-23 23:30:00,620.535,621.79,618.66,619.34,25861.0
REGN,2026-06-24 00:00:00,619.34,619.89,613.05,614.79,40749.0
REGN,2026-06-24 00:30:00,614.79,617.795,614.4,617.42,27411.0
REGN,2026-06-24 01:00:00,617.42,618.115,616.02,616.98,18034.0
REGN,2026-06-24 01:30:00,617.01,618.8499,616.53,618.14,19529.0
REGN,2026-06-24 02:00:00,618.14,618.78,617.63,617.9,16373.0
REGN,2026-06-24 02:30:00,617.9,618.83,617.1901,618.83,15046.0
REGN,2026-06-24 03:00:00,618.83,618.83,617.67,618.08,12492.0
REGN,2026-06-24 03:30:00,618.08,618.79,617.39,618.405,20394.0
REGN,2026-06-24 04:00:00,618.405,618.69,616.695,616.89,34747.0
REGN,2026-06-24 04:30:00,616.89,619.7099,615.81,618.06,133972.0
REGN,2026-06-24 05:00:00,618.06,618.06,617.02,617.4899,606833.0
REGN,2026-06-24 05:30:00,617.4899,617.9542,615.0,615.0,166.0
REGN,2026-06-24 06:00:00,618.03,618.03,615.1,615.1,9773.0
REGN,2026-06-24 06:30:00,615.1,616.1,615.1,616.1,11.0
REGN,2026-06-24 07:30:00,616.1,616.26,615.5,616.26,32.0
REGN,2026-06-24 08:00:00,616.26,617.0,616.26,617.0,1.0
REGN,2026-06-24 17:00:00,618.03,618.03,618.03,618.03,1.0
REGN,2026-06-24 17:30:00,618.03,635.3875,618.03,635.3875,5.0
REGN,2026-06-24 20:00:00,635.3875,635.3875,623.05,623.05,10.0
