symbol,datetime,open,high,low,close,volume
ROP,2026-06-22 20:00:00,330.5,330.5,330.5,330.5,5.0
ROP,2026-06-22 20:30:00,330.5,330.75,330.25,330.5,5.0
ROP,2026-06-22 21:30:00,330.5,330.5,328.95,328.95,20.0
ROP,2026-06-22 22:00:00,328.95,328.95,326.02,328.49,28.0
ROP,2026-06-22 22:30:00,328.0,333.62,327.26,332.57,61667.0
ROP,2026-06-22 23:00:00,332.35,332.86,330.91,330.91,61366.0
ROP,2026-06-22 23:30:00,330.92,331.54,330.1834,330.83,31124.0
ROP,2026-06-23 00:00:00,330.83,331.04,329.86,330.945,29026.0
ROP,2026-06-23 00:30:00,330.945,330.96,329.771,330.075,58406.0
ROP,2026-06-23 01:00:00,330.075,330.25,326.38,326.525,90701.0
ROP,2026-06-23 01:30:00,326.525,327.49,325.859,327.035,57847.0
ROP,2026-06-23 02:00:00,327.03,327.03,325.46,326.03,69838.0
ROP,2026-06-23 02:30:00,326.03,326.03,323.21,325.05,74251.0
ROP,2026-06-23 03:00:00,325.05,325.88,324.565,325.49,50850.0
ROP,2026-06-23 03:30:00,325.49,326.265,320.96,321.15,81574.0
ROP,2026-06-23 04:00:00,321.15,323.65,320.11,323.65,63608.0
ROP,2026-06-23 04:30:00,323.65,326.78,323.48,325.04,109259.0
ROP,2026-06-23 05:00:00,325.09,325.09,325.09,325.09,476305.0
ROP,2026-06-23 05:30:00,325.09,325.09,325.09,325.09,285.0
ROP,2026-06-23 07:00:00,325.09,325.09,325.09,325.09,1025.0
ROP,2026-06-23 08:00:00,325.09,325.09,320.0,320.0,5.0
ROP,2026-06-23 17:00:00,325.09,329.48,324.75,329.48,20.0
ROP,2026-06-23 17:30:00,329.48,329.48,327.6,327.6,40.0
ROP,2026-06-23 18:00:00,327.6,327.75,327.6,327.75,6.0
ROP,2026-06-23 19:00:00,327.75,327.75,325.0,325.0,1.0
ROP,2026-06-23 20:00:00,325.0,328.78,325.0,328.78,5.0
ROP,2026-06-23 20:30:00,328.78,328.78,325.09,325.09,3.0
ROP,2026-06-23 21:00:00,325.09,327.41,325.09,327.41,33.0
ROP,2026-06-23 22:00:00,327.41,333.58,327.41,332.12,359.0
ROP,2026-06-23 22:30:00,332.5,332.755,328.63,329.6,42904.0
ROP,2026-06-23 23:00:00,329.6,330.02,327.225,328.44,48626.0
ROP,2026-06-23 23:30:00,328.44,330.12,327.61,329.43,29086.0
ROP,2026-06-24 00:00:00,329.43,329.61,328.355,329.02,44862.0
ROP,2026-06-24 00:30:00,329.02,329.233,328.38,328.785,35506.0
ROP,2026-06-24 01:00:00,328.785,328.86,327.59,328.45,35449.0
ROP,2026-06-24 01:30:00,328.45,329.49,328.41,329.0,25638.0
ROP,2026-06-24 02:00:00,329.0,329.67,328.75,329.37,41869.0
ROP,2026-06-24 02:30:00,329.37,329.6,328.8401,329.22,40193.0
ROP,2026-06-24 03:00:00,329.22,329.28,327.9,328.02,50881.0
ROP,2026-06-24 03:30:00,328.02,328.75,327.825,328.655,42876.0
ROP,2026-06-24 04:00:00,328.655,329.76,328.44,329.595,49819.0
ROP,2026-06-24 04:30:00,329.53,330.22,328.53,329.54,129522.0
ROP,2026-06-24 05:00:00,329.54,329.89,329.54,329.54,341117.0
ROP,2026-06-24 05:30:00,329.54,329.54,329.54,329.54,22132.0
ROP,2026-06-24 06:00:00,329.54,329.76,329.54,329.76,157541.0
ROP,2026-06-24 06:30:00,329.76,329.76,329.54,329.74,116720.0
ROP,2026-06-24 07:00:00,329.74,329.74,329.74,329.74,1.0
ROP,2026-06-24 08:00:00,329.74,330.0,329.74,329.74,4.0
ROP,2026-06-24 17:00:00,329.54,333.428,329.54,333.428,1.0
ROP,2026-06-24 17:30:00,333.428,333.428,328.04,328.04,32.0
ROP,2026-06-24 18:00:00,328.04,328.04,327.71,327.71,31.0
ROP,2026-06-24 18:30:00,327.71,327.71,327.71,327.71,5.0
ROP,2026-06-24 19:00:00,327.71,327.71,327.71,327.71,5.0
ROP,2026-06-24 21:00:00,327.71,328.77,327.71,328.31,191.0
ROP,2026-06-24 21:30:00,328.31,332.1001,327.5,327.5,69.0
ROP,2026-06-24 22:00:00,327.5,328.8,327.11,328.04,47.0
ROP,2026-06-24 22:30:00,329.51,336.045,329.51,333.2999,34183.0
ROP,2026-06-24 23:00:00,333.2999,333.2999,329.99,331.03,69069.0
ROP,2026-06-24 23:30:00,331.03,332.27,330.6601,332.11,21876.0
ROP,2026-06-25 00:00:00,332.11,334.1,332.11,333.17,28078.0
ROP,2026-06-25 00:30:00,333.17,333.2,331.12,331.385,19023.0
ROP,2026-06-25 01:00:00,331.385,332.37,331.18,331.625,18953.0
ROP,2026-06-25 01:30:00,331.625,332.725,331.51,332.68,23787.0
ROP,2026-06-25 02:00:00,332.68,333.03,331.99,332.35,22883.0
ROP,2026-06-25 02:30:00,332.35,333.3299,331.89,333.05,20350.0
ROP,2026-06-25 03:00:00,333.05,333.325,332.5,333.0597,29360.0
ROP,2026-06-25 03:30:00,333.0597,333.21,332.271,332.57,30719.0
ROP,2026-06-25 04:00:00,332.67,333.46,332.24,332.24,32583.0
ROP,2026-06-25 04:30:00,332.24,332.645,331.16,331.45,121175.0
ROP,2026-06-25 05:00:00,331.45,331.6,329.58,329.58,209955.0
ROP,2026-06-25 05:30:00,329.58,329.58,326.1,329.17,107.0
ROP,2026-06-25 06:00:00,329.17,331.6,329.17,331.6,21618.0
ROP,2026-06-25 07:00:00,331.6,331.6,326.1,326.1,231.0
ROP,2026-06-25 07:30:00,326.1,326.1,326.1,326.1,30.0
ROP,2026-06-25 08:00:00,326.1,326.1,325.56,325.57,39.0
ROP,2026-06-25 08:30:00,325.57,327.88,324.96,324.96,75.0
ROP,2026-06-25 17:00:00,325.1734,325.1734,325.1734,325.1734,6.0
ROP,2026-06-25 19:30:00,325.1734,326.52,325.1734,326.52,4.0
ROP,2026-06-25 20:30:00,326.52,328.37,326.52,328.37,38.0
ROP,2026-06-25 21:30:00,328.37,328.37,326.1,326.1,38.0
ROP,2026-06-25 22:00:00,326.1,327.56,326.1,327.56,42.0
ROP,2026-06-25 22:30:00,329.94,336.09,328.18,336.09,41654.0
ROP,2026-06-25 23:00:00,336.09,338.22,334.99,336.92,30668.0
ROP,2026-06-25 23:30:00,336.92,336.92,335.18,335.19,23504.0
ROP,2026-06-26 00:00:00,335.19,335.33,333.77,334.99,40950.0
ROP,2026-06-26 00:30:00,334.99,337.61,334.45,337.325,25670.0
ROP,2026-06-26 01:00:00,337.325,337.98,335.56,335.795,19027.0
ROP,2026-06-26 01:30:00,335.795,336.0,334.98,335.635,19583.0
ROP,2026-06-26 02:00:00,335.635,335.93,333.94,333.94,41236.0
ROP,2026-06-26 02:30:00,333.94,334.14,332.5,333.64,15296.0
ROP,2026-06-26 03:00:00,333.64,335.15,333.03,334.9,19652.0
ROP,2026-06-26 03:30:00,334.9,335.235,333.6801,334.08,23265.0
ROP,2026-06-26 04:00:00,334.08,334.43,333.575,334.03,36480.0
ROP,2026-06-26 04:30:00,334.03,334.12,332.25,332.31,135901.0
ROP,2026-06-26 05:00:00,332.42,335.68,332.42,332.42,188189.0
ROP,2026-06-26 05:30:00,332.42,332.42,332.42,332.42,12364.0
ROP,2026-06-26 06:30:00,332.42,332.42,332.42,332.42,27361.0
ROP,2026-06-26 07:00:00,332.42,332.42,332.42,332.42,10247.0
ROP,2026-06-26 08:00:00,332.42,334.7,332.42,334.7,12.0
ROP,2026-06-26 17:00:00,351.9737,351.9737,332.82,332.92,19.0
ROP,2026-06-26 20:00:00,334.0,334.2,333.96,334.0,58.0
ROP,2026-06-26 20:30:00,334.0,334.0,332.42,333.92,8.0
ROP,2026-06-26 21:00:00,333.92,335.31,333.92,334.07,80.0
ROP,2026-06-26 21:30:00,334.07,334.49,334.07,334.49,203072.0
ROP,2026-06-26 22:00:00,334.49,336.0,334.49,334.5,179.0
ROP,2026-06-26 22:30:00,334.5,342.02,334.46,337.088,50426.0
ROP,2026-06-26 23:00:00,337.088,339.49,336.5501,339.1024,44435.0
ROP,2026-06-26 23:30:00,339.1024,340.35,338.78,339.53,23295.0
ROP,2026-06-27 00:00:00,339.53,341.27,339.24,340.34,19194.0
ROP,2026-06-27 00:30:00,340.34,342.73,340.34,342.065,55582.0
ROP,2026-06-27 01:00:00,342.065,342.495,341.03,341.64,23979.0
ROP,2026-06-27 01:30:00,341.64,341.8,340.24,340.495,13464.0
ROP,2026-06-27 02:00:00,340.495,341.16,338.25,338.49,37356.0
ROP,2026-06-27 02:30:00,338.49,339.44,338.3,339.295,27027.0
ROP,2026-06-27 03:00:00,339.295,339.47,338.5501,338.62,27374.0
ROP,2026-06-27 03:30:00,338.62,339.075,337.905,338.08,19352.0
ROP,2026-06-27 04:00:00,338.08,338.65,337.89,338.195,34167.0
ROP,2026-06-27 04:30:00,338.195,340.305,337.74,338.32,174494.0
ROP,2026-06-27 05:00:00,338.36,338.71,338.3068,338.31,1924330.0
ROP,2026-06-27 05:30:00,338.31,338.3161,338.31,338.3161,24778.0
ROP,2026-06-27 06:00:00,338.3161,338.3161,338.31,338.31,183.0
ROP,2026-06-27 06:30:00,338.31,338.31,338.31,338.31,189882.0
ROP,2026-06-29 17:00:00,338.31,339.37,338.31,339.37,6.0
ROP,2026-06-29 20:30:00,339.37,341.0,339.33,341.0,195.0
ROP,2026-06-29 21:30:00,340.48,342.25,340.48,342.0,143.0
ROP,2026-06-29 22:00:00,342.0,342.0,339.13,339.13,29.0
ROP,2026-06-29 22:30:00,339.13,343.0,338.36,339.79,31031.0
ROP,2026-06-29 23:00:00,339.79,341.0,337.6901,339.265,45613.0
ROP,2026-06-29 23:30:00,339.265,339.93,337.69,337.805,20983.0
ROP,2026-06-30 00:00:00,337.805,338.215,334.0,334.24,37009.0
ROP,2026-06-30 00:30:00,334.24,334.31,331.8,332.1925,27477.0
ROP,2026-06-30 01:00:00,332.1925,332.38,330.585,331.55,19930.0
ROP,2026-06-30 01:30:00,331.55,333.06,331.55,332.28,24846.0
ROP,2026-06-30 02:00:00,332.28,334.62,332.26,334.395,33118.0
ROP,2026-06-30 02:30:00,334.395,335.0,333.4201,334.57,20356.0
ROP,2026-06-30 03:00:00,334.57,334.98,334.115,334.925,25316.0
ROP,2026-06-30 03:30:00,334.925,335.765,334.8,335.765,30178.0
ROP,2026-06-30 04:00:00,335.765,335.85,333.545,334.71,35341.0
ROP,2026-06-30 04:30:00,334.71,335.23,333.36,335.03,94198.0
ROP,2026-06-30 05:00:00,334.8,335.56,334.02,334.02,494016.0
ROP,2026-06-30 05:30:00,334.02,334.8,334.02,334.8,9110.0
ROP,2026-06-30 06:00:00,334.8,335.03,334.8,334.8,133.0
ROP,2026-06-30 06:30:00,334.8,334.8,334.8,334.8,275373.0
ROP,2026-06-30 08:30:00,334.8,335.03,334.8,335.03,27988.0
ROP,2026-06-30 17:00:00,334.8,334.8,334.1,334.1,1.0
ROP,2026-06-30 17:30:00,334.1,335.3,334.1,335.3,4.0
ROP,2026-06-30 20:30:00,335.3,335.3,334.8,334.8,1.0
ROP,2026-06-30 21:00:00,334.8,340.385,333.01,333.01,114.0
ROP,2026-06-30 22:00:00,333.01,337.4149,333.01,333.67,116.0
ROP,2026-06-30 22:30:00,333.67,336.92,332.275,335.15,29483.0
ROP,2026-06-30 23:00:00,335.15,336.07,334.325,335.6,19049.0
ROP,2026-06-30 23:30:00,335.6,336.2199,334.92,335.27,15236.0
ROP,2026-07-01 00:00:00,335.27,337.12,335.07,337.0225,22461.0
ROP,2026-07-01 00:30:00,337.0225,337.215,336.2101,336.365,15715.0
ROP,2026-07-01 01:00:00,336.365,336.8399,335.82,336.21,14962.0
ROP,2026-07-01 01:30:00,336.21,338.245,336.05,338.13,17972.0
ROP,2026-07-01 02:00:00,338.13,338.13,336.9,337.85,23826.0
ROP,2026-07-01 02:30:00,337.85,338.17,337.64,338.15,17472.0
ROP,2026-07-01 03:00:00,338.15,338.57,337.6175,338.44,19706.0
ROP,2026-07-01 03:30:00,338.44,339.44,338.245,339.26,35896.0
ROP,2026-07-01 04:00:00,339.26,339.7,338.825,339.125,36703.0
ROP,2026-07-01 04:30:00,339.125,339.15,337.74,338.38,103033.0
ROP,2026-07-01 05:00:00,338.39,338.39,338.39,338.39,422633.0
ROP,2026-07-01 05:30:00,338.39,338.39,338.39,338.39,803.0
ROP,2026-07-01 06:00:00,338.39,338.39,338.39,338.39,603.0
ROP,2026-07-01 06:30:00,338.39,342.0,338.39,338.39,286447.0
ROP,2026-07-01 17:00:00,338.39,341.22,338.27,339.15,75.0
ROP,2026-07-01 17:30:00,339.15,339.7,339.15,339.7,20.0
ROP,2026-07-01 18:30:00,339.7,339.7,339.5,339.5,20.0
ROP,2026-07-01 19:00:00,339.5,341.2,339.5,341.2,1.0
ROP,2026-07-01 19:30:00,341.2,341.89,341.2,341.55,34.0
ROP,2026-07-01 20:00:00,341.55,341.55,339.46,339.46,20.0
ROP,2026-07-01 20:30:00,339.46,340.11,336.8,340.11,48.0
ROP,2026-07-01 21:00:00,340.11,341.0,339.64,340.56,56.0
ROP,2026-07-01 21:30:00,340.56,343.9,338.39,343.35,236.0
ROP,2026-07-01 22:00:00,343.2,344.57,342.39,343.71,230.0
ROP,2026-07-01 22:30:00,345.815,347.45,343.13,345.9,36023.0
ROP,2026-07-01 23:00:00,345.9,352.55,345.9,352.21,27455.0
ROP,2026-07-01 23:30:00,352.21,355.05,352.0,355.0,28812.0
ROP,2026-07-02 00:00:00,355.0,355.2,353.37,353.8359,27075.0
ROP,2026-07-02 00:30:00,353.8359,355.77,352.891,355.4801,26088.0
ROP,2026-07-02 01:00:00,355.4801,355.93,354.1,355.63,32895.0
ROP,2026-07-02 01:30:00,355.63,355.63,354.2901,355.14,35193.0
ROP,2026-07-02 02:00:00,355.14,355.54,354.31,355.065,36649.0
ROP,2026-07-02 02:30:00,355.065,355.27,353.63,353.99,20244.0
ROP,2026-07-02 03:00:00,353.99,355.54,353.835,354.76,27385.0
ROP,2026-07-02 03:30:00,354.76,355.43,354.07,354.63,31736.0
ROP,2026-07-02 04:00:00,354.63,355.055,353.83,354.31,41435.0
ROP,2026-07-02 04:30:00,354.31,355.31,353.93,354.6,150010.0
ROP,2026-07-02 05:00:00,354.6,355.0,354.6,355.0,228421.0
ROP,2026-07-02 05:30:00,355.01,355.01,355.01,355.01,415.0
ROP,2026-07-02 06:00:00,355.01,355.01,354.68,354.68,7850.0
ROP,2026-07-02 06:30:00,354.68,355.01,354.68,355.01,1.0
ROP,2026-07-02 08:30:00,355.01,365.0,355.01,365.0,232.0
ROP,2026-07-02 17:00:00,354.68,358.0,354.68,358.0,4.0
ROP,2026-07-02 19:00:00,358.0,358.0,356.01,356.46,8.0
ROP,2026-07-02 20:30:00,356.46,356.46,354.68,354.68,1.0
ROP,2026-07-02 21:00:00,356.0,356.68,329.73,353.6,40.0
ROP,2026-07-02 21:30:00,353.6,358.0,353.3,353.3,375.0
ROP,2026-07-02 22:00:00,354.6,356.71,351.25,356.71,413.0
ROP,2026-07-02 22:30:00,356.295,358.82,353.545,357.59,39595.0
ROP,2026-07-02 23:00:00,357.59,358.32,355.64,356.86,53855.0
ROP,2026-07-02 23:30:00,356.86,360.18,356.86,359.88,33351.0
ROP,2026-07-03 00:00:00,359.88,361.17,358.76,361.0725,31097.0
ROP,2026-07-03 00:30:00,361.0725,361.68,360.4,361.4,30059.0
ROP,2026-07-03 01:00:00,361.4,364.29,361.4,364.23,45832.0
ROP,2026-07-03 01:30:00,364.23,365.77,363.84,364.9,55384.0
ROP,2026-07-03 02:00:00,364.785,366.1925,364.01,365.81,39402.0
ROP,2026-07-03 02:30:00,365.81,366.3,364.49,364.89,34109.0
ROP,2026-07-03 03:00:00,364.84,365.26,364.29,364.92,17520.0
ROP,2026-07-03 03:30:00,364.92,365.56,364.72,364.765,20582.0
ROP,2026-07-03 04:00:00,364.765,365.65,364.415,365.65,37072.0
ROP,2026-07-03 04:30:00,365.65,365.93,364.02,364.16,114974.0
ROP,2026-07-03 05:00:00,364.2,364.2,360.0,362.27,236695.0
ROP,2026-07-03 05:30:00,362.27,364.94,362.27,364.94,18.0
ROP,2026-07-03 06:30:00,364.94,364.94,364.2,364.2,4126.0
ROP,2026-07-03 07:00:00,364.2,365.0,364.2,364.5,44.0
