symbol,datetime,open,high,low,close,volume
ROST,2026-06-22 17:00:00,232.4625,232.4625,232.4625,232.4625,1.0
ROST,2026-06-22 20:00:00,232.8,233.2,232.8,233.2,3.0
ROST,2026-06-22 20:30:00,233.2,234.817,232.8,234.817,9.0
ROST,2026-06-22 21:00:00,234.817,234.817,233.0,233.0,42.0
ROST,2026-06-22 21:30:00,233.0,233.0,232.77,232.79,23.0
ROST,2026-06-22 22:00:00,232.79,235.19,232.79,235.19,838.0
ROST,2026-06-22 22:30:00,235.21,240.52,233.81,239.82,227424.0
ROST,2026-06-22 23:00:00,239.82,240.91,239.01,240.72,167214.0
ROST,2026-06-22 23:30:00,240.72,240.94,239.85,240.355,182078.0
ROST,2026-06-23 00:00:00,240.355,240.75,239.3575,239.5,156631.0
ROST,2026-06-23 00:30:00,239.5,239.66,238.88,239.08,45688.0
ROST,2026-06-23 01:00:00,239.08,239.65,238.51,239.59,50060.0
ROST,2026-06-23 01:30:00,239.59,239.62,238.45,238.53,69214.0
ROST,2026-06-23 02:00:00,238.53,238.64,237.71,237.74,42828.0
ROST,2026-06-23 02:30:00,237.74,237.81,237.29,237.29,42254.0
ROST,2026-06-23 03:00:00,237.29,237.29,236.57,236.84,49894.0
ROST,2026-06-23 03:30:00,236.84,237.04,236.21,236.35,50003.0
ROST,2026-06-23 04:00:00,236.35,236.59,235.99,236.18,79878.0
ROST,2026-06-23 04:30:00,236.18,237.15,236.085,236.95,468712.0
ROST,2026-06-23 05:00:00,236.97,240.99,236.97,236.97,874172.0
ROST,2026-06-23 05:30:00,236.97,237.5,236.97,237.5,5.0
ROST,2026-06-23 06:00:00,237.5,237.5,236.97,236.97,34.0
ROST,2026-06-23 07:00:00,236.97,237.0,236.97,237.0,12634.0
ROST,2026-06-23 07:30:00,237.0,237.0,233.4448,233.4448,62.0
ROST,2026-06-23 08:00:00,233.4448,233.574,233.4448,233.574,25.0
ROST,2026-06-23 08:30:00,233.574,236.73,233.574,236.73,100.0
ROST,2026-06-23 17:00:00,236.97,237.95,236.97,237.0,13.0
ROST,2026-06-23 18:00:00,237.0,237.0,231.2,231.2,10.0
ROST,2026-06-23 18:30:00,231.2,231.2,230.73,230.73,20.0
ROST,2026-06-23 20:00:00,230.73,240.49,230.73,232.99,6209.0
ROST,2026-06-23 20:30:00,232.99,238.04,232.99,238.04,3299.0
ROST,2026-06-23 21:00:00,241.0334,241.0334,234.2641,236.97,331.0
ROST,2026-06-23 21:30:00,236.97,236.97,234.9,234.95,355.0
ROST,2026-06-23 22:00:00,234.93,235.95,220.95,233.79,2441.0
ROST,2026-06-23 22:30:00,233.78,234.99,230.26,232.83,390532.0
ROST,2026-06-23 23:00:00,232.83,233.465,232.05,232.235,136472.0
ROST,2026-06-23 23:30:00,232.235,232.725,231.84,232.095,103401.0
ROST,2026-06-24 00:00:00,232.095,232.62,231.92,232.29,94375.0
ROST,2026-06-24 00:30:00,232.29,232.65,232.1,232.56,84504.0
ROST,2026-06-24 01:00:00,232.56,232.65,231.605,231.65,73782.0
ROST,2026-06-24 01:30:00,231.65,232.145,231.42,231.73,83901.0
ROST,2026-06-24 02:00:00,231.73,231.79,230.75,230.84,80152.0
ROST,2026-06-24 02:30:00,230.84,231.35,230.84,231.13,98297.0
ROST,2026-06-24 03:00:00,231.13,231.32,230.87,230.925,64798.0
ROST,2026-06-24 03:30:00,230.925,230.96,229.08,229.205,124989.0
ROST,2026-06-24 04:00:00,229.205,229.675,228.315,228.435,153369.0
ROST,2026-06-24 04:30:00,228.435,230.03,227.62,229.03,430556.0
ROST,2026-06-24 05:00:00,229.05,230.99,229.05,230.99,813560.0
ROST,2026-06-24 05:30:00,230.99,230.99,229.0,229.69,3111.0
ROST,2026-06-24 06:00:00,229.05,229.05,229.05,229.05,64.0
ROST,2026-06-24 06:30:00,229.05,230.1,229.0,229.0,7.0
ROST,2026-06-24 07:00:00,229.0,229.0,228.32,228.32,5.0
ROST,2026-06-24 08:00:00,228.32,228.5,228.3,228.3,8.0
ROST,2026-06-24 08:30:00,228.3,229.76,228.3,229.76,6.0
ROST,2026-06-24 17:00:00,229.502,229.502,228.18,228.18,518.0
ROST,2026-06-24 18:00:00,228.2,228.2,227.96,227.96,141.0
ROST,2026-06-24 20:00:00,227.96,228.624,227.96,228.624,1.0
ROST,2026-06-24 21:00:00,228.624,229.53,228.624,229.33,41.0
ROST,2026-06-24 22:00:00,229.33,229.39,224.47,228.0,7.0
ROST,2026-06-24 22:30:00,229.5,230.36,226.67,229.585,162575.0
ROST,2026-06-24 23:00:00,229.585,230.85,229.585,230.74,117084.0
ROST,2026-06-24 23:30:00,230.74,230.96,230.08,230.2175,119882.0
ROST,2026-06-25 00:00:00,230.32,230.56,228.61,230.235,120557.0
ROST,2026-06-25 00:30:00,230.235,230.62,229.98,230.25,51106.0
ROST,2026-06-25 01:00:00,230.25,231.21,230.19,230.54,76566.0
ROST,2026-06-25 01:30:00,230.54,230.54,229.09,229.32,66039.0
ROST,2026-06-25 02:00:00,229.32,229.47,228.635,228.635,72541.0
ROST,2026-06-25 02:30:00,228.635,229.0,227.905,228.9599,74227.0
ROST,2026-06-25 03:00:00,228.9599,229.16,228.245,228.85,82922.0
ROST,2026-06-25 03:30:00,228.85,229.12,228.285,228.39,94604.0
ROST,2026-06-25 04:00:00,228.39,228.43,227.95,227.96,107670.0
ROST,2026-06-25 04:30:00,227.96,228.81,227.865,228.57,382401.0
ROST,2026-06-25 05:00:00,228.59,230.6,227.9,228.0,632161.0
ROST,2026-06-25 05:30:00,228.0,228.0,227.06,227.83,62.0
ROST,2026-06-25 06:00:00,227.83,228.59,227.22,227.22,56.0
