symbol,datetime,open,high,low,close,volume
SNPS,2026-06-22 17:00:00,455.53,457.155,451.09,455.6,459.0
SNPS,2026-06-22 17:30:00,459.99,459.99,455.0,456.0,33.0
SNPS,2026-06-22 18:00:00,456.0,456.83,455.2,455.98,142.0
SNPS,2026-06-22 18:30:00,455.98,455.98,455.0,455.39,136.0
SNPS,2026-06-22 19:00:00,455.39,456.95,451.658,451.658,3.0
SNPS,2026-06-22 19:30:00,453.23,455.09,453.23,455.09,8.0
SNPS,2026-06-22 20:00:00,455.0,455.0,451.49,453.48,249.0
SNPS,2026-06-22 20:30:00,453.48,455.01,453.03,453.03,77.0
SNPS,2026-06-22 21:00:00,453.03,454.69,453.03,454.69,24.0
SNPS,2026-06-22 21:30:00,454.69,455.01,453.03,454.0,482.0
SNPS,2026-06-22 22:00:00,454.0,456.98,453.3232,456.98,176.0
SNPS,2026-06-22 22:30:00,455.5,469.4,454.53,465.635,125992.0
SNPS,2026-06-22 23:00:00,465.635,466.43,458.62,459.5525,46327.0
SNPS,2026-06-22 23:30:00,459.5525,460.13,455.36,456.27,69126.0
SNPS,2026-06-23 00:00:00,456.27,456.87,454.875,456.215,102971.0
SNPS,2026-06-23 00:30:00,456.215,457.76,455.525,455.795,61609.0
SNPS,2026-06-23 01:00:00,455.795,456.58,454.02,455.125,204506.0
SNPS,2026-06-23 01:30:00,455.125,455.4,452.8,454.88,85964.0
SNPS,2026-06-23 02:00:00,454.88,455.0,453.155,454.58,36865.0
SNPS,2026-06-23 02:30:00,454.58,457.5,454.58,457.15,40363.0
SNPS,2026-06-23 03:00:00,457.15,460.74,456.37,460.165,45635.0
SNPS,2026-06-23 03:30:00,460.165,460.37,458.58,459.36,51634.0
SNPS,2026-06-23 04:00:00,459.36,460.82,459.11,460.26,70443.0
SNPS,2026-06-23 04:30:00,460.26,464.67,459.87,464.26,307040.0
SNPS,2026-06-23 05:00:00,464.58,465.0,455.0,464.58,825252.0
SNPS,2026-06-23 05:30:00,464.58,464.58,457.0,458.1,6957.0
SNPS,2026-06-23 06:00:00,458.1,464.58,458.0,464.58,268951.0
SNPS,2026-06-23 06:30:00,464.58,464.58,458.0,463.0,282.0
SNPS,2026-06-23 07:00:00,462.4,464.58,456.8,456.8,60927.0
SNPS,2026-06-23 07:30:00,456.8,463.5599,456.8,462.02,273.0
SNPS,2026-06-23 08:00:00,462.02,462.02,462.0,462.0,46.0
SNPS,2026-06-23 08:30:00,462.0,463.0,461.0,462.55,104.0
SNPS,2026-06-23 17:00:00,462.56,465.0,456.7495,462.25,7289.0
SNPS,2026-06-23 17:30:00,462.25,464.58,460.0,463.99,516.0
SNPS,2026-06-23 18:00:00,463.99,472.889,463.99,465.01,922.0
SNPS,2026-06-23 18:30:00,465.06,467.89,463.99,467.89,962.0
SNPS,2026-06-23 19:00:00,467.89,467.89,466.5,467.01,284.0
SNPS,2026-06-23 19:30:00,467.818,467.818,463.99,466.1452,687.0
SNPS,2026-06-23 20:00:00,466.92,467.89,464.58,465.0,355.0
SNPS,2026-06-23 20:30:00,465.0,467.89,463.99,467.0,811.0
SNPS,2026-06-23 21:00:00,465.0,467.89,463.61,465.0,520.0
SNPS,2026-06-23 21:30:00,465.0,467.75,460.35,463.9,1331.0
SNPS,2026-06-23 22:00:00,463.9,465.49,461.0,464.89,2004.0
SNPS,2026-06-23 22:30:00,464.345,479.8,462.7,477.35,177412.0
SNPS,2026-06-23 23:00:00,477.4,478.475,472.02,473.12,102296.0
SNPS,2026-06-23 23:30:00,473.12,476.93,471.395,475.07,94559.0
SNPS,2026-06-24 00:00:00,475.07,475.82,469.15,470.09,67457.0
SNPS,2026-06-24 00:30:00,470.09,472.105,469.69,470.215,101455.0
SNPS,2026-06-24 01:00:00,470.215,471.88,469.64,471.09,58402.0
SNPS,2026-06-24 01:30:00,471.09,471.09,468.71,469.625,44092.0
SNPS,2026-06-24 02:00:00,469.625,471.44,468.035,470.93,116074.0
SNPS,2026-06-24 02:30:00,470.93,473.605,468.4,468.4,43208.0
SNPS,2026-06-24 03:00:00,468.4,469.08,468.0101,468.355,42476.0
SNPS,2026-06-24 03:30:00,468.355,468.59,465.19,466.21,57226.0
SNPS,2026-06-24 04:00:00,466.21,468.44,465.66,466.1042,59505.0
SNPS,2026-06-24 04:30:00,466.1042,466.55,461.605,461.77,224188.0
SNPS,2026-06-24 05:00:00,461.5,463.93,458.88,461.5,413621.0
SNPS,2026-06-24 05:30:00,461.5,463.78,458.88,462.32,468.0
SNPS,2026-06-24 06:00:00,461.5,472.9999,460.7156,465.94,159.0
SNPS,2026-06-24 06:30:00,465.94,465.94,461.0,461.81,3144.0
SNPS,2026-06-24 07:00:00,461.81,467.4347,461.81,463.0,27.0
SNPS,2026-06-24 07:30:00,462.9,464.4506,461.51,463.0,67.0
SNPS,2026-06-24 08:00:00,463.0,463.0,461.51,461.51,30.0
SNPS,2026-06-24 08:30:00,461.51,464.1,461.51,464.1,37.0
SNPS,2026-06-24 17:00:00,465.2,465.2,461.5,461.61,270.0
SNPS,2026-06-24 17:30:00,461.61,461.61,461.03,461.03,35.0
SNPS,2026-06-24 18:00:00,461.03,461.7,460.7938,461.7,14.0
SNPS,2026-06-24 18:30:00,461.7,461.7,461.14,461.14,13.0
SNPS,2026-06-24 19:30:00,461.14,463.0,461.14,462.77,38.0
SNPS,2026-06-24 20:00:00,462.6124,464.0,460.5,460.68,109.0
SNPS,2026-06-24 20:30:00,460.68,461.95,460.68,461.95,54.0
SNPS,2026-06-24 21:00:00,463.81,463.81,460.68,460.68,200.0
SNPS,2026-06-24 21:30:00,460.68,461.84,460.01,461.84,177.0
SNPS,2026-06-24 22:00:00,461.23,467.0,460.01,461.33,814.0
SNPS,2026-06-24 22:30:00,459.96,468.5,457.5,466.385,92687.0
SNPS,2026-06-24 23:00:00,466.385,467.92,464.07,467.92,53163.0
SNPS,2026-06-24 23:30:00,467.92,470.83,466.83,469.63,64029.0
SNPS,2026-06-25 00:00:00,469.63,471.82,467.98,471.49,91677.0
SNPS,2026-06-25 00:30:00,471.49,473.17,470.56,472.32,72309.0
SNPS,2026-06-25 01:00:00,472.32,472.67,471.3703,471.56,34886.0
SNPS,2026-06-25 01:30:00,471.56,471.7,469.73,470.12,46985.0
SNPS,2026-06-25 02:00:00,470.12,471.085,467.31,467.875,58176.0
SNPS,2026-06-25 02:30:00,467.875,468.53,466.88,467.26,53014.0
SNPS,2026-06-25 03:00:00,467.26,469.57,466.77,469.22,60706.0
SNPS,2026-06-25 03:30:00,469.22,470.63,466.2,467.46,56026.0
SNPS,2026-06-25 04:00:00,467.46,469.06,467.1371,468.89,68132.0
SNPS,2026-06-25 04:30:00,468.89,469.5,463.27,464.02,227750.0
SNPS,2026-06-25 05:00:00,463.93,470.0,460.79,463.84,368935.0
SNPS,2026-06-25 05:30:00,462.1,469.525,460.0,460.0,1057.0
SNPS,2026-06-25 06:00:00,460.0,469.7,460.0,468.4,196.0
SNPS,2026-06-25 06:30:00,468.4,471.0,466.06,468.5,7331.0
SNPS,2026-06-25 07:00:00,466.0,471.0,463.93,466.0,972.0
SNPS,2026-06-25 07:30:00,466.0,471.0,466.0,469.5,75.0
SNPS,2026-06-25 08:00:00,465.66,469.5,465.13,465.13,114.0
SNPS,2026-06-25 08:30:00,465.99,469.4,465.99,468.88,53.0
SNPS,2026-06-25 17:00:00,464.99,465.0,462.61,464.5,918.0
SNPS,2026-06-25 17:30:00,470.0,470.0,464.0,464.0,57.0
SNPS,2026-06-25 18:00:00,464.0,464.0,463.37,463.37,4.0
SNPS,2026-06-25 18:30:00,463.56,463.92,463.56,463.78,16.0
SNPS,2026-06-25 19:00:00,463.75,464.98,463.75,464.15,78.0
SNPS,2026-06-25 19:30:00,464.15,467.0,463.01,464.13,72.0
SNPS,2026-06-25 20:00:00,463.83,467.0,462.2,463.51,96.0
SNPS,2026-06-25 20:30:00,463.85,464.0,462.25,463.15,258.0
SNPS,2026-06-25 21:00:00,463.15,464.0,462.82,462.99,139.0
SNPS,2026-06-25 21:30:00,463.0,466.045,462.2,464.84,245.0
SNPS,2026-06-25 22:00:00,464.84,464.84,460.0,460.0,485.0
SNPS,2026-06-25 22:30:00,460.0,464.8,449.5,452.255,126646.0
SNPS,2026-06-25 23:00:00,452.255,461.41,452.255,459.15,95218.0
SNPS,2026-06-25 23:30:00,459.15,465.55,458.05,462.93,138458.0
SNPS,2026-06-26 00:00:00,462.93,463.005,455.348,460.08,67501.0
SNPS,2026-06-26 00:30:00,460.08,461.64,458.31,458.31,32494.0
