symbol,datetime,open,high,low,close,volume
TEAM,2026-06-22 17:00:00,80.9512,83.1,80.9512,82.6,2020.0
TEAM,2026-06-22 17:30:00,82.6,83.0,82.6,83.0,24.0
TEAM,2026-06-22 18:00:00,83.0,83.0,82.5,82.5,8.0
TEAM,2026-06-22 18:30:00,82.5,82.56,82.4837,82.5,129.0
TEAM,2026-06-22 19:00:00,82.5,82.5,82.32,82.32,50.0
TEAM,2026-06-22 19:30:00,82.32,82.5,82.2,82.25,344.0
TEAM,2026-06-22 20:00:00,82.4103,82.5,81.58,82.5,2053.0
TEAM,2026-06-22 20:30:00,82.5,82.5,81.6,81.97,3256.0
TEAM,2026-06-22 21:00:00,82.1,82.5,81.75,82.5,418.0
TEAM,2026-06-22 21:30:00,82.5,82.5,81.65,81.81,720.0
TEAM,2026-06-22 22:00:00,81.81,82.3,81.2,81.5,2638.0
TEAM,2026-06-22 22:30:00,81.31,85.45,81.24,84.36,226263.0
TEAM,2026-06-22 23:00:00,84.36,85.25,82.61,82.61,257825.0
TEAM,2026-06-22 23:30:00,82.61,83.34,82.01,82.05,381945.0
TEAM,2026-06-23 00:00:00,82.05,82.15,80.55,81.04,168515.0
TEAM,2026-06-23 00:30:00,81.04,81.23,80.21,80.22,117149.0
TEAM,2026-06-23 01:00:00,80.22,80.24,79.0,79.1966,180303.0
TEAM,2026-06-23 01:30:00,79.1871,80.08,79.04,79.975,123908.0
TEAM,2026-06-23 02:00:00,79.975,80.04,79.23,79.23,220289.0
TEAM,2026-06-23 02:30:00,79.26,79.77,79.125,79.7375,124501.0
TEAM,2026-06-23 03:00:00,79.7375,79.885,79.27,79.27,162654.0
TEAM,2026-06-23 03:30:00,79.32,79.32,78.5506,78.595,191113.0
TEAM,2026-06-23 04:00:00,78.595,79.285,78.57,78.91,340434.0
TEAM,2026-06-23 04:30:00,78.91,80.0,78.75,79.99,1161570.0
TEAM,2026-06-23 05:00:00,79.96,80.99,79.0,80.11,800757.0
TEAM,2026-06-23 05:30:00,80.11,81.0,79.8168,80.01,435.0
TEAM,2026-06-23 06:00:00,80.01,81.0,79.64,80.1,2198.0
TEAM,2026-06-23 06:30:00,80.1,80.34,79.96,80.34,299.0
TEAM,2026-06-23 07:00:00,80.34,81.0,79.96,79.96,90.0
TEAM,2026-06-23 07:30:00,79.96,80.3,79.96,80.298,699.0
TEAM,2026-06-23 08:00:00,80.298,80.3,80.1,80.3,316.0
TEAM,2026-06-23 08:30:00,80.3,80.3,79.96,80.2,307.0
TEAM,2026-06-23 17:00:00,79.31,80.96,78.55,80.96,3102.0
TEAM,2026-06-23 17:30:00,80.65,81.4,80.55,80.95,917.0
TEAM,2026-06-23 18:00:00,81.0,81.7936,80.61,80.61,747.0
TEAM,2026-06-23 18:30:00,80.61,80.9,80.61,80.9,279.0
TEAM,2026-06-23 19:00:00,80.9,81.4,80.6,80.92,820.0
TEAM,2026-06-23 19:30:00,81.3839,81.3839,80.5,80.76,2839.0
TEAM,2026-06-23 20:00:00,80.545,81.4,80.5001,81.0,2433.0
TEAM,2026-06-23 20:30:00,81.0,81.3,79.96,80.95,4122.0
TEAM,2026-06-23 21:00:00,80.95,81.4,80.8,81.0161,3546.0
TEAM,2026-06-23 21:30:00,81.0175,81.35,80.76,81.35,7094.0
TEAM,2026-06-23 22:00:00,81.35,81.79,80.7661,81.58,2299.0
TEAM,2026-06-23 22:30:00,81.58,82.9872,80.08,81.12,355314.0
TEAM,2026-06-23 23:00:00,81.12,81.6699,79.98,80.83,166983.0
TEAM,2026-06-23 23:30:00,80.905,82.21,80.64,81.53,200491.0
TEAM,2026-06-24 00:00:00,81.53,81.85,80.39,80.6,217302.0
TEAM,2026-06-24 00:30:00,80.75,81.28,80.65,81.175,127158.0
TEAM,2026-06-24 01:00:00,81.175,82.49,80.9526,82.16,248281.0
TEAM,2026-06-24 01:30:00,82.16,82.64,82.09,82.57,128645.0
TEAM,2026-06-24 02:00:00,82.57,83.08,82.25,82.86,115218.0
TEAM,2026-06-24 02:30:00,82.86,83.05,82.22,82.42,118292.0
TEAM,2026-06-24 03:00:00,82.42,82.42,81.99,82.04,94438.0
TEAM,2026-06-24 03:30:00,82.04,82.21,81.7,81.91,182519.0
TEAM,2026-06-24 04:00:00,81.91,82.2299,81.84,82.19,151982.0
TEAM,2026-06-24 04:30:00,82.16,82.19,81.1,81.31,495003.0
TEAM,2026-06-24 05:00:00,81.35,82.0,81.0,81.37,523762.0
TEAM,2026-06-24 05:30:00,81.37,81.8298,81.35,81.6,134091.0
TEAM,2026-06-24 06:00:00,81.6,81.8,81.6,81.8,600.0
TEAM,2026-06-24 06:30:00,81.8,81.92,81.75,81.8955,57.0
