symbol,datetime,open,high,low,close,volume
TMUS,2026-06-22 17:00:00,181.4,181.99,180.39,180.39,208.0
TMUS,2026-06-22 17:30:00,179.4,180.58,179.4,179.985,928.0
TMUS,2026-06-22 18:30:00,179.985,181.89,179.985,180.79,7.0
TMUS,2026-06-22 19:00:00,180.79,180.79,180.41,180.68,107.0
TMUS,2026-06-22 19:30:00,180.37,180.67,180.01,180.43,223.0
TMUS,2026-06-22 20:00:00,180.44,180.45,180.0335,180.4499,33.0
TMUS,2026-06-22 20:30:00,180.4499,181.67,180.0,181.67,1009.0
TMUS,2026-06-22 21:00:00,181.67,182.31,180.1518,181.72,221.0
TMUS,2026-06-22 21:30:00,180.14,182.09,180.14,180.7803,74.0
TMUS,2026-06-22 22:00:00,180.7803,180.7803,177.68,177.74,1494.0
TMUS,2026-06-22 22:30:00,178.64,181.76,177.31,181.515,695064.0
TMUS,2026-06-22 23:00:00,181.515,181.74,181.105,181.15,154199.0
TMUS,2026-06-22 23:30:00,181.15,181.155,179.935,180.64,130653.0
TMUS,2026-06-23 00:00:00,180.64,181.5648,180.56,181.36,119973.0
TMUS,2026-06-23 00:30:00,181.36,181.8,180.6787,181.1914,150450.0
TMUS,2026-06-23 01:00:00,181.1914,181.62,180.93,181.18,110333.0
TMUS,2026-06-23 01:30:00,181.18,181.43,180.75,180.965,99666.0
TMUS,2026-06-23 02:00:00,180.965,181.435,180.92,181.015,109092.0
TMUS,2026-06-23 02:30:00,181.015,181.57,180.95,181.3025,110707.0
TMUS,2026-06-23 03:00:00,181.3025,181.66,181.04,181.51,127733.0
TMUS,2026-06-23 03:30:00,181.53,182.08,181.295,181.835,153438.0
TMUS,2026-06-23 04:00:00,181.835,181.865,180.22,180.44,174629.0
TMUS,2026-06-23 04:30:00,180.44,181.11,179.9,180.07,548340.0
TMUS,2026-06-23 05:00:00,180.06,182.79,177.24,179.477,1795083.0
TMUS,2026-06-23 05:30:00,179.477,182.0,179.477,179.61,1958.0
TMUS,2026-06-23 06:00:00,179.61,180.06,179.2,180.06,153768.0
TMUS,2026-06-23 06:30:00,180.06,180.06,179.2,179.2,21920.0
TMUS,2026-06-23 07:00:00,179.51,180.06,179.2,179.23,1215.0
TMUS,2026-06-23 07:30:00,179.23,179.91,179.23,179.83,72.0
TMUS,2026-06-23 08:00:00,179.83,179.83,179.27,179.3532,691.0
TMUS,2026-06-23 08:30:00,179.3532,179.91,179.35,179.74,41.0
TMUS,2026-06-23 17:00:00,183.4345,183.5,180.08,182.81,768.0
TMUS,2026-06-23 17:30:00,183.5,183.5,182.0,182.45,176.0
TMUS,2026-06-23 18:00:00,182.45,183.38,182.45,183.38,30.0
TMUS,2026-06-23 19:30:00,183.38,183.38,182.76,182.76,28.0
TMUS,2026-06-23 20:00:00,182.0,182.76,182.0,182.76,117.0
TMUS,2026-06-23 20:30:00,182.76,182.76,179.628,181.01,155.0
TMUS,2026-06-23 21:00:00,181.01,182.4958,179.16,182.0658,25.0
TMUS,2026-06-23 21:30:00,182.0658,182.0658,179.16,180.9,98.0
TMUS,2026-06-23 22:00:00,181.3,192.43,180.4,181.61,3277.0
TMUS,2026-06-23 22:30:00,181.5,183.0,180.1,181.435,375731.0
TMUS,2026-06-23 23:00:00,181.435,182.351,180.0,182.12,168416.0
TMUS,2026-06-23 23:30:00,182.12,182.68,181.695,182.41,178313.0
TMUS,2026-06-24 00:00:00,182.515,183.7,182.16,182.87,298824.0
TMUS,2026-06-24 00:30:00,182.87,183.6025,182.68,183.275,280508.0
TMUS,2026-06-24 01:00:00,183.275,183.55,182.7,183.55,172521.0
TMUS,2026-06-24 01:30:00,183.55,183.73,183.16,183.355,197024.0
TMUS,2026-06-24 02:00:00,183.355,183.67,183.07,183.47,132003.0
TMUS,2026-06-24 02:30:00,183.47,183.52,183.14,183.43,122672.0
TMUS,2026-06-24 03:00:00,183.43,183.68,183.0501,183.66,172232.0
TMUS,2026-06-24 03:30:00,183.66,185.39,183.6,184.99,264910.0
TMUS,2026-06-24 04:00:00,184.99,184.99,184.21,184.98,212251.0
