symbol,datetime,open,high,low,close,volume
TSLA,2026-06-22 17:00:00,396.0,396.08,393.5,393.8303,101597.0
TSLA,2026-06-22 17:30:00,393.88,394.6,393.5207,394.51,5530.0
TSLA,2026-06-22 18:00:00,394.6,395.4997,394.2266,395.02,12925.0
TSLA,2026-06-22 18:30:00,395.04,395.32,394.51,394.63,11928.0
TSLA,2026-06-22 19:00:00,394.63,395.14,394.09,394.23,10648.0
TSLA,2026-06-22 19:30:00,394.16,394.5,393.484,394.42,11715.0
TSLA,2026-06-22 20:00:00,394.44,396.22,394.04,395.26,62975.0
TSLA,2026-06-22 20:30:00,395.33,396.98,395.0,396.7,50660.0
TSLA,2026-06-22 21:00:00,396.6756,397.32,396.07,396.9,47837.0
TSLA,2026-06-22 21:30:00,396.95,397.0,396.04,396.2,44718.0
TSLA,2026-06-22 22:00:00,396.27,397.33,392.64,394.77,129787.0
TSLA,2026-06-22 22:30:00,394.85,406.77,394.73,406.72,4464682.0
TSLA,2026-06-22 23:00:00,406.72,414.75,406.1503,409.805,5253108.0
TSLA,2026-06-22 23:30:00,409.805,410.76,401.58,404.545,3741031.0
TSLA,2026-06-23 00:00:00,404.545,411.6395,404.25,409.72,2759093.0
TSLA,2026-06-23 00:30:00,409.72,410.98,407.73,407.9199,1600526.0
TSLA,2026-06-23 01:00:00,407.9199,409.35,406.27,407.17,1647112.0
TSLA,2026-06-23 01:30:00,407.17,408.4599,406.55,408.2098,1011640.0
TSLA,2026-06-23 02:00:00,408.2098,409.5899,406.13,407.0473,1115959.0
TSLA,2026-06-23 02:30:00,407.0473,409.44,405.56,407.6801,1245059.0
TSLA,2026-06-23 03:00:00,407.6801,408.45,406.84,407.095,898301.0
TSLA,2026-06-23 03:30:00,407.095,408.22,405.75,405.865,901478.0
TSLA,2026-06-23 04:00:00,405.9,407.42,403.0206,406.155,1769468.0
TSLA,2026-06-23 04:30:00,406.15,407.14,404.46,405.04,2268972.0
TSLA,2026-06-23 05:00:00,405.05,405.05,403.14,404.21,5110464.0
TSLA,2026-06-23 05:30:00,404.24,404.9,404.12,404.25,45146.0
TSLA,2026-06-23 06:00:00,404.27,405.05,404.25,404.5,30315.0
TSLA,2026-06-23 06:30:00,404.5,404.7699,404.25,404.6967,18640.0
TSLA,2026-06-23 07:00:00,404.76,405.05,404.51,404.68,21422.0
TSLA,2026-06-23 07:30:00,404.53,404.68,403.54,403.66,23784.0
TSLA,2026-06-23 08:00:00,403.65,403.65,403.14,403.4,19986.0
TSLA,2026-06-23 08:30:00,403.43,403.7,403.29,403.661,22858.0
TSLA,2026-06-23 17:00:00,396.33,399.2,389.99,391.3,146904.0
TSLA,2026-06-23 17:30:00,391.05,393.45,391.05,392.79,39416.0
TSLA,2026-06-23 18:00:00,393.1,394.76,392.53,393.75,30781.0
TSLA,2026-06-23 18:30:00,394.04,394.14,392.74,393.23,25621.0
TSLA,2026-06-23 19:00:00,393.19,393.695,392.0,392.65,17075.0
TSLA,2026-06-23 19:30:00,392.71,393.4825,391.45,393.4,15478.0
TSLA,2026-06-23 20:00:00,393.47,396.2,393.0,394.7,92123.0
TSLA,2026-06-23 20:30:00,394.75,396.69,394.46,396.075,68813.0
TSLA,2026-06-23 21:00:00,396.1172,396.6955,393.7,393.88,82593.0
TSLA,2026-06-23 21:30:00,393.94,394.75,393.33,394.39,55625.0
TSLA,2026-06-23 22:00:00,394.1969,395.0,391.75,392.29,124987.0
TSLA,2026-06-23 22:30:00,392.46,392.59,386.93,389.29,4615033.0
TSLA,2026-06-23 23:00:00,389.3899,390.2,386.1,388.085,2845907.0
TSLA,2026-06-23 23:30:00,388.085,389.64,384.94,386.165,2448247.0
TSLA,2026-06-24 00:00:00,386.165,386.5,383.24,383.575,2356815.0
TSLA,2026-06-24 00:30:00,383.575,384.56,382.05,383.365,2314015.0
TSLA,2026-06-24 01:00:00,383.3925,385.65,383.27,383.445,1922270.0
TSLA,2026-06-24 01:30:00,383.44,385.59,382.38,385.165,1444256.0
TSLA,2026-06-24 02:00:00,385.165,385.69,383.8701,385.185,1333451.0
TSLA,2026-06-24 02:30:00,385.185,385.83,381.1903,381.225,1550347.0
TSLA,2026-06-24 03:00:00,381.225,382.4899,380.55,381.55,1636577.0
TSLA,2026-06-24 03:30:00,381.52,381.7799,379.06,379.745,1881451.0
TSLA,2026-06-24 04:00:00,379.745,382.11,379.56,381.62,1770882.0
TSLA,2026-06-24 04:30:00,381.62,382.64,380.7101,381.56,3131264.0
TSLA,2026-06-24 05:00:00,382.42,382.43,381.61,381.7,6675096.0
TSLA,2026-06-24 05:30:00,381.7,381.74,381.61,381.6996,97047.0
TSLA,2026-06-24 06:00:00,381.6994,382.1,381.61,382.0982,38112.0
TSLA,2026-06-24 06:30:00,382.0982,382.58,382.0,382.55,404689.0
TSLA,2026-06-24 07:00:00,382.5791,382.99,382.14,382.14,40459.0
TSLA,2026-06-24 07:30:00,382.4,382.74,382.0,382.3448,21194.0
TSLA,2026-06-24 08:00:00,382.38,382.39,381.74,382.2,27479.0
TSLA,2026-06-24 08:30:00,382.19,382.79,381.69,382.46,33631.0
TSLA,2026-06-24 17:00:00,383.8635,384.39,382.507,383.7,46058.0
TSLA,2026-06-24 17:30:00,383.68,384.325,383.5382,384.2,6240.0
TSLA,2026-06-24 18:00:00,384.2,384.49,383.7697,383.7925,4050.0
TSLA,2026-06-24 18:30:00,383.86,384.19,383.04,384.04,11041.0
TSLA,2026-06-24 19:00:00,383.88,384.5,383.6603,383.99,12016.0
TSLA,2026-06-24 19:30:00,384.0968,384.7,383.6707,383.89,5737.0
TSLA,2026-06-24 20:00:00,383.89,384.1,382.81,383.35,36897.0
TSLA,2026-06-24 20:30:00,383.225,384.45,383.2,384.0297,35169.0
TSLA,2026-06-24 21:00:00,384.1209,384.19,383.3,383.68,31635.0
TSLA,2026-06-24 21:30:00,383.76,384.1,382.1,382.385,52461.0
TSLA,2026-06-24 22:00:00,382.43,382.54,379.8,379.99,144213.0
TSLA,2026-06-24 22:30:00,380.08,384.58,378.78,381.112,3246698.0
TSLA,2026-06-24 23:00:00,381.112,382.86,379.5,382.0,2159535.0
TSLA,2026-06-24 23:30:00,382.085,383.58,379.6,383.455,1861507.0
TSLA,2026-06-25 00:00:00,383.455,384.36,382.0,383.7733,1590566.0
TSLA,2026-06-25 00:30:00,383.81,384.0,380.4,380.5199,1407067.0
TSLA,2026-06-25 01:00:00,380.5199,381.94,380.13,381.38,1026669.0
TSLA,2026-06-25 01:30:00,381.38,381.3828,377.83,378.495,1588083.0
TSLA,2026-06-25 02:00:00,378.495,379.25,375.25,375.5246,1608876.0
TSLA,2026-06-25 02:30:00,375.5101,375.9,374.21,374.595,1569665.0
TSLA,2026-06-25 03:00:00,374.595,377.58,373.66,376.98,1649742.0
TSLA,2026-06-25 03:30:00,376.98,377.23,373.91,374.0787,1344337.0
TSLA,2026-06-25 04:00:00,374.0787,376.31,373.05,376.22,1408186.0
TSLA,2026-06-25 04:30:00,376.22,377.39,375.27,375.3903,2304799.0
TSLA,2026-06-25 05:00:00,375.53,378.41,374.0,376.799,3839938.0
TSLA,2026-06-25 05:30:00,376.66,377.75,376.5,377.57,62839.0
TSLA,2026-06-25 06:00:00,377.53,377.6,377.2,377.5552,53532.0
TSLA,2026-06-25 06:30:00,377.56,378.4999,377.3501,378.45,56237.0
TSLA,2026-06-25 07:00:00,378.45,378.88,377.76,377.8,59178.0
