symbol,datetime,open,high,low,close,volume
VRSK,2026-06-22 17:00:00,174.0,174.0,174.0,174.0,140.0
VRSK,2026-06-22 17:30:00,174.0,174.0,172.81,172.81,8.0
VRSK,2026-06-22 19:30:00,172.81,173.0,172.81,173.0,37.0
VRSK,2026-06-22 20:30:00,173.0,173.8,173.0,173.8,5.0
VRSK,2026-06-22 22:00:00,173.8,173.8,169.3272,169.3272,833.0
VRSK,2026-06-22 22:30:00,169.3272,174.5,169.3272,173.35,120086.0
VRSK,2026-06-22 23:00:00,173.35,173.64,171.61,171.86,78840.0
VRSK,2026-06-22 23:30:00,171.86,172.039,170.3895,170.73,65569.0
VRSK,2026-06-23 00:00:00,170.73,170.76,168.37,168.86,121127.0
VRSK,2026-06-23 00:30:00,168.86,169.855,168.67,169.66,106836.0
VRSK,2026-06-23 01:00:00,169.63,170.09,168.64,168.735,91282.0
VRSK,2026-06-23 01:30:00,168.735,169.4699,168.58,169.18,76683.0
VRSK,2026-06-23 02:00:00,169.18,169.54,168.29,168.48,116507.0
VRSK,2026-06-23 02:30:00,168.48,169.35,168.1929,169.2,102842.0
VRSK,2026-06-23 03:00:00,169.2,169.2,168.68,169.0,60352.0
VRSK,2026-06-23 03:30:00,169.0,169.48,168.23,168.23,103564.0
VRSK,2026-06-23 04:00:00,168.23,168.95,168.18,168.95,114952.0
VRSK,2026-06-23 04:30:00,168.95,170.34,168.93,169.05,269335.0
VRSK,2026-06-23 05:00:00,168.99,168.99,168.99,168.99,834874.0
VRSK,2026-06-23 05:30:00,168.99,168.99,168.99,168.99,657.0
VRSK,2026-06-23 07:00:00,168.99,168.99,168.99,168.99,6911.0
VRSK,2026-06-23 08:30:00,168.99,172.288,168.99,172.288,5.0
VRSK,2026-06-23 18:00:00,168.99,173.5962,168.99,173.5962,1.0
VRSK,2026-06-23 20:00:00,173.5962,173.5962,169.37,169.37,11.0
VRSK,2026-06-23 20:30:00,169.37,169.37,168.99,168.99,2.0
VRSK,2026-06-23 21:00:00,168.99,172.28,168.2245,172.28,41.0
VRSK,2026-06-23 21:30:00,172.28,172.28,168.99,168.99,1.0
VRSK,2026-06-23 22:00:00,168.99,179.06,167.11,178.57,2726.0
VRSK,2026-06-23 22:30:00,175.6,175.6,171.63,172.18,160010.0
VRSK,2026-06-23 23:00:00,172.18,172.52,171.54,171.99,80683.0
VRSK,2026-06-23 23:30:00,171.99,172.99,171.5,172.23,58540.0
VRSK,2026-06-24 00:00:00,172.23,174.21,171.9242,173.82,70598.0
VRSK,2026-06-24 00:30:00,173.82,174.43,173.66,174.15,95853.0
VRSK,2026-06-24 01:00:00,174.15,174.49,173.485,174.085,101468.0
VRSK,2026-06-24 01:30:00,174.085,174.47,173.95,173.998,69461.0
VRSK,2026-06-24 02:00:00,173.998,174.43,173.8,173.93,86394.0
VRSK,2026-06-24 02:30:00,173.93,174.2,173.77,174.01,53334.0
VRSK,2026-06-24 03:00:00,174.01,174.65,173.47,174.38,116373.0
VRSK,2026-06-24 03:30:00,174.51,174.785,174.38,174.62,111903.0
VRSK,2026-06-24 04:00:00,174.62,174.7,173.98,174.49,124537.0
VRSK,2026-06-24 04:30:00,174.49,175.01,174.065,174.74,343119.0
VRSK,2026-06-24 05:00:00,174.76,174.76,174.76,174.76,505512.0
VRSK,2026-06-24 05:30:00,174.76,174.76,174.76,174.76,1532.0
VRSK,2026-06-24 06:00:00,174.76,174.76,174.76,174.76,19101.0
VRSK,2026-06-24 17:00:00,174.76,174.76,174.76,174.76,1.0
VRSK,2026-06-24 20:30:00,174.76,175.26,174.76,175.19,67.0
VRSK,2026-06-24 21:00:00,175.19,175.19,174.98,174.98,59.0
VRSK,2026-06-24 22:00:00,174.98,176.4,174.98,175.81,129.0
VRSK,2026-06-24 22:30:00,175.81,179.38,174.2937,176.69,97556.0
VRSK,2026-06-24 23:00:00,176.69,179.07,175.855,178.745,184733.0
VRSK,2026-06-24 23:30:00,178.745,179.04,178.055,178.945,63120.0
VRSK,2026-06-25 00:00:00,178.945,180.44,178.885,180.12,75760.0
VRSK,2026-06-25 00:30:00,180.12,180.33,179.19,179.19,88116.0
VRSK,2026-06-25 01:00:00,179.19,180.5,179.05,179.745,213480.0
VRSK,2026-06-25 01:30:00,179.745,179.77,179.26,179.66,45623.0
VRSK,2026-06-25 02:00:00,179.66,180.555,179.66,180.07,60120.0
VRSK,2026-06-25 02:30:00,180.07,180.51,179.52,179.86,85827.0
VRSK,2026-06-25 03:00:00,179.86,180.58,179.86,180.11,108062.0
VRSK,2026-06-25 03:30:00,180.11,180.42,179.57,179.76,101154.0
VRSK,2026-06-25 04:00:00,179.76,180.64,179.61,180.3125,197194.0
VRSK,2026-06-25 04:30:00,180.3125,180.46,179.8,180.07,363427.0
VRSK,2026-06-25 05:00:00,180.06,180.06,176.46,176.46,354635.0
VRSK,2026-06-25 05:30:00,176.46,180.06,176.46,180.06,25485.0
VRSK,2026-06-25 06:00:00,180.06,180.06,180.06,180.06,318307.0
VRSK,2026-06-25 07:00:00,180.06,180.06,180.06,180.06,83054.0
VRSK,2026-06-25 07:30:00,180.06,180.06,179.85,179.85,2816.0
VRSK,2026-06-25 17:00:00,180.06,180.94,178.64,180.06,67.0
VRSK,2026-06-25 20:00:00,180.06,181.23,180.06,180.6,15.0
VRSK,2026-06-25 20:30:00,180.6,181.02,180.06,180.9,231.0
VRSK,2026-06-25 21:00:00,180.9,180.92,180.9,180.92,120.0
VRSK,2026-06-25 21:30:00,180.92,180.92,180.06,180.06,1.0
VRSK,2026-06-25 22:30:00,179.99,182.28,178.645,181.75,103586.0
VRSK,2026-06-25 23:00:00,181.75,182.05,180.46,180.91,57040.0
VRSK,2026-06-25 23:30:00,180.91,180.93,178.845,178.845,72511.0
VRSK,2026-06-26 00:00:00,178.845,178.85,177.01,178.31,111931.0
VRSK,2026-06-26 00:30:00,178.31,178.79,178.13,178.42,29756.0
VRSK,2026-06-26 01:00:00,178.42,178.59,177.62,177.62,23433.0
VRSK,2026-06-26 01:30:00,177.62,178.115,177.53,177.76,49152.0
VRSK,2026-06-26 02:00:00,177.76,177.91,177.15,177.42,42884.0
VRSK,2026-06-26 02:30:00,177.42,177.62,176.65,176.65,31915.0
VRSK,2026-06-26 03:00:00,176.65,177.76,176.26,177.685,46440.0
VRSK,2026-06-26 03:30:00,177.685,177.88,177.44,177.83,44048.0
VRSK,2026-06-26 04:00:00,177.83,178.23,177.59,177.81,55263.0
VRSK,2026-06-26 04:30:00,177.81,177.98,176.3,176.965,244465.0
VRSK,2026-06-26 05:00:00,177.04,177.73,177.04,177.73,288403.0
VRSK,2026-06-26 05:30:00,177.04,177.04,177.04,177.04,34772.0
VRSK,2026-06-26 06:30:00,177.04,177.04,177.04,177.04,226839.0
VRSK,2026-06-26 17:00:00,177.04,180.06,177.04,180.06,15.0
VRSK,2026-06-26 21:00:00,180.06,180.06,177.0,177.0,5.0
VRSK,2026-06-26 22:00:00,177.0,177.58,177.0,177.04,207113.0
VRSK,2026-06-26 22:30:00,177.63,181.95,177.63,179.77,80340.0
VRSK,2026-06-26 23:00:00,179.77,181.97,179.34,181.325,74047.0
VRSK,2026-06-26 23:30:00,181.325,183.07,180.93,182.92,97563.0
VRSK,2026-06-27 00:00:00,182.92,183.67,182.64,183.09,70564.0
VRSK,2026-06-27 00:30:00,183.09,183.515,182.36,182.46,35589.0
VRSK,2026-06-27 01:00:00,182.46,183.78,182.46,182.97,35457.0
VRSK,2026-06-27 01:30:00,182.97,183.2,182.905,182.965,32194.0
VRSK,2026-06-27 02:00:00,182.965,182.965,182.11,182.145,34670.0
VRSK,2026-06-27 02:30:00,182.145,182.29,181.85,181.88,37016.0
VRSK,2026-06-27 03:00:00,181.88,182.57,181.88,182.36,48232.0
VRSK,2026-06-27 03:30:00,182.36,182.66,181.72,181.88,57915.0
VRSK,2026-06-27 04:00:00,181.88,182.65,181.8,182.38,91512.0
VRSK,2026-06-27 04:30:00,182.38,182.7,181.36,182.07,314425.0
VRSK,2026-06-27 05:00:00,182.18,182.54,182.1768,182.18,2968081.0
VRSK,2026-06-27 05:30:00,182.1833,183.7,182.1767,182.54,79792.0
VRSK,2026-06-27 06:00:00,182.54,182.54,182.18,182.18,23382.0
VRSK,2026-06-27 06:30:00,182.18,182.18,182.18,182.18,100786.0
VRSK,2026-06-29 20:30:00,182.18,182.18,182.18,182.18,2.0
VRSK,2026-06-29 21:00:00,182.18,182.29,182.18,182.29,1.0
VRSK,2026-06-29 22:00:00,182.29,182.29,182.28,182.28,39.0
VRSK,2026-06-29 22:30:00,183.145,185.0,180.805,181.46,54980.0
VRSK,2026-06-29 23:00:00,181.46,181.595,179.66,180.175,117578.0
VRSK,2026-06-29 23:30:00,180.175,181.31,180.165,180.19,104878.0
VRSK,2026-06-30 00:00:00,180.19,180.23,178.9515,179.23,65527.0
VRSK,2026-06-30 00:30:00,179.23,179.24,177.6,177.71,52855.0
VRSK,2026-06-30 01:00:00,177.71,177.71,177.31,177.34,45026.0
VRSK,2026-06-30 01:30:00,177.34,178.32,177.34,177.41,59285.0
VRSK,2026-06-30 02:00:00,177.41,178.07,177.28,177.705,69408.0
VRSK,2026-06-30 02:30:00,177.705,179.12,177.62,178.83,181498.0
VRSK,2026-06-30 03:00:00,178.83,178.83,177.66,178.32,85237.0
VRSK,2026-06-30 03:30:00,178.32,180.33,178.17,179.525,112502.0
VRSK,2026-06-30 04:00:00,179.525,179.61,179.18,179.53,53103.0
VRSK,2026-06-30 04:30:00,179.5,179.575,178.335,179.18,213881.0
VRSK,2026-06-30 05:00:00,179.21,179.21,177.67,179.21,551986.0
VRSK,2026-06-30 06:00:00,179.21,179.21,179.21,179.21,19040.0
VRSK,2026-06-30 06:30:00,179.21,179.21,179.21,179.21,16.0
VRSK,2026-06-30 08:00:00,179.21,179.42,179.0,179.42,13.0
VRSK,2026-06-30 08:30:00,179.42,179.42,177.0,177.0,13.0
VRSK,2026-06-30 20:30:00,179.21,179.21,179.21,179.21,2.0
VRSK,2026-06-30 22:00:00,179.21,179.21,177.37,177.37,2.0
VRSK,2026-06-30 22:30:00,177.52,179.19,177.19,178.42,72016.0
VRSK,2026-06-30 23:00:00,178.42,179.53,178.35,179.17,45634.0
VRSK,2026-06-30 23:30:00,179.17,179.35,178.395,178.7701,55474.0
VRSK,2026-07-01 00:00:00,178.7701,179.43,178.47,179.28,65869.0
VRSK,2026-07-01 00:30:00,179.28,179.85,179.19,179.61,51120.0
VRSK,2026-07-01 01:00:00,179.61,179.94,179.35,179.51,61820.0
VRSK,2026-07-01 01:30:00,179.51,180.55,179.51,179.69,47330.0
VRSK,2026-07-01 02:00:00,179.69,180.155,179.28,179.95,45247.0
VRSK,2026-07-01 02:30:00,179.95,180.46,179.95,180.46,46472.0
VRSK,2026-07-01 03:00:00,180.46,180.46,179.74,179.83,64101.0
VRSK,2026-07-01 03:30:00,179.83,180.415,179.8,180.03,57172.0
VRSK,2026-07-01 04:00:00,180.03,180.12,179.49,179.84,105192.0
VRSK,2026-07-01 04:30:00,179.84,180.445,179.39,179.39,315068.0
VRSK,2026-07-01 05:00:00,179.53,179.95,179.53,179.53,458877.0
VRSK,2026-07-01 06:00:00,179.53,179.53,179.53,179.53,1393.0
VRSK,2026-07-01 08:00:00,179.53,179.53,179.53,179.53,197.0
VRSK,2026-07-01 08:30:00,179.53,180.0,179.53,180.0,5.0
VRSK,2026-07-01 20:30:00,179.53,179.53,179.53,179.53,3.0
VRSK,2026-07-01 22:00:00,179.53,181.7,179.53,181.7,832.0
VRSK,2026-07-01 22:30:00,181.7,185.72,179.61,183.38,163384.0
VRSK,2026-07-01 23:00:00,183.38,186.53,183.34,185.21,204525.0
VRSK,2026-07-01 23:30:00,185.21,186.4,184.855,185.9,198284.0
VRSK,2026-07-02 00:00:00,185.9,186.01,184.84,185.125,119828.0
VRSK,2026-07-02 00:30:00,185.125,185.81,184.32,185.71,85431.0
VRSK,2026-07-02 01:00:00,185.71,185.91,185.37,185.8,74430.0
VRSK,2026-07-02 01:30:00,185.8,186.6,185.76,185.76,81434.0
VRSK,2026-07-02 02:00:00,185.76,188.0,185.76,187.671,135519.0
VRSK,2026-07-02 02:30:00,187.671,187.71,186.04,186.04,162929.0
VRSK,2026-07-02 03:00:00,186.04,186.79,185.98,186.53,129367.0
VRSK,2026-07-02 03:30:00,186.53,186.76,185.61,185.65,264444.0
VRSK,2026-07-02 04:00:00,185.65,185.665,183.99,184.72,149558.0
VRSK,2026-07-02 04:30:00,184.72,184.92,183.52,183.71,291163.0
VRSK,2026-07-02 05:00:00,183.71,183.72,183.71,183.72,309518.0
VRSK,2026-07-02 05:30:00,183.72,183.72,183.72,183.72,11027.0
VRSK,2026-07-02 06:00:00,183.72,183.72,183.72,183.72,10.0
VRSK,2026-07-02 06:30:00,183.72,183.72,180.45,180.45,2.0
VRSK,2026-07-02 07:00:00,180.45,184.21,180.45,184.21,1.0
VRSK,2026-07-02 08:00:00,184.21,184.21,184.21,184.21,5.0
VRSK,2026-07-02 08:30:00,184.21,184.21,184.21,184.21,1.0
VRSK,2026-07-02 17:30:00,183.72,183.72,183.0,183.0,241.0
VRSK,2026-07-02 20:00:00,183.0,183.0,174.19,174.19,1.0
VRSK,2026-07-02 20:30:00,174.19,183.72,174.19,183.72,49.0
VRSK,2026-07-02 21:30:00,183.72,183.72,183.72,183.72,1.0
VRSK,2026-07-02 22:00:00,183.72,186.5,183.72,184.44,78.0
VRSK,2026-07-02 22:30:00,185.31,186.55,182.965,183.0395,102597.0
VRSK,2026-07-02 23:00:00,183.41,185.03,182.42,184.58,141443.0
VRSK,2026-07-02 23:30:00,184.58,186.29,184.54,185.755,123232.0
VRSK,2026-07-03 00:00:00,185.755,186.51,185.24,186.035,76328.0
VRSK,2026-07-03 00:30:00,186.035,186.2899,185.47,186.13,49322.0
VRSK,2026-07-03 01:00:00,186.13,186.67,186.06,186.67,75482.0
VRSK,2026-07-03 01:30:00,186.67,188.18,186.63,188.09,29646.0
VRSK,2026-07-03 02:00:00,188.09,189.518,187.97,189.245,78114.0
VRSK,2026-07-03 02:30:00,189.245,189.4099,188.08,188.62,60413.0
VRSK,2026-07-03 03:00:00,188.62,190.015,188.59,189.92,116378.0
VRSK,2026-07-03 03:30:00,189.92,189.92,188.47,188.47,51160.0
VRSK,2026-07-03 04:00:00,188.47,188.72,188.115,188.51,71373.0
VRSK,2026-07-03 04:30:00,188.51,188.69,187.36,188.295,246199.0
VRSK,2026-07-03 05:00:00,188.35,188.35,175.36,188.13,271681.0
VRSK,2026-07-03 05:30:00,188.13,188.35,187.94,187.94,13847.0
VRSK,2026-07-03 06:30:00,187.94,188.35,187.79,188.35,578.0
VRSK,2026-07-03 08:00:00,188.35,188.35,188.0,188.0,10642.0
VRSK,2026-07-03 08:30:00,188.0,188.0,188.0,188.0,3.0
VRSK,2026-07-06 20:00:00,188.35,188.35,188.35,188.35,1.0
VRSK,2026-07-06 20:30:00,188.35,188.35,187.83,188.35,477.0
VRSK,2026-07-06 21:00:00,188.35,188.35,187.8,188.35,664.0
VRSK,2026-07-06 21:30:00,187.9,187.98,186.0,186.0,407.0
VRSK,2026-07-06 22:00:00,186.0,187.89,186.0,187.89,5.0
VRSK,2026-07-06 22:30:00,186.5,187.125,183.02,185.33,62836.0
VRSK,2026-07-06 23:00:00,185.33,187.2729,184.08,185.03,63466.0
VRSK,2026-07-06 23:30:00,185.03,185.8,184.38,185.675,56380.0
VRSK,2026-07-07 00:00:00,185.675,186.96,185.52,186.505,52009.0
VRSK,2026-07-07 00:30:00,186.505,187.655,186.385,187.4,60999.0
VRSK,2026-07-07 01:00:00,187.4,188.24,187.4,187.78,50889.0
VRSK,2026-07-07 01:30:00,187.78,188.5674,187.78,188.2675,26850.0
VRSK,2026-07-07 02:00:00,188.2675,189.37,188.2,188.755,56516.0
VRSK,2026-07-07 02:30:00,188.755,188.755,188.16,188.47,46994.0
VRSK,2026-07-07 03:00:00,188.47,188.515,187.6525,187.805,60041.0
VRSK,2026-07-07 03:30:00,187.805,188.175,187.66,187.94,39116.0
VRSK,2026-07-07 04:00:00,187.94,188.13,187.68,188.04,62585.0
VRSK,2026-07-07 04:30:00,188.04,188.51,187.47,187.86,180025.0
VRSK,2026-07-07 05:00:00,187.86,187.86,187.79,187.8031,479342.0
VRSK,2026-07-07 05:30:00,187.8031,187.8031,187.79,187.79,13490.0
VRSK,2026-07-07 08:00:00,187.79,187.79,185.28,185.28,25.0
VRSK,2026-07-07 08:30:00,185.28,186.97,185.28,186.97,1.0
VRSK,2026-07-07 17:00:00,187.79,187.79,178.2957,178.2957,1.0
VRSK,2026-07-07 19:30:00,178.2957,189.45,178.2957,189.45,4.0
VRSK,2026-07-07 20:00:00,189.45,189.57,189.45,189.57,5.0
VRSK,2026-07-07 20:30:00,189.57,189.57,187.79,187.79,635.0
VRSK,2026-07-07 21:00:00,187.79,187.79,187.79,187.79,2.0
VRSK,2026-07-07 22:00:00,187.79,191.38,187.79,191.0122,151.0
VRSK,2026-07-07 22:30:00,192.22,194.79,190.105,193.375,81218.0
VRSK,2026-07-07 23:00:00,193.54,193.54,192.41,192.72,46587.0
VRSK,2026-07-07 23:30:00,192.72,193.34,192.13,192.23,53644.0
VRSK,2026-07-08 00:00:00,192.23,193.265,191.91,192.56,82545.0
VRSK,2026-07-08 00:30:00,192.56,194.0399,192.47,193.8,53112.0
VRSK,2026-07-08 01:00:00,193.8,193.8,192.31,192.39,56060.0
VRSK,2026-07-08 01:30:00,192.39,192.54,192.17,192.42,47549.0
VRSK,2026-07-08 02:00:00,192.42,192.795,191.87,192.02,47384.0
VRSK,2026-07-08 02:30:00,192.02,192.385,191.74,192.09,49603.0
VRSK,2026-07-08 03:00:00,192.09,192.25,191.89,192.04,51051.0
VRSK,2026-07-08 03:30:00,192.04,193.109,191.92,192.97,121292.0
VRSK,2026-07-08 04:00:00,192.965,193.29,192.55,192.73,79001.0
VRSK,2026-07-08 04:30:00,192.73,193.27,191.845,192.24,299788.0
VRSK,2026-07-08 05:00:00,192.25,193.0,192.25,192.25,282779.0
VRSK,2026-07-08 07:00:00,192.25,192.5,192.25,192.5,6678.0
VRSK,2026-07-08 20:30:00,192.25,192.25,192.25,192.25,23.0
VRSK,2026-07-08 21:30:00,194.0799,194.0799,194.0799,194.0799,10.0
VRSK,2026-07-08 22:00:00,194.0799,194.0799,187.57,187.57,38.0
VRSK,2026-07-08 22:30:00,191.5,191.78,188.56,188.81,72563.0
VRSK,2026-07-08 23:00:00,188.81,189.9099,188.45,189.16,61413.0
VRSK,2026-07-08 23:30:00,189.16,190.54,188.955,189.99,59618.0
VRSK,2026-07-09 00:00:00,189.99,191.92,189.99,191.91,122302.0
VRSK,2026-07-09 00:30:00,191.91,192.89,191.45,191.65,123560.0
VRSK,2026-07-09 01:00:00,191.65,191.65,190.09,190.09,44203.0
VRSK,2026-07-09 01:30:00,190.09,191.285,190.03,190.6,27890.0
VRSK,2026-07-09 02:00:00,190.6,190.72,189.66,189.87,31102.0
VRSK,2026-07-09 02:30:00,189.87,190.61,189.79,190.585,65286.0
VRSK,2026-07-09 03:00:00,190.585,190.6,189.68,189.94,54259.0
VRSK,2026-07-09 03:30:00,189.94,190.56,189.905,190.11,42034.0
VRSK,2026-07-09 04:00:00,190.11,190.41,189.6017,190.11,95996.0
VRSK,2026-07-09 04:30:00,190.11,191.03,189.31,189.69,274204.0
VRSK,2026-07-09 05:00:00,189.67,189.67,189.67,189.67,314706.0
VRSK,2026-07-09 17:00:00,189.67,191.26,189.67,191.26,1.0
VRSK,2026-07-09 20:00:00,191.26,191.26,189.8,189.99,2.0
VRSK,2026-07-09 20:30:00,189.99,189.99,189.67,189.67,33.0
VRSK,2026-07-09 21:00:00,189.67,189.67,189.67,189.67,7.0
VRSK,2026-07-09 22:00:00,189.67,189.67,185.84,185.84,10.0
VRSK,2026-07-09 22:30:00,186.76,188.145,185.45,187.6,66190.0
