symbol,datetime,open,high,low,close,volume
VRTX,2026-06-22 17:00:00,450.9,453.5,450.9,452.17,42.0
VRTX,2026-06-22 18:00:00,452.17,454.79,452.17,454.79,4.0
VRTX,2026-06-22 19:00:00,454.79,454.79,453.17,453.17,5.0
VRTX,2026-06-22 19:30:00,453.17,453.17,453.17,453.17,8.0
VRTX,2026-06-22 20:00:00,453.17,453.17,450.0,450.0,102.0
VRTX,2026-06-22 20:30:00,450.0,452.02,450.0,452.02,27.0
VRTX,2026-06-22 21:00:00,452.02,453.17,450.0,452.52,436.0
VRTX,2026-06-22 21:30:00,452.52,453.4,452.3615,453.4,38.0
VRTX,2026-06-22 22:00:00,453.4,457.58,452.82,457.58,206.0
VRTX,2026-06-22 22:30:00,455.65,464.87,455.65,462.67,59263.0
VRTX,2026-06-22 23:00:00,462.67,462.8,457.76,458.5,74030.0
VRTX,2026-06-22 23:30:00,458.5,460.2,455.87,456.575,42135.0
VRTX,2026-06-23 00:00:00,456.575,458.64,456.225,458.09,40918.0
VRTX,2026-06-23 00:30:00,458.09,460.8,457.17,459.77,43016.0
VRTX,2026-06-23 01:00:00,459.85,461.3941,457.83,460.94,71770.0
VRTX,2026-06-23 01:30:00,460.94,463.31,460.535,463.1972,49222.0
VRTX,2026-06-23 02:00:00,463.1972,464.235,462.6001,463.15,44307.0
VRTX,2026-06-23 02:30:00,463.15,464.63,463.05,464.17,71043.0
VRTX,2026-06-23 03:00:00,464.17,465.88,463.7375,465.435,51788.0
VRTX,2026-06-23 03:30:00,465.435,465.7,464.4,464.58,40068.0
VRTX,2026-06-23 04:00:00,464.58,465.34,463.41,463.83,84504.0
VRTX,2026-06-23 04:30:00,463.83,467.935,463.69,466.97,220443.0
VRTX,2026-06-23 05:00:00,466.79,466.79,465.01,465.01,837020.0
VRTX,2026-06-23 05:30:00,465.01,465.0504,465.0,465.0,15.0
VRTX,2026-06-23 06:00:00,465.0,466.37,465.0,466.37,1.0
VRTX,2026-06-23 06:30:00,466.37,466.39,466.2,466.39,367.0
VRTX,2026-06-23 07:00:00,466.39,466.79,465.2,465.4,283.0
VRTX,2026-06-23 08:00:00,465.4,466.38,465.4,466.38,128.0
VRTX,2026-06-23 08:30:00,466.38,466.38,465.95,465.95,12.0
VRTX,2026-06-23 17:00:00,452.45,469.971,452.45,467.74,204.0
VRTX,2026-06-23 17:30:00,467.74,468.84,467.12,467.12,62.0
VRTX,2026-06-23 18:00:00,467.12,467.16,467.12,467.16,22.0
VRTX,2026-06-23 18:30:00,467.16,468.23,466.82,466.82,26.0
VRTX,2026-06-23 20:00:00,468.0,468.0,466.82,466.82,95.0
VRTX,2026-06-23 20:30:00,466.82,466.83,466.38,466.38,99.0
VRTX,2026-06-23 21:00:00,466.38,466.79,465.0,466.79,10.0
VRTX,2026-06-23 21:30:00,466.79,469.3152,466.79,467.62,14.0
VRTX,2026-06-23 22:00:00,467.62,470.0,440.05,470.0,367.0
VRTX,2026-06-23 22:30:00,469.44,470.19,464.04,464.405,60102.0
VRTX,2026-06-23 23:00:00,464.09,468.91,463.755,468.91,36710.0
VRTX,2026-06-23 23:30:00,468.91,468.99,466.92,467.91,22304.0
VRTX,2026-06-24 00:00:00,467.91,467.95,465.91,466.58,23202.0
VRTX,2026-06-24 00:30:00,466.58,468.67,466.125,468.225,25066.0
VRTX,2026-06-24 01:00:00,468.225,470.145,467.44,468.34,31285.0
VRTX,2026-06-24 01:30:00,468.34,470.82,468.34,470.35,38547.0
VRTX,2026-06-24 02:00:00,470.35,470.78,469.22,469.3,49469.0
VRTX,2026-06-24 02:30:00,469.3,470.6,469.29,470.58,41396.0
VRTX,2026-06-24 03:00:00,470.58,470.64,469.75,469.915,44564.0
VRTX,2026-06-24 03:30:00,469.915,470.07,469.07,469.245,44986.0
VRTX,2026-06-24 04:00:00,469.245,469.79,468.5,468.64,49587.0
VRTX,2026-06-24 04:30:00,468.64,469.66,467.95,468.28,138630.0
VRTX,2026-06-24 05:00:00,468.42,469.11,465.932,468.42,333267.0
VRTX,2026-06-24 06:00:00,468.42,470.0,465.77,468.75,440.0
VRTX,2026-06-24 06:30:00,468.75,472.0,468.75,469.0,6.0
VRTX,2026-06-24 07:00:00,469.0,469.0,466.0,468.75,24.0
VRTX,2026-06-24 07:30:00,469.1,469.1,468.75,468.75,40.0
VRTX,2026-06-24 08:30:00,468.75,469.4,468.3818,469.4,31.0
VRTX,2026-06-24 17:00:00,468.42,470.93,466.99,470.93,88.0
VRTX,2026-06-24 17:30:00,470.93,470.93,467.62,467.65,74.0
VRTX,2026-06-24 18:30:00,468.4,468.4,468.4,468.4,11.0
VRTX,2026-06-24 20:00:00,470.0,472.0,467.5,467.5,25.0
VRTX,2026-06-24 20:30:00,467.5,472.0,465.76,467.69,28.0
VRTX,2026-06-24 21:00:00,467.69,470.0,467.65,469.0,15.0
VRTX,2026-06-24 21:30:00,469.0,469.0,467.65,468.0,104.0
VRTX,2026-06-24 22:00:00,472.0,472.0,420.63,465.76,105.0
VRTX,2026-06-24 22:30:00,471.38,477.5125,471.245,476.12,59045.0
VRTX,2026-06-24 23:00:00,476.12,477.26,473.0301,475.685,50867.0
VRTX,2026-06-24 23:30:00,475.685,478.2,474.5701,477.25,57632.0
VRTX,2026-06-25 00:00:00,477.25,477.84,476.02,476.445,41475.0
VRTX,2026-06-25 00:30:00,476.445,477.16,476.0923,476.32,27371.0
VRTX,2026-06-25 01:00:00,476.32,478.56,476.14,478.34,31047.0
VRTX,2026-06-25 01:30:00,478.34,480.34,478.0,479.98,40547.0
VRTX,2026-06-25 02:00:00,479.98,480.855,477.285,477.285,34591.0
VRTX,2026-06-25 02:30:00,477.285,477.52,476.505,477.025,33691.0
VRTX,2026-06-25 03:00:00,477.025,478.0,476.83,477.575,39224.0
VRTX,2026-06-25 03:30:00,477.575,479.25,477.5568,479.1125,37378.0
VRTX,2026-06-25 04:00:00,479.1125,480.08,477.765,477.765,49624.0
VRTX,2026-06-25 04:30:00,477.765,478.21,474.53,475.35,134225.0
VRTX,2026-06-25 05:00:00,475.2,475.2,470.6,472.74,624706.0
VRTX,2026-06-25 05:30:00,472.74,475.17,470.0,470.01,134.0
VRTX,2026-06-25 06:00:00,470.0,475.2,470.0,475.2,9038.0
VRTX,2026-06-25 06:30:00,475.2,475.2,470.0,471.8,27333.0
VRTX,2026-06-25 07:00:00,471.8,475.2,470.0,470.38,1484.0
VRTX,2026-06-25 07:30:00,470.38,470.49,470.38,470.48,34.0
VRTX,2026-06-25 08:00:00,470.48,471.17,470.48,471.17,39.0
VRTX,2026-06-25 08:30:00,471.17,472.67,470.7,472.59,92.0
VRTX,2026-06-25 17:00:00,471.0,473.8975,471.0,472.34,89.0
VRTX,2026-06-25 18:30:00,472.34,472.34,472.0,472.34,53.0
VRTX,2026-06-25 19:00:00,472.34,472.34,470.2,470.2,3.0
VRTX,2026-06-25 19:30:00,470.25,470.3,470.2,470.21,65.0
VRTX,2026-06-25 20:00:00,471.5,472.925,470.0,470.4568,53.0
VRTX,2026-06-25 20:30:00,470.4568,475.2,470.4568,475.2,3.0
VRTX,2026-06-25 21:00:00,475.2,475.2,470.4566,471.15,21.0
VRTX,2026-06-25 21:30:00,471.15,475.2,470.27,471.2,257.0
VRTX,2026-06-25 22:00:00,471.4534,476.84,471.4534,471.53,195.0
VRTX,2026-06-25 22:30:00,476.145,479.73,473.5001,478.11,54997.0
VRTX,2026-06-25 23:00:00,478.11,486.39,477.75,483.96,65042.0
VRTX,2026-06-25 23:30:00,483.96,486.485,482.89,485.07,63289.0
VRTX,2026-06-26 00:00:00,485.07,485.3699,482.9,484.16,66217.0
VRTX,2026-06-26 00:30:00,484.16,484.34,481.64,482.02,39040.0
VRTX,2026-06-26 01:00:00,482.02,482.765,481.63,482.5,45783.0
VRTX,2026-06-26 01:30:00,482.5,483.78,482.23,482.9,55382.0
VRTX,2026-06-26 02:00:00,482.9,484.155,482.29,483.27,58509.0
VRTX,2026-06-26 02:30:00,483.27,483.98,482.91,483.18,43318.0
VRTX,2026-06-26 03:00:00,483.18,484.71,482.2,484.45,42279.0
VRTX,2026-06-26 03:30:00,484.45,484.86,482.965,483.58,40957.0
VRTX,2026-06-26 04:00:00,483.58,484.2599,482.56,482.76,45874.0
VRTX,2026-06-26 04:30:00,482.76,482.76,479.56,479.73,132503.0
VRTX,2026-06-26 05:00:00,480.18,480.38,479.5,480.31,506259.0
