symbol,datetime,open,high,low,close,volume
WBD,2026-06-22 17:00:00,26.13,26.3767,26.12,26.3767,13.0
WBD,2026-06-22 18:30:00,26.16,26.4,26.16,26.4,531.0
WBD,2026-06-22 19:00:00,26.4,26.4,26.16,26.17,265.0
WBD,2026-06-22 19:30:00,26.17,26.19,26.16,26.16,810.0
WBD,2026-06-22 20:00:00,26.17,26.249,26.16,26.16,1060.0
WBD,2026-06-22 20:30:00,26.16,26.25,26.12,26.1274,108304.0
WBD,2026-06-22 21:00:00,26.1274,26.525,26.1274,26.1515,2814.0
WBD,2026-06-22 21:30:00,26.16,26.24,26.16,26.225,7320.0
WBD,2026-06-22 22:00:00,26.225,26.35,26.2,26.27,20908.0
WBD,2026-06-22 22:30:00,26.275,26.58,26.25,26.44,1267439.0
WBD,2026-06-22 23:00:00,26.44,26.575,26.44,26.465,953130.0
WBD,2026-06-22 23:30:00,26.465,26.58,26.43,26.55,577029.0
WBD,2026-06-23 00:00:00,26.555,26.835,26.55,26.755,1264063.0
WBD,2026-06-23 00:30:00,26.755,26.76,26.6,26.655,1192425.0
WBD,2026-06-23 01:00:00,26.655,26.725,26.62,26.625,775708.0
WBD,2026-06-23 01:30:00,26.625,26.66,26.59,26.645,370604.0
WBD,2026-06-23 02:00:00,26.645,26.665,26.6123,26.635,392711.0
WBD,2026-06-23 02:30:00,26.635,26.78,26.615,26.735,419578.0
WBD,2026-06-23 03:00:00,26.735,26.8899,26.725,26.875,485725.0
WBD,2026-06-23 03:30:00,26.875,26.98,26.86,26.96,839489.0
WBD,2026-06-23 04:00:00,26.96,26.99,26.775,26.78,1066762.0
WBD,2026-06-23 04:30:00,26.78,26.99,26.78,26.94,3872942.0
WBD,2026-06-23 05:00:00,26.94,26.95,26.52,26.7,5594194.0
WBD,2026-06-23 05:30:00,26.7,26.86,26.62,26.86,143.0
WBD,2026-06-23 06:00:00,26.86,26.95,26.85,26.95,14.0
WBD,2026-06-23 06:30:00,26.7,26.85,26.7,26.84,4.0
WBD,2026-06-23 07:00:00,26.85,26.95,26.5759,26.5759,106962.0
WBD,2026-06-23 07:30:00,26.72,26.95,26.52,26.52,16.0
WBD,2026-06-23 08:00:00,26.52,26.52,26.52,26.52,48.0
WBD,2026-06-23 08:30:00,26.52,26.7,26.52,26.7,106.0
WBD,2026-06-23 17:00:00,26.97,27.18,26.53,27.02,1536.0
WBD,2026-06-23 19:00:00,27.02,27.02,26.1983,26.96,136.0
