symbol,datetime,open,high,low,close,volume
XEL,2026-06-22 17:00:00,77.41,77.48,77.12,77.48,22.0
XEL,2026-06-22 19:00:00,77.48,77.48,76.45,76.45,2.0
XEL,2026-06-22 20:00:00,76.45,77.2018,76.45,77.2018,15.0
XEL,2026-06-22 20:30:00,77.2018,77.41,77.2018,77.41,2.0
XEL,2026-06-22 21:00:00,77.41,77.8009,77.41,77.8009,1.0
XEL,2026-06-22 22:00:00,76.9795,77.79,76.9795,77.79,17.0
XEL,2026-06-22 22:30:00,77.41,78.51,77.41,78.35,212254.0
XEL,2026-06-22 23:00:00,78.35,78.85,78.22,78.83,177865.0
XEL,2026-06-22 23:30:00,78.83,78.945,78.56,78.84,142536.0
XEL,2026-06-23 00:00:00,78.84,78.87,78.5,78.52,145273.0
XEL,2026-06-23 00:30:00,78.52,78.54,78.39,78.53,111083.0
XEL,2026-06-23 01:00:00,78.53,78.65,78.52,78.63,75498.0
XEL,2026-06-23 01:30:00,78.63,78.73,78.575,78.6001,102976.0
XEL,2026-06-23 02:00:00,78.6001,78.76,78.56,78.565,91174.0
XEL,2026-06-23 02:30:00,78.565,78.7,78.505,78.585,104198.0
XEL,2026-06-23 03:00:00,78.585,78.75,78.5,78.73,99290.0
XEL,2026-06-23 03:30:00,78.73,78.87,78.67,78.84,98312.0
XEL,2026-06-23 04:00:00,78.84,78.84,78.465,78.475,158470.0
XEL,2026-06-23 04:30:00,78.475,79.07,78.465,78.8,731010.0
XEL,2026-06-23 05:00:00,78.81,78.81,77.2,77.2,1574612.0
XEL,2026-06-23 05:30:00,77.2,78.81,77.2,78.81,34691.0
XEL,2026-06-23 06:00:00,78.81,79.06,78.74,78.74,188582.0
XEL,2026-06-23 07:00:00,78.74,78.81,78.74,78.81,64016.0
XEL,2026-06-23 08:00:00,78.81,79.5,78.81,79.5,1.0
XEL,2026-06-23 17:00:00,78.81,79.28,78.46,78.5,714.0
XEL,2026-06-23 20:00:00,78.5,79.5,78.5,79.49,375.0
XEL,2026-06-23 20:30:00,79.49,79.49,78.81,78.81,3.0
XEL,2026-06-23 21:00:00,78.81,79.55,78.56,79.1477,99.0
XEL,2026-06-23 22:00:00,78.56,80.45,78.56,79.35,1017.0
XEL,2026-06-23 22:30:00,79.49,79.626,78.685,79.19,173612.0
XEL,2026-06-23 23:00:00,79.19,79.81,79.02,79.769,124008.0
XEL,2026-06-23 23:30:00,79.769,79.89,79.545,79.72,101942.0
XEL,2026-06-24 00:00:00,79.72,79.985,79.51,79.78,109971.0
XEL,2026-06-24 00:30:00,79.78,79.93,79.67,79.84,97459.0
XEL,2026-06-24 01:00:00,79.84,79.84,79.625,79.7,79996.0
XEL,2026-06-24 01:30:00,79.7,79.83,79.68,79.8051,70454.0
XEL,2026-06-24 02:00:00,79.8051,79.8051,79.515,79.7,168231.0
XEL,2026-06-24 02:30:00,79.7,79.925,79.62,79.91,73494.0
XEL,2026-06-24 03:00:00,79.91,80.015,79.85,80.015,82482.0
XEL,2026-06-24 03:30:00,80.015,80.155,79.96,79.995,112117.0
XEL,2026-06-24 04:00:00,79.995,80.05,79.865,80.005,151414.0
XEL,2026-06-24 04:30:00,80.005,80.5,79.975,80.36,766041.0
XEL,2026-06-24 05:00:00,80.33,80.36,80.33,80.33,1038136.0
XEL,2026-06-24 06:00:00,80.33,80.33,80.33,80.33,33524.0
XEL,2026-06-24 06:30:00,80.33,80.33,80.33,80.33,103335.0
XEL,2026-06-24 07:00:00,80.33,80.33,78.5205,78.5205,5.0
XEL,2026-06-24 08:00:00,78.5205,78.95,78.5205,78.95,83.0
XEL,2026-06-24 08:30:00,78.95,78.95,78.73,78.73,6.0
XEL,2026-06-24 17:00:00,84.934,84.934,79.87,79.87,26.0
XEL,2026-06-24 20:30:00,79.87,80.33,79.87,80.33,2.0
XEL,2026-06-24 21:00:00,80.33,80.33,80.027,80.027,1.0
XEL,2026-06-24 21:30:00,80.027,81.24,80.027,81.24,20.0
XEL,2026-06-24 22:00:00,81.24,81.24,80.88,81.03,1101.0
XEL,2026-06-24 22:30:00,80.99,81.59,80.9,80.95,228184.0
XEL,2026-06-24 23:00:00,80.95,81.135,80.595,80.65,161149.0
XEL,2026-06-24 23:30:00,80.65,80.81,80.47,80.75,122145.0
XEL,2026-06-25 00:00:00,80.75,80.83,80.62,80.81,142318.0
XEL,2026-06-25 00:30:00,80.81,80.98,80.8,80.8,102443.0
XEL,2026-06-25 01:00:00,80.81,80.935,80.6,80.63,71152.0
XEL,2026-06-25 01:30:00,80.63,80.765,80.35,80.37,124534.0
XEL,2026-06-25 02:00:00,80.37,80.63,80.37,80.46,110124.0
XEL,2026-06-25 02:30:00,80.46,80.705,80.435,80.705,113575.0
XEL,2026-06-25 03:00:00,80.705,81.13,80.705,81.13,123344.0
XEL,2026-06-25 03:30:00,81.13,81.355,81.1,81.3,137620.0
XEL,2026-06-25 04:00:00,81.3,81.43,81.155,81.165,178412.0
XEL,2026-06-25 04:30:00,81.165,81.74,81.01,81.46,569660.0
XEL,2026-06-25 05:00:00,81.47,81.47,81.47,81.47,1144223.0
XEL,2026-06-25 05:30:00,81.47,81.47,80.02,80.02,854.0
XEL,2026-06-25 06:00:00,80.02,81.34,80.02,81.34,98.0
XEL,2026-06-25 07:00:00,81.34,81.47,80.04,80.04,64174.0
XEL,2026-06-25 07:30:00,80.04,80.04,79.91,79.93,421.0
XEL,2026-06-25 17:00:00,81.47,81.47,80.25,81.45,6.0
XEL,2026-06-25 18:00:00,81.45,81.45,80.83,80.83,25.0
XEL,2026-06-25 20:30:00,80.83,81.47,80.83,81.47,1.0
XEL,2026-06-25 22:00:00,81.47,81.81,80.94,81.81,635.0
XEL,2026-06-25 22:30:00,81.245,82.875,81.245,82.67,238955.0
XEL,2026-06-25 23:00:00,82.67,82.81,82.105,82.16,186779.0
XEL,2026-06-25 23:30:00,82.16,82.25,81.78,81.78,160472.0
XEL,2026-06-26 00:00:00,81.78,82.17,81.75,81.78,122901.0
XEL,2026-06-26 00:30:00,81.78,81.78,81.19,81.19,119704.0
XEL,2026-06-26 01:00:00,81.19,81.38,81.135,81.29,145120.0
XEL,2026-06-26 01:30:00,81.29,81.385,81.2,81.25,119733.0
XEL,2026-06-26 02:00:00,81.25,81.56,81.235,81.51,72180.0
XEL,2026-06-26 02:30:00,81.51,81.73,81.48,81.69,82264.0
XEL,2026-06-26 03:00:00,81.69,81.795,81.605,81.745,90773.0
XEL,2026-06-26 03:30:00,81.745,81.9,81.67,81.9,102504.0
XEL,2026-06-26 04:00:00,81.885,82.0,81.67,81.755,167189.0
XEL,2026-06-26 04:30:00,81.755,81.98,81.61,81.7,665252.0
XEL,2026-06-26 05:00:00,81.75,81.85,81.62,81.75,2325637.0
XEL,2026-06-26 05:30:00,81.75,81.75,81.75,81.75,135.0
XEL,2026-06-26 07:00:00,81.75,82.57,81.75,82.57,100528.0
XEL,2026-06-26 07:30:00,82.57,82.57,82.5366,82.5366,10.0
XEL,2026-06-26 17:00:00,81.75,82.24,81.75,82.23,55.0
XEL,2026-06-26 20:30:00,82.23,82.23,81.75,81.75,11.0
XEL,2026-06-26 21:30:00,81.75,81.75,81.55,81.56,930.0
XEL,2026-06-26 22:00:00,81.56,82.72,81.56,82.7,206.0
XEL,2026-06-26 22:30:00,82.3,82.79,82.18,82.74,172896.0
XEL,2026-06-26 23:00:00,82.74,82.74,82.4468,82.56,82334.0
XEL,2026-06-26 23:30:00,82.57,82.665,82.24,82.49,78075.0
XEL,2026-06-27 00:00:00,82.49,82.505,82.27,82.45,88468.0
XEL,2026-06-27 00:30:00,82.45,82.49,82.145,82.33,209351.0
XEL,2026-06-27 01:00:00,82.33,82.48,82.19,82.21,80126.0
XEL,2026-06-27 01:30:00,82.21,82.35,82.17,82.275,72245.0
XEL,2026-06-27 02:00:00,82.275,82.45,82.255,82.37,79541.0
XEL,2026-06-27 02:30:00,82.37,82.53,82.34,82.475,90710.0
XEL,2026-06-27 03:00:00,82.475,82.505,82.37,82.45,77673.0
XEL,2026-06-27 03:30:00,82.45,82.605,82.37,82.6,200556.0
XEL,2026-06-27 04:00:00,82.6,82.6,82.22,82.41,168669.0
XEL,2026-06-27 04:30:00,82.41,82.49,82.0,82.15,889851.0
XEL,2026-06-27 05:00:00,82.23,82.27,81.48,82.23,3345255.0
XEL,2026-06-27 05:30:00,82.23,82.23,82.2285,82.2285,8754.0
XEL,2026-06-27 06:00:00,82.2285,82.23,82.2285,82.23,1136.0
XEL,2026-06-27 06:30:00,82.23,82.23,82.23,82.23,13.0
XEL,2026-06-27 07:00:00,82.23,82.23,82.23,82.23,3081.0
XEL,2026-06-27 08:00:00,82.23,82.23,81.8126,81.8221,284.0
XEL,2026-06-27 08:30:00,81.8221,81.8221,81.8216,81.8216,14.0
XEL,2026-06-29 17:00:00,82.23,82.23,82.07,82.19,287.0
XEL,2026-06-29 20:30:00,82.19,82.23,82.19,82.23,1.0
XEL,2026-06-29 21:00:00,82.23,82.34,82.23,82.34,6.0
XEL,2026-06-29 22:00:00,82.34,82.44,82.34,82.41,303.0
XEL,2026-06-29 22:30:00,82.23,82.6,81.92,82.21,224553.0
XEL,2026-06-29 23:00:00,82.21,82.475,81.72,81.74,212762.0
XEL,2026-06-29 23:30:00,81.74,81.94,81.505,81.6,126454.0
XEL,2026-06-30 00:00:00,81.6,81.75,81.51,81.56,97446.0
XEL,2026-06-30 00:30:00,81.56,81.69,81.499,81.65,73106.0
XEL,2026-06-30 01:00:00,81.65,81.93,81.555,81.93,64400.0
XEL,2026-06-30 01:30:00,81.93,82.19,81.91,82.0,59254.0
