symbol,datetime,open,high,low,close,volume
ZS,2026-06-22 17:00:00,124.42,125.0,124.0,124.97,766.0
ZS,2026-06-22 17:30:00,125.5,125.5,124.4,124.4,213.0
ZS,2026-06-22 18:00:00,124.4,125.25,124.4,124.84,571.0
ZS,2026-06-22 18:30:00,124.84,125.2,124.28,124.28,615.0
ZS,2026-06-22 19:00:00,124.28,124.9053,124.08,124.31,60.0
ZS,2026-06-22 19:30:00,124.31,124.39,124.0267,124.39,111.0
ZS,2026-06-22 20:00:00,124.425,124.8253,123.53,123.53,1892.0
ZS,2026-06-22 20:30:00,123.69,124.37,123.5,123.5,1804.0
ZS,2026-06-22 21:00:00,123.5,124.0,123.5,123.9,1053.0
ZS,2026-06-22 21:30:00,123.9,123.99,123.5,123.55,510.0
ZS,2026-06-22 22:00:00,123.74,124.0,122.5,122.73,5923.0
ZS,2026-06-22 22:30:00,123.29,128.5,122.51,128.5,337834.0
ZS,2026-06-22 23:00:00,128.5,129.65,125.04,125.215,334358.0
ZS,2026-06-22 23:30:00,125.215,125.65,124.69,124.8,126325.0
ZS,2026-06-23 00:00:00,124.8,125.01,123.72,124.19,112209.0
ZS,2026-06-23 00:30:00,124.19,124.26,123.22,123.33,77559.0
ZS,2026-06-23 01:00:00,123.33,123.35,121.72,121.79,90685.0
ZS,2026-06-23 01:30:00,121.79,122.92,121.76,122.85,84995.0
ZS,2026-06-23 02:00:00,122.85,122.85,122.1,122.375,76304.0
ZS,2026-06-23 02:30:00,122.375,122.995,122.3,122.995,68364.0
ZS,2026-06-23 03:00:00,122.995,123.18,122.5801,122.91,82690.0
ZS,2026-06-23 03:30:00,122.91,123.02,122.6,122.64,74925.0
ZS,2026-06-23 04:00:00,122.65,122.97,122.42,122.85,93438.0
ZS,2026-06-23 04:30:00,122.85,124.6999,122.8,124.09,330484.0
ZS,2026-06-23 05:00:00,124.06,124.33,123.01,124.06,598419.0
ZS,2026-06-23 05:30:00,124.06,124.06,123.3,124.0,858.0
ZS,2026-06-23 06:00:00,124.0,124.55,123.31,124.06,3115.0
ZS,2026-06-23 06:30:00,124.06,124.16,123.5,124.15,7140.0
