symbol,rows,start,end,span_days,null_count
AAPL,620,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
ABNB,566,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
ADBE,620,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
ADI,611,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
ADP,504,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
ADSK,582,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
AEP,542,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
ALNY,488,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
AMAT,620,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
AMD,620,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
AMGN,572,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
AMZN,620,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
APP,620,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
ARM,620,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
ASML,620,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
AVGO,620,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
AXON,605,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
BKNG,601,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
BKR,560,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
CCEP,463,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
CDNS,595,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
CEG,620,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
CHTR,548,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
CMCSA,613,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
COST,619,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
CPRT,564,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
CRWD,620,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
CSCO,620,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
CSGP,508,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
CSX,535,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
CTAS,489,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
CTSH,551,2026-06-22 17:00:00,2026-07-20 22:30:00,28,0
